time	T	TStar	V
0.0.	1000.0	0.0	200.0
8.0.	3.564535636496124	208.28900969518725	296.312564465587
16.0.	13.539750331621653	603.3055073486324	825.1410141262224
24.0.	368.5888961989077	459.6020148166202	457.89089772275025
32.0.	125.29373976094513	199.43536872572207	251.28561571418268
40.0.	30.753067918053716	267.7410429077069	367.792196325904
48.0.	24.327947334956715	407.20257943971154	557.2262637249398
56.0.	59.71686735845024	544.3744053800398	695.1811072125714
64.0.	175.8139150881925	508.4927467678541	578.2950653322207
72.0.	204.34506331691387	343.96815111957346	394.7202463338601
80.0.	115.20391563074072	283.0599879426727	355.11227401477043
88.0.	62.42502494813174	307.9734356703803	406.1836372379609
96.0.	48.074624040614914	372.8361092213495	495.88045686104584
104.0.	58.35737855693601	446.2244043072024	579.7773895175256
112.0.	95.67374480362696	483.4419233864665	597.4123759564953
120.0.	145.78657220578782	445.69904660963203	527.313731675604
128.0.	154.61747009648647	373.07762743765267	444.02887286200166
136.0.	119.55337103248382	332.2014822689426	411.5507293179011
144.0.	85.21900080491015	334.8748514579787	429.22084023327733
152.0.	68.84372994895287	366.2790693649995	475.6723004037081
160.0.	69.56106145120896	408.2671654971737	526.3606738400531
168.0.	85.69942720772286	439.2815694413257	553.1488099368511
176.0.	111.88833861758633	438.7030777296799	537.2181622253753
184.0.	130.2814738846674	407.26319438051763	492.5682722385727
192.0.	125.40548397616655	371.8813712172511	454.8654126777723
200.0.	105.77254841141178	355.5371602289461	444.64028946652604
208.0.	88.12102810766065	361.75240633457213	460.26037140740556
216.0.	80.19451040185903	382.84823134139896	489.62717947289866
224.0.	82.99823760653157	406.9770952149719	516.8250476493247
232.0.	94.68062353498966	421.0806755174571	526.6862095304353
240.0.	109.34302504002325	416.7961448600182	513.7661495881678
248.0.	117.3164746433063	398.17959625219106	488.5388248359503
256.0.	113.4437692563973	379.07828333399885	468.51135158720507
264.0.	102.45656785658217	370.66647704605083	463.9078484316557
272.0.	92.39660841649913	375.18015343376817	474.129336578928
280.0.	88.00670890697124	388.17407788656675	491.78630513083414
288.0.	90.31765369304733	402.0730588253043	506.9368593358838
296.0.	97.67445909951304	409.25325393650166	511.3146229057547
304.0.	105.90464230934928	405.96387933657377	503.1597101664603
312.0.	109.90214157219756	395.19458855891315	488.756672033955
320.0.	107.52636580704477	384.3917249081367	477.4594829419154
328.0.	101.26442086115561	379.66796266549596	475.01493930363995
336.0.	95.39568582751933	382.50605566178433	481.264169358723
344.0.	92.86229351909991	390.29668983886654	491.7314546303543
352.0.	94.41772331347613	398.3573315522491	500.3672485009942
360.0.	98.86466392776755	402.2487415830121	502.54717906708527
368.0.	103.55360473874244	400.13100622633675	497.64944993645673
376.0.	105.70449512121849	393.89113094576015	489.3450662168073
384.0.	104.30243075439519	387.677434809935	482.84718349048774
392.0.	100.69492077568563	384.96073123001014	481.4781210354487
400.0.	97.26059136820521	386.6788410617763	485.2160469905602
408.0.	95.78787503086708	391.2968432214442	491.3814715402368
416.0.	96.7673854235686	395.98395598806087	496.353070562549
424.0.	99.41271571276123	398.15551363408946	497.5026815666542
432.0.	102.1086712830012	396.85499532889895	494.5993992837565
440.0.	103.30358393105504	393.2269956059733	489.7845905211069
448.0.	102.4787309176643	389.63048779165604	486.0247816723003
456.0.	100.38704398435584	388.06193310564197	485.2503292791769
464.0.	98.3799371508614	389.0909539597515	487.46845130064713
472.0.	97.5258997702821	391.8129965622498	491.08695654373304
480.0.	98.1260748338569	394.53997952645364	493.96043465299323
488.0.	99.68791808569603	395.76806712605213	494.5830576101575
496.0.	101.24558134795232	394.98225966235805	492.8684063120723
504.0.	101.91929549359948	392.8673775679329	490.0682818545584
512.0.	101.43240076968755	390.78060122725543	487.88916386657843
520.0.	100.21491897777652	389.87608437669553	487.45224068763855
528.0.	99.04397724940335	390.4906364997006	488.764353947226
536.0.	98.5506743811003	392.0903007818147	490.88353036772617
544.0.	98.91372460489472	393.6766835930343	492.5469102274931
552.0.	99.83226708142652	394.3755449837168	492.88817117845537
560.0.	100.73458559414634	393.90382295464184	491.87658101858347
568.0.	101.11714765775655	392.66894470010743	490.2453841438601
576.0.	100.82876767946034	391.45693386196064	488.9819962522591
584.0.	100.11850769003324	390.93640264049446	488.7367935860923
592.0.	99.4363238317176	391.3031541792964	489.5118695131396
600.0.	99.15233025961412	392.24163509370794	490.7513635001121
608.0.	99.37048152850389	393.16425696064624	491.714828029727
616.0.	99.90952740919558	393.5631383556395	491.90279970701243
624.0.	100.43294821467352	393.28082526820907	491.30618267297643
632.0.	100.65094384138104	392.55907062029377	490.3550602060154
640.0.	100.4797504439522	391.85483656046426	489.6226324861087
648.0.	100.06485347448364	391.5558081405909	489.485733145404
656.0.	99.66779540275306	391.77460925985685	489.94323629260793
664.0.	99.50469353243402	392.32464218941476	490.66763662774963
672.0.	99.63528386040765	392.8611036934882	491.22581681907616
680.0.	99.95123165171188	393.08908858060926	491.32949950314384
688.0.	100.25508812665696	392.92041686919623	490.9776754654533
696.0.	100.37951991701458	392.49833581626586	490.4228174575368
704.0.	100.27776265225705	392.08907934821235	489.9982724917869
712.0.	100.03522542388063	391.9175276280993	489.92219197326335
720.0.	99.80426854862094	392.04802129125244	490.19211534827707
728.0.	99.71075465773815	392.3701925380485	490.6152688544028
736.0.	99.78874910439524	392.68206170518687	490.9386657449831
744.0.	99.97379753750027	392.81244641728625	490.9958233786714
752.0.	100.1502622696204	392.71178244406684	490.78837869312036
760.0.	100.22134118317989	392.46487847322595	490.4646089150202
768.0.	100.16082133385702	392.2270359576331	490.21856706704483
776.0.	100.01898670217354	392.1287170353022	490.17646370953173
784.0.	99.8847031689661	392.20651328069846	490.3356616533544
792.0.	99.83115221118003	392.3951448485529	490.5827641022118
800.0.	99.87766341596794	392.57642119323253	490.7701278869537
