	APC_PS_Va_l	APC_PS_l	APC_f	APC_l	AT_f	II_f	II_l	IIa_AT_f	IIa_TM_PC_l	IIa_TM_l	IIa_f	LIPID	PC_f	PC_l	PS_f	PS_l	TFPI_Xa_TF_VIIa_l	TFPI_Xa_l	TFPI_f	TF_VII_Xa_l	TF_VII_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VIIa_l	TF_l	TM_l	VII_Xa_l	VII_f	VII_l	VIIa_f	VIIa_l	V_IIa_l	V_Xa_l	V_f	V_l	V_mIIa_l	Va_f	Va_l	Vai_f	Vai_l	X_f	X_l	Xa_AT_f	Xa_Va_II_l	Xa_Va_l	Xa_Va_mIIa_l	Xa_f	Xa_l	alpha2M_IIa_l	alpha2M_Xa_l	alpha2M_l	mIIa_AT_l	mIIa_f	mIIa_l
0	0.0	0.0	0.0	0.0	4721.0	1174.5	0.0	0.0	0.0	0.0	0.0	170000.0	66.0	0.0	116.0	0.0	0.0	0.0	12.3	0.0	0.0	0.0	0.0	0.0	0.0182	1.0	0.0	7.6	0.0	0.1	0.0	0.0	0.0	1.75	0.0	0.0	0.0	0.0	0.0	0.0	142.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	364.0	0.0	0.0	0.0
1	1.132007219918898e-16	6.159725920832088e-10	1.4703092657670913e-11	1.2958399010992046e-10	4720.9999955398625	335.50475785576776	838.9952421178346	5.327143236042254e-11	3.9959119735011707e-10	9.870165558794638e-10	2.794143050634305e-09	58155.70985094328	18.704783334617964	47.29521666422222	0.7924076931181393	115.20759230626591	1.6643941020293379e-09	8.08035881533166e-05	12.299919194747458	3.146611535257031e-09	0.002710027596642787	0.0006579745942166303	0.0008274232420334352	0.0020867390927960523	0.011917830663305476	0.9999999986133923	8.647853274416525e-06	0.16860942064420073	7.42846646869161	0.0007486510437364176	0.09588464243048103	5.602080896777096e-11	0.00015907261832762568	0.008682449843847593	1.741149201112514	3.3301241889204993e-10	4.6262049693081804e-08	9.22275775991484e-06	8.061994496729759e-20	1.6983664353944948e-17	35.17675819167576	107.66983121878411	4.4600845909086504e-06	2.7838854812272454e-09	3.792912424513778e-09	4.396699365987355e-10	0.0002653872086020629	0.0014065992037220671	1.5034225589163074e-12	2.0931997715580392e-07	363.99999979067854	5.187014021963437e-12	2.8294349251350724e-10	1.8261661530222603e-08
2	1.3709593523186786e-12	4.316051752273319e-07	5.605926080833335e-09	4.773504683543384e-08	4720.999962454913	335.5048602697848	838.9951356870007	1.5824264482935912e-08	1.0353066291785376e-07	2.3387227296695637e-07	3.461980239264697e-07	58155.68387732868	18.704789527789334	47.29520988373251	0.7924081269965446	115.20759144139693	4.883897768926598e-08	0.0006795298025947562	12.299320421358436	1.9446663913122882e-08	0.004433224963354766	0.0010479242786925707	0.0014696513399721505	0.003315090031732878	0.00793404110060605	0.9999996625970643	3.2605183567685904e-05	0.16853762788378585	7.425293005669727	0.0007425960222900639	0.09512820634123269	7.73266656962561e-09	0.0007417566292182216	0.008679128878410292	1.7404790108470305	6.056387281325334e-08	5.031219345508602e-07	9.90507558229011e-05	2.4082790945146852e-15	4.855341610397661e-13	35.17509036633681	107.66460256454718	3.7527169672812416e-05	1.916063191318337e-07	2.593184910037408e-07	3.0544375481601105e-08	0.0010109962038710439	0.0052847675347385565	4.465912628222154e-10	1.7612191315278726e-06	363.9999982383343	2.0993834568518572e-09	4.7929657809719504e-08	3.002866740088902e-06
3	1.42319783056169e-10	1.1124126088099731e-05	1.1280129379615538e-07	9.518566710593411e-07	4720.999881333823	335.50480226623074	838.9951438515966	2.899656762389529e-07	1.6358277224144478e-06	3.604496759489055e-06	3.999783530448222e-06	58155.69736601637	18.704782762857988	47.29520341238795	0.7924078768540314	115.20758099887757	3.0256351299459526e-07	0.002141425525394573	12.2978582719111	4.761071490159525e-08	0.00552155609601445	0.0013036390555885543	0.0018875130199158233	0.004120969019270395	0.0053659726349829	0.9999947596755183	6.401906857940065e-05	0.16843218068896396	7.420636295430838	0.000759190255155202	0.09727428719144313	9.211320932006398e-08	0.001560347558432035	0.008673849665746799	1.739418443113216	8.47235173465675e-07	1.7366011975502134e-06	0.0003406178929623616	4.241840720093464e-13	8.438812367081743e-11	35.172845447346	107.65770643961267	0.00011833079997271908	1.6193492050669988e-06	2.187406655287583e-06	2.588370701665183e-07	0.0019922916841602026	0.010370577080205301	8.18339066191727e-09	5.553482217967379e-06	363.9999944383344	4.5416402716420245e-08	6.570209976886263e-07	4.0823943872737536e-05
4	2.7779185261033318e-09	9.056168988119007e-05	8.02239309568408e-07	6.74174680282177e-06	4720.999742336526	335.5044919417472	838.99521414393	1.9557688507194912e-06	9.69765582584311e-06	2.1119666704145002e-05	1.9767536611716185e-05	58155.76014269107	18.704741932639998	47.2951502612503	0.7924064954942189	115.20750294003798	1.0310528848470846e-06	0.004618291371118571	12.295380677576002	8.20448881411155e-08	0.006197844159408869	0.0014775125151367421	0.00216967912632796	0.004669241585183439	0.0036846095161700205	0.9999691826774701	9.816869047977167e-05	0.16827983489117304	7.413917067327051	0.0007989719874851861	0.10239056661997739	4.616710939923825e-07	0.0024726891611699846	0.008667092065557169	1.7380633145453879	4.726063796749241e-06	3.941319151132921e-06	0.00077175224918301	1.0149958472746569e-11	2.0120209313677957e-09	35.17020454073782	107.64970447558895	0.0002553676836856155	6.382698104963438e-06	8.613926265291327e-06	1.0215002007200447e-06	0.003062169947732149	0.015907989080075232	5.519556964379448e-08	1.1984875440976322e-05	363.999987959929	3.400275357439134e-07	3.6313263715060818e-06	0.00022475521248010983
5	2.5881454339086143e-08	0.0004356641711888657	3.4987120792785175e-06	2.9326236917569432e-05	4720.999539314202	335.50384747272415	838.9951227627698	8.19894473854362e-06	3.5700013091212386e-05	7.71986926291002e-05	6.416936053084971e-05	58155.87075505489	18.704604830820134	47.29489095416516	0.7924026654038726	115.20716164454348	2.560813044755037e-06	0.008149121291893999	12.291848317895067	1.1803578869305206e-07	0.006602567810815189	0.0015994388628332798	0.002366189139203161	0.005053972986878346	0.002575152351436596	0.9998871012942798	0.00013240010393728653	0.1680753888630675	7.404907720096057	0.0008613322172418594	0.11039831107112909	1.5103433999016951e-06	0.003399378430565225	0.008659031451407962	1.7364483594579212	1.6772044631031267e-05	7.281521566941153e-06	0.001424532482635073	1.2180484277490225e-10	2.405817824616438e-08	35.16728251563437	107.64094045851145	0.00045093777996953123	1.71714632432673e-05	2.3162664504824382e-05	2.7500786875666926e-06	0.004138371001335521	0.021474262849219397	2.3139003911257787e-07	2.1163340215730036e-05	363.99997860526975	1.5490797318938e-06	1.282102927767291e-05	0.0007916920662471193
6	1.5167122307821655e-07	0.0014972850881746268	1.1211124175345833e-05	9.381449372535728e-05	4720.999265348523	335.50277816199826	838.994465884342	2.5515371347638107e-05	9.838339100111668e-05	0.00021180247307338922	0.00016213005141373904	58156.01710317759	18.704233638089715	47.29406551614201	0.7923934837865705	115.20610907945402	5.235306643070048e-06	0.012711991026834138	12.287282773666528	1.525528972341593e-07	0.006827880661413046	0.0016873733107378689	0.0025070907406316355	0.005331677838326552	0.0018405895893506133	0.9996898141359255	0.00016520677835719588	0.1678181039067185	7.393575173631178	0.0009450217604972977	0.12113708351259646	3.832519991610635e-06	0.004295063837206377	0.008649551177410172	1.7345493829575378	4.5221196522249e-05	1.20250634466627e-05	0.0023513799466104643	8.740596887192452e-10	1.7223962233784742e-07	35.164159126205696	107.63163329851493	0.0007039949894363983	3.715762405068585e-05	5.0107430581550646e-05	5.953461737644877e-06	0.00517444795072608	0.02683076048846778	7.200930193843649e-07	3.303978132313425e-05	363.9999662401256	5.141122311838664e-06	3.4473712834175707e-05	0.002125622642639541
7	6.656902568348751e-07	0.004131913876556405	2.9386296637113056e-05	0.00024562106810748353	4720.9989090552435	335.501174098232	838.9926145613401	6.542001123657049e-05	0.00022557781437020525	0.0004842221269954733	0.0003497616181224075	58156.17485616095	18.70336954714079	47.29199728811331	0.7923734482422581	115.20349397219093	9.389245651489487e-06	0.01825156639893801	12.281739044355415	1.8395978125393237e-07	0.006935368274719157	0.001752739323343533	0.0026112713185619404	0.005538320707837811	0.0013527271701048256	0.9992902000586343	0.00019575679452488504	0.1675098078720594	7.379997438972087	0.0010484375329802122	0.13440128599845055	8.286406915562763e-06	0.005134303985652765	0.008638178825264105	1.732270374711574	0.00010234606131542611	1.8667215962844558e-05	0.0036491978151625623	4.753221928604282e-09	9.347796542981853e-07	35.160895139329895	107.62192236877412	0.0010116554374395216	7.057488070477782e-05	9.51540964140495e-05	1.1310777901316818e-05	0.006144846956754273	0.03184625986714616	1.8462790091418276e-06	4.74788534317835e-05	363.99995067486753	1.3869313757359714e-05	7.792570638689174e-05	0.004800199431406967
8	2.380427124626351e-06	0.00973531986575169	6.669191670795808e-05	0.0005569871858048462	4720.998451835217	335.4988976054117	838.9886489671501	0.0001460605639470163	0.0004566159200569869	0.0009783130504430065	0.0006785364247584585	58156.30541070128	18.701592566370728	47.28758943831385	0.7923335702407761	115.19792872946634	1.534030366290464e-05	0.024691918618361976	12.27529274107798	2.1152080845320813e-07	0.006964307194580385	0.001802707801628426	0.0026901710619663065	0.005696478714091154	0.0010307834032623772	0.9985650710295001	0.00022367017480783412	0.16715401222845064	7.364324627570847	0.001169767967799613	0.14995870546135504	1.60872466978839e-05	0.005905051243798368	0.008624008934110165	1.7294279084917636	0.0002055990924499429	2.8021179372372046e-05	0.005477035386356323	1.8755414792600222e-08	3.6855788190661967e-06	35.15754001985195	107.61188765443673	0.0013698992742709698	0.00012366464413880046	0.00016671565548067593	1.982336447376372e-05	0.007037904826714594	0.036460955323578494	4.1221111997040025e-06	6.429189789006168e-05	363.9999315859909	3.220495073248024e-05	0.0001565289676126588	0.009635871101947304
9	7.48728159874403e-06	0.0205338527589448	0.00013679474245833746	0.0011417974374836885	4720.997862337543	335.4957447128158	838.9811935594449	0.00029598444177547856	0.0008495513278450403	0.0018180276703976318	0.00122582444013785	58156.349153154435	18.698233722748753	47.27909679370294	0.7922594775349246	115.18719918242452	2.3378861391638356e-05	0.03195111430948089	12.268025506829133	2.35063152130777e-07	0.006941980053449646	0.0018423846531789943	0.002752387013019598	0.005822243156764786	0.0008173911990432121	0.9973324210017575	0.0002487658000921476	0.1667548912748059	7.346733312246265	0.0013071715453760332	0.1675732503325007	2.9047584485522083e-05	0.006599554272256132	0.008605516162157411	1.725713290478929	0.0003808305221583697	4.140732833819765e-05	0.008093048431963451	6.440928470629689e-08	1.2648774223444258e-05	35.1541433746998	107.60157034244614	0.0017743680166153746	0.0002061511859267808	0.00027790174349644924	3.305182518222773e-05	0.007847951061812802	0.04064576468524525	8.353252897362775e-06	8.327436347119152e-05	363.9999083723837	6.731000435173316e-05	0.00029021294868201167	0.017857382535664258
10	2.1576249851774278e-05	0.03997848345394347	0.00026079677393548627	0.002175878331156224	4720.997089729778	335.4914091440362	838.968159261289	0.000559404293522747	0.001491559871731398	0.0031899087548246203	0.0021103169427928174	58156.21639229622	18.692255742423846	47.26381596289556	0.7921288369175046	115.16787110337869	3.377086217297444e-05	0.03994389191120646	12.260022337226628	2.546739066611884e-07	0.006886360854501862	0.0018753708418912617	0.002803620444550005	0.005926956583045708	0.0006736657399315343	0.9953185313734442	0.00027097870220199735	0.1663170932238543	7.327417172397233	0.0014588139445568624	0.18700960747208145	4.99158824688962e-05	0.007213230484911313	0.00858026709720746	1.7206343970268765	0.0006667789822995132	6.0870595898648e-05	0.011896975594929197	2.0066173538607877e-07	3.938535721646815e-05	35.15076059934698	107.59097531585465	0.0022205092275146194	0.0003334441072543205	0.00044948692848302926	5.347103086799695e-05	0.00857273528046538	0.04438910770665751	1.5787470962135518e-05	0.0001042125965386663	363.9998799999325	0.00013035670527650436	0.0005091881415977702	0.031321462491442804
11	5.84427441359459e-05	0.07333397235284204	0.0004708888781218318	0.003927429656737612	4720.996053561518	335.4854165222116	838.9463751909066	0.001004259962670149	0.0025142549879926816	0.00537644070784075	0.003514749483675241	58155.7724887446	18.68207448169247	47.23762052968773	0.7919075086614334	115.13470007624157	4.675902825000318e-05	0.0485832182764532	12.251370022695305	2.705174002097035e-07	0.006808755956188166	0.0019040016752004086	0.002847718580605877	0.006017979703822639	0.0005745145385327037	0.9921093043041669	0.0002902870381183068	0.1658456299688579	7.306580381332464	0.0016228855693545183	0.20803533062973362	8.28534268108677e-05	0.007741113015588581	0.008544508444116887	1.7134324163548973	0.001121405561543595	8.947988356870685e-05	0.01748857928521608	5.776621303007996e-07	0.00011333755922063997	35.14746185258295	107.58007056717102	0.0027036595955292177	0.000529133823994784	0.0007132783052720609	8.487393350489171e-05	0.009211171155050444	0.04768520756109947	2.834216026706055e-05	0.00012688774020845218	363.99984477009957	0.00023851892746559888	0.0008594364397027369	0.052854017466529644
12	0.00015146993446552283	0.1286389887718584	0.0008162661945702437	0.0068062674122688445	4720.994627020456	335.47703446430717	838.9110131738782	0.0017356446974503912	0.004116444787257851	0.008806270157109594	0.005721666438227806	58154.81422963505	18.665267382419525	47.19420318048008	0.7915432423622815	115.07966629893137	6.2563517580461e-05	0.05778094747032474	12.242156489012103	2.827339689766712e-07	0.00671661511913637	0.0019298610791908645	0.00288720742681639	0.0061003037346205454	0.0005031663886864	0.9870772850556329	0.00030662447750208824	0.1653458346497741	7.284432933827348	0.001797598128022978	0.23042017530603548	0.00013413211340761432	0.008175171048303885	0.008492503274042915	1.702947834871594	0.0018308677350276387	0.00013173951855055793	0.025747874040330177	1.5729014051491395e-06	0.00030850792005460316	35.14434490954137	107.56878349497931	0.0032190777550222846	0.0008285130933032923	0.001116868050837509	0.0001329454986776048	0.009760579021637588	0.05051987703155181	4.898325834044827e-05	0.00015107727483752972	363.99979993946687	0.00041825709433522643	0.0014111394687978383	0.08676749747300244
13	0.00037908445282625156	0.218021241034125	0.0013712144885178108	0.011431065465542092	4720.992613087428	335.46516064401777	838.854849709118	0.0029151699774800388	0.006591486378986056	0.014116498701013372	0.009161587628512696	58153.037053768065	18.63817229625494	47.1240336119251	0.7909569729414279	114.99064270157157	8.138021658224023e-05	0.06744510551868721	12.232473514264742	2.9137560090519916e-07	0.006614511898243475	0.001953838180290821	0.002923684194378252	0.006176739133410304	0.00044955500149401067	0.9792920149200008	0.0003198491357127	0.1648235687198431	7.2611958675965	0.001981132960076673	0.2539291365893561	0.00021292482633105344	0.008501816400985112	0.008415664732998667	1.6874456648543839	0.002918875508942507	0.00019396975932772217	0.037908976075216316	4.09926846424203e-06	0.000803817514899031	35.141551077957345	107.55698852257458	0.003761791159498356	0.0012816060381437727	0.0017277317720519646	0.00020576879543015417	0.010215683197594137	0.05286530565158246	8.227176059755446e-05	0.00017654783175673463	363.9997411804076	0.0007099514385961817	0.00226949794494635	0.13952400786553784
14	0.0009192787047058449	0.3595307655933064	0.0022462933634189693	0.018722192762709703	4720.989708736669	335.4482155675762	838.7673551203274	0.0047901246488164136	0.010355642388194941	0.022222159898717987	0.014476838143631357	58149.990957598646	18.59532485236178	47.01290097482593	0.7900305138295494	114.84951944187239	0.00010337944477677548	0.07747759466840001	12.222419025886834	2.964193097521494e-07	0.0065056406012801585	0.001976469128704219	0.002958062078433138	0.006248979759977	0.00040717256751896533	0.9674221977130874	0.00032972314644592963	0.1642854214805861	7.237104798901952	0.002171591183556581	0.27831563785497365	0.00033202340582617077	0.008700745291780845	0.008301440310251536	1.6643908797691218	0.004553056993751387	0.00028443711735922137	0.055584421302686385	1.0310466990865312e-05	0.0020212482755026626	35.13928630116893	107.54449127263179	0.004326464551644371	0.0019539111040752784	0.0026342600067870547	0.0003139872511615132	0.010567913142372038	0.0546765709449287	0.00013518665318867527	0.0002030490206966309	363.99966176432616	0.0011746741351552454	0.003587797026983941	0.22053391044721338
15	0.0021550666943865983	0.5792667429632125	0.0036012003716549656	0.03000814395569057	4720.985456643779	335.42412023488714	838.6338887780238	0.007733215487057871	0.015958913951645833	0.03435850951701025	0.022590574300776704	58145.032417067145	18.528798161772322	46.840211770291134	0.7885919035722222	114.62998628677015	0.000128699843747313	0.08777169105932614	12.212099609096937	2.9780122998136596e-07	0.006392119407646417	0.0019980053918524482	0.0029906453090837253	0.0063178413581500914	0.0003723908882900308	0.9496825765313441	0.00033600161265856055	0.1637389566538092	7.212415003641374	0.0023669499828583855	0.3033154789975848	0.0005077805898061836	0.008746138292775133	0.00813226347198136	1.6302385344388965	0.006936876214609986	0.00041252610222699345	0.08060108817816132	2.5100684303553584e-05	0.004919302455311459	35.13784227751099	107.53100881674023	0.004907256897991588	0.0029193089591660745	0.003936269643957717	0.0004697442744174799	0.010808208461226244	0.055906331485605164	0.00021824648155692374	0.00023030671597471314	363.99955144680246	0.0019028838403698162	0.005578308516021725	0.3428166249569842
16	0.004844477777997837	0.9132195184974491	0.005655788133112992	0.047115663479451106	4720.979186234118	335.3904140612865	838.4356831461353	0.012291766000710799	0.024042189105360195	0.052027010741456076	0.03475621826513617	58137.28202328769	18.427620067465455	46.577502295541215	0.7864020703312148	114.29553393339332	0.0001574446069498858	0.09821484944783762	12.201627705945224	2.957089281718937e-07	0.006275519147486179	0.0020184933281004705	0.003021686641373457	0.006383484497586707	0.00034307606957513644	0.9239308001531839	0.00033866014194854587	0.16319264245061235	7.18739345229746	0.002565118123168316	0.3286532030563806	0.0007579206167306996	0.00861173829634869	0.007885258810863032	1.580378137284374	0.01026673827433643	0.0005858000337910387	0.11442200799047944	5.8972216115249025e-05	0.011553422191907328	35.13761991971262	107.51614816870836	0.005497972738172462	0.004237571461756075	0.005714763561375923	0.0006831914839245735	0.010934316589657753	0.05654289741265433	0.0003468978644106594	0.0002580301602472852	363.9993950719754	0.00302402714623674	0.00851189103114029	0.5229573705873612
