[Clk-Cyc_cyt]	[Clk-Cyc_nuc]	[Clk_cyt]	[Clk_mRNA]	[Per_cyt]	[Per_mRNA]	[Per-Tim_cyt]	[Per-Tim_nuc]	[Tim_cyt]	[Tim_mRNA]
0.3	0.4	0.2	0.1	0.6	0.5	0.9	1.0	0.8	0.7
0.05688575309360501	0.1714515999018857	0.14331266349345237	0.9726080137211474	0.43298729747233494	0.2906907914497311	0.265060582725234	0.7917599701459043	0.6915194469714527	0.38735931258255585
0.09563151564597591	0.06769677532584528	0.27547746620926866	1.5900913936116376	0.17228679566483812	0.11361071343743764	0.07455643917131857	0.40869559164730673	0.37598964097177956	0.13327890505322643
0.16042232540975235	0.07477009067097112	0.4164562875018599	1.9475602289819993	0.050625363951927585	0.07888925973347088	0.01533275729558508	0.11520423708303187	0.1247699364312325	0.08021145784304443
0.22178951225767785	0.11043087124478468	0.5237091613420667	2.117857894273058	0.028721873266370244	0.1112081657869837	0.0022420543091637678	0.015103766774967506	0.038423386807928145	0.1113014075477699
0.2723358632069165	0.1507191237572941	0.6040547086321798	2.233088955765057	0.03573091893047035	0.1593354384467312	0.0005733529123643302	0.0015218173439250228	0.03666215428474861	0.15934604678928926
0.3176877000691283	0.1916496926962396	0.6740642617765936	2.3380872009790115	0.0500493977641078	0.2135887389143711	0.0007678771303381424	0.00040406372047649544	0.05015675651585588	0.21359059757950416
0.36240110474383047	0.23443724899560336	0.7414552683739459	2.4382357575253617	0.06825328839832162	0.27402854708726293	0.001411708839376085	0.0005527262189537275	0.0682694199805949	0.27402900646441447
0.40848195359821804	0.2808482071903333	0.808969609955738	2.533483498130449	0.09096796746036426	0.34308064120997395	0.0025252641249272826	0.0009854289652473142	0.09097115919554485	0.34308079104232675
0.45661259879539373	0.33223553170145204	0.8773287720857673	2.622628151620008	0.11981772025261529	0.42356982193809073	0.004411442664768284	0.001733861419609744	0.1198185533867089	0.42356988329990125
0.5066764683882031	0.38943812249703363	0.9461086590332581	2.7033037638204838	0.15676046166538074	0.5181694633718131	0.007617978047515415	0.0030108034756163873	0.1567607471710114	0.5181694936759529
