id	state_variables	reactions	parameters
{Bungay2003}_{Bungay2003}	74	66	110
{Bungay2006}_{Bungay2006}	78	69	113
{Bungay2006a}_{Bungay2006a}	54	45	75
{Eungdamrong2007}_{Eungdamrong2007}	46	43	119
{Froehlich2018}_{Froehlich2018}	1396	2686	4704
{Holzhutter2004}_{Holzhutter2004}	45	38	166
{Hui2014}_{Hui2014}	65	117	113
{Lai2014}_{Lai2014}	195	576	27
{Leber2015}_{Leber2015}	23	30	51
{Levchenko2000a}_{Levchenko2000a}	86	300	300
{Liu2011}_{Liu2011}	42	45	89
{ODea2007}_{ODea2007}	24	51	70
{Ouzounoglou2014}_{Ouzounoglou2014}	90	136	20
{Pathak2013}_{Pathak2013}	57	86	172
{Pathak2013a}_{Pathak2013a}	52	88	176
{Pritchard2002}_{Pritchard2002}	25	19	87
{Proctor2010a}_{Proctor2010a}	136	316	83
{Proctor2013a}_{Proctor2013a}	75	132	131
{Qi2013a}_{Qi2013a}	136	316	83
{Sasagawa2005}_{Sasagawa2005}	99	150	234
{Sengupta2015}_{Sengupta2015}	240	175	272
{Singh2006}_{Singh2006}	68	72	105
{Sivakumar2011c}_{Sivakumar2011c}	50	29	56
{Ueda2001}_{Ueda2001}	13	32	66
{Ung2008}_{Ung2008}	194	205	313
{Yang2007}_{Yang2007}	25	32	54
{aguda1999_fig5c}_{model0_aguda1}	12	27	32
{alexander2010_fig2-user}_{model1_alexander1}	5	12	12
{alexander2010_fig2-user-2}_{model1_alexander2}	5	12	13
{alsheihk2011_fig3-user}_{model2_alsheihk1}	5	10	7
{alsheihk2011_fig4-user}_{model2_alsheihk1}	5	10	7
{alsheihk2011_fig5-user}_{model2_alsheihk1}	5	10	7
{alsheihk2011_fig6-user}_{model2_alsheihk1}	5	10	7
{alsheihk2011_fig7-user}_{model2_alsheihk1}	5	10	7
{bachar2004_fig1-user}_{model0_bachar1}	4	8	8
{bachmann2011}_{bachmann}	26	36	32
{bachmann2011_figs9-user}_{model0_bachmann2}	26	36	32
{balagadde2008_fig2-user}_{model2_balagadde1}	7	8	10
{band2012_figs19-user}_{model2_band2}	1	3	4
{becker2010_fig2b-user}_{model0_becker1}	6	8	8
{becker2010_figs4-user}_{model0_becker2}	6	8	7
{beuke2017_fig6}_{model29_beuke30}	33	57	72
{bier2000_fig3-user}_{model0_bier2}	4	6	5
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	4	11	21
{borghans1997_fig12a-user}_{model0_borghans3}	4	8	15
{borghans1997_fig5-user}_{model0_borghans1}	5	7	13
{borghans1997_fig8-user}_{model0_borghans2}	4	8	17
{brands2002_fig2-user}_{model0_brands1}	11	11	11
{bucher2011_fig2-user}_{model0_bucher1}	18	29	30
{bungay2003_fig4-user}_{model2_bungay3}	74	66	110
{bungay2006_fig3a-user}_{model0_bungay2}	54	45	75
{bungay2006_fig3b-user}_{model0_bungay1}	78	69	113
{butenas2004_fig1-user}_{model0_butenas1}	34	33	44
{chance1943_fig12-user}_{model3_chance3}	4	2	2
{chassagnole2002_fig4-user}_{model0_chassagnole2}	18	48	135
{chassagnole2002_fig5-user}_{model0_chassagnole2}	18	48	135
{delcontezerail2008_fig4-user}_{delcontezerail1_Fig4D}	4	10	18
{dupont1992_fig4-user}_{dupont2_Fig4B}	4	7	18
{essunger1994_fig2-2}_{model0_essunger1}	7	21	14
{essunger1994_fig4}_{model0_essunger2}	7	17	16
{essunger1994_fig5}_{model0_essunger3}	7	17	17
{essunger1994_fig6-user}_{model2_essunger3}	7	17	17
{essunger1994_fig8}_{model0_essunger6}	7	17	17
{ferreira2003_fig2f-user}_{ferreira1_Fig2F}	6	12	29
{fisher2006_fig3a}_{fisher1}	14	17	22
{fraser2002_fig1a_1b_2a_2b}_{model0_fraser1}	6	15	8
{fraser2002_fig1a_1b_2a_2b}_{model1_fraser2}	6	15	8
{fuentes2005_fig1a-user}_{model0_fuentes1}	4	3	4
{fung2005_fig3a}_{fung1_Fig3A_Vgly_0_5}	8	13	21
{gardner1998_fig4b-user}_{gardner1_Fig4B}	5	13	21
{goldbeter1991_fig3-user}_{model0_goldbeter2}	3	7	14
{goldbeter2006_fig3a-user}_{model0_goldbeter6}	3	6	11
{gorlich2003_fig4-user}_{model0_gorlich1}	13	9	16
{hald2012_fig5-user}_{model0_hald}	31	27	89
{hald2012_fig5-user}_{model1_hald}	31	27	89
{hatakeyama2003_fig5-user}_{hatakeyama1_Fig5G}	36	34	68
{hernandezvargas2013}_{model0_esteban2013}	5	13	15
{ho1995_fig3}_{model1_ho1}	1	1	1
{hockin1999_fig7a-user}_{model0_hockin2}	30	33	9
{hockin2002_fig3-user}_{model0_hockin1}	34	31	42
{hockin2002_fig3-user}_{model1_hockin1}	34	31	42
{hockin2002_fig3-user}_{model2_hockin1}	34	31	42
{hockin2002_fig3-user}_{model3_hockin1}	34	31	42
{hockin2002_fig3-user}_{model4_hockin1}	34	31	42
{hockin2002_fig3-user}_{model5_hockin1}	34	31	42
{hornberg2005_fig2a-user}_{model0_hornberg1}	9	8	17
{ihekwaba2004_fig5-user}_{model0_ihekwaba1}	26	64	64
{jiang2007_fig2-user}_{model0_jiang1}	59	45	306
{karin2017_fig1c}_{model22_karin1}	2	3	3
{karin2017_fig1g}_{model24_karin3}	2	2	3
{karin2017_fig2}_{model0_karin5}	5	5	2
{kholodenko1999_fig4b-user}_{model0_kholodenko1}	23	25	52
{kholodenko2000_fig2a-user}_{model0_kholodenko2}	8	10	22
{kim2011_figs5-user}_{model0_kim5}	4	9	14
{kirschner1998_fig2-user}_{model0_kirschner}	2	6	8
{kofahl2004_fig3-user}_{model0_kofahl}	37	47	47
{kolodkin2010_figure2b}_{kolodkin1}	3	2	8
{kolodkin2010_figure2b}_{kolodkin2}	6	3	8
{kolodkin2010_figure2b}_{kolodkin3}	10	7	17
{kolodkin2010_figure2b}_{kolodkin4}	8	6	15
{kolodkin2010_figure2b}_{kolodkin5}	8	6	15
{kolodkin2010_figure2b}_{kolodkin6}	8	6	15
{kouril2017_fig1a}_{model1_kouril4}	6	2	7
{kouril2017_fig2b}_{model0_kouril5}	2	1	1
{kouril2017_fig3b}_{model0_kouril6}	7	3	10
{kouril2017_fig4b}_{model0_kouril7}	11	4	14
{kouril2017_fig4c}_{model0_kouril8}	13	6	21
{kowald2006_fig2-user}_{model0_kowald1}	9	17	16
{laub1998_fig3top-user}_{model0_laub1}	7	14	14
{lebeda2008_fig1-user-2}_{model0_lebeda2}	4	3	3
{lee2010_fig3-user}_{model0_lee4}	14	16	22
{lee2010_figs6-user}_{model0_lee2}	9	8	12
{lee2010_figs9-user}_{model0_lee3}	4	4	4
{leloup1999_fig2a}_{leloup1_Fig2A}	10	24	46
{leloup2003_fig2a}_{leloup2_Fig2A}	16	48	80
{levchenko2000_fig2-user}_{model0_levchenko2}	31	54	46
{levchenko2000_fig2-user}_{model1_levchenko2}	31	54	46
{levchenko2000_fig2-user}_{model2_levchenko2}	31	54	46
{levchenko2000_fig2-user}_{model3_levchenko2}	31	54	46
{levchenko2000_fig2-user}_{model4_levchenko2}	31	54	46
{levchenko2000_fig2-user}_{model5_levchenko2}	31	54	46
{levchenko2000_fig2-user}_{model6_levchenko1}	22	30	30
{levering2012_fig5-user}_{model3_levering2}	25	21	122
{li2014_fig3-user}_{model0_li1}	3	11	10
{liu2011_fig5a-user}_{model0_liu2}	42	45	89
{liu2011_fig5a-user}_{model1_liu2}	42	45	89
{liu2011_fig5a-user}_{model2_liu2}	42	45	89
{lou2009_fig2-user}_{lou1}	6	12	12
{ma2002_fig2-user}_{model0_ma}	7	14	14
{marhl2000_fig2-user}_{model0_marhl}	5	7	11
{martins2003_fig6-user}_{model0_martins1}	14	16	16
{marwan2003_fig5b-user}_{model0_BIOMD0000000037}	12	12	12
{mcauley2012_fig1b-user}_{model0_mcauley1}	34	35	44
{mcauley2012_fig1b-user}_{model1_mcauley1}	34	35	44
{mcauley2012_fig1b-user}_{model2_mcauley1}	34	35	44
{mcauley2012_fig1b-user}_{model3_mcauley1}	34	35	44
{mcauley2012_fig1b-user}_{model4_mcauley1}	34	35	44
{mcauley2012_fig1b-user}_{model5_mcauley1}	34	35	44
{mellor2012_fig3a-user}_{model0_mellor1}	10	5	8
{mellor2012_fig3a-user}_{model1_mellor1}	10	5	8
{mellor2012_fig3a-user}_{model2_mellor1}	10	5	8
{mellor2012_fig3a-user}_{model3_mellor1}	10	5	8
{mellor2012_fig3a-user}_{model4_mellor1}	10	5	8
{miao2008_fig1}_{model0_miao2008}	4	9	9
{montanez2008_fig3a-user}_{model0_montanez1}	3	5	18
{moriya2011_fig7c-user}_{model0_moriya1}	49	51	108
{morris2002_fig1b-user}_{model0_Morris2002_CellCycle_CDK2Cyclin}	4	2	5
{naresh2011_fig11to13-user}_{model3_naresh2}	5	13	10
{naresh2011_fig6to7-user}_{model0_naresh2}	5	13	10
{naresh2011_fig6to7-user}_{model1_naresh2}	5	13	10
{naresh2011_fig8to10-user}_{model2_naresh2}	5	13	10
{neves2008_figs1-user}_{model0_neves1}	37	32	64
{nyman2012_fig5-user}_{model0_nyman3}	9	11	16
{odea2007_fig3-user}_{model0_odea1}	24	51	70
{orfao2008_fig2-user}_{model0_orfao1}	12	8	13
{ouattara2008_fig3}_{model0_ouattara1}	3	6	6
{panteleev2002_fig1-user}_{model0_panteleev3}	8	5	9
{panteleev2002_fig1-user}_{model1_panteleev3}	8	5	9
{panteleev2002_fig1-user}_{model2_panteleev3}	8	5	9
{panteleev2002_fig1-user}_{model3_panteleev3}	8	5	9
{panteleev2002_fig1-user}_{model4_panteleev3}	8	5	9
{panteleev2002_fig1-user}_{model5_panteleev3}	8	5	9
{panteleev2002_fig1-user}_{model6_panteleev3}	8	5	9
{panteleev2002_fig1-user}_{model7_panteleev3}	8	5	9
{panteleev2002_fig1-user}_{model8_panteleev3}	8	5	9
{panteleev2002_fig1-user}_{model9_panteleev3}	8	5	9
{panteleev2002_fig2a-user}_{model0_panteleev2}	9	8	15
{panteleev2002_fig3a-user}_{model0_panteleev1}	9	8	15
{perelson1993_fig11-user}_{model2_perelson3}	5	9	10
{perelson1993_fig2and3-user}_{model0_perelson2}	5	9	10
{perelson1993_fig2and3-user}_{model1_perelson2}	5	9	10
{perelson1993_fig2and3-user}_{model2_perelson2}	5	9	10
{perelson1993_fig2and3-user}_{model3_perelson2}	5	9	10
{perelson1993_fig8-user}_{model0_perelson2}	5	9	10
{perelson1996_fig1b_top}_{model0_perelson1}	4	5	5
{piedrafita2010_fig2-user}_{model0_piedrafita1}	11	11	17
{piedrafita2010_fig2-user}_{model1_piedrafita1}	11	11	17
{ribeiro2008_fig4-user}_{model1_ribeiro1}	2	5	4
{saeidi2012_fig4a-user}_{model0_saeidi1}	10	7	17
{saeidi2012_fig4a-user}_{model1_saeidi1}	10	7	17
{saeidi2012_fig4a-user}_{model2_saeidi1}	10	7	17
{sarma2012_fig3c-user}_{model0_sarma5}	11	10	25
{sarma2012_fig3f-user}_{model0_sarma6}	11	10	24
{sarma2012_fig5a-user}_{model0_sarma1}	27	28	45
{sarma2012_fig5a-user}_{model1_sarma1}	27	28	45
{sarma2012_fig5a-user}_{model2_sarma1}	27	28	45
{sarma2012_fig5atod-user}_{model0_sarma7}	13	12	30
{sarma2012_fig5atod-user}_{model1_sarma7}	13	12	30
{sarma2012_fig5atod-user}_{model2_sarma7}	13	12	30
{sarma2012_fig5atod-user}_{model3_sarma7}	13	12	30
{sarma2012_fig5b-user}_{model0_sarma2}	27	28	45
{sarma2012_fig5c-user}_{model0_sarma3}	11	10	26
{sarma2012_fig5d-user}_{model0_sarma4}	11	10	26
{schilling2009_fig1b-user}_{model0_schilling1}	33	42	30
{teusink1998_fig3candd-user}_{model0_teusink2}	4	4	21
{tiago2010_fig2_fe_adequate-user}_{model0_tiago2}	17	29	29
{tiago2010_fig2_fe_deficient}_{model0_tiago1}	17	29	29
{tiago2010_fig2_fe_loaded-user}_{model0_tiago3}	17	29	29
{tiago2010_fig3_fe_adequate-user}_{model0_tiago2}	17	29	29
{tiago2010_fig3_fe_deficient}_{model0_tiago1}	17	29	29
{tiago2010_fig3_fe_loaded-user}_{model0_tiago3}	17	29	29
{tripathi2007_fig7_10to7_11-user}_{model1_tripathi1}	5	10	7
{tripathi2007_fig7_4-user}_{model0_tripathi1}	5	10	7
{tripathi2007_fig7_5to7_7-user}_{model2_tripathi1}	5	10	7
{tripathi2007_fig7_8to7_9-user}_{model2_tripathi1}	5	10	7
{valero2006_fig1aandb}_{model1_valero}	6	4	9
{vanheerden2014_fig4-user}_{model2_}	7	5	12
{wang2012_fig1and2-user}_{model1_wang1}	3	9	9
{xie2007_fig3-user}_{model0_xie1}	25	41	47
{zhao2013_fig3a-user}_{model0_zhao1}	5	10	8
{zi2007_fig2d-user}_{model0_zi1}	16	26	18
