	a1	a2	a3	x1	x2	x3
0	1.0	1.0	1.0	0.01	0.01	0.01
1	0.9967627841603945	1.6433192374623309	12.764465994318241	0.016475700200351703	0.01647587580252718	0.01647622637435817
2	0.9914531967829783	2.694877984262688	162.60380598338386	0.027133473121130347	0.027134474111513554	0.027135662532318926
3	0.9827735121210699	4.404138783053286	2064.24956706759	0.044654672373633714	0.04465792034144469	0.044660520971998276
4	0.9686620688993505	7.156861085919721	26057.393289044267	0.07340669993390704	0.07341511558799577	0.0734200360253389
5	0.9459244894643862	11.522591257291609	325884.65523695236	0.1204473191071063	0.12046665920441839	0.1204753612329927
6	0.9098205124327136	18.2722482958749	4014298.7334495974	0.19703386856343003	0.19707512980276054	0.19708993564791996
7	0.85384034327618	28.271749279530397	48247291.198277496	0.32073604094945596	0.32081966803709194	0.32084417001358917
8	0.7703006852427586	42.050382727526284	557430989.2720047	0.517994418290101	0.5181574274385963	0.5181969375820614
9	0.6529700296277698	58.76583837689378	6051245758.285902	0.8262062791391526	0.8265139135164911	0.8265757003092132
10	0.5029490897688615	74.62022888133971	59685953726.04661	1.2927790313739818	1.293343931373935	1.2934366367718464
11	0.3362464430110581	82.23440804932436	510929509379.47534	1.966282516992219	1.967301860395175	1.9674331430090988
12	0.1844970415678346	74.3671066432909	3589019178230.1255	2.8745692552256576	2.876431529125636	2.87660344889693
13	0.07847934726889956	52.12016441743589	19538182160620.734	3.9929308479644474	3.996653871241695	3.9968580747297704
14	0.024820288791837553	27.13663335133867	79016079026252.86	5.223292889494204	5.232676798929272	5.232895311734958
15	0.005783277389407387	10.376770872903439	234694541372113.66	6.40702411162511	6.440831058606993	6.441049018890722
16	0.0010303137140695482	2.9859779000840807	524578909660109.7	7.3220573128873525	7.489646503797265	7.489886334811155
17	0.00015829787107994925	0.6797131092519587	927547095384618.0	7.467999193675501	8.310244870493396	8.310694363976157
18	2.7395694528100936e-05	0.12975105513334445	1375330159146440.0	6.417379530668288	8.900699087832189	8.90242995783096
19	6.5096653459399225e-06	0.021898516059523577	1802951818302096.8	5.118704213014239	9.294721400163747	9.304243151837387
20	2.059829515200649e-06	0.003405665997458189	2177577948895260.5	4.143087762905136	9.507134200352233	9.566124405516565
21	8.008100795157541e-07	0.0005034451624632334	2495049587225818.0	3.4537548812736163	9.374236519983207	9.732270559614138
22	3.6061727466517425e-07	7.454608641253528e-05	2765605673522452.0	2.9538601157922932	8.293241437670511	9.835885044366346
23	1.8098699628616944e-07	1.3287250286975812e-05	3003119132562960.5	2.578021895566694	6.484102321078125	9.899812293558124
24	9.86765749048359e-08	3.288864102477269e-06	3220062621854264.0	2.2861739593714763	5.034944694859127	9.938992588275338
25	5.742285811652718e-08	1.07405412400832e-06	3426082597808027.5	2.0533592547371233	4.057943575593899	9.962908096889555
26	3.5219709631438025e-08	4.271294433505347e-07	3628139934595318.5	1.8634613001539322	3.3854920983092276	9.977469741684654
27	2.2556972914297768e-08	1.9555735461133586e-07	3831109894987567.0	1.705681605650315	2.900611259552393	9.986322582574354
28	1.4980026624507655e-08	9.938438359891967e-08	4038389999394448.0	1.57253928456893	2.5360615899540346	9.991699760091223
