	TFPI	VIIa_TF	VIIa_TF_X	VIIa_TF_Xa	X	Xa	Xa_TFPI	Xa_TFPI_VIIa_TF
0	2.4	0.9999997	0.0	0.0	169.9999	0.0	0.0	0.0
1	2.189835647023821	0.4752397503555199	0.296492766749407	0.22589547245958966	148.37455986126588	20.892787546549215	0.2077926425406978	0.002371710435482921
2	1.6889762779916884	0.46902571844169844	0.2561184675159224	0.2580083133006001	129.8585586264097	38.916190870766	0.6941765212665338	0.016847200741778437
3	1.129857238614309	0.4549695680231761	0.2180792003391264	0.27910766418989735	113.97959898111503	54.25297139297082	1.2222994939378922	0.04784326744779948
4	0.6709834778874212	0.43431115808334736	0.18363883812110868	0.2897954273409649	100.54032375251114	67.25712545991486	1.6367622456580018	0.09225427645457833
5	0.3615963437361819	0.40997411233145814	0.1538951025788521	0.29228605624721177	89.25680623205035	78.2585089528604	1.8945592274213412	0.14384442884247728
6	0.18093428719455623	0.3846734136500495	0.12909666597462993	0.28917852113700054	79.80007795837973	87.56248114170378	2.022014613567124	0.19705109923831945
7	0.0865011165880482	0.36015391331644536	0.10882254631634435	0.2826343681995979	71.8497419402772	95.44520226179561	2.06511001124434	0.24838887216761113
8	0.041234784372289564	0.3372592905528532	0.09236431593144048	0.27416016704655455	65.12558176985627	102.14902853153886	2.0625492891585604	0.2962159264691506
9	0.02092535915096625	0.31626158918079195	0.07899152575744721	0.26471326108518917	59.39677383012424	107.88034674218484	2.039041316872464	0.3400333239765711
10	0.012215188386703298	0.2971451061949387	0.06806892920546898	0.2548783227540446	54.47862635549048	112.81054158093744	2.0078774697677506	0.37990734184554803
11	0.00854462301517713	0.2797771005735509	0.05908392582309547	0.24500945720961118	50.22489956246589	117.0794516775174	1.9753261605910823	0.4161292163937426
12	0.006958722666227091	0.2639917490722096	0.05163586279824922	0.23532189847841148	46.519819910043175	120.80008105134709	1.9439910876826447	0.4490501896511303
13	0.006210913944181953	0.2496253431972137	0.04541480100449051	0.22594622591385685	43.27127584633507	124.06347404069145	1.9147757561713796	0.4790133298844397
14	0.005800354151525147	0.23652845108150952	0.040180870465348933	0.21695985979572593	40.40545327870548	126.9431063451857	1.8878691271910597	0.5063305186574164
