	CC	Cn	Mp	Mt	P0	P1	P2	T0	T1	T2
0	0.0	1.8	0.1	0.1	0.0	0.4	0.0	0.0	0.4	0.0
1	0.16341274636967498	1.5868141498737443	0.05263078218377446	0.05263078218377446	0.023207090383979646	0.0484854624187483	0.04124739170305241	0.02320709038397965	0.04848546241874833	0.04124739170305244
2	0.21303219371883653	1.4419900034308428	0.06061951454057452	0.06061951454057452	0.016163249367305316	0.019020829890487968	0.021791370322770464	0.01616324936730532	0.019020829890487957	0.02179137032277048
3	0.22156248770001377	1.3275914808930545	0.08311223943342513	0.08311223943342513	0.019242045738040378	0.018371551981270606	0.021339962707781223	0.019242045738040375	0.0183715519812706	0.021339962707781223
4	0.2151039713081765	1.229079043626507	0.114104159532283	0.114104159532283	0.02604193489056951	0.023561550062951252	0.023076721762883733	0.026041934890569506	0.023561550062951252	0.023076721762883733
5	0.20357090324400584	1.1405641798345456	0.15481504100725665	0.15481504100725665	0.035465443975790524	0.03140600579617357	0.02570323335040964	0.035465443975790524	0.03140600579617357	0.025703233350409645
6	0.1907567472100241	1.059509029044621	0.20787491672229377	0.20787491672229377	0.047949820163125	0.04190401356679527	0.02944002772273011	0.047949820163125	0.04190401356679525	0.029440027722730112
7	0.17811279943760508	0.9846970121739317	0.27616114771281314	0.27616114771281314	0.06430119662989893	0.05570633877845998	0.034750662954506135	0.06430119662989892	0.05570633877845997	0.03475066295450613
8	0.16620783591618424	0.9154537569526754	0.36222999478037404	0.36222999478037404	0.08540677731726436	0.07360802288139372	0.04218847692199233	0.08540677731726432	0.07360802288139381	0.04218847692199223
9	0.15530555438748728	0.8513532329842177	0.4678008787237341	0.4678008787237341	0.11209808602977811	0.09638891375437876	0.05240025308989284	0.11209808602977807	0.09638891375437886	0.05240025308989299
10	0.1456105999845502	0.7921172027005096	0.5933710747973566	0.5933710747973566	0.14504393289896972	0.12471402710319009	0.0661463105607409	0.1450439328989698	0.12471402710318984	0.06614631056074022
11	0.13739778448890044	0.7375996231200259	0.7380881394647396	0.7380881394647396	0.18468445695089156	0.15907319140391613	0.08433215211051856	0.18468445695089164	0.15907319140391585	0.08433215211051838
12	0.13111693018328313	0.6878173380267266	0.8999236729409202	0.8999236729409202	0.231212648841153	0.19975942142675646	0.10804134612057649	0.2312126488411527	0.19975942142675718	0.10804134612057777
13	0.12751581539364382	0.6430217702972927	1.0760063339584025	1.0760063339584025	0.2846040535900609	0.24689981935676178	0.13856779943745598	0.28460405359006113	0.2468998193567624	0.13856779943745598
14	0.12780659624805946	0.6038174169751443	1.2630295797998699	1.2630295797998699	0.34466339356035103	0.3004909913220084	0.17741922964283385	0.34466339356035147	0.30049099132200635	0.177419229642848
15	0.13388637344733129	0.5713433798078811	1.4574820375381348	1.4574820375381348	0.41105789914707175	0.36044019865470717	0.22616630350466752	0.4110578991470717	0.36044019865470706	0.22616630350466052
16	0.14857139052584506	0.547520857806876	1.655798816685945	1.655798816685945	0.48331836413145757	0.42653655347205627	0.28622026587445965	0.4833183641314575	0.42653655347205577	0.2862202658744579
17	0.17571673166791932	0.5353439874598017	1.8542094845763362	1.8542094845763362	0.5607760044091482	0.4983824065421645	0.35825771892790204	0.5607760044091481	0.4983824065421642	0.3582577189279013
18	0.2200126947016845	0.5391194226851362	2.0482521176833894	2.0482521176833894	0.6423832842384951	0.5752292141214762	0.44168216406371436	0.642383284238495	0.575229214121476	0.44168216406371374
19	0.28621394275110346	0.564479012282756	2.23161063221746	2.23161063221746	0.7263069987158443	0.6557109651759381	0.5342103062646064	0.7263069987158441	0.6557109651759381	0.5342103062646062
20	0.37781395450037736	0.6179633742586826	2.3936746751163995	2.3936746751163995	0.8090489804317426	0.7373706715119702	0.6318959188648533	0.8090489804317427	0.7373706715119702	0.631895918864853
21	0.4954091170081508	0.7060566155232921	2.515217086436685	2.515217086436685	0.8837059074553688	0.815727298673664	0.7293891775618176	0.8837059074553689	0.8157272986736637	0.7293891775618186
22	0.6349714934788526	0.833681769819563	2.5642562635065387	2.5642562635065387	0.9374262907017645	0.8826153965550846	0.8198951880628041	0.9374262907017649	0.8826153965550838	0.8198951880628063
23	0.7858992131542895	1.002175091856738	2.5025615441264475	2.5025615441264475	0.9508409445567889	0.9244492943659578	0.8945409202200447	0.9508409445567889	0.9244492943659579	0.8945409202200463
24	0.9291368952172203	1.2067423700717657	2.3124388266061056	2.3124388266061056	0.9060083460812158	0.9236552082537355	0.9419164892954534	0.9060083460812157	0.9236552082537357	0.9419164892954559
25	1.0376235383297374	1.4338851533556851	2.016065524068609	2.016065524068609	0.8013875965093398	0.8668038352233235	0.9492659973266749	0.8013875965093397	0.8668038352233234	0.9492659973266764
26	1.0821700522477045	1.6604110092353266	1.656310853454747	1.656310853454747	0.65596454462445	0.7550357184388847	0.9053203543773111	0.6559645446244499	0.7550357184388846	0.9053203543773111
27	1.0425338776104307	1.8561014433147085	1.270799253009291	1.270799253009291	0.49660741181737666	0.6060321072048743	0.803062785584887	0.4966074118173767	0.6060321072048741	0.8030627855848874
28	0.9191828523135044	1.9907738826136463	0.8871344947746261	0.8871344947746261	0.34469176526805406	0.44462760776250815	0.6418511895353681	0.34469176526805406	0.444627607762508	0.6418511895353683
29	0.740616590092789	2.0443008615455978	0.5312858849093336	0.5312858849093336	0.21268533752875618	0.2913220499271454	0.43216517849428204	0.21268533752875618	0.2913220499271454	0.4321651784942819
30	0.5615427584480946	2.0165121810715543	0.24200776445325817	0.24200776445325817	0.1085817619612009	0.16023487011966084	0.21599900481554735	0.1085817619612009	0.16023487011966084	0.21599900481554726
31	0.4349450293554604	1.9305076784321253	0.07702446555654763	0.07702446555654763	0.041969309449284495	0.06803563347225082	0.08227329294309862	0.041969309449284516	0.06803563347225074	0.08227329294310036
32	0.3631829251900092	1.8178565567757128	0.033289069609943385	0.033289069609943385	0.015042609502850312	0.02493226445738408	0.03875753225669371	0.015042609502850333	0.024932264457384806	0.03875753225670159
33	0.32073449229955864	1.699019865341218	0.03270606708960834	0.03270606708960834	0.009352880004968353	0.012707832095875542	0.026855054008763923	0.009352880004968615	0.012707832095867766	0.026855054008964627
34	0.2914554035122615	1.58289506958641	0.04177584068265102	0.04177584068265102	0.010114188651575868	0.011320398160700301	0.023448168174978454	0.010114188651575694	0.01132039816069907	0.023448168174978076
35	0.2683056348071394	1.4727303595832182	0.05559340923616055	0.05559340923616055	0.012960984797596676	0.013148506907129428	0.022453143603021856	0.012960984797596763	0.013148506907127865	0.022453143603042108
36	0.24839604952938796	1.3694677102358355	0.07455805290995825	0.07455805290995825	0.017198065409067334	0.016485190298070117	0.022462670015587587	0.017198065409067338	0.016485190298069743	0.022462670015590644
37	0.23053437542542937	1.2731586470132292	0.10016857827464827	0.10016857827464827	0.0230223054670045	0.02124367181787053	0.02325763728568947	0.02302230546700451	0.021243671817870183	0.02325763728569429
38	0.2142075353487379	1.183529296965143	0.13448098210673293	0.13448098210673293	0.03090895421525647	0.027772434430940646	0.02493841853180583	0.030908954215256457	0.027772434430940837	0.024938418531803112
39	0.1991767139289024	1.1002030741607536	0.17999773183888146	0.17999773183888146	0.041499589862255125	0.036606874153723115	0.027739549603869335	0.04149958986225513	0.03660687415372292	0.02773954960387173
40	0.18532314775207545	1.0227879499124186	0.23949366945471232	0.23949366945471232	0.05557012492031639	0.048415986127711266	0.03199976863374539	0.0555701249203164	0.04841598612771124	0.031999768633745686
41	0.17259307590937617	0.9509136373108495	0.31567678163584884	0.31567678163584884	0.07398112954087886	0.06396061556356847	0.03816425718908556	0.07398112954087886	0.06396061556356847	0.038164257189085525
42	0.16098707989432337	0.8842510982919647	0.4107005405054016	0.4107005405054016	0.09759124841171433	0.08402549714104252	0.04679109355936893	0.09759124841171433	0.0840254971410425	0.04679109355936893
43	0.15057347554020717	0.8225310406731593	0.5256949133325338	0.5256949133325338	0.12715329328604374	0.10933139265668292	0.058559655798161574	0.12715329328604377	0.1093313926566829	0.05855965579816157
44	0.14151996269368478	0.7655686458809943	0.6604857991330757	0.6604857991330757	0.16322368422622152	0.14045426105890976	0.07428520075102388	0.16322368422622152	0.14045426105890976	0.07428520075102386
45	0.13414957421809942	0.7133013859441999	0.813609203538545	0.813609203538545	0.2061187751683005	0.17778403558875366	0.09494868591154892	0.2061187751683005	0.1777840355887537	0.09494868591154894
46	0.1290277978655286	0.6658513218663168	0.9825788751680954	0.9825788751680954	0.2559197884233836	0.2215257931538972	0.12173011923846494	0.2559197884233836	0.2215257931538972	0.12173011923846504
47	0.12709684373450367	0.6236225518892096	1.1642649906587066	1.1642649906587066	0.31251282714586215	0.27173765625159996	0.15602576852571073	0.31251282714586215	0.2717376562515999	0.15602576852571082
48	0.12986498898081728	0.5874490518215657	1.3552330080754642	1.3552330080754642	0.3756326628377997	0.32836997850861005	0.1994013894307577	0.3756326628377998	0.3283699785086101	0.19940138943075775
49	0.13964026417897807	0.5588082825560763	1.5519461421866054	1.5519461421866054	0.444883964105864	0.3912774774391251	0.2534012121891371	0.44488396410586395	0.39127747743912517	0.2534012121891369
50	0.15973314221928234	0.5400972661371877	1.7507728350059402	1.7507728350059402	0.5197149658267205	0.46017479104222264	0.3191485478121849	0.5197149658267206	0.46017479104222253	0.31914854781218466
51	0.19445435141509992	0.5349160335013333	1.9477021715348262	1.9477021715348262	0.599308199214196	0.5345216369350307	0.39679143697278535	0.5993081992141961	0.5345216369350305	0.396791436972783
52	0.24865558508257782	0.5482246057608512	2.13759011205734	2.13759011205734	0.6823120244602872	0.6133160292551472	0.4849412474184297	0.6823120244602872	0.6133160292551472	0.48494124741843053
53	0.32668073226065647	0.5861709800288346	2.3124804639628698	2.3124804639628698	0.7662496052780681	0.694749650298889	0.5805068116383513	0.7662496052780681	0.6947496502988911	0.5805068116383973
54	0.43084694198313145	0.6554214579346694	2.458287359114109	2.458287359114109	0.8462773816542445	0.7755553373222219	0.67883308567618	0.8462773816542449	0.7755553373222258	0.6788330856762096
55	0.5597669996110686	0.7619316008545459	2.549933501879353	2.549933501879353	0.9129702159767302	0.8497416423438916	0.7739286126164469	0.9129702159767304	0.8497416423438949	0.7739286126164684
56	0.7065348761811877	0.9091962550313871	2.550371213789413	2.550371213789413	0.9500758196526751	0.9066901753836804	0.8581088301795956	0.9500758196526753	0.9066901753836828	0.858108830179612
57	0.8566845971941768	1.095964153923214	2.427101541409644	2.427101541409644	0.9372208057596972	0.930356374522548	0.9212759172290005	0.9372208057596972	0.9303563745225499	0.9212759172290135
58	0.9870073423822446	1.3135592351742917	2.1814287206577294	2.1814287206577294	0.8626205106239296	0.9037562698489686	0.9510961921120596	0.8626205106239301	0.9037562698489701	0.9510961921120701
59	1.0683097832552697	1.5437954941852277	1.8494197528070062	1.8494197528070062	0.735276694410737	0.8194145233588915	0.9351347865137384	0.7352766944107372	0.8194145233588926	0.9351347865137469
60	1.0741237114519748	1.7595164377534136	1.4734220149434214	1.4734220149434214	0.5799964247176286	0.6869212906801747	0.8638644720003273	0.5799964247176285	0.6869212906801755	0.8638644720003341
61	0.9928103929529278	1.9294084495785266	1.085747529696366	1.085747529696366	0.4221313224821533	0.5289778827462067	0.7330384649124503	0.4221313224821533	0.5289778827462073	0.7330384649124553
62	0.837733313008268	2.0267677391203884	0.7117755228781792	0.7117755228781792	0.27861807779603565	0.36940644681964036	0.5462344126587961	0.2786180777960357	0.36940644681964085	0.5462344126587995
63	0.651062069844882	2.0399399088177557	0.3814522794810707	0.3814522794810707	0.15895592235303074	0.22506763475192962	0.32477895541392077	0.15895592235303083	0.22506763475192987	0.32477895541392254
64	0.49286086645359073	1.9803426684037677	0.14475705782829226	0.14475705782829226	0.07145729212555825	0.11011338207806838	0.13738471445376133	0.07145729212555833	0.11011338207806837	0.137384714453762
65	0.39538362372228847	1.878122594654848	0.046127269767766564	0.046127269767766564	0.0250125919713368	0.04193001205116577	0.05460509201410228	0.02501259197133682	0.04193001205116583	0.054605092014104274
