	CC	CCPT	CLK	PDP	PER	PT	TIM	VRI	clkm	clkp	pdpm	pdpp	perm	perp	prcpdp	prcper	prct	prcv	prpc	prvc	timm	timp	vrim	vrip
12	0.36707047634231066	0.5603404862316358	3.5024818455147884	3.9761202100220703	3.222684933918501	0.6826240589714058	3.222684933918502	4.622683066082324	0.23455783995756346	0.003185	0.35515254104623917	0.003185	0.3270036082834384	0.003185	0.40931815290375206	0.3104912330491351	0.3104912330491351	0.37526325319696935	0.3554331260879211	0.5733392398901662	0.32700360828343844	0.003185	0.4028482178577008	0.003185
13	0.15493743741597843	0.5137622492445807	3.284169732470299	4.009908186133448	3.534393286626259	1.4866562248170545	3.5343932866262615	4.786475272029543	0.22883892703294653	0.003185	0.36108598418312443	0.003185	0.3349543280740548	0.003185	0.37481858118557543	0.2646778637339546	0.2646778637339546	0.31762308874455836	0.34806739478468934	0.5823664086550071	0.33495432807405484	0.003185	0.41383832673110216	0.003185
14	0.09029908086266494	0.491235677707902	3.1579770694784037	4.047225386067585	3.880379641573252	2.4431057430974716	3.880379641573255	4.918750694093335	0.22373070775664658	0.003185	0.3663311299545261	0.003185	0.34102348304413505	0.003185	0.3408337968076122	0.22315344771475845	0.22315344771475845	0.26575166473047973	0.34226242197874573	0.5895186843307268	0.3410234830441351	0.003185	0.421657189218795	0.003185
15	0.06317292655321134	0.47765735096967005	3.073498281179326	4.086769535383418	4.196302744472017	3.3976187493298573	4.19630274447202	5.015333615513973	0.219376343477802	0.003185	0.37081427849248366	0.003185	0.3451383461606351	0.003185	0.3091858554580354	0.18747632329303143	0.18747632329303143	0.22154441701433455	0.33808161597879166	0.5947222625996187	0.34513834616063516	0.003185	0.42624434539376405	0.003185
16	0.04909428386672332	0.4678572439885747	3.0108058763489587	4.127297383976378	4.4665216514572466	4.283764486993642	4.466521651457249	5.074944082780238	0.21587187502958408	0.003185	0.37447879394245326	0.003185	0.3473399891229825	0.003185	0.28018849939746626	0.15731669667620352	0.15731669667620352	0.18449300260214085	0.3355192946008971	0.5979919927727488	0.34733998912298253	0.003185	0.42774128503017655	0.003185
17	0.04089197326210268	0.4605697481960899	2.9641118320688493	4.167631600389358	4.6880706557022185	5.063999012388342	4.688070655702221	5.098576302914514	0.21326849655375815	0.003185	0.3772833408417876	0.003185	0.3477444928906797	0.003185	0.2537972207536052	0.13199651420527392	0.13199651420527392	0.1536604027984888	0.33450568298054917	0.5994177423842387	0.34774449289067977	0.003185	0.42641354698132766	0.003185
18	0.03584717294334883	0.4554484942026978	2.931633827412679	4.206676454035765	4.861325350891654	5.714282220966842	4.861325350891657	5.088828462197449	0.2115757752948498	0.003185	0.37920271554492013	0.003185	0.34651640668819106	0.003185	0.22986195442764562	0.11081814269197092	0.11081814269197092	0.12810285441725106	0.3349235292866123	0.5991417616005968	0.3465164066881911	0.003185	0.42259717566699745	0.003185
19	0.03271889896893839	0.4523571746571957	2.9124512038731583	4.2434395668896565	4.98778317846934	6.21973333170217	4.987783178469343	5.049236300563006	0.21076910851004635	0.003185	0.38022793033311447	0.003185	0.3438447953869597	0.003185	0.2082042910470059	0.09315328213842401	0.09315328213842401	0.10698129630493605	0.33662864594479985	0.5973339755040263	0.3438447953869598	0.003185	0.41665399128431513	0.003185
20	0.030887317277237706	0.45116300169618273	2.9056901233806136	4.27702301386633	5.069448539128168	6.572739898712363	5.069448539128173	4.983857555812426	0.2107976308163473	0.003185	0.3803654704488108	0.003185	0.33993073279680047	0.003185	0.1886403797476314	0.07844856723349838	0.07844856723349838	0.08956466857242101	0.33946240213994605	0.5941778720690273	0.3399307327968005	0.003185	0.4089507508146343	0.003185
21	0.03002212673846571	0.45172088859202975	2.9103669846522573	4.306650411872179	5.10861552383553	6.772058231703932	5.1086155238355335	4.896842439717789	0.21159271940081822	0.003185	0.3796360444077236	0.003185	0.33497125719243653	0.003185	0.17099547671040802	0.06623709297616195	0.06623709297616195	0.07524249559772543	0.3432649509750957	0.5898558138218493	0.3349712571924366	0.003185	0.3998327175693437	0.003185
22	0.02995124966826246	0.4538595968790204	2.9253703228446986	4.331655664359011	5.10776048874365	6.821676841494369	5.1077604887436525	4.792262450854207	0.21307405226993087	0.003185	0.3780732804801295	0.003185	0.3291556765042407	0.003185	0.1551051021935016	0.05612080506065806	0.05612080506065806	0.0634995309589296	0.34787925045654916	0.5845451333884741	0.32915567650424077	0.003185	0.3896202054255438	0.003185
23	0.03060222028352423	0.45739787475291543	2.949533734333034	4.351499447260295	5.069408298462248	6.729713185702028	5.069408298462249	4.673873707264516	0.21515680765597348	0.003185	0.3757211888669208	0.003185	0.32265687629323997	0.003185	0.1408206855356352	0.04777071477430367	0.04777071477430367	0.05391432359442703	0.3531583156928988	0.5784103054830513	0.32265687629324	0.003185	0.3785964885213617	0.003185
24	0.03197879034462713	0.46213787830596037	2.9816581084800666	4.365756131428863	4.99612495216186	6.507618403892711	4.996124952161861	4.545122907443594	0.21775389923750021	0.003185	0.3726333309502325	0.003185	0.315633259751596	0.003185	0.12800701860504712	0.0409106891481217	0.0409106891481217	0.046137020639833826	0.3589637584940187	0.5716052351811916	0.31563325975159606	0.003185	0.36701339477771416	0.003185
25	0.03415678112305115	0.4678894254112398	3.0205800016149915	4.374122029912945	4.890421843545724	6.16915214240151	4.8904218435457265	4.409044431178357	0.22078046239491753	0.003185	0.36887033428913246	0.003185	0.3082250441407218	0.003185	0.11654593068292105	0.035316738064028644	0.035316738064028644	0.03988744722882296	0.36516921311434203	0.5642696562782431	0.3082250441407219	0.003185	0.35508738348455987	0.003185
26	0.037296453902235426	0.47445881135133	3.0651965852956793	4.376404195273007	4.7547206963053394	5.729618500682757	4.754720696305343	4.268298601613254	0.22415522384369024	0.003185	0.36449848089303793	0.003185	0.30055662190031535	0.003185	0.10633599959935584	0.030808167108881124	0.030808167108881124	0.03494304647153679	0.3716591291523602	0.5565309516981504	0.3005566219003154	0.003185	0.343005376359741	0.003185
27	0.041677376713176936	0.4816543328348537	3.114498207478074	4.3725199118119065	4.591349740795516	5.205306638713685	4.591349740795519	4.12518368378803	0.22780176750710218	0.003185	0.3595888932347765	0.003185	0.2927375954766575	0.003185	0.09729532847630729	0.027246156919882553	0.027246156919882553	0.03113687502869785	0.37832857178694673	0.548504682367485	0.29273759547665756	0.003185	0.3309277662680524	0.003185
