	ACA	ADP	AMP	ATP	BPG	EtOH	F6P	FBP	GAP	Glc	NAD	NADH	PEP	Pyr
0	0.05810046605521446	0.10718746736849784	0.0025614125239123257	4.49164416736031	0.33675912518966494	5.059871067564774	0.6311621914126021	0.009711520097081138	0.0024864771193611607	0.011281750808213245	3.597882610869726	0.6392667243123483	0.0023735511245501413	0.004756870587410041
1	0.05355128302836955	0.10587839719972537	0.0024935151252761067	4.4930186296980485	0.31319898131548074	5.1085087880334745	0.6498651533391971	0.007565661335091123	0.0018996238374967655	0.011281646965366713	3.626598568372858	0.6105558933905794	0.0021946902241588174	0.004329329956582831
2	0.05200462020158462	0.11128745218518399	0.002755022325247629	4.487345566788302	0.28969033389858134	5.1509834274752775	0.6651142415747269	0.008292263235910279	0.002034639725904678	0.011281834185435073	3.651905960374955	0.5852536187503046	0.0020654837149484844	0.0042066833663135855
3	0.052821835554656645	0.12120562533004134	0.0032734108588954344	4.476906508882738	0.27179115277391497	5.19095183818943	0.6738166502572223	0.011268446402440747	0.0027133827889165452	0.011282216053224513	3.668947168098194	0.5682175191859171	0.001999246162486184	0.004313907214844963
4	0.055572245890228966	0.13444184748219776	0.004038922390533675	4.462902283461053	0.26456588319532187	5.231591559500754	0.6723543384276811	0.01689591309671095	0.003996589291438199	0.011282745252638456	3.673033138498172	0.5641366477583749	0.002024019698377386	0.004678250359233548
5	0.06022520028005089	0.1488683358331155	0.004971403459877451	4.447540826784	0.2733961101461111	5.276383000771421	0.6570085175645115	0.025489045850138916	0.005926246892259181	0.011283349243148057	3.6586941355123206	0.578480740546769	0.0021780619361328394	0.005380257194218265
6	0.06627930308239899	0.15764251960246276	0.005597440342863631	4.438138123347906	0.3003117848797412	5.329506015921057	0.6296721965973975	0.03393272883129592	0.007841555608578419	0.011283777303532586	3.62451287927058	0.6126670774376431	0.0024527864530759598	0.006317238401532229
7	0.07047171148051376	0.1493498696236689	0.005030956303928423	4.446994779046856	0.33413061367203983	5.393241869636228	0.6075759285516787	0.032921470970422105	0.0078078850935881785	0.011283543497193274	3.585851914025436	0.651333114194986	0.0026762479961018586	0.006743731523472667
8	0.0681480466262985	0.12746661528802622	0.0036503546379979116	4.470256161186619	0.3518261968085485	5.461702708115802	0.6076008151196508	0.021600746750843072	0.005384697081923049	0.011282669309644153	3.571195773530347	0.6659943170817597	0.002650266208558892	0.006054161726514001
9	0.061311755151663656	0.1107748109118688	0.002740989379065813	4.487854861408842	0.34495281104600717	5.523855139119796	0.6228968823893157	0.012026193205386303	0.0030814678521430164	0.011281926460293617	3.5860755427566042	0.6511196011430782	0.002462480572374917	0.005072081169519347
