time	ADP	ATP	BPG	P3G	pep	phos	pyr
0.0.	0.5	9.5	0.0	5.0	4.61	0.485	0.0
0.0.5.0	0.00044730246170100003	9.999552697538295	0.041631219464314	4.958368780535688	4.060362003358889	0.493454079638495	0.54963799664111
1.0.	0.000404569431647	9.999595430568355	0.064382033166807	4.935617966833195	4.017652220114228	0.513370316150606	0.592347779885768
1.0.5.0	0.000385255583651	9.99961474441635	0.077394632980365	4.922605367019638	3.9783023078816493	0.539688314721633	0.631697692118349
2.0.	0.000376326603302	9.999623673396703	0.08499962488726401	4.915000375112739	3.940667801185402	0.5697089005306331	0.669332198814597
2.0.5.0	0.000372703068975	9.99962729693103	0.089492293081136	4.910507706918867	3.903975117724432	0.601905292263406	0.706024882275568
3.0.	0.000372008886259	9.999627991113744	0.09216164184912001	4.907838358150883	3.867819568698245	0.635390798338893	0.742180431301754
3.0.5.0	0.00037301167414400003	9.999626988325863	0.09375257653011501	4.906247423469888	3.831976984172405	0.669643450971622	0.778023015827594
4.0.	0.000375032314648	9.999624967685358	0.09470223523484801	4.9052977647651534	3.796319104540292	0.7043536925395071	0.813680895459708
4.0.5.0	0.00037768297842400003	9.999622317021585	0.09526936950385001	4.904730630496151	3.760771156036559	0.7393371574380141	0.8492288439634411
5.0.	0.000380737612839	9.999619262387172	0.095607903799845	4.904392096200152	3.725289064796667	0.7744837690163241	0.8847109352033321
5.0.5.0	0.00038406305104800005	9.999615936948963	0.09580967063807601	4.9041903293619225	3.689846684751573	0.809727707661396	0.920153315248426
6.0.	0.00038758057181300005	9.9996124194282	0.095929552138937	4.904070447861061	3.654428447871877	0.8450295805609951	0.9555715521281211
6.0.5.0	0.00039124378186600005	9.99960875621815	0.09600038094884701	4.90399961905115	3.619025066377289	0.8803657964557251	0.990974933622709
7.0.	0.00039502564379600004	9.999604974356222	0.09604181055713001	4.903958189442866	3.58363099506005	0.9157222200266111	1.026369004939947
7.0.5.0	0.00039891077789100003	9.999601089222127	0.09606560947737401	4.903934390522621	3.54824292408125	0.951090377219262	1.061757075918749
8.0.	0.00040289086128000005	9.999597109138735	0.09607882596221101	4.9039211740377855	3.512858880638133	0.9864651842609311	1.097141119361864
8.0.5.0	0.00040696186686	9.99959303813316	0.09608568154053601	4.903914318459462	3.477477692404052	1.021843587922266	1.132522307595945
9.0.	0.00041112240271400004	9.999588877597311	0.096088704601857	4.90391129539814	3.442098666647385	1.0572237511534661	1.167901333352612
9.0.5.0	0.000415372712687	9.99958462728734	0.09608940925143401	4.903910590748562	3.406721398193247	1.092604565268001	1.203278601806749
10.0.	0.00041971407526	9.999580285924772	0.09608870192693	4.9039112980730675	3.371345654447488	1.127985357700837	1.238654345552509
10.0.5.0	0.00042414844280500003	9.999575851557227	0.09608712497895601	4.903912875021042	3.335971306546398	1.163365716917445	1.274028693453598
11.0.	0.000428678226161	9.999571321773873	0.096085002595404	4.903914997404594	3.300598288127416	1.198745387503333	1.309401711872579
11.0.5.0	0.000433306167154	9.999566693832882	0.09608252822457701	4.903917471775424	3.265226570644505	1.234124207298065	1.34477342935549
12.0.	0.00043803526447200005	9.999561964735564	0.09607981695070801	4.903920183049293	3.229856148595548	1.269502069718208	1.380143851404448
12.0.5.0	0.00044286873198	9.999557131268059	0.09607693687188801	4.903923063128113	3.194487030689074	1.3048789011710111	1.415512969310923
13.0.	0.00044780997688100005	9.99955219002316	0.09607392789767001	4.9039260721023314	3.159119234570498	1.340254647508707	1.450880765429498
13.0.5.0	0.00045286259009500005	9.999547137409944	0.09607081300926901	4.903929186990731	3.123752783682192	1.375629265898626	1.486247216317803
14.0.	0.00045803034428200005	9.999541969655759	0.09606760500370501	4.903932394996295	3.088387705403266	1.411002719937304	1.521612294596729
14.0.5.0	0.000463317196763	9.999536682803274	0.09606431053203801	4.903935689467963	3.053024029957383	1.446374976707335	1.556975970042613
15.0.	0.00046872729568900003	9.999531272704347	0.09606093251625801	4.903939067483744	3.017661789782154	1.4817460049972682	1.592338210217839
15.0.5.0	0.00047426498848700006	9.999525735011547	0.096057471594578	4.903942528405421	2.982301019176558	1.51711577421734	1.6276989808234341
16.0.	0.00047993483203900004	9.999520065168	0.096053926984418	4.903946073015581	2.946941754116526	1.552484253731085	1.6630582458834682
16.0.5.0	0.000485741604259	9.99951425839578	0.096050296996309	4.903949703003689	2.911584032172983	1.587851412434956	1.6984159678270099
17.0.	0.000491690316944	9.999508309683096	0.096046579338421	4.903953420661577	2.876227892493133	1.6232172184853781	1.73377210750686
17.0.5.0	0.000497786229807	9.999502213770233	0.09604277129540101	4.903957228704596	2.840873375821576	1.6585816391128172	1.769126624178416
18.0.	0.000504034865725	9.999495965134313	0.096038869831642	4.903961130168355	2.805520524547446	1.6939446404866252	1.804479475452547
18.0.5.0	0.000510442027229	9.99948955797281	0.09603487164899001	4.903965128351008	2.770169382769417	1.7293061876088092	1.839830617230576
19.0.	0.0005170138143090001	9.999482986185729	0.096030773216824	4.903969226783174	2.734819996373918	1.7646662442235561	1.8751800036260762
19.0.5.0	0.000523756643645	9.999476243356392	0.09602657078525301	4.903973429214744	2.6994724131239183	1.800024772734462	1.910527586876076
20.0.	0.000530677269369	9.999469322730668	0.09602226038781501	4.903977739612181	2.664126682756991	1.835381734124551	1.945873317243004
20.0.5.0	0.0005377828054910001	9.999462217194546	0.09601783783747601	4.90398216216252	2.628782857092049	1.870737087875953	1.9812171429079442
21.0.	0.000545080750151	9.999454919249885	0.096013298718159	4.903986701281838	2.593440990144733	1.9060907918872472	2.016559009855261
21.0.5.0	0.000552579011861	9.99944742098818	0.096008638373115	4.903991361626882	2.558101138251667	1.9414428023870651	2.051898861748327
22.0.	0.000560285937922	9.999439714062115	0.096003851890854	4.903996148109144	2.5227633602041	1.9767930738429542	2.087236639795894
