	species_0000001	species_0000002	species_0000006	species_0000007	species_0000008	species_0000009	species_0000011	species_0000016	species_0000017
0	0.0	5e-06	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05
1	4.122423494334612e-11	5e-06	9.711944693092418e-10	4.094801096836963e-09	1.0320267023930277e-23	5.854521292840501e-08	9.691919044230162e-13	1e-05	1e-05
2	4.122423997635142e-11	5e-06	9.711927378153757e-10	8.098671666823268e-09	-4.096332842603912e-22	1.3149562381449763e-07	1.903424948898185e-12	1e-05	1e-05
3	4.12242359159946e-11	5e-06	9.711951067882393e-10	1.1962905592967349e-08	1.932497116955043e-22	2.0185130258728165e-07	2.8050846594135002e-12	1e-05	1e-05
4	4.12242390333919e-11	5e-06	9.711940329685144e-10	1.564421678922868e-08	-8.216363863262597e-23	2.7037321543789805e-07	3.664055121493051e-12	1e-05	1e-05
5	4.122423778728732e-11	5e-06	9.71194809195983e-10	1.910920595847397e-08	1.1328639519120868e-22	3.350156394456386e-07	4.472554388506129e-12	1e-05	1e-05
6	4.122423883592074e-11	5e-06	9.711943670299946e-10	2.2334696349269245e-08	4.0618305859160036e-25	3.95543176672271e-07	5.225168058697963e-12	1e-05	1e-05
7	4.1224237994815476e-11	5e-06	9.711946416169913e-10	2.530724533408495e-08	7.176347651019501e-23	4.514761481851165e-07	5.9187636113196324e-12	1e-05	1e-05
8	4.1224237860830214e-11	5e-06	9.711944597816134e-10	2.802206715002036e-08	2.8463143880984547e-23	5.027191931199518e-07	6.552221873967794e-12	1e-05	1e-05
9	4.122423690994491e-11	5e-06	9.711945476979808e-10	3.048161471294095e-08	5.522281243740448e-23	5.492562271466198e-07	7.1261167255342485e-12	1e-05	1e-05
10	4.1224236167185684e-11	5e-06	9.71194462613313e-10	3.26940368206793e-08	3.8820586388872983e-23	5.912131894226783e-07	7.642348605432679e-12	1e-05	1e-05
11	4.1224235092756534e-11	5e-06	9.711944788532704e-10	3.4671674478569065e-08	4.8911347654813816e-23	6.287918769109112e-07	8.103797658066201e-12	1e-05	1e-05
12	4.122423410127922e-11	5e-06	9.711944299900028e-10	3.64297032001866e-08	4.271369259295811e-23	6.622570252157302e-07	8.514004478331949e-12	1e-05	1e-05
13	4.12242330090401e-11	5e-06	9.711944199252972e-10	3.798497832887851e-08	4.6523058693182496e-23	6.919088879717102e-07	8.87690219721626e-12	1e-05	1e-05
14	4.1224231986270916e-11	5e-06	9.711943862093358e-10	3.9355102218675204e-08	4.418242321554455e-23	7.180668040320723e-07	9.19659789559292e-12	1e-05	1e-05
15	4.122423097199459e-11	5e-06	9.711943682224334e-10	4.055770630395333e-08	4.562082161310538e-23	7.410542263697901e-07	9.477205657414996e-12	1e-05	1e-05
16	4.1224230034788586e-11	5e-06	9.711943425140622e-10	4.1609925858372924e-08	4.4736935266479497e-23	7.611883499968057e-07	9.72272366279364e-12	1e-05	1e-05
17	4.122422915288725e-11	5e-06	9.71194323965427e-10	4.25280381048795e-08	4.5280091834057607e-23	7.787725277833056e-07	9.936949962272971e-12	1e-05	1e-05
18	4.1224228351301194e-11	5e-06	9.711943037119994e-10	4.332723268511704e-08	4.494631924343221e-23	7.940914000251788e-07	1.0123428787227695e-11	1e-05	1e-05
19	4.122422761949595e-11	5e-06	9.711942873114528e-10	4.40214852201868e-08	4.5151423241607124e-23	8.074080147380695e-07	1.0285421128630988e-11	1e-05	1e-05
20	4.1224226963716936e-11	5e-06	9.711942713454335e-10	4.4623508183992244e-08	4.502538447851105e-23	8.189625174002875e-07	1.0425893224126223e-11	1e-05	1e-05
21	4.122422690589668e-11	5e-06	9.711942701754153e-10	4.514484389933948e-08	4.5073372007425087e-23	8.289797613984754e-07	1.0547538288942396e-11	1e-05	1e-05
22	4.1224226322375825e-11	5e-06	9.711942564320608e-10	4.559561232402867e-08	4.5073339197723235e-23	8.376404128877851e-07	1.0652717642727464e-11	1e-05	1e-05
23	4.1224225800482444e-11	5e-06	9.71194244136435e-10	4.598494165107555e-08	4.507335497959943e-23	8.451224520414597e-07	1.0743561199983888e-11	1e-05	1e-05
24	4.122422534244419e-11	5e-06	9.7119423334515e-10	4.632087532094167e-08	4.507335447425604e-23	8.515802581614943e-07	1.0821945764329943e-11	1e-05	1e-05
25	4.122422494079536e-11	5e-06	9.711942238823859e-10	4.661049417655984e-08	4.5073353766869714e-23	8.571492561442499e-07	1.088952353319628e-11	1e-05	1e-05
26	4.1224224589908936e-11	5e-06	9.71194215615563e-10	4.6860003691154786e-08	4.5073353173519604e-23	8.61948156182014e-07	1.0947742451014305e-11	1e-05	1e-05
27	4.1224224284156014e-11	5e-06	9.711942084120713e-10	4.707482560554116e-08	4.507335263646823e-23	8.660807568061409e-07	1.099786759124846e-11	1e-05	1e-05
28	4.122422401834628e-11	5e-06	9.711942021496302e-10	4.7259683959333306e-08	4.5073352161379865e-23	8.696375751281567e-07	1.104100123034969e-11	1e-05	1e-05
29	4.122422378771026e-11	5e-06	9.711941967158733e-10	4.74186854529122e-08	4.507335174181324e-23	8.726973584192671e-07	1.1078101598885452e-11	1e-05	1e-05
30	4.122422358792601e-11	5e-06	9.711941920089778e-10	4.755539315119137e-08	4.507335137311244e-23	8.753284738684502e-07	1.1110000079090289e-11	1e-05	1e-05
31	4.1224223415111823e-11	5e-06	9.71194187937492e-10	4.7672893315089204e-08	4.5073351050229066e-23	8.775901727412746e-07	1.1137416798881379e-11	1e-05	1e-05
32	4.122422326580785e-11	5e-06	9.71194184419903e-10	4.777385542261928e-08	4.507335076833938e-23	8.795337290544982e-07	1.1160974636784897e-11	1e-05	1e-05
33	4.1224223136949194e-11	5e-06	9.711941813840033e-10	4.786058566516618e-08	4.5073350522875076e-23	8.812034569548641e-07	1.1181211704405454e-11	1e-05	1e-05
34	4.122422302583458e-11	5e-06	9.711941787661508e-10	4.793507433293052e-08	4.5073350309596454e-23	8.826376137118019e-07	1.1198592403034657e-11	1e-05	1e-05
35	4.1224222930093185e-11	5e-06	9.711941765104898e-10	4.7999037574169145e-08	4.507335012463193e-23	8.838691968309318e-07	1.1213517167478202e-11	1e-05	1e-05
36	4.1224222847651544e-11	5e-06	9.711941745681699e-10	4.8053954041343096e-08	4.5073349964478366e-23	8.849266445434737e-07	1.1226331016827692e-11	1e-05	1e-05
37	4.122422277670153e-11	5e-06	9.711941728965913e-10	4.810109693753777e-08	4.507334982599396e-23	8.858344490862349e-07	1.1237331031962246e-11	1e-05	1e-05
38	4.1224222715670354e-11	5e-06	9.711941714587e-10	4.814156195835104e-08	4.507334970638911e-23	8.866136919551458e-07	1.124677287532557e-11	1e-05	1e-05
39	4.122422266319271e-11	5e-06	9.711941702223292e-10	4.8176291594979776e-08	4.5073349603189113e-23	8.872825098373507e-07	1.125487646164897e-11	1e-05	1e-05
40	4.122422261808558e-11	5e-06	9.711941691596072e-10	4.820609622852399e-08	4.507334951422191e-23	8.878564993065057e-07	1.1261830879958144e-11	1e-05	1e-05
