	I	Ip	S	Sp
0	149400.0	16600.0	667200.0	166800.0
1	141142.52943805812	16173.940459232927	658367.7074312055	168984.02601102882
2	133445.19866729813	15751.567256141525	651663.941238998	171185.0131596628
3	126313.69943979614	15329.194852001161	646987.5643419806	173406.52701431332
4	119712.61286891792	14904.982417289362	644099.7671417914	175649.6397248121
5	113606.2449995577	14478.95926561829	642792.554233053	177913.84560214967
6	107958.5876249642	14052.308622263754	642879.6595029664	180197.33991544746
7	102734.49315319149	13626.744911656306	644193.8684267302	182497.44712127454
8	97900.16888823952	13204.22639949871	646585.238026486	184810.82781916895
9	93423.58047463653	12786.715387195716	649919.4002834518	187133.6997008752
10	89274.68612426131	12376.046104795554	654075.9956534804	189462.01306183595
11	85425.55444673398	11973.841649489177	658947.2527361416	191791.59603813465
12	81850.39243237709	11581.474446821852	664436.7014856146	194118.27067120065
13	78525.51039589304	11200.053795920152	670458.012807123	196437.94360370116
14	75429.24285636106	10830.432197335094	676933.955362208	198746.67498878852
15	72541.84098684603	10473.22308863139	683795.4596753529	201040.7290036224
16	69845.34824929877	10128.825103475481	690980.7796600672	203316.60908436787
17	67323.46791896691	9797.449281948087	698434.742043517	205571.08067651623
18	64961.428756546076	9479.146846874133	706108.0747373123	207801.18394559465
19	62745.853208355235	9173.835977639232	713956.8058841074	210004.23855061806
20	60664.63105832956	8881.326630420723	721941.7260359203	212177.84225934418
21	58706.8003628025	8601.342887895255	730027.9066446173	214319.86488990998
22	56862.4366912112	8333.542625850183	738184.2687405043	216428.43880183858
23	55122.5503180003	8077.534867274296	746383.1898949593	218501.94652406918
24	53478.99432034835	7832.893438604782	754600.1675520609	220539.00778746256
25	51924.38120567717	7599.168456362716	762813.5201441564	222538.46561954755
26	50452.002468136525	7375.898374830618	771004.0763670903	224499.36924810417
27	49055.762161831204	7162.616484853296	779154.9402500673	226420.9599590773
28	47730.11415501489	6958.857676135198	787251.2638855671	228302.6556881075
29	46470.006843086296	6764.163333063364	795280.0436173922	230144.0363575076
30	45270.83338940394	6578.085209727386	803229.9366221082	231944.82961632963
31	44128.38722912718	6400.188290440386	811091.0955585769	233704.89724716468
32	43038.8223332755	6230.052844778882	818855.0193727572	235424.22228302417
33	41998.61770772228	6067.275826248489	826514.4186207425	237102.89687401333
34	41004.5456762607	5911.471739496433	834063.0938300136	238741.1109245152
35	40053.64354147066	5762.27308458557	841495.8255766123	240339.14150144332
36	39143.188252999724	5619.33046866788	848808.2751027698	241897.3430017065
37	38270.67375089439	5482.312460010756	855996.8944261437	243416.13805767146
38	37433.79068729495	5350.905246213267	863058.8450033002	244896.00915259568
39	36630.40826202248	5224.8121471216855	869991.9241092071	246337.49091346533
40	35858.55793688956	5103.753023359096	876794.498182334	247741.16304583
41	35116.41882005235	4987.463613336865	883465.442462817	249107.64387367596
42	34402.304535454496	4875.6948249060915	890004.0863202937	250437.58444682942
43	33714.6514135875	4768.212002253027	896410.1637294994	251731.66317858108
44	33052.00785862184	4664.794184076673	902683.7684064327	252990.58097697693
45	32413.024763661335	4565.233365357394	908825.3131666665	254215.0568343721
46	31796.446860648244	4469.333771998642	914835.4931108798	255405.8238412743
47	31201.104904500407	4376.911155183476	920715.2522815353	256563.62559211574
48	30625.90860258144	4287.792110333501	926465.7534693766	257689.21295231392
49	30069.840210763465	4201.813424004868	932088.3508795088	258783.34115775707
50	29531.94872629596	4118.821450831926	937584.5653946974	259846.76721963595
51	29011.344615585156	4038.671521673613	942956.0621985216	260880.24760930878
52	28507.195021942738	3961.227383380077	948204.6305434661	261884.53619960806
53	28018.7194044928	3886.3606700355517	953332.1654692203	262860.3824406593
54	27545.185564831718	3813.9504051134795	958340.6512946136	263808.5297498715
55	27085.90602280487	3743.882533672865	963232.1467229773	264729.7140972711
56	26640.234706974486	3676.049483507589	968008.7714154696	265624.66276877944
57	26207.563929072516	3610.3497540138605	972672.6939002137	266494.0932913801
58	25787.32161502077	3546.6875314498348	977226.120697121	267338.7125053812
59	25378.968768010654	3484.972329213096	981671.2865491386	268159.21577015857
60	24981.9971417118	3425.1186517462966	986010.4456604973	268956.286290862
61	24595.927103963557	3367.045680690594	990245.8638514404	269730.594554589
62	24220.30567333059	3310.6769819343235	994379.8115469833	270482.79786547757
63	23854.704973540916	3255.940324950337	998414.5572360143	271213.53986648994
64	23498.7201989025	3202.7672753659754	1002352.3622492069	271923.4503876308
65	23151.96755879514	3151.0927885386673	1006195.4764415111	272613.1454287864
66	22814.08402462026	3100.855450346416	1009946.1327139278	273283.22655040387
67	22484.72544333244	3051.9970033972077	1013606.543646641	273934.2809973473
68	22163.565379226286	3004.4621845632223	1017178.89809778	274566.88163145026
69	21850.293996728942	2958.1985445684036	1020665.3582572686	275181.5869295188
70	21544.617024714775	2913.156280177444	1024068.0570915961	275778.9410225357
71	21246.25479677037	2869.288077420747	1027389.0961409744	276359.4737712744
72	20954.941360853074	2826.548965134543	1030630.5436360799	276923.70087403845
73	20670.42365263751	2784.8961781065036	1033794.432904238	277472.12400263955
74	20392.460727357495	2744.2890291636095	1036882.7610375221	278005.2309630757
75	20120.82304542299	2704.688789582446	1039897.4877976156	278523.4958776994
76	19855.291807517515	2666.0585772437303	1042840.5347344647	279027.37938596006
77	19595.658335264878	2628.363251992543	1045713.7844977343	279517.32886107906
78	19341.723493899673	2591.5693177033054	1048519.0803218951	279993.7786402644
79	19093.297153688178	2555.644830583863	1051258.2256674366	280457.1502663009
80	18850.197687128046	2520.5593132862537	1053932.9840022144	280907.85273856035
81	18612.25149921037	2486.283674422709	1056545.0787083367	281346.2827716681
82	18379.292588258493	2452.7901331144044	1059096.193101266	281772.82506023685
83	18151.162135067196	2420.052148227397	1061587.9705489767	282187.8525482381
84	17927.708118255865	2388.0443519752157	1064022.0146800808	282591.7267017286
85	17708.784953921444	2356.7424875908287	1066399.889670807	282984.79778378125
86	17494.253157833755	2326.1233507922566	1068723.1206016154	283367.40513059346
87	17283.97902855827	2296.1647347860617	1070993.1938750553	283739.8774278547
88	17077.834350021152	2266.8453785714537	1073211.5576872174	284102.5329865585
89	16875.69611214968	2238.144918324864	1075379.622545826	284455.68001753464
90	16677.446248328954	2210.0438416606803	1077498.7618286482	284799.6169040626
91	16482.971388514314	2182.523444578487	1079570.3123764712	285134.6324720032
92	16292.162626928768	2155.5657909207234	1081595.575115433	285461.00625695504
93	16104.91530335703	2129.153674177187	1083575.8157039757	285779.00876800495
94	15921.128797122981	2103.2705814844335	1085512.265200136	286088.90174770117
