time	Amadori	CML	Glucose	Glyoxal	Lysine	Schiff
0.0.	0.0	0.0	0.25	0.0	0.0034000000000000002	0.0
7.0.	2.188001170221824e-06	4.159370669967453e-07	0.24996511270976401	5.555504588890052e-06	0.0033711154733810002	1.7537201380178522e-05
14.0.	5.305669821270737e-06	9.061500864052625e-07	0.24994437987332102	1.105035949668932e-05	0.00335646060995	1.8361200529557873e-05
21.0.	8.438288392874241e-06	1.402698170268346e-06	0.249924439695888	1.6477873439840865e-05	0.0033425980824240004	1.832872716046786e-05
28.0.	1.1538118805056701e-05	1.9028688502744318e-06	0.249904590535783	2.183860249796569e-05	0.003328823355094	1.825073968279126e-05
35.0.	1.460288258439052e-05	2.40645186056091e-06	0.24988479463422603	2.713337036945622e-05	0.003315098562444	1.8170559816784523e-05
42.0.	1.7632728767627032e-05	2.913370711228178e-06	0.24986504971493603	3.2363004789353364e-05	0.003301421468651	1.8090504385638665e-05
49.0.	2.062793423342633e-05	3.4235570169497726e-06	0.24984535540171401	3.75283236667268e-05	0.0032877917450860003	1.8010696277070453e-05
56.0.	2.3588780686585082e-05	3.9369437441915944e-06	0.24982571142178603	4.2630134479252776e-05	0.0032742091661580003	1.7931141169293772e-05
63.0.	2.651554810118234e-05	4.453464835987746e-06	0.24980611750981901	4.766923436684061e-05	0.003260673512943	1.785183847882244e-05
70.0.	2.9408514383051612e-05	4.973055178728129e-06	0.24978657340277802	5.2646410258391465e-05	0.003247184568033	1.7772787295574364e-05
77.0.	3.226795536814119e-05	5.495650586118639e-06	0.24976707883964203	5.7562439013802825e-05	0.003233742115259	1.7693986696207373e-05
84.0.	3.5094144835994895e-05	6.021187785386707e-06	0.24974763356137003	6.241808755290794e-05	0.0032203459396790003	1.7615435761210542e-05
91.0.	3.788735452469073e-05	6.549604403490519e-06	0.24972823731089502	6.721411298561624e-05	0.0032069958275730004	1.7537133575857703e-05
98.0.	4.0647854145716144e-05	7.080838953557737e-06	0.24970888983310302	7.195126274023723e-05	0.0031936915664420003	1.7459079230267973e-05
105.0.	4.337591139874473e-05	7.6148308215419844e-06	0.249689590874822	7.663027469007166e-05	0.0031804329450090003	1.7381271819418372e-05
112.0.	4.6071791986314116e-05	8.151520253091491e-06	0.24967034018480902	8.125187727831183e-05	0.003167219753216	1.7303710443153092e-05
119.0.	4.8735759628402905e-05	8.690848340628878e-06	0.24965113751373802	8.581678964125057e-05	0.0031540517822220004	1.7226394206191853e-05
126.0.	5.136807607691066e-05	9.232757010635085e-06	0.249631982614184	9.032572172985509e-05	0.003140928824402	1.714932221813736e-05
