	ADP	ADP_cyt	AMP	ATP	ATP_cyt	Acetyl_CoA	Acetyl_CoA_cyt	Ala	Asp	Asp_cyt	CO2	Cit	Cit_cyt	CoA	CoA_cyt	Cytc2p	Cytc3p	DHAP	DPG	ETFox	ETFred	F6P	FAD	FADH2	FBP	Fum	G3P	GAP	GDP	GLC	GTP	Glu	Glu_cyt	H2O	IsoCit	IsoCitcyt	LAC	Mal	Mal_cyt	NAD	NADH	NADH_cyt	NADPH	NADPH_cyt	NADP_cyt	NADP_p	NAD_p	OG	OG_cyt	OXA	OXA_cyt	PEP	PYR_cyt	Pi	Pyr	Q	QH2	SCoA	Suc
0	0.00045	0.000108367	2.61149e-06	0.0045	0.00449064	3e-05	3e-05	0.00344	0.00114	0.00114	0.00163	0.00042	0.00042	0.000272	0.000272	0.00011	0.003	0.0076925	0.000299109	0.00032	0.00031	0.00065939	0.00101	7.2e-05	7.70135e-06	6.5e-05	0.0076925	1.90919e-06	0.00045	1.12817e-05	0.0045	0.00303	0.00303	0.001	0.00042	0.00042	0.00033981	0.0005	0.0005	0.00362057	0.00072	0.000616118	7.2e-05	0.000616118	0.00362057	0.0101	0.0101	2.1e-05	2.1e-05	4e-06	4e-06	2.1125e-06	4.22702e-06	0.004	0.001025	0.026	0.028	0.0002941	0.00295
1	0.00023045671894250446	-0.004635188463123786	0.003150974849903126	0.003086695957835807	0.007718679426442424	0.0005255305817716696	3.0000005147289923e-05	0.003440049207197023	0.0008716121851911988	0.001548684553615691	0.002119382809657625	0.0002434609059319615	0.0007214995797550904	3.293534335789019e-05	0.0002719999948527102	0.000182506659057477	0.002927493340942523	0.0076924666102555035	0.014495859526584744	0.00024582361313810707	0.00038417638686189296	-0.008844752400337665	0.0010099535808838801	7.204641911611994e-05	0.0015015403667133862	0.00013212220430756173	0.007692533389744496	0.007128517782188711	0.00019338565914157397	0.002613152747828822	0.004756614340858427	0.0032983386076117787	0.0026213154463843097	0.0011817471196729566	0.00016270208953717021	0.0004923041133292149	0.013335858400969462	0.0006434210062665322	0.0008189825778360802	0.0005385446875973665	0.0007250046321716308	0.0036981433124026325	9.587842572877604e-05	0.0006730912648350833	0.003563596735164917	0.010076121574271223	0.010094995367828367	8.957275891861933e-05	0.00015266769088759027	5.758481573889427e-06	-0.0008207058636278975	-0.010513594687921594	9.57243677177943e-05	0.003567944340543418	0.0005469832564342203	0.02575666158382077	0.02824333841617923	3.7634074870440284e-05	0.003341905061136873
2																																																											
3																																																											
4																																																											
5																																																											
6																																																											
7																																																											
8																																																											
9																																																											
10																																																											
11																																																											
12																																																											
13																																																											
14																																																											
15																																																											
16																																																											
17																																																											
18																																																											
19																																																											
20																																																											
21																																																											
22																																																											
23																																																											
24																																																											
25																																																											
26																																																											
27																																																											
28																																																											
29																																																											
30																																																											
31																																																											
32																																																											
33																																																											
34																																																											
35																																																											
36																																																											
37																																																											
38																																																											
39																																																											
40																																																											
41																																																											
42																																																											
43																																																											
44																																																											
45																																																											
46																																																											
47																																																											
48																																																											
49																																																											
50																																																											
51																																																											
52																																																											
53																																																											
54																																																											
55																																																											
56																																																											
57																																																											
58																																																											
59																																																											
60																																																											
61																																																											
62																																																											
63																																																											
64																																																											
65																																																											
66																																																											
67																																																											
68																																																											
69																																																											
70																																																											
71																																																											
72																																																											
73																																																											
74																																																											
75																																																											
76																																																											
77																																																											
78																																																											
79																																																											
80																																																											
81																																																											
82																																																											
83																																																											
84																																																											
85																																																											
86																																																											
87																																																											
88																																																											
89																																																											
90																																																											
91																																																											
92																																																											
93																																																											
94																																																											
95																																																											
96																																																											
97																																																											
98																																																											
99																																																											
100																																																											
