time	A20	A20_mRNA	BAR	BAR_Casp8	Casp3	Casp6	Casp8	FADD	FLIP	FLIP_mRNA	IKK	IKKa	IkBa	IkBa_N	IkBa_NFkB	IkBa_NFkB_N	IkBa_mRNA	NFkB	NFkB_N	PARP	PIkBa	RIP	TNFR	TNFRC1	TNFRC2	TNFRC2_FLIP	TNFRC2_FLIP_FLIP	TNFRC2_FLIP_pCasp8	TNFRC2_FLIP_pCasp8_RIP_TRAF2	TNFRC2_pCasp8	TNFRC2_pCasp8_pCasp8	TNFRCint1	TNFRCint2	TNFRCint3	TNFR_E	TNF_E	TNF_TNFR_E	TNF_TNFR_TRADD	TRADD	TRAF2	XIAP	XIAP_Casp3	XIAP_mRNA	cPARP	pCasp3	pCasp6	pCasp8
0.0.	0.104434	5.566570000000001e-05	0.28789000000000003	0.0	0.0	0.0	0.0	0.30944000000000005	0.0320472	0.000139056	0.64	0.0	0.00101518	0.0013839	0.015103199999999999	9.00189e-05	5.315170000000001e-05	0.000115365	0.0006914310000000001	1.66667	0.0	0.20256000000000002	0.0002	0.0	0.0	0.0	6.842277657836021e-49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.26880000000000004	0.0	0.0	0.29344000000000003	0.33056	7.83371	0.0	0.00021964600000000002	0.0	0.8	0.064	3.2
540.0.	0.104536023548876	0.00011380851100400001	0.28788717475232	2.813577382159943e-06	6.280085987674627e-10	3.315859008488083e-11	2.2639354741706137e-07	0.30943850621900804	0.032088466040779	0.00019201657543400002	0.5520246716289681	0.087975328371031	0.000633348855692	0.000261713547874	0.0027328550940150004	0.00030493853829900003	0.000100066149438	0.0025521194103930002	0.010410101074029001	1.666669968667888	0.002861551571171	0.20232774347220803	0.000233380139192	0.000173362197793	3.30794736127411e-07	3.2564393862552284e-09	3.0467308170115873e-09	1.9553478828370922e-08	1.175234706981611e-09	2.785367164926837e-07	6.071277639307814e-08	3.6681601437857176e-05	5.62585287806468e-06	5.32572240831505e-08	0.001332973503902	0.26509799988487703	0.00244882137833	0.000105007376107	0.292265617943886	0.33035215568123005	7.834018913522626	2.507876161599581e-07	0.00027297661926200005	1.733731814460206e-08	0.7999997370928801	0.06400000124148801	3.199994104853061
1080.0.	0.105883411050722	0.000336677304021	0.287756314924454	0.000132507818877	1.572435016899568e-08	1.8401541333488402e-09	5.143973154347586e-06	0.309412370304815	0.032641839173784	0.000411608088797	0.5071410496529171	0.132858950347082	0.0020733818651770004	0.00041512117706600006	0.0005854605159120001	0.000499265230886	0.000283416093592	0.000605743615754	0.014309544012098002	1.666669005493609	0.0006441756146620001	0.20205208059231203	0.00025283235753300004	0.000280078367215	6.216568669676289e-06	6.255178602562911e-08	1.330957981754567e-07	3.885963333094352e-07	5.280821075262271e-08	5.461633045751171e-06	1.2038852399788638e-06	0.000133066751153	4.404746834203881e-05	4.3155686985495335e-07	0.00044457694855200004	0.26410173076300103	0.001879554178179	8.600847575237975e-05	0.290870632408377	0.33015895421079605	7.8382791783020025	1.2796474168565871e-05	0.000497673897973	9.665604679216553e-07	0.799987069198955	0.064000000668483	3.199740985483873
1620.0.	0.10877271586428901	0.000505455230381	0.28692710584297604	0.0009491002154930001	8.285855606801172e-08	1.561134499555905e-08	2.45571997459348e-05	0.309326033196379	0.033816405385867006	0.000609615500151	0.516955905666303	0.12304409433369501	0.003350041770502	0.0007686679552580001	0.0012700110835140001	0.0008917362750790001	0.000428511921773	0.001025834771648	0.012812430541331	1.666661717185248	0.001307949136291	0.201938233918761	0.000264168103807	0.00025326955048	2.5704417821198094e-05	2.6839045780277733e-07	9.681226906981608e-07	1.682926647844755e-06	3.792418360414036e-07	2.2829859052808212e-05	5.0477893632615035e-06	0.000196665297459	0.000103059145243	1.020448127156069e-06	0.000214442188823	0.26374096009688003	0.0011802053375040002	5.6084657361008225e-05	0.290020277780807	0.33013645275367504	7.847914577561961	9.969373326074758e-05	0.00070739191874	8.240961230514038e-06	0.799898969868253	0.06399998810403701	3.198194481171175
2160.0.	0.112586388902478	0.0006108624932130001	0.28454631594143304	0.0032750110923220003	2.412016647102441e-07	6.410034073562903e-08	6.478693250749948e-05	0.30917854325592403	0.035271124248765	0.000766313085749	0.5441549101573251	0.09584508984267401	0.0041054576193450005	0.001046447326876	0.0021330786128990003	0.0011103941023870001	0.000524966641274	0.0012743298443700002	0.011482209445799	1.666635926671822	0.0017879720296880002	0.201936380945149	0.000270773990115	0.00018701752559300002	5.883430064352113e-05	6.417871008486218e-07	3.493589042557539e-06	4.033429930724831e-06	1.332893716346005e-06	5.2391659936427364e-05	1.1588073471979072e-05	0.00020613110723600002	0.00015017516535300001	1.493555313849296e-06	0.00014902112160300002	0.26353624829070504	0.0007305968076250001	3.5495157518100375e-05	0.289591923014881	0.33020678834065703	7.8610774774813414	0.000376026738065	0.0008807914797190001	3.4017610451269744e-05	0.79961718296892	0.06399994084133201	3.19386302958548
2700.0.	0.11683919731719801	0.000668255588863	0.279975590171196	0.007697109455247	5.1749605255403e-07	1.7998623845702899e-07	0.00012628731645800002	0.30899846700405903	0.036708862662955005	0.0008863889661470001	0.5711195936426771	0.06888040635732101	0.004598727288396	0.001312078276358	0.003311062274955	0.00123371605567	0.000583049816491	0.0013768021635620002	0.010078430880165001	1.6665738790046931	0.002032194828264	0.20197907725951803	0.00027462355869500003	0.000127940885939	9.879647919425935e-05	1.124461022632439e-06	8.659269537781871e-06	7.0580636224967854e-06	3.2060428328273477e-06	8.794253844108837e-05	1.942058890335903e-05	0.00018182681684800002	0.00017065088901900002	1.700447199304215e-06	0.00012797931821	0.263371989105121	0.00048055283285900006	2.346609328543922e-05	0.289409068841033	0.330300065439112	7.8757126662049775	0.0009713126326260001	0.001021056947018	9.60514566330589e-05	0.7990060521687331	0.06399982630412801	3.185721921833761
3240.0.	0.12116077785225202	0.0006856866318660001	0.273042153376622	0.014326899181472001	9.265513080851491e-07	4.014522254716972e-07	0.00020630464704300003	0.30881889963227005	0.037938333719241005	0.0009704101777840001	0.591482553188178	0.048517446811820006	0.004901696285678	0.001608890161454	0.0048325342007	0.0012835381492450001	0.0006079041655800001	0.0013911666375410001	0.008492771788941	1.6664544362866862	0.002111598147593	0.202024912957734	0.00027686688807800004	8.702559816326693e-05	0.00013778662048800002	1.6266977969144789e-06	1.6970299939437564e-05	1.0175305998699271e-05	6.105536511472631e-06	0.000122475016284	2.6960206451371192e-05	0.00014612554588600002	0.000167144838882	1.6667633298378578e-06	0.00012027027129900001	0.26321905891214203	0.00034873675723000005	1.6859655638548812e-05	0.289356150927347	0.33038217206253	7.889747457099826	0.001997667030713	0.001127408418542	0.000215480396815	0.7979445324811011	0.063999606482047	3.173620546482923
3780.0.	0.125254682799049	0.000669616092652	0.263989780294182	0.022862571142210002	1.4758729946186578e-06	7.689357222941343e-07	0.00030145595708	0.30866287867333503	0.038867808110919	0.001019047528172	0.604762159229012	0.035237840770985004	0.005041746867319	0.001961851988262	0.006533670824048	0.001267935902668	0.0006038504964750001	0.001357845157834	0.006840558325383	1.666254723290039	0.0020855642981970003	0.20205493363305402	0.00027817418444200004	6.187568422069773e-05	0.000170467945068	2.0716172587087158e-06	2.8336452994301274e-05	1.2895112862571442e-05	9.942793560212155e-06	0.00015129111827100002	3.315438488792012e-05	0.00011219754246500001	0.000149071967473	1.486843737341584e-06	0.00011714190264700001	0.263069620790753	0.000280850189002	1.334111971161811e-05	0.28936862231882005	0.33044281952688903	7.901129095338439	0.003538448320058	0.0011992530798330002	0.00041517965862600004	0.79633823655932	0.063999241185782	3.158142477711145
4320.0.	0.128898816148345	0.0006287411161680001	0.25329934894471	0.032777495177403006	2.169548404674619e-06	1.323392300489059e-06	0.00040896018709200003	0.30854078227519804	0.039479496901099004	0.0010363924528580001	0.612673963737499	0.027326036262498	0.005036148705748001	0.002351784677525	0.008101759926229	0.0012017851721980001	0.0005773814221010001	0.00130984245388	0.0053866221209100005	1.66595102419867	0.002010097889641	0.202062800331677	0.00027893600931600004	4.742725875961978e-05	0.00019458803273100003	2.4153293940286586e-06	4.2180599572103506e-05	1.4948197503889521e-05	1.4498312836185062e-05	0.00017247908158	3.759376309307115e-05	8.517831619918966e-05	0.000125402773818	1.250692107703129e-06	0.00011580158747800002	0.26292136161136304	0.00024628379840300004	1.1502727980009252e-05	0.289412471175754	0.33048289426812705	7.907921010587153	0.005650012389202001	0.001239558438762	0.000718865058014	0.7941184449801041	0.063998689783325	3.140253965032147
4860.0.	0.131964360369163	0.0005745889912600001	0.24151500731663803	0.043497714787538	3.010611657366864e-06	2.105603658003894e-06	0.000526936052578	0.308453496761991	0.039804540366919	0.0010307523316040001	0.6171312044113341	0.022868795588664	0.004906188983531	0.002689837944337	0.009257400552723	0.0011143481416150001	0.000537648150316	0.0012664209309640002	0.004361839539414001	1.665519156241137	0.0019228767112790001	0.202047706144857	0.000279379961324	3.9455943082548335e-05	0.00021019181367500002	2.6465092605533396e-06	5.7676308967148945e-05	1.6277665436385644e-05	1.9503710870648654e-05	0.00018614909261100001	4.033191596208204e-05	6.568600417241874e-05	0.000102099001031	1.0180609819172709e-06	0.00011522720365900001	0.26277352309184504	0.000228792214843	1.0555973682638121e-05	0.28947025863555204	0.3305069903626	7.908429032657698	0.008368079141774001	0.0012557711011850002	0.0011507193662860001	0.7912363678506631	0.063997911889726	3.120986733124991
