time	W_star	Wt	Y	Z
0.0.	0.0	1	1.6	0.15
0.0.05.0	0.014172083268842001	1	1.615857293607919	0.22245606014743602
0.0.1.0	0.020373074056180003	1	1.6584006663128021	0.24670344907871203
0.0.15000000000000002.0	0.024678590176128	1	1.7054625436306652	0.258164493830423
0.0.2.0	0.028007028308815	1	1.751585447729871	0.265939974476238
0.0.25.0	0.030946783717888	1	1.7951208099393732	0.272723490757659
0.0.30000000000000004.0	0.033870587740154	1	1.835348924643992	0.27945866074268805
0.0.35000000000000003.0	0.037036563505321	1	1.8717415969310802	0.28657927137623
0.0.4.0	0.040666286789225	1	1.903708224511766	0.29440321209929804
0.0.45.0	0.045007869999145	1	1.930427793852898	0.30331052418291404
0.0.5.0	0.050407566187414	1	1.950599592374009	0.31392056509930905
0.0.55.0	0.057435852367174	1	1.961864421425999	0.32747164344511903
0.0.6000000000000001.0	0.067204563315349	1	1.959003567261093	0.34706884640060903
0.0.65.0	0.08252451529452601	1	1.92543166631417	0.38412938766654603
0.0.7000000000000001.0	0.11718577244588801	1	1.7093530505998982	0.56517111743825
0.0.75.0	0.297695179303464	1	0.673339039084291	1.233522553913224
0.0.8.0	0.465524833011134	1	0.701391042183181	0.8674171130220961
0.0.8500000000000001.0	0.5561722038953261	1	0.8728390829540751	0.531677361125659
0.0.9.0	0.568418102418045	1	1.080035153422356	0.30829656699211905
0.0.9500000000000001.0	0.5406201860044131	1	1.193587980245911	0.245201622158242
1.0.	0.5028840895468301	1	1.272013898109184	0.23312321861753302
1.0.05.0	0.46398044503586405	1	1.340411419840116	0.23333691478520402
1.0.1.0	0.42608559183152406	1	1.404697453326472	0.23662142688113702
1.0.1500000000000001.0	0.389776920735365	1	1.466208187203786	0.24078028529238002
1.0.2000000000000002.0	0.35525117435101905	1	1.5252003121370832	0.24528282182059202
1.0.25.0	0.322619118629458	1	1.581660365347796	0.250008574565728
1.0.3.0	0.29197970137768203	1	1.635493856670676	0.254945647654418
1.0.35.0	0.263440438467543	1	1.686567406651247	0.260116940762026
1.0.4000000000000001.0	0.237124226277959	1	1.734713436513702	0.265563363838472
1.0.4500000000000002.0	0.21317245637016602	1	1.779722548923658	0.27134302002895905
1.0.5.0	0.19174684751808702	1	1.82132784795311	0.277537057923028
1.0.55.0	0.173030774258632	1	1.859178519443419	0.284261843132183
1.0.6.0	0.15723142843763802	1	1.892794229019794	0.291691842276649
1.0.6500000000000001.0	0.14458703882537902	1	1.92148064622582	0.300105052143467
1.0.7000000000000002.0	0.13539094552071002	1	1.944156638030576	0.309982591117891
1.0.75.0	0.130063669850284	1	1.9589491611083751	0.32225978741279204
1.0.8.0	0.129363818574415	1	1.9620349053136221	0.33910258320603104
1.0.85.0	0.135096993779729	1	1.943052980788908	0.367263132114211
1.0.9000000000000001.0	0.15393796213600602	1	1.848239806213686	0.44816827498006906
1.0.9500000000000002.0	0.27278969577843204	1	0.7409018286275161	1.328928741497031
2.0.	0.465123996661199	1	0.677061369920206	0.9906143360295571
2.0.0500000000000003.0	0.5833048841396751	1	0.794353304858296	0.649078452654377
2.0.1.0	0.620347434350495	1	1.019042457452435	0.362824852353794
2.0.15.0	0.6011696068480561	1	1.15995767166323	0.257747215983966
2.0.2.0	0.564879101243985	1	1.246016002773592	0.23503661832951603
2.0.25.0	0.5255887055260511	1	1.316809151139465	0.232684028878426
2.0.3000000000000003.0	0.48683731320777	1	1.382286691872814	0.23530407194458403
2.0.35.0	0.44951927053650403	1	1.444723711310605	0.239255541291185
2.0.4000000000000004.0	0.41389691515977906	1	1.504601824110693	0.24366073258104
