[MAPK phosphatase]	[MEK phosphatase]	[RAF kinase]	[RAF phosphatase]	[MAPK]	[MAPK-P]	[MAPK-PP]	[MEK]	[MEK-P]	[MEK-PP]	[RAF]	[RAF-P]	[MAPK_MEK-PP]	[MAPK-P_MEK-PP]	[MEK_RAF-P]	[MEK-P_RAF-P]	[MAPK-P_MAPKPase]	[MAPK-PP_MAPKPase]	[MEK-P_MEKPase]	[MEK-PP_MEKPase]	[RAF_RAFK]	[RAF-P_RAFPase]	[Scaffold]	[Scaffold_RAF]	[Scaffold_RAF-P]	[Scaffold_MEK]	[Scaffold_MEK_RAF]	[Scaffold_MEK_RAF-P]	[Scaffold_MEK-P]	[Scaffold_MEK-P_RAF]	[Scaffold_MEK-P_RAF-P]	[Scaffold_MEK-PP]	[Scaffold_MEK-PP_RAF]	[Scaffold_MEK-PP_RAF-P]	[Scaffold_MAPK]	[Scaffold_MAPK_RAF]	[Scaffold_MAPK_RAF-P]	[Scaffold_MAPK_MEK]	[Scaffold_MAPK_MEK_RAF]	[Scaffold_MAPK_MEK_RAF-P]	[Scaffold_MAPK_MEK-P]	[Scaffold_MAPK_MEK-P_RAF]	[Scaffold_MAPK_MEK-P_RAF-P]	[Scaffold_MAPK_MEK-PP]	[Scaffold_MAPK_MEK-PP_RAF]	[Scaffold_MAPK_MEK-PP_RAF-P]	[Scaffold_MAPK-P]	[Scaffold_MAPK-P_RAF]	[Scaffold_MAPK-P_RAF-P]	[Scaffold_MAPK-P_MEK]	[Scaffold_MAPK-P_MEK_RAF]	[Scaffold_MAPK-P_MEK_RAF-P]	[Scaffold_MAPK-P_MEK-P]	[Scaffold_MAPK-P_MEK-P_RAF]	[Scaffold_MAPK-P_MEK-P_RAF-P]	[Scaffold_MAPK-P_MEK-PP]	[Scaffold_MAPK-P_MEK-PP_RAF]	[Scaffold_MAPK-P_MEK-PP_RAF-P]	[Scaffold_MAPK-PP]	[Scaffold_MAPK-PP_RAF]	[Scaffold_MAPK-PP_RAF-P]	[Scaffold_MAPK-PP_MEK]	[Scaffold_MAPK-PP_MEK_RAF]	[Scaffold_MAPK-PP_MEK_RAF-P]	[Scaffold_MAPK-PP_MEK-P]	[Scaffold_MAPK-PP_MEK-P_RAF]	[Scaffold_MAPK-PP_MEK-P_RAF-P]	[Scaffold_MAPK-PP_MEK-PP]	[Scaffold_MAPK-PP_MEK-PP_RAF]	[Scaffold_MAPK-PP_MEK-PP_RAF-P]	[Scaffold_RAF_2]	[Scaffold_MEK_RAF_2]	[Scaffold_MEK-P_RAF_2]	[Scaffold_MEK-PP_RAF_2]	[Scaffold_MAPK_RAF_2]	[Scaffold_MAPK_MEK_RAF_2]	[Scaffold_MAPK_MEK-P_RAF_2]	[Scaffold_MAPK_MEK-PP_RAF_2]	[Scaffold_MAPK-P_RAF_2]	[Scaffold_MAPK-P_MEK_RAF_2]	[Scaffold_MAPK-P_MEK-P_RAF_2]	[Scaffold_MAPK-P_MEK-PP_RAF_2]	[Scaffold_MAPK-PP_RAF_2]	[Scaffold_MAPK-PP_MEK_RAF_2]	[Scaffold_MAPK-PP_MEK-P_RAF_2]	[Scaffold_MAPK-PP_MEK-PP_RAF_2]
0.3	0.2	0.1	0.3	0.4	0.0	0.0	0.2	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.2999999999998354	0.19999994299715537	0.04136218488395709	0.29999410397572385	0.3370554704664741	1.8981098475664163e-12	7.760966758257478e-15	0.1588183980778877	2.8238848295862496e-07	1.9695733115248547e-10	0.2230678332030416	0.00022439381497547505	9.720830625723755e-11	2.6272558808170966e-22	2.1486898337273914e-05	1.6425254555215824e-11	1.6410897643883497e-13	5.997576699525493e-16	5.6974524687042796e-08	2.8320003848382503e-11	0.007567211626148957	5.8960242759725955e-06	0.003594309536941531	0.00194351443947795	0.00031479561831436015	0.0038655020433287952	0.002090418632282733	0.00018015119533734705	9.39592578295458e-09	1.3084648666556486e-09	2.2360810345585023e-06	7.896045953167217e-11	9.682373553002311e-12	2.2208994153767657e-08	0.011287115168374167	0.006104007238457248	0.0004901537121085763	0.012139863007591995	0.006565530576953481	0.0003467642899268527	2.215557839345373e-08	3.216081006136093e-09	4.923533745829887e-06	1.940615961947191e-10	2.4436957816232547e-11	5.24229089569075e-08	9.231168355588903e-15	1.629637334551661e-15	1.283031793034785e-12	9.84042402784036e-16	1.9078897205236847e-16	1.1850353424557814e-13	1.3618498529728178e-18	1.117760397809203e-19	6.259996671831838e-16	2.41139188025255e-12	3.7578820826972927e-13	4.141063805855706e-10	6.303001915655184e-17	1.2223558645760649e-17	7.609272790984335e-15	5.688168952069325e-18	1.1794845775108583e-18	6.22987862562823e-16	5.866838891563809e-21	4.460815324854005e-22	2.9515802965075036e-18	2.036443305922722e-14	3.627673581939194e-15	2.7960934162300135e-12	0.01841960088816872	0.0066449085921432	5.334282063696497e-10	3.2682368432548256e-12	0.016686728074998932	0.009319364321574222	1.0692868001042884e-09	6.931512346908388e-12	3.607401766816764e-16	3.834179282178579e-17	2.0016163068267984e-20	9.284577971090918e-14	2.429456183564048e-18	2.149640239338636e-19	7.312409135142643e-23	7.955596264650319e-16
0.29999999995613336	0.19999883301967245	0.021501251753862905	0.29996867153021634	0.33261943652864606	2.3678451438108246e-10	1.9834909590923937e-12	0.15235665227353606	2.9567145307984658e-06	6.7164186733423005e-09	0.20364434356918953	0.0005952679027796895	6.87749907412241e-09	2.420976478644163e-18	0.0001095599786611006	9.548863969982162e-10	4.354260733380702e-11	3.2415909880059926e-13	1.1649701322802147e-06	2.010195404071067e-09	0.008620720266436632	3.1328469783363166e-05	0.0006309577527471606	0.0006166467930694208	0.0005271552547003274	0.0012782322099589842	0.0012521355007171445	0.0004920481215460212	1.0548302175825682e-07	2.7410083707129758e-08	1.3166434824756878e-05	1.9401158467719715e-09	4.4205264467036013e-10	2.8443017574783757e-07	0.003661552207151384	0.0035862645541647814	0.0014669573641810528	0.007429862345678767	0.007284485345732627	0.0018219735741538871	4.994290756725457e-07	1.352036327331687e-07	5.809608713243909e-05	9.512549083697626e-09	2.215402091623111e-09	1.3479268046955795e-06	1.907582877608285e-12	6.184367295777704e-13	1.4817038971041554e-10	4.039343683927382e-13	1.433001390114942e-13	2.7658459110666307e-11	1.3524320256982667e-15	2.0830712571828976e-16	3.135344143317498e-13	2.5449944825366883e-10	7.355845006416225e-11	2.3615911039993964e-08	2.7920717161634567e-14	9.918130166739273e-15	1.919738247839842e-12	4.977771815110043e-15	1.882137406133762e-15	3.149039914875276e-13	1.2473044082458928e-17	1.7729282438147066e-18	3.1703189165629196e-15	4.592853709620826e-12	1.5120919205847282e-12	3.500533642445646e-10	0.019146380958432657	0.00866228758991307	1.3197041364400733e-08	1.7037909704170577e-10	0.022834435458598406	0.01923485525650421	5.458309448925137e-08	7.440317215373656e-10	1.5832767280465446e-13	3.285636899699211e-14	4.1842566913593823e-17	2.113150127507608e-11	2.2479268380669417e-15	3.868392643999095e-16	3.2311454761332286e-19	3.798173371258999e-13
0.2999999991112932	0.1999939697445085	0.01556086383869134	0.2999252047167695	0.3314266791489757	3.0899242857073564e-09	3.919837133536526e-11	0.15006201497799415	1.0537679140911107e-05	4.286443114238358e-08	0.19698959351262973	0.000978095374966287	6.628300562686181e-08	3.1473419565662235e-16	0.00025884695124198196	8.540619662185205e-09	8.78823848265256e-10	9.883117689200686e-12	6.011060761891696e-06	1.919472970336514e-08	0.008288793469087822	7.479528323014758e-05	0.00024766191066045166	0.00034811514002415717	0.00066046019021076	0.0006340922845995479	0.0008995484244595181	0.0008060308173078372	3.997947110872304e-07	1.5248128856135135e-07	3.487335678046428e-05	1.1864235641726547e-08	3.936961755600976e-09	1.2162032251219654e-06	0.0015963323712034352	0.002259845090150565	0.0023651839818229744	0.004109209379030822	0.005844827522026986	0.003835983303867754	2.3517311681231364e-06	9.218609569949299e-07	0.00019500923692484785	7.074691785442599e-08	2.373789018243608e-08	7.122814222492603e-06	3.1489171808211215e-11	1.4636197331662354e-11	1.8237403627291481e-09	9.956705204796263e-12	5.056617080550321e-12	5.136293581279587e-10	5.760626211999793e-14	1.2977294341424952e-14	9.138752484278417e-12	2.924736548681719e-09	1.2198250207304115e-09	1.9775912064692745e-07	7.220788950997945e-13	3.6742698694112126e-13	3.748479265045652e-11	1.9209281901869762e-13	1.0380749495587655e-13	9.2466311942071e-12	8.357828788148964e-16	1.734537009134673e-16	1.4525090711229424e-13	8.209365888488777e-11	3.894052981502417e-11	4.646434164875002e-09	0.01861892541770202	0.009175178381088642	7.765131390763181e-08	1.5952416659118467e-09	0.02424102153739558	0.024114705115973384	4.236158182985377e-07	8.9676614092167e-09	4.222008129150664e-12	1.302470523051221e-12	2.8894679457527184e-15	3.934435082738463e-10	9.33565928003638e-14	2.3856550558475143e-14	3.490815440140008e-17	1.0937559436688161e-11
0.2999999933551984	0.19998197016434438	0.014200814389370795	0.29986818500045404	0.3305208258117849	1.7017101558096352e-08	2.888137495839798e-10	0.14846176739872127	2.463625150151013e-05	1.4670518424651813e-07	0.19419480811864048	0.001363004367374429	2.98821920153984e-07	8.066664403435496e-15	0.0004549558216361392	3.70466755766674e-08	6.546381341808265e-09	9.842047589804783e-11	1.7944181432641117e-05	8.56542230085674e-08	0.007719725885003426	0.00013181499954541002	0.00013621022014598307	0.00022550231335003408	0.0007708575958805419	0.00037525280295799395	0.0006340852365288347	0.00111995743150189	9.965903115751824e-07	4.8421520620798e-07	6.885982694892988e-05	4.159245472568682e-08	1.7516656404736063e-08	3.383905381504767e-06	0.0008842329585295027	0.001483861243561114	0.003169635516379943	0.002461064082211392	0.004178878496547724	0.005956521181384376	6.271656097621961e-06	3.0981506485455027e-06	0.00041901238745513446	2.6097139599998377e-07	1.10365866228541e-07	2.1075484912166906e-05	1.9855447175416021e-10	1.1505244124826915e-10	9.593422930717272e-09	8.261738692960436e-11	5.213227951669919e-11	3.5809999969772545e-09	7.124957513840625e-13	2.0676508957250267e-13	8.772176128580302e-11	1.4519088493287806e-08	7.603170367637788e-09	8.052716014813661e-07	6.252065596344319e-12	3.953572594231815e-12	2.7332615975742084e-10	2.192569110217277e-12	1.467712378896253e-12	8.930865044186071e-11	1.4290550755054495e-14	3.822896580034139e-15	1.9238989456425144e-12	5.55338947182362e-10	3.2936570888072655e-10	2.616363176681234e-08	0.017912194136970944	0.00927301156846679	2.8537053977824224e-07	8.261127967385706e-09	0.024377367663969217	0.026514806353579147	1.7326929604449056e-06	5.0516510309991875e-08	4.072102458166228e-11	1.653057447007046e-11	5.600607215062789e-14	2.9895761985307336e-09	1.2326271606751442e-12	4.148297224584039e-13	9.346722056408352e-16	1.1296873389653424e-10
0.2999999705478232	0.19995965027360316	0.014730140509507805	0.2998006516456743	0.32967839049663544	5.984383211399078e-08	1.269276199898129e-09	0.1469791110203072	4.622206997103722e-05	3.647687382655002e-07	0.1926333994822416	0.00176119511385939	9.080449071460431e-07	8.888475710800395e-14	0.0006874124081896269	1.1057040368770754e-07	2.8908775720533932e-08	5.434012499112078e-10	4.0091974264054916e-05	2.577521327557834e-07	0.00724130208114974	0.00019934835432502404	8.834091036696402e-05	0.0001475306518667433	0.0008710914606878983	0.00024547568320012667	0.00042414495856747507	0.0014228747112191085	1.949963893281801e-06	1.0925489090644727e-06	0.00011460377567056104	1.0571222742323497e-07	5.14452282545286e-08	7.3175509464258125e-06	0.0005687175906732064	0.0009693665979503614	0.003908834003978293	0.0016049016327255256	0.0027933915537044613	0.008010855031885094	1.255480232907416e-05	7.10624524058746e-06	0.0007212490773063401	6.715908464851687e-07	3.270592239062681e-07	4.640455250818617e-05	7.607734331058226e-10	4.992311887962921e-10	3.251099320569258e-08	3.875166508394176e-10	2.7540466955097397e-10	1.49417572236217e-08	4.578647394083018e-12	1.57348743987684e-12	4.684658335349495e-10	4.66650587268921e-08	2.7897904225547816e-08	2.259338515931597e-06	3.056527236941928e-11	2.1764235397606986e-11	1.1913580765488383e-09	1.3163404792803925e-11	9.877906106306892e-12	4.79703082989597e-10	1.1816053088649047e-13	3.753126789108628e-14	1.318940353275889e-11	2.2621327531941306e-09	1.5208164309391872e-09	9.418500340772574e-08	0.017167060814900704	0.009186908025167265	8.101995298667685e-07	3.069453557821759e-08	0.024033501324144727	0.02763490473254069	5.133444265315937e-06	1.9288676697802368e-07	2.3086664724258714e-10	1.1473180781213688e-10	5.531054022925658e-13	1.4249011920872076e-08	8.881608469165098e-12	3.6682136984923736e-12	1.1895918092655348e-14	6.797658896814419e-10
0.29999990514717484	0.19992432359922205	0.016194384331283035	0.2997240652508194	0.3288788461508761	1.6029884083727058e-07	4.068091653750404e-09	0.1455052836980214	7.592948815129973e-05	7.479697180988269e-07	0.19142559894194763	0.0021846131260360568	2.1720105808798703e-06	5.864215541570503e-13	0.0009504815987747817	2.638896237942836e-07	9.276360757995263e-08	2.089217777073583e-09	7.50654473596563e-05	6.109534182668628e-07	0.006950671557164735	0.00027593474917986266	6.320789634017733e-05	9.515737201830997e-05	0.0009642571439124147	0.0001727042013974444	0.00027276670551488726	0.0017066698352414561	3.261017234701336e-06	1.9611640423279137e-06	0.0001704860533932693	2.1842499098108548e-07	1.1487317874514496e-07	1.3424879866302905e-05	0.00040255668001698406	0.0006226645793267872	0.004595759485272888	0.0011229293976674451	0.0017909736965921832	0.009929520880946273	2.1170704881271044e-05	1.2815341496451163e-05	0.0010891262210522364	1.3900271366508688e-06	7.30333432249232e-07	8.552996770840046e-05	2.1551029640292117e-09	1.4943867325280928e-09	8.445893394672675e-08	1.2824911136516558e-09	9.56399370096248e-10	4.559305593145756e-08	1.9680842464858303e-11	7.53556274568947e-12	1.7462735870115384e-09	1.1513995158220606e-07	7.336713054375589e-08	5.057232399238255e-06	1.0539663635935105e-10	7.870065448261771e-11	3.796073899134378e-09	5.324029810106837e-11	4.167553184379757e-11	1.7983885473512957e-09	6.243107628582979e-13	2.2186058922007923e-13	6.02815791985838e-11	6.7565735355145e-09	4.796505292949936e-09	2.5806476355076103e-07	0.01641920651257704	0.008995838806161128	1.9122585780606583e-06	9.023735399005247e-08	0.023447652327197876	0.027977286482211212	1.2331296632869066e-05	5.716777520071779e-07	9.277900914710625e-10	5.379399669806807e-10	3.527605049509816e-12	5.010512144297275e-08	4.318717441945917e-11	2.0890398384723938e-11	9.350058475425066e-14	2.8745376378101466e-09
0.2999997534005757	0.19987381807502647	0.0181533435787124	0.2996388389867287	0.3281183568575718	3.580735985817701e-07	1.054845272156131e-08	0.1440197881013771	0.00011420870531404664	1.3489480126752293e-06	0.19026015223131337	0.002642056596584969	4.428186319263837e-06	2.745988049732671e-12	0.0012417082851697181	5.437289478218934e-07	2.403042647074835e-07	6.295159800123127e-09	0.00012494678158007588	1.235143393398771e-06	0.006863952484415459	0.00036116101327061066	4.892646421551218e-05	6.143656707682191e-05	0.001050980074597046	0.0001302593647970553	0.00017357049917861834	0.001967170812703358	4.893199594478899e-06	3.0012301896527874e-06	0.00023458743600127417	3.914955959016013e-07	2.1208172366638693e-07	2.198408123633205e-05	0.0003083518739863012	0.00039994769933545337	0.0052340183429113365	0.0008421428831827052	0.0011355186143920458	0.011684104049246533	3.1858420521897034e-05	1.9626368711023188e-05	0.0015093458275348402	2.487486493852201e-06	1.3451652371791064e-06	0.00014006213926361278	4.988822965142955e-09	3.4788063062216373e-09	1.8384017612464885e-07	3.3574571103780706e-09	2.4982966462046105e-09	1.1284687155024499e-07	6.454031472183197e-11	2.631528700189979e-11	5.112210627268617e-09	2.3791381210733694e-07	1.5380501446125493e-07	9.733090044103526e-06	2.874075208088927e-10	2.1394041807761615e-10	9.808199675219376e-09	1.649226082939814e-10	1.2797534585236108e-10	5.295159098812635e-09	2.4382973821653017e-12	9.275343695388965e-13	2.0961196573385414e-10	1.6371913345117723e-08	1.1665926223581243e-08	5.887146119122211e-07	0.015682435608885263	0.008739431359783693	3.898652383320804e-06	2.2134015085788723e-07	0.02272190557258428	0.027807924239649687	2.5327562485489725e-05	1.4042237510022996e-06	2.903942336840627e-09	1.8989954629667964e-09	1.6403338956105168e-11	1.4091809572241012e-07	1.5797264861034256e-10	8.660396552013759e-11	5.19311525810723e-13	9.39466552460776e-09
0.2999994497884574	0.19980641090096538	0.020339775549031748	0.29954482808564786	0.32739434437317994	7.029576505063281e-07	2.3506181949822725e-08	0.1425183701674479	0.00016138795583065142	2.220270333405283e-06	0.18902424464590692	0.0031390273069976673	8.056834243456077e-06	1.0070021849657887e-11	0.0015604221478388322	1.0101685241376088e-06	5.342842974438691e-07	1.5927245491698016e-08	0.00019135924434109051	2.2298546934716503e-06	0.0069631004419578105	0.0004551719143513759	4.097468323866864e-05	4.1227536084190484e-05	0.001131302091886576	0.0001062505825120446	0.00011408850176296138	0.002202747713415124	6.789660702880884e-06	4.103421233947376e-06	0.0003050115773078606	6.333671083771342e-07	3.420031521825654e-07	3.3156839080028155e-05	0.0002560709377154368	0.0002668440744333988	0.005824361734294942	0.0006835255435234064	0.0007434600579346259	0.013265283394443836	4.423231622747453e-05	2.681526156043977e-05	0.0019691704090838732	4.013579244093508e-06	2.162658853872458e-06	0.00021087343304214542	1.0003286553039043e-08	6.785243474532304e-09	3.529181481117395e-07	7.4350903423107655e-09	5.33903739962735e-09	2.4059744418015397e-07	1.743767012196548e-10	7.327230506245679e-11	1.2589980905000685e-08	4.3310112281764347e-07	2.74728490262283e-07	1.6817783202083115e-05	6.62761291019267e-10	4.755537823561167e-10	2.182262547696611e-08	4.2202835974086507e-10	3.1393153480364995e-10	1.311684134266918e-08	7.66643120386068e-12	3.0226961271775956e-12	5.990610946887273e-10	3.414897188918969e-08	2.3608928885431052e-08	1.1779030594294258e-06	0.014964648471596577	0.00844487574915848	7.055869190545378e-06	4.6982543840996695e-07	0.02191922648386343	0.02731152224992639	4.597545025090907e-05	2.9775580121420976e-06	7.507273129872116e-09	5.402676862092691e-09	5.992359701431598e-11	3.334373303802248e-07	4.653179181720838e-10	2.8229445812375247e-10	2.214108774796085e-12	2.5194542887671346e-08
0.2999989049217913	0.19972075626132282	0.0225711773774366	0.2994416698223375	0.32670426907302635	1.2535241535408144e-06	4.67707627068708e-08	0.14099919618642373	0.0002177003760902541	3.41326340244477e-06	0.18767927267907097	0.0036783253865223294	1.3465406426775187e-05	3.076716882554282e-11	0.0019066535642168706	1.7377847357287134e-06	1.0597301471224862e-06	3.534806181350126e-08	0.00027554372138478855	3.700017292342454e-06	0.007214437290837451	0.0005583301776618582	3.705331157904064e-05	2.9993969039952718e-05	0.0012052675632898073	9.403014229507417e-05	8.111489778817372e-05	0.002413347267885616	8.889466053960876e-06	5.1850020465978514e-06	0.0003800075549354122	9.492591037103869e-07	5.005643611461562e-07	4.700531854239832e-05	0.00023038462635215163	0.00019304569530633858	0.006367661191001173	0.0006027507260428439	0.000526565401382637	0.014674341286456718	5.788553127600183e-05	3.3839709251493574e-05	0.002456996495395921	5.997228002511052e-06	3.15533732424699e-06	0.0002982071620704003	1.803516671549521e-08	1.1667516576940827e-08	6.170013080004171e-07	1.4543703096182789e-08	9.885903196915851e-09	4.5892052597060837e-07	4.0756508946480294e-10	1.725686564387502e-10	2.7241084376875487e-08	7.175903030910287e-07	4.377066942162612e-07	2.680793283434393e-05	1.3495689817243981e-09	9.155306819794638e-10	4.342160869268586e-08	9.369545839679212e-10	6.555898120808154e-10	2.8549142984835346e-08	2.0486347574778097e-11	8.186302251243305e-12	1.4777454580038585e-09	6.370859203056728e-08	4.1889895503170515e-08	2.1359230161998598e-06	0.014271338066340707	0.008132966928956637	1.1592760661877922e-05	8.878104653168395e-07	0.02108595565893632	0.026629641120768165	7.560903426600281e-05	5.615582245761352e-06	1.671938647977042e-08	1.300458240556161e-08	1.811352701827849e-10	6.886376852522213e-07	1.1588084558878006e-09	7.643303201749395e-10	7.672450092230196e-12	5.7895484293780333e-08
