	E	P	Q	X
0	1.0	0.0	0.0	1.0
1	0.7857898805752239	0.2142101194247758	0.017927573913754533	0.7678623066614689
2	0.6768212620605706	0.32317873793942914	0.05912266919251008	0.6176985928680602
3	0.6211662327695316	0.3788337672304682	0.11225709338632889	0.5089091393832025
4	0.5955424958677039	0.4044575041322958	0.17128850639234983	0.4242539894753537
5	0.5880606601723578	0.4119393398276418	0.23269540686507356	0.35536525330728386
6	0.592079267313088	0.4079207326869117	0.29429948603393924	0.29777978127914834
7	0.6036224500035184	0.3963775499964811	0.3546976965422645	0.24892475346125373
8	0.6201639850569768	0.37983601494302277	0.41296416910792666	0.20719981594905007
9	0.6400082359192532	0.35999176408074623	0.46848416770457424	0.17152406821467886
10	0.6619570246663035	0.3380429753336959	0.5208569740407031	0.1411000506256003
11	0.6851239285911136	0.3148760714088858	0.5698365064967366	0.11528742209437698
12	0.7088287095797356	0.2911712904202637	0.6152931555574154	0.09353555402232015
13	0.7325369288408757	0.26746307115912343	0.6571878966258126	0.07534903221506314
14	0.7558248728062988	0.2441751271937003	0.6955532280531794	0.06027164475311923
15	0.778358916936679	0.22164108306331998	0.7304782496367024	0.04788066729997657
16	0.7998825233646472	0.20011747663535187	0.7620961815047543	0.03778634185989269
17	0.8202069598412038	0.1797930401587952	0.7905735508389646	0.02963340900223892
18	0.8392034440053564	0.16079655599464265	0.8161005832040383	0.023102860801317772
19	0.8567957003941132	0.1432042996058859	0.8388828047331528	0.017912895660960167
20	0.8729524121751268	0.12704758782487238	0.859133713071123	0.013818699104003473
21	0.8876796183365262	0.11232038166347302	0.8770686055260966	0.010611012810429334
22	0.9010132454006977	0.0989867545993014	0.8928995432924439	0.008113702108253629
23	0.9130120170834928	0.08698798291650646	0.9068314012991304	0.006180615784362141
24	0.9237510098517265	0.07624899014827274	0.9190589443154229	0.0046920655363033624
25	0.9333160040183641	0.06668399598163513	0.9297648077145674	0.0035511963037965434
26	0.9417987277812635	0.0582012722187358	0.9391182598507375	0.0026804679305256376
27	0.9492930076945812	0.050706992305418135	0.9472746099261565	0.002018397768424376
28	0.9558917792847288	0.0441082207152707	0.9543751276758001	0.0015166516089280585
29	0.9616848711086473	0.03831512889135195	0.9605473523137869	0.0011375187948603825
30	0.9667574562881424	0.033242543711856844	0.9659056822116996	0.0008517740764426702
31	0.9711890553440042	0.028810944655995083	0.9705521543905513	0.0006369009534526719
32	0.9750529801775671	0.02494701982243235	0.974577338660089	0.00047564151747759865
33	0.9784161168174133	0.02158388318258634	0.9780612891204057	0.00035482769700707396
34	0.9813389597387502	0.018661040261249474	0.9810745080116235	0.00026445172712590367
35	0.9838758241624843	0.01612417583751521	0.9836788904058548	0.00019693375662884803
36	0.9860751773104642	0.013924822689535227	0.9859286272717604	0.00014655003870315763
37	0.9879800427707582	0.012019957229241271	0.9878710532380751	0.00010898953268239965
38	0.989628442717814	0.01037155728218548	0.9895474301206966	8.101259711687281e-05
39	0.9910538525468715	0.008946147453127874	0.9909936630949598	6.0189451911232884e-05
40	0.9922856496881861	0.007714350311813261	0.9922409488767316	4.470081145420757e-05
41	0.9933495443537474	0.006650455646251872	0.9933163578741504	3.318647959676824e-05
42	0.9942679842749522	0.0057320157250471794	0.9942433535010564	2.463077389552521e-05
43	0.9950605292064847	0.004939470793514735	0.9950422531015743	1.8276104910018338e-05
44	0.9957441929972676	0.004255807002731865	0.9957306350721533	1.3557925114010761e-05
45	0.9963337530084752	0.003666246991524338	0.9963236971296733	1.0055878801587495e-05
46	0.9968420277763304	0.0031579722236691468	0.9968345705825815	7.4571937488475786e-06
47	0.9972801245062702	0.0027198754937292824	0.997274595217444	5.529288826181055e-06
48	0.9976576585095396	0.002342341490460091	0.9976535592054869	4.099304052380971e-06
49	0.9979829468905076	0.0020170531094921887	0.9979799080688214	3.0388216857403528e-06
50	0.9982631788150892	0.0017368211849106573	0.998260926334901	2.252480187824262e-06
51	0.9985045647957366	0.0014954352042633287	0.9985028953095927	1.6694861436771333e-06
52	0.9987124671559495	0.00128753284405037	0.9987112298547043	1.237301244981517e-06
53	0.9988915138335778	0.0011084861664220921	0.9988905968894394	9.169441382547571e-07
54	0.9990456974429599	0.000954302557039945	0.9990450179442084	6.794987513087457e-07
55	0.9991784613702308	0.000821538629769148	0.9991779578513105	5.035189200283082e-07
56	0.9992927744932399	0.0007072255067599763	0.9992924013918572	3.731013825771458e-07
57	0.9993911959528522	0.0006088040471476147	0.9993909194980728	2.7645477928577514e-07
58	0.9994759312440971	0.0005240687559029132	0.9994757264066138	2.048374830606786e-07
59	0.9995488807455867	0.00045111925441337176	0.9995487289760748	1.5176951137713778e-07
60	0.9996116816810009	0.00038831831899888494	0.9996115692332459	1.124477549593697e-07
61	0.9996657443707796	0.00033425562922028454	0.9996656610584161	8.331236338988645e-08
62	0.999712283542158	0.0002877164578420706	0.9997122218170884	6.172506932409857e-08
63	0.9997523453525252	0.0002476546474748549	0.9997522996218005	4.5730724570314244e-08
64	0.9997868307062748	0.00021316929372534115	0.9997867968257819	3.388049261545709e-08
65	0.9998165153660682	0.00018348463393198645	0.9998164902652908	2.5100776991763603e-08
66	0.99984206729469	0.00015793270531013859	0.9998420486986279	1.859606166343506e-08
67	0.999864061602495	0.00013593839750544298	0.999864047825587	1.3776907168143701e-08
68	0.999882993434028	0.0001170065659724621	0.9998829832274573	1.0206569987203366e-08
69	0.9998992890682441	0.0001007109317561814	0.999899281506784	7.561459646486311e-09
70	0.9999133154846919	8.668451530845056e-05	0.9999133098828665	5.601824686035862e-09
