	MAPK	MAPK_P	MAPK_PP	MKK	MKKK	MKKK_P	MKK_P	MKK_PP
0	280.0	10.0	10.0	280.0	90.0	10.0	10.0	10.0
1	260.75516314772284	23.293032297976225	15.951804554300814	211.72393973624656	16.90938275847725	83.09061724152279	41.552197488132386	46.723862775620624
2	98.46591443110204	61.40766419424001	140.12642137465792	89.03576773468103	16.32330055656206	83.67669944343793	68.12417804574017	142.84005421957843
3	0.12159997128612154	1.431940218501043	298.446459810213	17.9015098338603	30.968653549512588	69.0313464504874	60.414633725492244	221.6838564406469
4	0.08494228263216126	1.184240867440081	298.73081684992746	8.907393721539465	45.661121992843185	54.33887800715679	30.1832599604902	260.9093463179697
5	0.08191053346721835	1.1625200025532068	298.75556946397927	10.639044310782205	59.370534230934055	40.629465769065924	24.804364118983216	264.556591570234
6	0.09093844844675188	1.2303200775444112	298.6787414740086	17.996997856675424	71.87017837270211	28.12982162729788	31.496363512274097	250.50663863104992
7	0.11407950565959676	1.3915798969875368	298.4943405973527	34.548037751530266	82.59450243828233	17.405497561717695	42.509363077873516	222.94259917059563
8	0.16811876483881277	1.7220699374212278	298.1098112977397	63.754162380517556	90.56967180479228	9.430328195207755	53.68932494990963	182.55651266957221
9	0.3070211043370076	2.4155001096335944	297.27747878602906	104.29437391029755	94.96856989101886	5.031430108981172	62.3869485109369	133.3186775787651
10	0.7549060019859549	4.084518061190975	295.1605759368225	150.97452039437692	96.54478291962953	3.455217080370484	67.34715028392893	81.67832932169367
11	2.875450605116828	9.172534684691797	287.95201471019084	199.51713747709647	96.9088426809345	3.091157319065501	65.86966974447004	34.61319277843298
12	14.402351094906582	21.88205563144355	263.7155932736493	246.6717059089907	96.80334644959714	3.196653550402882	47.58679298796425	5.741501103044453
13	40.39055557255189	34.63030524277537	224.97913918467214	283.69543049116726	96.29128405886283	3.7087159411371844	15.06313363251628	1.2414358763158244
14	71.51960942350226	44.05671594019126	184.42367463630578	296.0043415862503	95.35040689961613	4.649593100383921	3.462594804282211	0.533063609466374
