	Cvar	Mvar	X
7	0.17828716853776921	0.005467625105653391	5.488875571858893e-05
8	0.20137492744132948	0.006641869937390925	6.68418484744226e-05
9	0.22422989503859017	0.00799207863339463	8.065466596922702e-05
10	0.24685388832245123	0.009560278284846851	9.679030017154208e-05
11	0.2692485773892806	0.011402696290165997	0.00011587597149657378
12	0.2914154389014833	0.01359607656340261	0.00013878035759068346
13	0.3133556864951438	0.016247491804649798	0.0001667370434014098
14	0.33507016368238285	0.01950991858728504	0.00020154741063622478
15	0.35655917397614845	0.023607406541805383	0.00024592398088520796
16	0.37782220295178703	0.02887612168626696	0.00030408742801139627
17	0.39885744973355375	0.03583063564953408	0.0003828270216721797
18	0.4196610170766401	0.045266087174967475	0.0004934043442028746
19	0.4402254879709411	0.058397566558981456	0.0006549617595588615
20	0.4605374069202782	0.07700112810161623	0.0009005901165152212
21	0.4805727865329507	0.10345124956783794	0.001288475233714541
22	0.5002887542648232	0.14051304226021452	0.0019251063915784366
23	0.5196061839150209	0.19086275557765736	0.003024489801383667
24	0.5383662639317709	0.25651572418550495	0.005094274081806261
25	0.556193287932912	0.3383357628110761	0.009669106921116152
26	0.5719315957424594	0.4354022906602064	0.022861969373481474
27	0.581249308415241	0.5428878286144546	0.06772447071838915
28	0.5719413746106243	0.6453078382946014	0.18189168041232087
29	0.5261515725525704	0.7067745268729005	0.3682488688475734
30	0.4334188579633358	0.6672124447638107	0.5655566927464395
31	0.3078521187402455	0.44143320252272145	0.6360270799028332
32	0.20573062540528336	0.00849307641482882	0.36466918015025385
33	0.19738238133957028	0.006426339372268328	6.464374263857376e-05
34	0.2202776403389398	0.007743301631338338	7.810411085662578e-05
35	0.24294161898579897	0.009270076632789889	9.37967820651197e-05
36	0.26537601573145786	0.011060046566157278	0.00011231587609425977
37	0.2875823450321933	0.01318580921232445	0.0001344808981350009
38	0.30956187258510237	0.015748253085850244	0.00016145031885569534
39	0.3313155161661585	0.01889091105385101	0.00019490729998679557
40	0.3528436891816899	0.02282309390366517	0.00023737242152037147
41	0.37414604606761515	0.02785759185159556	0.00029274506015876574
42	0.3952210552412351	0.03447178986022469	0.00036726206614898536
43	0.4160652637088803	0.04340299959479169	0.00047121726469328743
44	0.436672007364607	0.0557824047457891	0.0006220439784549338
45	0.4570291305278667	0.07328116462136335	0.0008498021546303599
46	0.4771149282560048	0.09817637473698919	0.0012071490524488125
47	0.4968906885965401	0.1331933937121838	0.0017894990067787951
48	0.5162855728773744	0.18106558310899856	0.002784586670293091
49	0.5351601457114734	0.2439609769761195	0.004622743049210337
50	0.5531960975175919	0.32297692708492043	0.008544606524684811
51	0.5694625918407095	0.41758114061539897	0.01929212527236681
52	0.5805031169919769	0.5239377910053381	0.055879396697782587
53	0.5756801025719172	0.6291418143951811	0.15620685774035256
54	0.5373905597825136	0.701355076579474	0.3324829333392387
55	0.4527246329670281	0.6847319009262252	0.5354331487535308
56	0.3301942004468915	0.49818091544989357	0.6415982062463033
57	0.21784595620339228	0.06960864789774565	0.44478077415473083
58	0.1933829649033064	0.006216087636117131	0.00013061508649773678
59	0.21631841150640413	0.0075008198227388525	7.562050571957025e-05
60	0.23902242683857008	0.00898776605352503	9.088796125146215e-05
61	0.26149657708672647	0.01072745569444684	0.00010886492329845293
62	0.2837424125788295	0.012788609208200928	0.00013032508010231783
63	0.3057612481360112	0.01526635552432551	0.0001563572617814061
64	0.32755407117542107	0.018295467637827433	0.0001885356054485091
65	0.34912139749109067	0.022071632749570955	0.0002292046368981498
66	0.3704630378174479	0.026886079823323254	0.0002819705414073754
67	0.3915777082634115	0.0331818636017775	0.00035256818367703093
68	0.41246236221455285	0.04164255814348279	0.00045041417981992767
69	0.43311102150041775	0.053320069488471955	0.0005913938295604084
70	0.45351271140098914	0.06978305054623413	0.000802825440966475
71	0.4736477932698095	0.09320666589205116	0.0011324076924106145
72	0.4934812867683997	0.126262822924587	0.0016658395547661815
73	0.512949637460413	0.1717240800969168	0.002568568236051455
74	0.531929883324209	0.2318960953756486	0.004207913480228181
75	0.5501502955186491	0.30809495094653344	0.007595913833120825
76	0.5668546243274796	0.4001341485228625	0.016423716573647273
77	0.5793007199170251	0.5050014810341534	0.046035290481377895
78	0.5783990618324877	0.6120418642889727	0.13296775251805665
79	0.5471796585014902	0.6933152464786694	0.297699265051808
80	0.47079033981958934	0.6971851953709614	0.502610193523782
81	0.3527158268606276	0.5470077910084954	0.6381364698004652
82	0.23300471781692345	0.15769409141043733	0.5111859562238344
83	0.1901221202497522	0.006059412614022114	0.05227781736250068
84	0.21235219910407974	0.007264400461044522	7.320128154362264e-05
85	0.23509630325354486	0.008713034225818176	8.806034699945862e-05
86	0.2576102538996023	0.010404496015766946	0.0001055182617137606
87	0.2798956354508546	0.012403877839117372	0.00012630598833016565
88	0.301953809129568	0.01480094063945118	0.00015144773352080484
89	0.3237858277308451	0.01772232631489725	0.0001824169954518119
90	0.3453923025518965	0.02135112252346346	0.00022139666694468365
91	0.3667731891624362	0.025958666495405423	0.0002717251623516241
92	0.3879274317344091	0.03195633463982384	0.00033868090467810956
93	0.408852355711292	0.03997784922885423	0.00043088514621433447
94	0.42954260821215706	0.051000500567746306	0.0005628209380659733
95	0.4499882879642571	0.0664935249366587	0.0007593253247623584
96	0.47017162856624783	0.08852712705007774	0.001063639153176984
97	0.49006100420100773	0.11970750664601275	0.0015528972048793257
98	0.5095992912504785	0.1628286420873712	0.002373519255668593
99	0.5286776277495375	0.22031801835855785	0.0038410857102897634
100	0.547062426173097	0.2936965483867431	0.006788432624385704
