	A	EC	Y	Z
0	0.45	1000.0	0.36	0.0
1	0.5688258076402513	999.8070364877614	0.4802782606235281	0.07268525161327027
2	0.6847527770330857	999.6320296034238	0.6509747491624747	0.07699564741076284
3	0.798028871824084	999.460932120274	0.8182566636370852	0.08081121608544097
4	0.9083182972259423	999.2936654405461	0.9816696364177435	0.08466492303245031
5	1.0152407800614307	999.1302853062729	1.1411261082245001	0.08858858549883857
6	1.1183720960042052	998.9708744433284	1.2965177321431318	0.09260782452504303
7	1.2172270079785728	998.8155420639075	1.4477073630803776	0.09675057300868875
8	1.3112362387157872	998.6644278313069	1.59452181251711	0.10105035617234248
9	1.3997146336451545	998.5177092962127	1.7367405032029988	0.10555020057971193
10	1.481814451044939	998.3756141638197	1.8740771595234276	0.11030867665185873
11	1.5564517332820853	998.23844062729	2.0061487997008762	0.11541057300454463
12	1.6221800316851365	998.1065928191834	2.13241929430183	0.12098788650861247
13	1.6769497552291994	997.9806480151046	2.2520855536447764	0.1272664312435303
14	1.7175788092783468	997.8615008794412	2.363811466378354	0.13468765417280276
15	1.73830833083066	997.750738058619	2.4649469382171114	0.14431500315528273
16	1.725062032109141	997.6519883337864	2.548104524681193	0.15990714152145666
17	1.5944428946472935	997.5815181724333	2.559240329897419	0.21924149765320977
18	0.26779471923223247	997.8769497570446	1.5629420689659033	0.9201081739732391
19	0.14614474323675558	998.4367920560205	1.3302611816669248	0.5929467622965136
20	0.17381158703333618	998.6120977073805	1.4363662316387669	0.3115360609625127
21	0.23785131905681164	998.637170400243	1.4557058316177467	0.267123768119651
22	0.203608316991953	998.7442060735532	1.1422556441896354	0.4735382822371981
23	0.17391555693131477	998.9407752860385	1.0382417194942952	0.38098299444753564
24	0.2100900320935036	999.0208278090685	1.0386735596710444	0.300498631239423
25	0.21912636361988314	999.0948214698427	0.8875883957262359	0.3775901344121196
26	0.18737275716552224	999.2473193347157	0.7287759634768943	0.38390470179133585
27	0.2120098849515066	999.3346448266539	0.7278178592612878	0.29753731406745787
28	0.2591686282698071	999.3591917619739	0.7433384298994296	0.257469808109213
29	0.30943784694541915	999.3530295091302	0.78251880010968	0.22445169074612817
30	0.4023835291129971	999.2674238903223	0.9898237851586301	0.10275232450353738
31	0.5189903573345934	999.1088134411564	1.1618474936942491	0.0893390651365592
32	0.6328419383918414	998.9499496040761	1.31694025878361	0.09311013712863143
33	0.7427130075170445	998.7951345178432	1.46758105011844	0.09728443202692097
34	0.8479230037040059	998.6445707496188	1.6138117637633185	0.10161748660661231
35	0.9477342235972338	998.4984369120127	1.7554097934573536	0.10615329451793011
36	1.0412873652943135	998.3569656890135	1.8920792896334941	0.11095502134013642
37	1.1275245987168914	998.2204651933924	2.023421743324525	0.11611306327100379
38	1.2050639935769123	998.0893566201769	2.148874687945677	0.12176869186569365
39	1.271965184269837	997.9642476179632	2.2675857664234864	0.12816661560043432
40	1.3252117690840346	997.8460935474174	2.378111014070989	0.13579543849813586
41	1.3592584932386407	997.7366304441173	2.477493697951125	0.14587585791700022
42	1.3598461100121533	997.6400358207158	2.5568998516996713	0.16306432756733952
43	1.215856942156469	997.579022808007	2.5298500103942465	0.2511271815778911
44	0.212416577207875	997.9566866020398	1.5039293057027143	0.8993840922375537
45	0.14563064667658576	998.4264145043394	1.4249910208041396	0.5085944748356593
46	0.1850922620108932	998.5548697818151	1.5086638459918873	0.2964663721681362
47	0.23183950078994958	998.5943754231973	1.4389753625277215	0.326649214250656
48	0.18024232516588545	998.763328010605	1.1452020659633646	0.4514699234074451
49	0.18497215428345343	998.9094513381283	1.1072431068186392	0.3433055550256658
50	0.21321362544907235	998.985490525799	1.0421032996388648	0.3324061745382717
51	0.19603106147575639	999.1068722335445	0.8554143937429267	0.3977133726857661
52	0.19521945282212685	999.2321550456699	0.7844365284492119	0.34340842585501236
53	0.22098985905703897	999.3036449876664	0.7445768303674275	0.31177818193844026
54	0.21949389929757185	999.3861154395051	0.6110240720929335	0.36286048837388707
55	0.20561814144460533	999.5001912282828	0.5181130337993487	0.3416957378928553
56	0.2416107587038612	999.5494492805976	0.5588395555620604	0.2517111638179176
57	0.33995551538242286	999.4703000150495	0.7925533057062671	0.09714667922101233
58	0.45861434705694337	999.3064613074529	0.9690588021157086	0.08447989041110364
59	0.5747742154496365	999.1427539115524	1.1290126145267356	0.08823347390182185
60	0.68754054841392	998.98299458649	1.284741068239594	0.09226434525260792
61	0.7963283150976489	998.8273197171003	1.4362728300098566	0.09640745287159151
62	0.9005155728308432	998.6758591315893	1.583441198601822	0.10069966979023798
63	0.9994053800601562	998.5287835183356	1.726030771659097	0.10518570998602222
64	1.0921790044573148	998.3863142974	1.8637619297294754	0.10992377285056647
65	1.1778263595477827	998.248742175505	1.9962612448895494	0.11499657958475944
66	1.2550332087421627	998.116460596131	2.1230078714269447	0.12053153242074753
67	1.321974647821393	997.9900292257742	2.24322636854834	0.1267444056549859
68	1.375873775965979	997.8703089360889	2.3556395277572353	0.13405153613139634
69	1.4118310339749887	997.7588060828919	2.457758788231164	0.14343512885336399
70	1.4183701902939896	997.6588714977306	2.5429042274160523	0.15822427482735843
71	1.3366503509310237	997.5841757510286	2.568640233305946	0.2071840156342232
72	0.27897801566557995	997.8225991028866	1.6641356098186615	0.8732652872639692
73	0.14703956075085925	998.3708255090002	1.3913033987188064	0.5978710922499753
74	0.17205949752411762	998.5529718561629	1.488010465616341	0.3190176781891489
75	0.22949254235979671	998.5901596729983	1.4793982762781686	0.2904420506903254
76	0.19109736120595394	998.7233002179161	1.1741351682958956	0.4625646137548154
77	0.17846627167901657	998.8955963077626	1.099651668672334	0.36475202353265274
78	0.20980456197554295	998.9765549746827	1.064413174862684	0.31903185042048915
79	0.2033720338323666	999.0794252879042	0.8871935344833412	0.39338117757706426
80	0.19111343950634388	999.216935893964	0.7828543353067057	0.3602097706958649
81	0.21567140663227172	999.2967815780336	0.7539888126829054	0.30922960924566384
82	0.2278413598843132	999.3642969809937	0.6523781069072274	0.3433249120636039
83	0.20456012264315274	999.4808728481947	0.516232915549967	0.36289423622149786
84	0.22708823158465907	999.552978306584	0.530940844447285	0.2760808489356232
85	0.31304470472810564	999.5067820749464	0.7363414701368813	0.11687645488397859
86	0.4317783060464729	999.3471965141722	0.9289845341499008	0.08381895164554902
87	0.5486362815231379	999.1825865490948	1.0901534197940697	0.08726003107934628
88	0.6622424024497144	999.0218411300373	1.24689284332091	0.09126602661021024
89	0.7720123890291124	998.8651533031369	1.3994683647946273	0.09537833203676176
90	0.8773380567699822	998.7126442115812	1.5477257537497673	0.09963003463696628
91	0.9775450966429752	998.5644739058052	1.6914623832505993	0.10406371091235192
92	1.0718502556428282	998.4208500741224	1.8304165326555784	0.1087333931894342
93	1.1592986389326283	998.2820440621323	1.9642415376147966	0.11371440022013836
94	1.2386645338303544	998.1484197758908	2.0924598152380094	0.11912040883834506
95	1.3082755830517003	998.020487479063	2.2143734530281423	0.12513906787477938
96	1.36565242888461	997.899014432686	2.3288661792105665	0.13211938806966347
97	1.406609999825311	997.7852925017119	2.4338700157716793	0.14083748248097086
98	1.4221977502410803	997.6819852195454	2.5243746021485816	0.1536401782692131
99	1.3785578690497127	997.5977719039063	2.577474199475457	0.18475389657755384
100	0.4550309014121426	997.6873446175836	1.964698218403222	0.7079571639700086
