	ACA	ADP	AMP	ATP	BPG	EtOH	F6P	FBP	GAP	Glc	NAD	NADH	PEP	Pyr
0	0.058101234365537956	0.10718769154322402	0.0025613740093758616	4.491643981700184	0.33676377936160645	5.0598719811974595	0.6311585944210811	0.009711940261209619	0.002486591342658605	0.011281750822644874	3.5978770764417782	0.6392722587402608	0.002373585310578514	0.0047569483470631235
1	0.05355149430617792	0.10587732398888888	0.0024934634426714342	4.4930197545915505	0.31320362010588	5.108510783791094	0.6498622536228185	0.007565530770749633	0.0018995994739053736	0.011281646927429693	3.626593673705926	0.6105607880574779	0.002194714966008369	0.00432934981345807
2	0.052004430855662365	0.11128575100029084	0.0027548930423316456	4.487347397256173	0.2896940269728608	5.150985813754979	0.6651124512549021	0.008291785578225831	0.0020345295272150396	0.011281834116430222	3.6519024623309306	0.5852571167942918	0.00206549754193597	0.004206663854990453
3	0.052821308144600204	0.12120308278713092	0.0032732713270245987	4.476909190957578	0.27179380030468503	5.190954517066913	0.6738161040130669	0.011267554222657846	0.0027131780169410953	0.01128221595271585	3.668945096581118	0.5682195907029596	0.001999250069527512	0.004313854704163764
4	0.055571405331514556	0.13443866741039692	0.004038731327904155	4.462905654595538	0.264565977282953	5.231593792231571	0.6723561997140489	0.016894386226944877	0.0039962411232871186	0.011282745123006947	3.673034017024817	0.5641357692316991	0.0020240019611176144	0.004678136040931076
5	0.06022396092814484	0.14886535082542213	0.004971200152641249	4.4475440150989805	0.2733921828000458	5.276383841505043	0.6570136615944363	0.025486941204180383	0.00592577736595283	0.011283349113117699	3.6586995442639276	0.5784753317951303	0.00217801276192933	0.005380064314785265
6	0.0662779196188541	0.1576419094703603	0.005597392962361978	4.438138780860556	0.30030408470103714	5.3295044979902455	0.6296791194022336	0.033931345740451486	0.007841226016311044	0.011283777255477837	3.624522235942928	0.612657720765268	0.002452718354340159	0.006317033470171825
7	0.07047143222199212	0.14935432857293726	0.005031248735269957	4.446990027666301	0.3341239066743076	5.393237978383528	0.6075785825204051	0.03292348154740228	0.007808276729807771	0.01128354366007553	3.58585887292213	0.6513261552982621	0.002676224849134613	0.006743782030000269
8	0.06814945819432029	0.12747175441200684	0.0036506825040511378	4.470250694196638	0.3518257083604853	5.461699199897551	0.6075981228651472	0.021603700184771167	0.005385390607727347	0.011282669534143062	3.571194553436322	0.6659955371757543	0.002650306303084859	0.006054418606053255
9	0.06131343429955641	0.1107771528474717	0.0027411080788199028	4.48785240077354	0.34495725992717224	5.523854133084619	0.6228923309347435	0.012027685826182797	0.0030818468352628303	0.011281926572692962	3.5860691688695936	0.6511259750300579	0.002462532423013567	0.005072275176831419
10	0.055494107180290915	0.10542764655311104	0.0024739547796911996	4.49346659539511	0.32385527102684464	5.575516012366479	0.6419606011310516	0.00805602948865569	0.0020435998343014336	0.011281648861704829	3.6137885837219486	0.6234116043775402	0.002267036289202849	0.004469897867714617
11	0.0527164572139777	0.10828685496610704	0.002607780277989187	4.490471100944855	0.2995208700621969	5.619289255864769	0.6591007033353147	0.007694398316967547	0.0019059603913284399	0.011281725667332272	3.641292972699347	0.5959122505285881	0.0021149785073272813	0.00422984258765169
12	0.052601622439094664	0.11641813609861129	0.003017271217454085	4.48192787275891	0.278578465503032	5.659050737216806	0.6710467018903512	0.009686233968104335	0.0023507984167253425	0.011282030378272578	3.6624369207222807	0.5747733285790217	0.0020189544979508462	0.004239382488032244
13	0.054544363702832215	0.12835455828961095	0.0036764110278963277	4.469329859060522	0.2660493876809516	5.698123805058732	0.6745049025740404	0.014076750595511724	0.003355952376163337	0.01128250052585684	3.6727993291133805	0.5644159372224932	0.0019995656250393714	0.00448292370419672
14	0.05836811462798182	0.14271668744406316	0.00456090814042641	4.454080785505679	0.26728034501628184	5.739753676058839	0.6655304563504788	0.021440555878134968	0.005020588435588803	0.011283087579129662	3.6671038134590046	0.5701164608889021	0.0020932922354722854	0.005030228260516549
