	species_1	species_10	species_11	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0	300.0	1000.0	20.0	0.0	1199.99994221	0.0	0.0	1199.99994221	0.0	0.0	100.0
1	73.11275100416763	1000.0	20.0	226.88724899583298	1197.0447486295957	2.7530179121925404	0.20217566820956837	1199.9974666029789	0.002474823642232619	7.833779823341269e-07	100.0
2	54.419546061185294	1000.0	20.0	245.5804539388151	1196.7268516257072	3.0299350194443684	0.24315556484640513	1199.996885059305	0.0030559298523080143	1.2208435378542839e-06	100.0
3	53.83655947883997	1000.0	20.0	246.16344052116028	1196.7166136964652	3.0388066547000645	0.24452185883340075	1199.9968651255376	0.003075846675003746	1.2377880556374808e-06	100.0
4	53.820268091331194	1000.0	20.0	246.17973190866903	1196.716327275398	3.0390548122094962	0.2445601223899737	1199.996864566708	0.003076405027957957	1.2382650429881987e-06	100.0
5	53.81981440617072	1000.0	20.0	246.18018559382952	1196.7163192988432	3.0390617231291226	0.24456118802427884	1199.996864551145	0.0030764205784547653	1.2382783289334356e-06	100.0
6	53.81980177282976	1000.0	20.0	246.1801982271705	1196.7163190767274	3.039061915571103	0.24456121769803835	1199.9968645507117	0.003076421011475804	1.2382786988966836e-06	100.0
7	53.81980142108716	1000.0	20.0	246.18019857891312	1196.716319070543	3.039061920929149	0.24456121852422713	1199.9968645507	0.0030764210235321382	1.23827870919735e-06	100.0
8	53.81980141117989	1000.0	20.0	246.18019858882042	1196.716319070369	3.0390619210800676	0.24456121854749796	1199.9968645506997	0.0030764210238717364	1.238278709487485e-06	100.0
9	53.819801410970605	1000.0	20.0	246.18019858902971	1196.7163190703654	3.0390619210832552	0.24456121854798962	1199.9968645506997	0.0030764210238789077	1.2382787094936131e-06	100.0
10	53.81980141085578	1000.0	20.0	246.18019858914454	1196.7163190703636	3.0390619210850054	0.2445612185482592	1199.9968645506997	0.003076421023882845	1.2382787094969756e-06	100.0
11	53.819801410795186	1000.0	20.0	246.18019858920513	1196.716319070363	3.0390619210859056	0.24456121854839966	1199.9968645506997	0.0030764210238848903	1.2382787094987663e-06	100.0
12	53.8198014108711	1000.0	20.0	246.1801985891292	1196.7163190703645	3.039061921084772	0.24456121854822302	1199.9968645506997	0.0030764210238823086	1.238278709496506e-06	100.0
13	53.81980141084786	1000.0	20.0	246.18019858915244	1196.716319070364	3.0390619210851266	0.2445612185482778	1199.9968645506997	0.003076421023883117	1.2382787094972048e-06	100.0
14	53.8198014108896	1000.0	20.0	246.18019858911066	1196.7163190703645	3.0390619210844894	0.24456121854817955	1199.9968645506997	0.0030764210238816824	1.238278709495991e-06	100.0
15	53.819801410863086	1000.0	20.0	246.1801985891372	1196.716319070364	3.0390619210848935	0.24456121854824178	1199.9968645506997	0.0030764210238826153	1.2382787094967916e-06	100.0
16	53.81980141087434	1000.0	20.0	246.18019858912595	1196.7163190703643	3.03906192108472	0.2445612185482162	1199.9968645506997	0.0030764210238821256	1.2382787094963272e-06	100.0
17	53.819801410875755	1000.0	20.0	246.18019858912453	1196.7163190703643	3.039061921084699	0.24456121854821203	1199.9968645506997	0.0030764210238821486	1.238278709496375e-06	100.0
18	53.819801410875215	1000.0	20.0	246.18019858912507	1196.7163190703643	3.0390619210847083	0.24456121854821336	1199.9968645506997	0.003076421023882177	1.2382787094964054e-06	100.0
19	53.81980141087485	1000.0	20.0	246.18019858912544	1196.7163190703643	3.039061921084713	0.2445612185482141	1199.9968645506997	0.003076421023882187	1.2382787094964143e-06	100.0
20	53.81980141087476	1000.0	20.0	246.18019858912555	1196.7163190703643	3.0390619210847154	0.2445612185482145	1199.9968645506997	0.003076421023882192	1.2382787094964183e-06	100.0
21	53.81980141087477	1000.0	20.0	246.18019858912555	1196.7163190703643	3.0390619210847154	0.24456121854821444	1199.9968645506997	0.0030764210238821916	1.2382787094964179e-06	100.0
22	53.81980141087477	1000.0	20.0	246.18019858912555	1196.7163190703643	3.0390619210847154	0.24456121854821447	1199.9968645506997	0.003076421023882192	1.2382787094964183e-06	100.0
23	53.81980141087479	1000.0	20.0	246.18019858912555	1196.7163190703643	3.039061921084716	0.24456121854821442	1199.9968645506997	0.003076421023882192	1.238278709496418e-06	100.0
24	53.81980141087478	1000.0	20.0	246.18019858912555	1196.7163190703643	3.0390619210847154	0.2445612185482144	1199.9968645506997	0.0030764210238821907	1.238278709496417e-06	100.0
25	53.819801410874774	1000.0	20.0	246.18019858912558	1196.7163190703643	3.0390619210847154	0.24456121854821444	1199.9968645506997	0.0030764210238821924	1.238278709496418e-06	100.0
26	53.81980141087477	1000.0	20.0	246.1801985891256	1196.7163190703643	3.0390619210847163	0.24456121854821458	1199.9968645506997	0.003076421023882194	1.2382787094964196e-06	100.0
27	53.81980141087476	1000.0	20.0	246.1801985891256	1196.7163190703643	3.0390619210847163	0.24456121854821455	1199.9968645506997	0.0030764210238821937	1.2382787094964191e-06	100.0
28	53.81980141087475	1000.0	20.0	246.1801985891256	1196.7163190703643	3.039061921084716	0.24456121854821453	1199.9968645506997	0.003076421023882193	1.238278709496419e-06	100.0
29	53.81980141087475	1000.0	20.0	246.1801985891256	1196.7163190703643	3.0390619210847167	0.2445612185482146	1199.9968645506997	0.0030764210238821937	1.2382787094964196e-06	100.0
30	53.81980141087475	1000.0	20.0	246.1801985891256	1196.7163190703643	3.039061921084716	0.2445612185482145	1199.9968645506997	0.0030764210238821933	1.238278709496419e-06	100.0
