time	beta	g	ins	mbeta	tamox
0.0.	400.0	4.966667	11.42	0.0	0.27
576.0.	364.5331109625015	4.62419784403906	12.612311238322015	33.00820769720381	0.178133567949323
1152.0.	339.91586381056203	4.438218702245951	13.119030738575729	51.70947871707073	0.11752432604613201
1728.0.	321.9440845370403	4.354083680078551	13.351190007062245	62.011979669596926	0.07753713893766401
2304.0.	308.36651158091803	4.3277835259452875	13.409476910688358	67.26675543756484	0.051155434182175004
2880.0.	297.8381299324054	4.335466517491408	13.361382728038548	69.44638276279318	0.033750000084087003
3456.0.	289.5074183281223	4.363457997860283	13.250477960161927	69.74265360960574	0.022266696101324
4032.0.	282.81422396372847	4.403533991407814	13.104483375758427	68.88922415400346	0.014690540896843001
4608.0.	277.3779847666778	4.450569030211555	12.940887373557413	67.34372340136794	0.009692142486969
5184.0.	272.932203292084	4.501290096390535	12.77062273310804	65.39414056043496	0.006394429385955001
5760.0.	269.284807757757	4.5535755186795015	12.600432030815357	63.22265671200992	0.004218750120009
6336.0.	266.29359379255715	4.60603965261648	12.434383824481863	60.944729412607074	0.002783337104825
6912.0.	263.85065371223	4.657776715300984	12.274844568331039	58.633394709669034	0.0018363176814
7488.0.	261.8722672259261	4.708198030541436	12.123101996031457	56.334554302472924	0.001211517865076
8064.0.	260.2921795492496	4.756926454457082	11.979764993903743	54.0766779758485	0.0007993037110430001
8640.0.	259.0570270293162	4.803726919954553	11.84501992907856	51.877004472362074	0.000527343789889
9216.0.	258.12315498131613	4.8484603059382945	11.718794698492998	49.74552643524182	0.00034791715450900005
9792.0.	257.45435789224115	4.8910525949813195	11.600863428759467	47.68756272946085	0.00022953972099900002
10368.0.	257.0202433270007	4.931474149758933	11.490913006706881	45.70542492309657	0.000151439740275
10944.0.	256.79502566449105	4.969725728442652	11.388585074431164	43.79950008129654	9.991296859196845e-05
11520.0.	256.75662134328365	5.005829006029221	11.293502269856795	41.96895591854476	6.591797684463773e-05
12096.0.	256.8859591675874	5.039820116485154	11.205284370002646	40.21220076175308	4.3489646364480897e-05
