time	beta	g	ins	mbeta	tamox
12672.0.	257.1664464857129	5.071745224038555	11.123557981843105	38.52718383197756	2.8692466477928055e-05
13248.0.	257.5835501076529	5.101657459944217	11.047962128596225	36.91159124904022	1.8929968427138125e-05
13824.0.	258.1244629666581	5.129614780036263	10.978151242777036	35.362973773891696	1.2489121662932162e-05
14400.0.	258.777835801587	5.155678444975857	10.91379653766697	33.87882976760832	8.239747494132645e-06
14976.0.	259.5335588448425	5.179911923358332	10.854586380558585	32.456658714143224	5.436206051909449e-06
15552.0.	260.3825824870064	5.202380083733733	10.800226066364406	31.093995363489057	3.586558478868499e-06
16128.0.	261.316768706308	5.223148585771199	10.750437245172757	29.788431100751154	2.366246164974799e-06
16704.0.	262.32876706569186	5.24228341039733	10.704957163870128	28.537626889722954	1.561140281483539e-06
17280.0.	263.41191053870773	5.259850488550791	10.663537821804228	27.339320660171165	1.0299684853357e-06
17856.0.	264.5601274944628	5.275915401437496	10.625945101857969	26.19133103611694	6.795257885323504e-07
18432.0.	265.76786696539483	5.290543134006054	10.591957913625436	25.091558662445102	4.4831983099950025e-07
19008.0.	267.0300349181047	5.303797869245838	10.561367369697075	24.037985964854386	2.957807845696673e-07
19584.0.	268.34193970147055	5.315742814817519	10.53397600618041	23.028675898825327	1.951425443875702e-07
20160.0.	269.6992451959688	5.326440056114847	10.509597052437385	22.061770058077194	1.287460667381028e-07
20736.0.	271.09793046062225	5.335950431567399	10.488053751270913	21.13548638988045	8.494072757200263e-08
21312.0.	272.53425488860546	5.344333427122582	10.469178728574278	20.248116682544314	5.6039981517554834e-08
21888.0.	274.0047280532503	5.351647087588897	10.452813410208268	19.398023935558122	3.697259981468567e-08
22464.0.	275.5060835632258	5.357947943013531	10.43880748322958	18.583639686096625	2.4392819198712292e-08
23040.0.	277.0352563565501	5.363290948593551	10.427018398328308	17.803461340865926	1.609325910115542e-08
23616.0.	278.5893629534832	5.367729436839715	10.417310910293027	17.05604954557285	1.06175914471827e-08
24192.0.	280.1656842625257	5.371315080863482	10.409556653414088	16.340025612992843	7.004998020021542e-09
24768.0.	281.7616505949558	5.374097867766565	10.403633748899626	15.6540690229264	4.621575194770376e-09
25344.0.	283.37482859412694	5.376126081194548	10.399426441577344	14.996915002094237	3.049102543622297e-09
25920.0.	285.0029098280781	5.377446292182014	10.396824763365208	14.36735218844047	2.011657482506002e-09
26496.0.	286.64370082945373	5.378103357473214	10.395724221203261	13.764220381861925	1.327198993483137e-09
27072.0.	288.29511439650946	5.378140424553075	10.396025507338075	13.18640838170518	8.756247937935916e-10
27648.0.	289.95516199411406	5.377598942671128	10.397634230038204	12.632851910229792	5.776969265881315e-10
28224.0.	291.6219471149299	5.376518679186687	10.400460662990964	12.10253162046284	3.811378359256953e-10
28800.0.	293.2936594790282	5.374937740608133	10.40441951178805	11.594471186354633	2.514571971709476e-10
29376.0.	294.968569965605	5.37289259774266	10.409429696050223	11.107735472810996	1.6589988200855503e-10
29952.0.	296.64502618364554	5.370418114415295	10.41541414587077	10.641428782970879	1.094531043855616e-10
30528.0.	298.321448599701	5.367547579257313	10.422299611374413	10.19469317998182	7.221211922874584e-11
31104.0.	299.9963271506983	5.364312740104137	10.430016484294221	9.766706880473961	4.764223173732552e-11
31680.0.	301.66821827813567	5.360743840581311	10.43849863056487	9.356682716927349	3.14321511285807e-11
32256.0.	303.33574232735157	5.356869658493939	10.447683233017878	8.963866666153763	2.073748622896478e-11
32832.0.	304.9975812619448	5.352717545669969	10.457510643342765	8.587536441163957	1.368163869336556e-11
33408.0.	306.6524766490256	5.348313468940788	10.4679242425507	8.227000143756799	9.02651532924694e-12
33984.0.	308.2992278759151	5.343682051973695	10.478870309242241	7.881594975243443	5.9552792479924125e-12
34560.0.	309.9366905632616	5.338846617699917	10.490297895041008	7.550686002803425	3.929019076349129e-12
35136.0.	311.56377514343495	5.333829231108876	10.502158706610109	7.233664979057893	2.592185900857529e-12
35712.0.	313.17944557650344	5.328650742204504	10.51440699371844	6.929949212535667	1.7102049173169962e-12
36288.0.	314.78271817922194	5.323330828942531	10.526999442870682	6.638980486799294	1.128314469362583e-12
36864.0.	316.37266054524423	5.317888039988856	10.539895076057334	6.360224026089223	7.44409941102393e-13
37440.0.	317.94839053731255	5.312339837158649	10.553055154220898	6.093167505434106	4.911274077032099e-13
38016.0.	319.5090753344758	5.306702637413427	10.566443085070548	5.83732010326319	3.240232528868084e-13
38592.0.	321.0539305194856	5.300991854309507	10.580024334911423	5.592211594642509	2.137756247454124e-13
39168.0.	322.5822191934267	5.295221938805861	10.593766344185909	5.357391483339744	1.410393153211627e-13
39744.0.	324.0932511064022	5.289406419352473	10.607638446452823	5.132428171002842	9.305124702571707e-14
40320.0.	325.5863817946927	5.28355794119223	10.621611790557218	4.916908161814981	6.139092885784746e-14
40896.0.	327.0610117162859	5.277688304820002	10.635659265767881	4.710435301062723	4.050290852080331e-14
41472.0.	328.5165853780223	5.271808503552161	10.649755429682228	4.512630046125541	2.6721954353275138e-14
42048.0.	329.95259044884546	5.265928760168239	10.66387643871904	4.323128768463246	1.762991524650037e-14
42624.0.	331.36855685477303	5.260058562594184	10.677999981038525	4.141583085242996	1.16314064267044e-14
43200.0.	332.76405585224074	5.2542066986033085	10.692105211746629	3.9676592193100673	7.673866469099228e-15
43776.0.	334.13869907741014	5.248381289517217	10.706172690256354	3.801037386265972	5.062863803844453e-15
44352.0.	335.4921375698802	5.242589822894248	10.72018431969326	3.641411207474291	3.3402444516717174e-15
44928.0.	336.824060770008	5.236839184197792	10.734123288245511	3.488487147868602	2.2037395097319264e-15
45504.0.	338.134195489728	5.231135687440996	10.747974012370403	3.341983977488443	1.4539258718992732e-15
46080.0.	339.42230485736593	5.225485104808186	10.76172208178001	3.201632255718193	9.592333538709422e-16
46656.0.	340.68818723747387	5.219892695256518	10.7753542061379	3.067173837250461	6.32858005323563e-16
47232.0.	341.93167512717906	5.214363232104343	10.788858163407209	2.938361398839953	4.1753057614800645e-16
47808.0.	343.15263403093303	5.208901029615307	10.802222749797677	2.81495798595602	2.754674517064141e-16
48384.0.	344.35096131588006	5.203509968589422	10.815437731265684	2.696736578482307	1.8174074255756252e-16
48960.0.	345.5265850503379	5.198193520974375	10.828493796526578	2.583479674650131	1.199041748880604e-16
49536.0.	346.6794628281025	5.192954773512	10.841382511543848	2.4749788924286102	7.91072543958214e-17
50112.0.	347.8095805814503	5.187796450436367	10.854096275462869	2.371034587629196	5.219132447963115e-17
50688.0.	348.9169513858346	5.182720935241264	10.866628277961043	2.271455488015166	3.4433433087042266e-17
51264.0.	350.0016142593403	5.177730291535923	10.878972457988288	2.176058342738034	2.2717593890964542e-17
51840.0.	351.06363295999375	5.172826283008858	10.891123463874182	2.084667586452649	1.4988022567781662e-17
52416.0.	352.1030947840257	5.168010392520467	10.903076614779811	1.9971150174912011	9.888407265774696e-18
52992.0.	353.12010936813795	5.163283840345753	10.914827863473352	1.913239489503401	6.5239158675952024e-18
53568.0.	354.114807498766	5.158647601589068	10.926373760409405	1.832886615995926	4.3041793388478556e-18
54144.0.	355.0873399312312	5.154102422793299	10.937711419092652	1.75590848722874	2.8396993702792284e-18
54720.0.	356.03787622156335	5.149648837766163	10.948838482706458	1.682163398949388	1.8735029093194785e-18
55296.0.	356.96660357364027	5.145287182646681	10.959753091987135	1.6115155924686602	1.2360509665089682e-18
55872.0.	357.87372570413845	5.141017610234977	10.970453854324363	1.5438350056023231	8.154895219045661e-19
56448.0.	358.75946172763145	5.1368401036087	10.980939814067904	1.478997034023971	5.380224427269298e-19
57024.0.	359.62404506399236	5.132754489049394	10.991210424020068	1.416882302593401	3.549624380234868e-19
57600.0.	360.46772237008787	5.128760448302088	11.001265518093234	1.357376446244537	2.341878760254957e-19
