	T	Tstar	Tstarstar	Ttot	V
0	1000.0	0.0	0.0	1000.0	0.001
1	999.9999862223792	1.085285265827695e-05	1.3238960255162054e-07	999.9999972076224	1.3075885142297204e-05
2	999.9999819243928	1.346933063688185e-05	1.64315153493816e-07	999.9999955580395	1.6229207307667347e-05
3	999.999977239846	1.6716702912478627e-05	2.039305239548662e-07	999.9999941604801	2.014196917417075e-05
4	999.9999716432355	2.0746996959421926e-05	2.530969156830378e-07	999.9999926433303	2.4998073723195602e-05
5	999.9999647700594	2.574896780078549e-05	3.1411699492599755e-07	999.9999908331456	3.102495254434394e-05
6	999.9999562640963	3.1956884510133834e-05	3.8984865778906647e-07	999.9999886108307	3.850487654155811e-05
7	999.999945715543	3.966149223550812e-05	4.838387649727782e-07	999.9999858608752	4.778816482620905e-05
8	999.9999326265295	4.92236317446898e-05	6.004892876134286e-07	999.9999824506516	5.930959471885432e-05
9	999.9999163827503	6.10911421241278e-05	7.452635079719724e-07	999.9999782191567	7.360876795321554e-05
10	999.9998962230006	7.581983491712494e-05	9.249418867893174e-07	999.9999729677783	9.135538237758468e-05
11	999.9998712029656	9.40995212449424e-05	1.1479395733569015e-06	999.9999664504272	0.00011338059203599762
12	999.9998401507902	0.00011678632530307682	1.4247006051564278e-06	999.9999583618172	0.00014071594179374477
13	999.9998016121517	0.00014494276770692354	1.7681868928787263e-06	999.9999483231074	0.00017464166379269451
14	999.9997537821059	0.00017988754150541244	2.194485448634397e-06	999.999935864134	0.00021674665264700727
15	999.9996944205516	0.00022325726920510857	2.723561773138506e-06	999.9999204013841	0.00026900287658541223
16	999.9996207473384	0.000277083135407455	3.3801947138195955e-06	999.9999012106701	0.000333857712260056
17	999.9995293120198	0.0003438860452872418	4.195137323875212e-06	999.9998773932041	0.00041434860140050506
18	999.9994158323015	0.0004267946529876165	5.206556716750263e-06	999.9998478335128	0.0005142452635166428
19	999.9992749934705	0.0005296918993400443	6.46182171265908e-06	999.9998111471933	0.0006382262596148686
20	999.9991001994665	0.0006573968788526393	8.019721475529383e-06	999.9997656160687	0.0007920981243392779
21	999.9988832640167	0.0008158904965870378	9.953218353962045e-06	999.9997091077336	0.0009830672608330383
22	999.9986140272872	0.001012595540950803	1.23528645564367e-05	999.9996389756946	0.0012200774017617662
23	999.9982798801217	0.001256724273813374	1.5331042489299984e-05	999.99955193544	0.0015142284226027972
24	999.9978651733871	0.001559709958618599	1.9027229079402816e-05	999.9994439105762	0.0018792962927992594
25	999.9973504852591	0.0019357421759953538	2.3614526233696902e-05	999.9993098419636	0.002332378081948265
26	999.996711711843	0.002402431205436602	2.9307765820665677e-05	999.9991434508299	0.0028946924799460524
27	999.9959189388079	0.002981632400752575	3.6373566476869765e-05	999.998936944788	0.0035925730970662035
28	999.9949350399444	0.003700470053139838	4.514282404724225e-05	999.9986806528334	0.004458702131920667
29	999.9937139398872	0.004592606605074357	5.602619517711608e-05	999.9983625726998	0.0055336396706610995
30	999.9921984568626	0.005699818683731024	6.953332396125908e-05	999.9979678088825	0.006867722685363248
31	999.9903176259506	0.007073952625344573	8.629669823853236e-05	999.9974778752866	0.008523421299937209
32	999.9879833775556	0.00877935103445766	0.00010710125238069306	999.9968698298549	0.010578262635004687
33	999.9850864167316	0.010895863112052718	0.00013292109197128485	999.9961152009481	0.013128458080480217
34	999.981491110292	0.013522579765822818	0.0001649650608256809	999.9951786551316	0.016293403926656402
35	999.9770291407884	0.016782469441166688	0.00020473329697397812	999.9940163435392	0.020221267379079005
36	999.9714916406542	0.02082812403276971	0.0002540873321048839	999.9925738520319	0.02509591027123154
37	999.9646194250588	0.025848893387823747	0.00031533713282768744	999.9907836555923	0.031145486141000055
38	999.9560908863778	0.03207972748769218	0.0003913489774747561	999.9885619628559	0.03865309527137266
39	999.945506980739	0.03981214200272216	0.0004856792413439754	999.9858048019966	0.04796999877344741
40	999.9323726069803	0.04940781776675304	0.0006027403213165518	999.982383165083	0.059532007186395335
41	999.916073539422	0.06131544589685609	0.0007480061665321884	999.9781369915	0.07387978114993954
42	999.8958478355062	0.07609160533477724	0.0009282670195161175	999.9728677078747	0.09168399288825166
43	999.8707503869988	0.09442664318730681	0.0011519452153369364	999.9663289754153	0.11377651886724627
44	999.8396091205008	0.11717664609060327	0.0014294853292317795	999.9582152519342	0.14118897659885743
45	999.800970695379	0.14540306927825025	0.0017738378080048296	999.9481476024787	0.175200496015013
46	999.7530334375996	0.18042166744645713	0.0022010561770865722	999.9356561612364	0.21739671055423807
47	999.6935644333306	0.22386296197266717	0.002731035137352383	999.9201584304539	0.26974266680500225
48	999.6197972445264	0.2777468097581193	0.0033884209288901866	999.9009324752265	0.334672753419235
49	999.528305965295	0.3445741717792439	0.004203731883006338	999.8770838689701	0.41520139722725874
50	999.414850084473	0.427440078345153	0.005214738117048099	999.8475049009483	0.5150593655494403
51	999.2741843690774	0.5301719494581291	0.006468151396820977	999.8108244699454	0.6388607201569764
