	II	IIa	M	P2
0	1.0	0.0	0.0	0.0
1	0.9559114459321809	0.001936173497213176	0.04206438943845292	8.799113215330207e-05
2	0.9137666924635188	0.0074074358464333145	0.07865378862330522	0.00017208306674281962
3	0.8734800402367944	0.015946323775953643	0.1103211882690488	0.0002524477182035242
4	0.8349695682550629	0.02713280339281856	0.13756837893060767	0.0003292494215114644
5	0.7981569672995389	0.04058987073935701	0.16085051669475386	0.0004026452663504984
6	0.7629673806915643	0.055979545013251364	0.1805802888786378	0.00047278541654666335
7	0.7293292520754596	0.07299922003099245	0.19713171447812955	0.0005398134154185209
8	0.6971741799115351	0.09137834245495509	0.21084361115584316	0.000603866477666805
9	0.6664367783853717	0.11087538818890096	0.22202275765733445	0.0006650757683929143
10	0.6370545444483224	0.13127511064008987	0.2309467782417697	0.0007235666698180691
11	0.6089677307208394	0.1523860370208891	0.2378667732220299	0.0007794590362415304
12	0.5821192239990077	0.17403819079794206	0.24300971776529132	0.0008328674377586866
13	0.556454429116985	0.1960810203555104	0.24658064913426922	0.0008839013932350968
14	0.5319211579321823	0.21838151573606854	0.2487646607387447	0.0009326655930042223
15	0.5084695232004943	0.24082249670809433	0.2497287199796554	0.00097926011175563
16	0.4860518371346667	0.2633010571650665	0.24962332508823767	0.0010237806120287395
17	0.4646225144331778	0.28572715189872555	0.24858401512935754	0.0010663185387386374
18	0.4441379795842844	0.30802231313999656	0.24673274597059267	0.0011069613051258352
19	0.4245565782575105	0.330118485365222	0.24417914390676035	0.001145792470506542
20	0.4058384926017875	0.35195696783082175	0.241021647657204	0.0011828919101861245
21	0.3879456602778087	0.37348745522776844	0.23734854851654041	0.001218335977881665
22	0.3708416970583413	0.3946671676704565	0.23323893761021428	0.0012521976609871346
23	0.3544918228452628	0.41546006214410264	0.22876356828164857	0.0012845467289845532
24	0.33886279094683963	0.4358361179818836	0.22398564119596015	0.001315449875315047
25	0.3239228204679259	0.4557706897433789	0.21896151893568855	0.0013449708530053246
26	0.3096415316837834	0.47524392151494504	0.21374137619696135	0.0013731706043089678
27	0.29598988427267553	0.4942402170831315	0.20836979125957883	0.00140010738461296
28	0.2829401182564031	0.5127477608036352	0.20288628405904838	0.0014258368809120375
29	0.2704656975545742	0.5307580847342289	0.19732580538615554	0.0014504123250398447
30	0.2585412560242749	0.548265677741344	0.1917191816324651	0.0014738846019143276
31	0.24714254587915926	0.5652676327807843	0.18609351898704482	0.0014963023530099717
32	0.2362463883829705	0.5817633288723714	0.18047257066938893	0.0015177120752674859
33	0.22583062671555965	0.5977541445678466	0.17487707050094659	0.0015381582156454242
34	0.2158740809194938	0.6132432000728927	0.16932503574611385	0.0015576832614981001
35	0.2063565048312737	0.6282351253216943	0.163832042020058	0.001576327826972342
36	0.19725854491082265	0.6427358516247627	0.15841147272881706	0.001594130735596283
37	0.18856170088815585	0.6567524247291694	0.1530747452834504	0.001611129099222851
38	0.1802482881435374	0.6702928372543053	0.1478315162086601	0.0016273583934958554
39	0.17230140174623015	0.6833658787095271	0.14268986701425232	0.0016428525299889002
40	0.16470488207935552	0.6959810014461308	0.13765647254934943	0.0016576439251625404
41	0.15744328198104274	0.708148201038956	0.132736753413724	0.001671763566279724
42	0.1505018353307225	0.7198779096909302	0.12793501390392764	0.001685241074422265
43	0.14386642702627386	0.7311809015009849	0.12325456670802636	0.0016981047647172149
44	0.13752356427834805	0.7420682083580022	0.11869784565973085	0.001710381703920975
45	0.13146034917651725	0.7525510455123464	0.11426650754568642	0.0017220977654520983
46	0.1256644524638072	0.7626407458521388	0.1099615240020562	0.0017332776820000474
47	0.1201240884556023	0.7723487020123802	0.10578326443618137	0.0017439450958383243
48	0.11482799108702411	0.7816863156209802	0.10173157068512399	0.0017541226068738631
49	0.10976539099412534	0.7906649528806634	0.09780582430659093	0.0017638318186225666
50	0.1049259936186747	0.7992959059119955	0.09400500708720053	0.0017730933821315047
51	0.10029995827608007	0.8075903592809397	0.09032775540501346	0.0017819270379690378
52	0.09587787814316817	0.815559361138126	0.08677240906233828	0.001790351656369692
53	0.0916507611249093	0.823213798521745	0.08333705507773186	0.001798385275615855
54	0.08761001158448091	0.8305643764385421	0.08001956683829158	0.0018060451386875988
55	0.08374741285470853	0.8376216002106859	0.07681763920626264	0.0018133477283450437
56	0.08005511051175203	0.8443957608442962	0.07372881984327222	0.0018203088006816474
57	0.07652559644162975	0.8508969230853752	0.07075053705591006	0.0018269434170870426
58	0.07315169354291318	0.8571349157981081	0.06788012468404712	0.0018332659749337107
59	0.06992654114706495	0.8631193244821961	0.06511484413391704	0.0018392902368240451
60	0.06684358105686611	0.868859485647871	0.06245190393666761	0.001845029358597519
61	0.06389654421958374	0.8743644828528219	0.05988847701153194	0.0018504959160645514
62	0.06107943797560294	0.8796431441961404	0.05742171589767286	0.001855701930585981
63	0.05838653387226869	0.8847040410988593	0.055048766135355476	0.0018606588935187202
64	0.05581235601694557	0.8895554882133343	0.0527667779801425	0.0018653777895797274
65	0.05335166994230134	0.8942055443205835	0.05057291661793478	0.0018698691191824503
66	0.05099947195728587	0.8986620140736833	0.048464371049234144	0.0018741429197989517
67	0.04875097897894003	0.9029324505073639	0.04643836172734073	0.0018782087863574875
68	0.04660161880603109	0.9070241581620112	0.04449214714120596	0.0018820758907537657
69	0.04454702081039182	0.9109441967727405	0.042623029416345506	0.0018857530005242935
70	0.04258300707006093	0.9146993854055215	0.04082835902778618	0.001889248496633454
71	0.04070558385814769	0.9182963069988391	0.03910553875246833	0.0018925703905469974
