time	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
0.0.	3.3999999999999996e-06	1.4e-06	1e-09	0.0	9e-08	2.1000000000000002e-10	0.0	0.0	0.0	0	2.5e-09	0	0	0	0	0	0	0	2e-08	1e-08	7.000000000000001e-10	0.0	-1.5407439555097882e-33	-1.5407439555097882e-33	1e-10	0.0	1.6e-07	9.4e-11	0.0	0.0	0.0	0.0	0.0	0.0
12.0.	3.3970162556601263e-06	1.373367816807794e-06	8.399093242626368e-10	2.578504733051227e-10	9e-08	2.041329216533799e-10	4.1421286932618464e-12	5.916565245744735e-13	1.133293128783786e-12	0	2.4992491483710892e-09	0	0	0	0	0	0	0	1.15436940659798e-08	9.95412664699875e-09	5.656012274333431e-10	1.275924317990182e-10	5.081391114280673e-12	5.081391114280673e-12	1.4587335300125243e-10	8.329861836820762e-09	1.599558478139845e-07	8.116434964060105e-12	1.707509094254349e-12	7.508516289113039e-13	6.930979529354657e-11	5.71343019058874e-11	2.3757244863951187e-08	2.7200442287814964e-09
24.0.	3.382475007630829e-06	1.297891976329789e-06	1.751280655461517e-09	5.770684460195692e-10	9e-08	1.9593487009971163e-10	8.134322539123166e-12	2.024786628402715e-12	3.90602073276244e-12	0	2.4990125912109562e-09	0	0	0	0	0	0	0	1.534582068053092e-09	9.937279383519471e-09	4.3398221516780685e-10	2.4197374452188803e-10	1.811323294914003e-11	1.811323294914003e-11	1.6272061648053202e-10	1.8103502400900103e-08	1.5971521472591198e-07	9.725200808425111e-12	2.2511127109150626e-12	9.874087890452714e-13	2.03403040033955e-10	1.585124910128495e-10	8.36836235898163e-08	1.693753848790068e-08
36.0.	3.338954429143263e-06	1.100283060264525e-06	1.074735540005398e-08	1.9595078733973584e-09	9e-08	1.8430109165678881e-10	1.1903736940612949e-11	4.717014280908973e-12	9.078157121689307e-12	0	2.498586521647047e-09	0	0	0	0	0	0	0	6.0761148184513335e-12	9.899334108101273e-09	1.3665407591460341e-10	5.054947878408651e-10	4.405596484193337e-11	4.405596484193337e-11	2.0066589189872892e-10	1.90359069221839e-08	1.590975926978899e-07	2.4681166849807492e-11	3.217536787986095e-12	1.413478352952162e-12	5.768942714345951e-10	3.811226915630592e-10	2.2855801206084967e-07	5.907094170961065e-08
48.0.	3.233767211428039e-06	7.001731323239153e-07	6.673377504084865e-08	1.071508646259525e-08	9e-08	1.691950981751636e-10	1.53264598112379e-11	8.738342092460266e-12	1.674009992113833e-11	0	2.497489782615944e-09	0	0	0	0	0	0	0	8.778683762429504e-13	9.751538348842823e-09	2.5416091661874353e-13	5.881088208072749e-10	8.615857626250822e-11	8.615857626250818e-11	3.48461651157178e-10	1.781003284572155e-08	1.578182182903244e-07	6.18028066520104e-11	5.639299816075649e-12	2.5102173840552373e-12	1.5411112339988762e-09	6.479780519032995e-10	4.6723329177100026e-07	1.554967363497371e-07
60.0.	3.048152920167701e-06	2.266016401888367e-07	2.690553998070467e-07	5.1313099309001146e-08	9e-08	1.5621503361182561e-10	1.833404271346236e-11	1.2244828830225608e-11	2.320609484448686e-11	0	2.4948929395180624e-09	0	0	0	0	0	0	0	3.762437350702419e-11	9.209512806353208e-09	1.3995939150686043e-15	5.37529256237078e-10	1.270184204942953e-10	1.270184204942953e-10	8.904871936467946e-10	1.588083878639929e-08	1.5583212223533512e-07	1.4092202492953932e-10	1.110574431520205e-11	5.107060481937002e-12	3.5923520945351036e-09	4.891847455585611e-10	5.530361352132897e-07	3.0050454073626695e-07
72.0.	2.836995982086122e-06	2.3294308162664418e-08	5.387591325073839e-07	1.54250128605288e-07	9e-08	1.455981401464931e-10	2.094193201463954e-11	1.516490132908208e-11	2.829502650978609e-11	0	2.4894281235915033e-09	0	0	0	0	0	0	0	-4.790328300634459e-14	7.961168559718764e-09	8.144386707931235e-17	4.920172865230472e-10	1.645227041942187e-10	1.645227041942187e-10	2.138831440281238e-09	1.3524576669583103e-08	1.532816505366079e-07	2.7613710250583845e-10	2.187422426792668e-11	1.0571876408496589e-11	6.385900370777084e-09	8.957086292279743e-11	2.758957867094352e-07	4.0871107315230535e-07
84.0.	2.663531842502757e-06	6.786539477370067e-10	6.030284651127893e-07	2.922025263290326e-07	9e-08	1.368842534582118e-10	2.3221239620049792e-11	1.76285126260473e-11	3.226599429569256e-11	0	2.4795262565578412e-09	0	0	0	0	0	0	0	6.161878248738567e-14	6.384121673666593e-09	2.205721980180317e-14	4.5108142357904495e-10	1.9900201227941503e-10	1.9900201227941503e-10	3.7158783263334103e-09	1.0771237408827609e-08	1.5028835414672042e-07	4.840217267426464e-10	4.018341640908815e-11	2.0473743442158078e-11	9.226040409896896e-09	2.6605624929886798e-12	6.088546753576829e-08	4.442022265121796e-07
96.0.	2.531716815332191e-06	6.6619034222890776e-12	5.255181415705749e-07	4.18121872945916e-07	9e-08	1.296931623481769e-10	2.5253490301389216e-11	1.973033188565349e-11	3.532301546478213e-11	0	2.4623479548176542e-09	0	0	0	0	0	0	0	-8.129845086700614e-16	4.9311186903188024e-09	-1.7130086631001281e-15	4.141987101180779e-10	2.307496555401516e-10	2.307496555401516e-10	5.168881309681199e-09	7.852089764062919e-09	1.469517743581707e-07	8.509501735835597e-10	7.03893586769232e-11	3.76520451823444e-11	1.214786241396947e-08	4.8634952095609994e-14	7.2876060722209075e-09	4.500656688729138e-07
108.0.	2.4302231340252957e-06	4.0439055025633805e-15	4.3085957989529936e-07	5.189967262140962e-07	9e-08	1.237352091515366e-10	2.709937123938484e-11	2.153931230561794e-11	3.762610730346306e-11	0	2.431615350270361e-09	0	0	0	0	0	0	0	1.99137637978505e-14	3.6006073115406953e-09	2.9386921324370536e-14	3.8078459659378824e-10	2.600205968758089e-10	2.600205968758089e-10	6.499392688459306e-09	5.066919842220696e-09	1.433535028666253e-07	1.578882020354274e-09	1.225441119717317e-10	6.838464972963648e-11	1.493306047655419e-08	-2.3253871177060433e-16	5.131938018415363e-10	4.5063049627739625e-07
120.0.	2.350685311831226e-06	-3.2762728098844605e-17	3.519091675962305e-07	5.984035019412441e-07	9e-08	1.1878767750346512e-10	2.880181125100038e-11	2.310701946890384e-11	3.930349177663361e-11	0	2.37394722432705e-09	0	0	0	0	0	0	0	-6.508781211487872e-16	2.2804988055401114e-09	-1.8732319165032643e-15	3.505483481948296e-10	2.870430137915525e-10	2.870430137915524e-10	7.819501194459896e-09	2.9089586966932635e-09	1.395610390018224e-07	3.0579565749882853e-09	2.186062015547576e-10	1.260527756729462e-10	1.709104195444723e-08	-2.624018141411567e-19	2.355228082784904e-11	4.506637782147226e-07
132.0.	2.287439961613804e-06	-1.53512349734768e-19	2.888634237822389e-07	6.614706198452237e-07	9e-08	1.146771220485861e-10	3.039203957005762e-11	2.447223919091967e-11	4.0458599190439984e-11	0	2.269235963483872e-09	0	0	0	0	0	0	0	1.613486924346048e-16	1.083287813889027e-09	-7.462397855779588e-17	3.230514045976981e-10	3.120178316449243e-10	3.120178316449242e-10	9.016712186110979e-09	1.6964734363900643e-09	1.356305785408604e-07	5.4947754225504425e-09	3.938969986212287e-10	2.3076403651612432e-10	1.8303526402262472e-08	-1.2492636182544208e-21	8.268699129626777e-13	4.506651295027794e-07
