	ARGin	ORN
0	1.0	1.0
1	163.27029139593893	6.170328324223786
2	271.61108929766004	16.740861880662816
3	357.444106732693	29.35380882989119
4	428.90006954905084	42.67595097640136
5	490.0256484698809	56.05892778693021
6	543.2658942592684	69.16603096353339
7	590.251603851762	81.82027868460091
8	632.1393523741548	93.9323158417343
9	669.785413732984	105.46284814557589
10	703.8442476026362	116.40189027810155
11	734.8288662768887	126.75671393564471
12	763.1496660585785	136.54465971502546
13	789.1405743931804	145.78872773451636
14	813.0772549670165	154.51484279325553
15	835.1900956015778	162.75014483514826
16	855.6737014142108	170.5219171026243
17	874.6940299879152	177.85691218323862
18	892.3938419576101	184.78095356898962
19	908.8968949436793	191.31870400138868
20	924.3111284052699	197.4935539947501
21	938.7312585662107	203.32757408902768
22	952.24096633573	208.84150709110708
23	964.9144476120002	214.05481161900474
24	976.8178013743686	218.9856988981981
25	988.0102607571949	223.65120307775024
26	998.5451109350473	228.06724966416547
27	1008.4702931992143	232.24870667106913
28	1017.8292511876734	236.20946405546326
29	1026.66139343616	239.96249445125193
30	1035.0026491340254	243.51991869036473
31	1042.8857615264415	246.89306207619128
32	1050.3407362520318	250.09251284888603
33	1057.395092168024	253.12817302815785
34	1064.0741293933834	256.00930522223865
35	1070.4011468416745	258.7445842300313
36	1076.397670510681	261.34213266347643
37	1082.0835817219197	263.80956481520826
38	1087.4773272549155	266.15401741938336
39	1092.595993020509	268.38218939904016
40	1097.455481534702	270.500365628681
41	1102.070568724563	272.5144531619507
42	1106.4550355587214	274.430001464743
43	1110.6217503378027	276.2522257380097
44	1114.5827153977207	277.98603745260834
45	1118.349162776288	279.6360581845003
46	1121.9316027770572	281.2066407064189
47	1125.3398940695904	282.70188565585465
48	1128.5832784667346	284.12566003197253
49	1131.6704365905234	285.4816111915135
50	1134.6095232132716	286.7731809594367
51	1137.4082122763189	288.0036199813929
52	1140.073718702289	289.17599598116584
53	1142.6128395713647	290.2932084609307
54	1145.0319966200104	291.3580042583608
55	1147.3372357602825	292.37297698262216
56	1149.5342576752562	293.34057834124917
57	1151.6284534801296	294.26313205524036
58	1153.624918087189	295.1428388756346
59	1155.5284619568693	295.98178060788524
60	1157.3436414687358	296.78193263030954
61	1159.0747684340067	297.5451673049627
62	1160.7259198080674	298.27325757722207
63	1162.3009654129455	298.96788865522626
64	1163.803567023359	299.63065707792794
65	1165.2371971511168	300.26307859334185
66	1166.6051504313532	300.8665928203817
67	1167.910551131301	301.44256617243127
68	1169.156366245133	301.99229746452386
69	1170.3454103273227	302.5170197169904
70	1171.4803577881987	303.0179054041743
71	1172.563749443036	303.49606919517964
72	1173.5979945476158	303.952568558835
73	1174.5853983365519	304.38841621827487
74	1175.5281379161763	304.8045687417181
75	1176.4282856657346	305.2019371588495
76	1177.287817480442	305.5813905660721
77	1178.1086101562958	305.9437546867645
78	1178.8924496821496	306.28981559150645
79	1179.6410383846635	306.6203228024686
80	1180.355994763459	306.9359891093049
81	1181.0388615565048	307.2374941253507
82	1181.6911064309961	307.5254845477299
83	1182.3141275157398	307.8005765667023
84	1182.9092553639869	308.0633567091587
85	1183.477762431251	308.31438599049136
86	1184.0208627880875	308.55419977140116
87	1184.5397098994688	308.78330676645896
88	1185.0354006693226	309.00219081285354
89	1185.5089818265299	309.2113136717302
90	1185.961453375227	309.41111653901766
91	1186.3937693761397	309.6020203828249
92	1186.8068389896807	309.7844263970729
93	1187.2015288843656	309.9587170570095
94	1187.5786659727742	310.1252573198631
95	1187.9390394792933	310.28439553224575
96	1188.2834024563347	310.4364640954229
97	1188.6124733084637	310.58178013450276
98	1188.9269375017748	310.72064624956795
99	1189.22744925212	310.8533512579206
100	1189.5146330214118	310.9801708522157
