	e	ez	w	z
0	0.0	0.0	0.0	2.4e-05
1	1.1226859769816117e-07	2.4972218183765654e-09	1.1476581951653774e-07	2.388273695866509e-05
2	2.2006689373574938e-07	8.764148037623879e-09	2.2883104177337325e-07	2.376240481018901e-05
3	3.243645430744561e-07	1.7948870602525825e-08	3.423134136769819e-07	2.3639737715720497e-05
4	4.252825368873755e-07	2.9921661895260544e-08	4.552041987826361e-07	2.3514874139322107e-05
5	5.229382120394566e-07	4.455700898099211e-08	5.674952210204489e-07	2.3387947769998562e-05
6	6.174452982176674e-07	6.173354666162161e-08	6.79178844879289e-07	2.325908760845909e-05
7	7.089139714980539e-07	8.133398448889978e-08	7.902479559869538e-07	2.3128418059524146e-05
8	7.974509134664744e-07	1.0324502863945957e-07	9.006959421059341e-07	2.2996059029254607e-05
9	8.83159375083561e-07	1.2735729947705318e-07	1.0105166745606143e-06	2.2862126025962333e-05
10	9.661392445531487e-07	1.5356524555539831e-07	1.1197044901085473e-06	2.2726730264336055e-05
11	1.046487118518221e-06	1.8176705474734019e-07	1.2282541732655614e-06	2.2589978771987097e-05
12	1.124296375969354e-06	2.118645631224815e-07	1.3361609390918358e-06	2.245197449778568e-05
13	1.1996572543077648e-06	2.437631621359523e-07	1.4434204164437175e-06	2.231281642142033e-05
14	1.27265692705845e-06	2.773717046354896e-07	1.5500286316939402e-06	2.217259966367057e-05
15	1.3433795827786604e-06	3.1260241014234716e-07	1.6559819929210082e-06	2.2031415596936646e-05
16	1.4119065047531945e-06	3.4937076981362607e-07	1.761277274566821e-06	2.1889351955619552e-05
17	1.4783161511108719e-06	3.8759545144924274e-07	1.8659116025601149e-06	2.174649294599064e-05
18	1.5426842350361964e-06	4.271982048657859e-07	1.9698824399019824e-06	2.160291935523223e-05
19	1.605083804786795e-06	4.6810376792177516e-07	2.07318757270857e-06	2.145870865936965e-05
20	1.6655853232608872e-06	5.102397734441583e-07	2.175825096705045e-06	2.1313935129850793e-05
21	1.7242567468899571e-06	5.535366572740988e-07	2.2777934041640553e-06	2.1168669938561845e-05
22	1.781163603660114e-06	5.979275676210297e-07	2.3790911712811434e-06	2.1022981261097825e-05
23	1.836369070091527e-06	6.433482758874329e-07	2.4797173459789595e-06	2.0876934378133603e-05
24	1.8899340470289195e-06	6.897370891026543e-07	2.5796711361315734e-06	2.073059177476577e-05
25	1.941917234117593e-06	7.370347640821526e-07	2.6789519981997454e-06	2.05840132377181e-05
26	1.9923752028589467e-06	7.851844234087213e-07	2.7775596262676677e-06	2.043725595032361e-05
27	2.041362468157109e-06	8.341314733142956e-07	2.875493941471404e-06	2.02903745852143e-05
28	2.088931558284255e-06	8.838235235247915e-07	2.972755081809046e-06	2.0143421394666164e-05
29	2.135133083206534e-06	9.34210309115915e-07	3.0693433923224483e-06	1.9996446298561638e-05
30	2.1800158012254496e-06	9.852436144148756e-07	3.165259415640324e-06	1.9849496969944803e-05
31	2.2236266839010822e-06	1.036877198971326e-06	3.260503882872407e-06	1.970261891815627e-05
32	2.266010979233891e-06	1.0890667256105293e-06	3.355077704844419e-06	1.9555855569545056e-05
33	2.307212273090991e-06	1.141769690572587e-06	3.4489819636635764e-06	1.940924834576384e-05
34	2.347272548870983e-06	1.1949453557334874e-06	3.5422179046044693e-06	1.9262836739662048e-05
35	2.3862322454085927e-06	1.2485546828966262e-06	3.6347869283052177e-06	1.911665838879816e-05
36	2.424130313126707e-06	1.3025602701372343e-06	3.7266905832639406e-06	1.897074914659883e-05
37	2.461004268448962e-06	1.3569262901767624e-06	3.817930558625724e-06	1.8825143151197517e-05
38	2.496890246490818e-06	1.4116184307595905e-06	3.908508677250408e-06	1.8679872891990008e-05
39	2.5318230520512796e-06	1.4666038370004546e-06	3.9984268890517335e-06	1.8534969273947816e-05
40	2.5658362089309478e-06	1.5218510556675818e-06	4.087687264598529e-06	1.839046167973389e-05
41	2.5989620076051787e-06	1.5773299813636778e-06	4.176291988968856e-06	1.8246378029667466e-05
42	2.6312315512836668e-06	1.6330118045645662e-06	4.264243355848233e-06	1.81027448395872e-05
43	2.662674800389904e-06	1.6888689614733478e-06	4.351543761863252e-06	1.79595872766634e-05
44	2.6933206154957197e-06	1.7448750856464455e-06	4.438195701142166e-06	1.781692921321139e-05
45	2.7231967987474833e-06	1.8010049613467186e-06	4.524201760094201e-06	1.7674793278559083e-05
46	2.752330133821648e-06	1.8572344785779796e-06	4.609564612399627e-06	1.7533200909022396e-05
47	2.7807464244481094e-06	1.913540589754683e-06	4.694287014202792e-06	1.739217239604253e-05
48	2.8084705315404094e-06	1.9699012679602093e-06	4.778371799500618e-06	1.725172693253918e-05
49	2.8355264089721586e-06	2.026295466747074e-06	4.861821875719232e-06	1.71118826575337e-05
50	2.8619371380391947e-06	2.0827030814324667e-06	4.9446402194716605e-06	1.6972656699095882e-05
51	2.88772496064696e-06	2.1391049118427793e-06	5.026829872489738e-06	1.6834065215667493e-05
52	2.9129113112624304e-06	2.195482626461169e-06	5.108393937723599e-06	1.6696123435815243e-05
53	2.937516847669593e-06	2.251818727932738e-06	5.189335575602331e-06	1.655884569646494e-05
54	2.9615614805670913e-06	2.3080965198825297e-06	5.26965800044962e-06	1.642224547966786e-05
55	2.985064402046108e-06	2.3643000750022717e-06	5.349364477048378e-06	1.628633544794936e-05
56	3.0080441129859986e-06	2.4204142043625945e-06	5.428458317348591e-06	1.615112747828882e-05
57	3.0305184494044954e-06	2.47642442790832e-06	5.506942877312814e-06	1.6016632694778876e-05
58	3.0525046077985957e-06	2.532316946095341e-06	5.584821553893935e-06	1.5882861500010735e-05
59	3.0740191695114737e-06	2.588078612628557e-06	5.662097782140029e-06	1.5749823605231427e-05
60	3.095078124159948e-06	2.6436969082613596e-06	5.738775032421306e-06	1.5617528059317345e-05
61	3.115696892156192e-06	2.6991599156181527e-06	5.814856807774343e-06	1.5485983276607517e-05
62	3.135883214013158e-06	2.7544633979950703e-06	5.8903466120082275e-06	1.5355189989996715e-05
63	3.1556588182968097e-06	2.8095891889639886e-06	5.9652480072607975e-06	1.5225162803775226e-05
64	3.175037534909074e-06	2.8645270460677625e-06	6.039564580976835e-06	1.5095908372955414e-05
65	3.1940327065989943e-06	2.919267237079829e-06	6.113299943678821e-06	1.4967432819241362e-05
66	3.2126572074149255e-06	2.973800519418472e-06	6.186457726833396e-06	1.4839741753748145e-05
67	3.2309234604350868e-06	3.028118120374628e-06	6.259041580809713e-06	1.4712840298815672e-05
68	3.2488434548039787e-06	3.082211718122049e-06	6.331055172926025e-06	1.4586733108951938e-05
69	3.26642876210121e-06	3.136073423479741e-06	6.402502185580949e-06	1.4461424390939321e-05
70	3.283690552068418e-06	3.1896957623976216e-06	6.473386314466037e-06	1.4336917923136352e-05
71	3.3006396077190865e-06	3.243071659137304e-06	6.543711266856389e-06	1.4213217074006318e-05
72	3.3172863398552285e-06	3.2961944201209343e-06	6.613480759976161e-06	1.4090324819902916e-05
73	3.3336408010140563e-06	3.349057718421926e-06	6.68269851943598e-06	1.3968243762142105e-05
74	3.349712698866958e-06	3.4016555788723973e-06	6.751368277739353e-06	1.384697614338826e-05
