time	IR	IRS	IRSiP	IRi	IRiP	IRins	IRp	X	Xp
0.0.	8.94067597533	9.43998194226	0.560018057745	4.8386389075899995e-06	0.424076631823	0.596889962146	0.038352592524	9.99635886407	0.00364113592848
0.0.2.0	0.50533425660451	6.222105388291154	3.777894611713834	7.257996690855451e-06	0.5873686730795561	8.506737621881129	0.40055219090002403	9.996055069270296	0.00394493072817
0.0.4.0	0.18028193475194101	5.691258385428761	4.308741614576228	1.3780484199369043e-05	0.9676990662593601	8.332704111835644	0.51930110713077	9.995450995850687	0.004549004147768001
0.0.6000000000000001.0	0.18827787976704602	5.782762863329459	4.217237136675529	2.153734607821615e-05	1.3345894875260331	7.957591844771243	0.5195192510515131	9.994841841026076	0.0051581589723780005
0.0.8.0	0.20302895860671802	5.9473604161703815	4.052639583834607	2.920972014504832e-05	1.631167841044314	7.663519444248083	0.502254546842657	9.994273067978392	0.005726932020059
1.0.	0.216442852770541	6.098448368540611	3.9015516314643763	3.6257856585440974e-05	1.855224256552209	7.442117662358507	0.48617897092407303	9.993746472084311	0.006253527914142001
1.0.2000000000000002.0	0.22875681298202802	6.224661506094266	3.775338493910719	4.2446459331101746e-05	2.015292642383126	7.282113253624511	0.473794845012921	9.99325730912629	0.0067426908721610005
1.0.4000000000000001.0	0.23978161181259003	6.327246294110436	3.6727537058945483	4.769664987402026e-05	2.121810542929888	7.173396149406151	0.464963999663411	9.992800405319032	0.007199594679419
1.0.6.0	0.24936730080934003	6.409588941948052	3.590411058056932	5.202417041771515e-05	2.185038625872065	7.106401361834997	0.45914068777509304	9.992371170740755	0.007628829257694001
1.0.8.0	0.25749672734830303	6.4752914768565635	3.524708523148419	5.550119264541174e-05	2.2143348821705002	7.072364904830614	0.455747984919849	9.9919657426375	0.008034257360952
2.0.	0.26425267685909903	6.527693300927879	3.472306699077103	5.8229407884139015e-05	2.217850328979428	7.063582692159274	0.45425607305622706	9.991580954260861	0.008419045737590001
2.0.2.0	0.269775708287923	6.569706117448547	3.430293882556435	6.032138688980804e-05	2.202437966807451	7.073521858306307	0.45420414567334205	9.991214255342816	0.008785744655634
2.0.4000000000000004.0	0.274231954446893	6.603764376427587	3.396235623577397	6.188843725299893e-05	2.1736893406117552	7.096811132211826	0.45520568475418105	9.99086361765155	0.009136382346906
2.0.6.0	0.27779148101537704	6.631837033827092	3.3681629661778922	6.30333550432948e-05	2.136044692659642	7.129154761795919	0.456946031635927	9.990527440363856	0.009472559634602001
2.0.8000000000000003.0	0.28061497116153	6.655472732190351	3.344527267814629	6.384668345329523e-05	2.092939522634657	7.167205806100309	0.459175853881961	9.990204463118069	0.009795536880386
3.0.	0.282846430590456	6.675860027945628	3.324139972059352	6.440534074761646e-05	2.04696259398686	7.20842391472425	0.461702655819597	9.989893690548657	0.010106309449796002
3.0.2.0	0.284610020223905	6.6938908648821265	3.306109135122854	6.477276787545697e-05	2.00000963953967	7.250933846342049	0.464381721588413	9.989594329468442	0.010405670530006001
3.0.4000000000000004.0	0.286009574439939	6.710220375651046	3.2897796243539332	6.499996622331425e-05	1.953423650449243	7.293394416639598	0.46710735896691	9.989305738268861	0.010694261729586001
3.0.6.0	0.287129750031604	6.725319533456152	3.274680466548827	6.512699348003514e-05	1.908117292395185	7.334882891654598	0.46980493938704604	9.989027387249145	0.0109726127493
3.0.8000000000000003.0	0.28803806227662904	6.739519402311798	3.260480597693183	6.518462466300035e-05	1.8646760542601082	7.37479672602886	0.47242397327165303	9.988758828239144	0.011241171759297001
4.0.	0.28878730161721	6.753047051864395	3.246952948140586	6.519599283849134e-05	1.8234426713896332	7.412772542005867	0.474932289456364	9.988499671832415	0.011500328166025002
4.0.2.0	0.28941800221602004	6.766053901464794	3.233946098540185	6.517810045134726e-05	1.7845844779310491	7.448621061076863	0.477311281137529	9.988249570669103	0.011750429329342001
4.0.4.0	0.289960762948395	6.778637560130514	3.221362439874465	6.514314548780317e-05	1.748145887777126	7.482276086463753	0.47955212012715104	9.988008207409715	0.011991792588727
4.0.6000000000000005.0	0.290438313050884	6.7908582943726845	3.209141705632296	6.509964271843061e-05	1.7140883705639092	7.513755405138367	0.48165281206603305	9.98777528626645	0.012224713731991
4.0.800000000000001.0	0.29086727730071404	6.8027511914485075	3.197248808556471	6.505334322328196e-05	1.6823202177688712	7.543131495005333	0.48361595704377003	9.987550527176891	0.012449472821556002
5.0.	0.29125963633463303	6.814334958852091	3.185665041152886	6.500796888899778e-05	1.6527181851475041	7.570510086032096	0.48544708497879	9.98733366190059	0.012666338097859001
5.0.2.0	0.29162390227378904	6.8256181524329165	3.174381847572062	6.496578536212039e-05	1.625142822170266	7.596014862736287	0.48715344749620904	9.987124431485467	0.012875568512974
5.0.4.0	0.291966042833514	6.836603478474073	3.163396521530906	6.492803921261498e-05	1.599449004162572	7.619776861445044	0.488743163981571	9.98692258468763	0.013077415310810001
5.0.6000000000000005.0	0.292290192214032	6.847290681318219	3.152709318686759	6.489528445245734e-05	1.5754928983669871	7.641927378230053	0.490224636366388	9.986727877037271	0.013272122961166002
5.0.800000000000001.0	0.29259918710174704	6.85767841285477	3.142321587150205	6.486762128158537e-05	1.553136338176258	7.662593444184654	0.491606163377972	9.986540070328537	0.013459929669898
6.0.	0.292894963144307	6.8677653845621744	3.132234615442802	6.484486685516594e-05	1.53224935833532	7.6818951345783955	0.49289569953703705	9.986358932375785	0.013641067622651002
6.0.2.0	0.293178842779524	6.877551025816006	3.122448974188969	6.482667455813424e-05	1.5127114599598501	7.699944154360129	0.49410071668785305	9.98618423692733	0.013815763071104001
6.0.4.0	0.293451740295783	6.8870358117240205	3.1129641882809582	6.4812615093245e-05	1.494412026006744	7.716843285338772	0.49522813620552203	9.986015763663271	0.013984236335163
6.0.6000000000000005.0	0.29371430510671204	6.8962213773139975	3.103778622690978	6.480222983708892e-05	1.47725019153337	7.7326863932358645	0.496284308356132	9.985853298229461	0.014146701768973001
6.0.800000000000001.0	0.293967019788818	6.905110499946449	3.094889500058524	6.479506448312086e-05	1.461134383974268	7.747558779822013	0.497275021812333	9.985696632277829	0.014303367720604001
7.0.	0.294210265621624	6.913707006015621	3.086292993989352	6.47906889883536e-05	1.445981681887211	7.761537730943294	0.49820553132079803	9.98554556349553	0.014454436502904
7.0.2.0	0.29444436522571305	6.9220156393072685	3.077984360697707	6.478870824424743e-05	1.431717091634958	7.774693159637225	0.499080595255776	9.985399895613758	0.014600104384676
7.0.4.0	0.294669609381011	6.930041915100568	3.069958084904406	6.478876665348084e-05	1.4182728062900671	7.7870882784926	0.49990451753158704	9.985259438392486	0.014740561605949
7.0.6000000000000005.0	0.294886273152697	6.937791974859656	3.062208025145318	6.479054885519599e-05	1.405587486335617	7.798780260113367	0.500681190311384	9.985124007580671	0.014875992417766002
7.0.800000000000001.0	0.295094624966979	6.94527245007418	3.054727549930795	6.479377814474593e-05	1.393605584780276	7.80982086160859	0.501414135327931	9.984993424853508	0.015006575144927
8.0.	0.295294931174652	6.952490339644635	3.047509660360342	6.479821362782571e-05	1.3822767279870911	7.820257000510125	0.5021065425764241	9.984867517729315	0.015132482269123
8.0.200000000000001.0	0.295487457835371	6.959452902539134	3.040547097465842	6.480364678842341e-05	1.371555156204709	7.830131277006306	0.502761305768745	9.984746119469015	0.015253880529422002
8.0.4.0	0.295672470879899	6.966167565810153	3.033832434194825	6.480989789855084e-05	1.3613992232700611	7.839482442069944	0.5033810543441161	9.984629068961391	0.015370931037046
8.0.6.0	0.29585023540356303	6.972641847117033	3.027358152887945	6.481681252601847e-05	1.351770952330901	7.8483458138338875	0.503968182081041	9.984516210596928	0.015483789401510002
8.0.8.0	0.29602101456595203	6.978883290414086	3.02111670959089	6.482425828208444e-05	1.342635643074888	7.85675364606321	0.504524872499586	9.984407394132976	0.015592605865462001
9.0.	0.29618506838429004	6.984899413268375	3.015100586736602	6.483212187666405e-05	1.333961525398817	7.864735453239774	0.5050531213171611	9.984302474552537	0.015697525445897
9.0.200000000000001.0	0.29634265258415005	6.990697664252554	3.009302335752423	6.484030650243917e-05	1.325719454396973	7.872318296924074	0.5055547562502201	9.984201311918712	0.015798688079724
9.0.4.0	0.296494017591701	6.99628538894042	3.003714611064556	6.484872954161344e-05	1.317882641782445	7.879527037902294	0.506031454455937	9.984103771226446	0.015896228771991
9.0.600000000000001.0	0.29663940770232905	7.001669803166647	2.998330196838328	6.485732057384567e-05	1.3104264192423591	7.8863845583030265	0.506484757893632	9.984009722253075	0.015990277745357002
9.0.8.0	0.296779060431116	7.006857972367021	2.9931420276379592	6.48660196566034e-05	1.303328029680121	7.892911957467965	0.506916086863062	9.9839190394088	0.016080960589634
10.0.	0.296913206034418	7.011856795972052	2.9881432040329283	6.487477584679282e-05	1.296566442761331	7.899128724939686	0.507326751950636	9.983831601587962	0.016168398410470002
10.0.200000000000001.0	0.297042067183705	7.016672995975283	2.983327004029695	6.488354593302548e-05	1.290122191624401	7.905052893519901	0.507717964587978	9.983747292022036	0.016252707976395
10.0.4.0	0.297165858769865	7.021313108931836	2.978686891073144	6.48922933499538e-05	1.283977228025745	7.910701174971093	0.5080908464018641	9.983665998134777	0.016334001863654
10.0.600000000000001.0	0.29728478781614004	7.025783480761589	2.974216519243391	6.49009872489259e-05	1.2781147935559631	7.916089080591379	0.508446437511186	9.983587611400106	0.016412388598324
10.0.8.0	0.297399053479353	7.030090263833949	2.9699097361710303	6.490960170225948e-05	1.272519304886186	7.921231028588953	0.5087857039057251	9.983512027203039	0.016487972795397002
11.0.	0.297508847121396	7.034239415898866	2.9657605841061123	6.491811502142492e-05	1.26717625128473	7.92614043991768	0.509109544023093	9.983439144703922	0.016560855294516
11.0.200000000000001.0	0.29761435243544004	7.038236700502945	2.961763299502032	6.492650917220139e-05	1.262072102886659	7.930829824006433	0.509418794624218	9.983368866706229	0.016631133292207
11.0.4.0	0.297715745613787	7.042087688591647	2.957912311413332	6.493476927235725e-05	1.257194228407184	7.935310855617767	0.5097142360539121	9.983301099527981	0.016698900470455
11.0.600000000000001.0	0.297813195546534	7.04579776105068	2.9542022389543012	6.494288315958163e-05	1.252530821168068	7.939594443902928	0.509996596961231	9.983235752876901	0.016764247121535
11.0.8.0	0.297906864042214	7.049372111982907	2.950627888022073	6.495084101927452e-05	1.248070832458615	7.9436907945759145	0.510266558544156	9.98317273972936	0.016827260269076
12.0.	0.297996906063281	7.052815752553104	2.947184247451878	6.495863506340587e-05	1.243803911383009	7.947609466006117	0.51052475837445	9.983111976213111	0.016888023785325
12.0.200000000000001.0	0.29808346997074103	7.056133515262633	2.943866484742348	6.496625925301233e-05	1.239720350457016	7.95135941992378	0.51077179385113	9.983053381493797	0.016946618504643
12.0.4.0	0.298166697773436	7.059330058540942	2.940669941464042	6.497370905804884e-05	1.235811036312271	7.954949067342486	0.51100822532467	9.982996877665181	0.017003122333259003
12.0.600000000000001.0	0.29824672537844404	7.062409871561083	2.937590128443901	6.498098124927403e-05	1.232067404947975	7.9583863102256736	0.511234578928577	9.9829423896431	0.017057610355339002
12.0.8.0	0.29832368283987803	7.065377279203592	2.934622720801393	6.49880737176612e-05	1.228481401039858	7.961678579358074	0.511451349150392	9.982889845063005	0.017110154935435003
13.0.	0.29839769460401905	7.06823644710691	2.931763552898077	6.499498531750496e-05	1.225045440876544	7.964832868825927	0.5116590011701121	9.98283917418105	0.017160825817392002
13.0.200000000000001.0	0.298468879749202	7.070991386754267	2.929008613250721	6.500171572996532e-05	1.221752378545451	7.967855767460893	0.5118579729906411	9.982790309778652	0.017209690219789003
13.0.4.0	0.29853735221932504	7.073645960556559	2.926354039448431	6.500826534427407e-05	1.218595475035299	7.970753487560076	0.512048677381874	9.982743187070428	0.017256812928013
13.0.600000000000001.0	0.298603221050177	7.07620388689865	2.923796113106341	6.501463515422824e-05	1.21556836996123	7.9735318911578865	0.512231503657473	9.982697743615395	0.017302256383048
13.0.8.0	0.29866659058802203	7.078668745123277	2.9213312548817143	6.502082666794186e-05	1.212665055652393	7.9761965140936795	0.5124068193011581	9.982653919231366	0.017346080767077002
14.0.	0.29872756070010703	7.081043980432028	2.918956019572963	6.502684182911248e-05	1.209879853371304	7.978752588091259	0.512574971457418	9.982611655912438	0.017388344086004003
14.0.200000000000001.0	0.29878622697691704	7.083332908687562	2.91666709131743	6.503268294830478e-05	1.207207391460003	7.981205061042201	0.5127362882998451	9.982570897749472	0.017429102248969
14.0.4.0	0.29884268092612104	7.085538721104833	2.9144612789001583	6.503835264296173e-05	1.204642585230517	7.9835586156638	0.512891080288835	9.982531590853458	0.017468409144983002
14.0.600000000000001.0	0.29889701015824705	7.087664488822327	2.912335511182666	6.504385378502775e-05	1.202180618436882	7.9858176866838875	0.5130396413291191	9.982493683281694	0.017506316716745
14.0.8.0	0.29894929856422003	7.089713167346693	2.9102868326583	6.504918945522301e-05	1.199816926183271	7.98798647668853	0.513182249836445	9.982457124966668	0.017542875031772
15.0.	0.298999626484929	7.091687600866417	2.908312399138578	6.505436290313333e-05	1.197547179138081	7.9900689707542565	0.5133191697217541	9.982421867647538	0.017578132350901002
15.0.200000000000001.0	0.29904807087303603	7.093590526431773	2.90640947357322	6.505937751239122e-05	1.195367268937241	7.992068949973829	0.5134506513003041	9.982387864804158	0.017612135194282
15.0.4.0	0.299094705447276	7.095424577999799	2.904575422005196	6.506423677031981e-05	1.19327329467195	7.993990003973469	0.513576932132456	9.982355071593513	0.017644928404927002
15.0.600000000000001.0	0.299139600839513	7.097192290344079	2.902807709660916	6.506894424149095e-05	1.19126155036656	7.9958355425094965	0.513698237802112	9.982323444788516	0.017676555209925
15.0.8.0	0.29918282473482605	7.09889610283015	2.901103897174845	6.507350354471914e-05	1.189328513361675	7.997608806223653	0.513814782638221	9.982292942719049	0.017707057279389
16.0.	0.299224442004909	7.100538363058017	2.8994616369469752	6.507791833307495e-05	1.187470833525886	7.999312876628546	0.5139267703842441	9.982263525215208	0.01773647478323
16.0.2.0	0.29926451483507305	7.102121330373863	2.897878669631129	6.508219227655253e-05	1.1856853232268851	8.000950685387743	0.5140343948199421	9.982235153552617	0.017764846445823
16.0.400000000000002.0	0.299303102845131	7.103647179253526	2.896352820751468	6.508632904707102e-05	1.1839689479993751	8.002525022948877	0.5141378403394941	9.982207790399777	0.017792209598665003
16.0.6.0	0.299340263204447	7.105118002560664	2.894881997444331	6.509033230553105e-05	1.182318817853053	8.004038546582606	0.514237282489518	9.982181399767367	0.017818600231074
16.0.8.0	0.29937605074142504	7.106535814682782	2.893464185322215	6.509420569067899e-05	1.180732179169205	8.00549378787535	0.514332888470261	9.98215594695942	0.01784405303902
17.0.	0.299410518047704	7.107902554548507	2.892097445456492	6.509795280956411e-05	1.179206407139195	8.006893159719313	0.514424817602913	9.982131398526292	0.01786860147215
17.0.2.0	0.299443715577317	7.109220088529641	2.890779911475359	6.510157722939762e-05	1.177738998702357	8.008238962839304	0.514513221765733	9.982107722219371	0.017892277779071
