	ARGin	ORN
0	1.0	1.0
1	163.27024220803744	6.17032706550411
2	271.6109584295083	16.740858753723167
3	357.4438746656339	29.35380483807921
4	428.89993552079153	42.675931166574635
5	490.0254987806533	56.058911548424426
6	543.26589971907	69.16599667719854
7	590.2516295278214	81.82024937224428
8	632.1393920044806	93.93229040617203
9	669.7854445777833	105.46283106587055
10	703.8442981069184	116.40187552374556
11	734.8287974130996	126.75670803397536
12	763.1496394902819	136.54463905542227
13	789.1405808598811	145.7887090615597
14	813.0772827383414	154.5148254903016
15	835.1901170290633	162.7501333318019
16	855.6737083183466	170.52190927453384
17	874.6940439679269	177.85690544149168
18	892.3938863677217	184.78094683702923
19	908.8969532156274	191.31869947968096
20	924.3111841266573	197.49355289631447
21	938.7313356421826	203.32757464256298
22	952.241039753626	208.84151071944447
23	964.9145184165176	214.05481725726128
24	976.8179206084098	218.98570998941244
25	988.010453018536	223.65122281521272
26	998.5453180426874	228.06727499122252
27	1008.4705107618537	232.2487372815079
28	1017.8294663712359	236.20949923736364
29	1026.6616160769927	239.96253406851523
30	1035.0028599008283	243.51996175115866
31	1042.885971385186	246.8931081492549
32	1050.340945348033	250.09256096185376
33	1057.3952982048681	253.12822201688024
34	1064.0743284371415	256.00935608735404
35	1070.4013434414626	258.74463626306084
36	1076.3978578673655	261.3421860508021
37	1082.0837676710332	263.809618367468
38	1087.4775033934181	266.1540716175894
39	1092.596165592604	268.3822430466586
40	1097.455644886909	270.50041956186965
41	1102.070728678163	272.5145062056224
42	1106.4551963055912	274.4300524591966
43	1110.6219040028102	276.2522765348078
44	1114.5828612702326	277.9860878357899
45	1118.3492998482013	279.6361077528396
46	1121.9317345665074	281.2066888121747
47	1125.340019583023	282.7019324499794
48	1128.5833987283938	284.1257054466231
49	1131.6705512079686	285.48165515327224
50	1134.6096331572055	286.77322359597815
51	1137.408315452714	288.0036605556275
52	1140.073818199556	289.17603570311917
53	1142.612942241444	290.29324986476314
54	1145.0320979993842	291.358045487785
55	1147.3373319096142	292.3730163688259
56	1149.5343506992608	293.34061670332034
57	1151.6285437108086	294.2631695088018
58	1153.6250034625996	295.1428744706425
59	1155.5285446117207	295.9818152546813
60	1157.3437214674282	296.78196632747427
61	1159.074844187291	297.54519932149765
62	1160.725993774226	298.2732889795392
63	1162.301035980248	298.96791870968286
64	1163.8036342118983	299.6306857797125
65	1165.2372615226955	300.2631061774059
66	1166.6052117694446	300.86661916104106
67	1167.9106100017027	301.44259152247434
68	1169.1564221469894	301.99232158335934
69	1170.3454640483671	302.5170429434364
70	1171.4804099056964	303.01792799832816
71	1172.563800167118	303.49609124290714
72	1173.5980489130643	303.9525923750508
73	1174.5854507713002	304.38843921345295
74	1175.5281873980657	304.8045904421127
75	1176.4283335573334	305.2019581931597
76	1177.2878628274234	305.58141047879525
77	1178.1086529617285	305.943773482319
78	1178.8924909280572	306.2898337174714
79	1179.6410776490677	306.62034006464023
80	1180.3560324644275	306.93600569185355
81	1181.0388973336687	307.23750986790884
82	1181.6911407971966	307.52549967445634
83	1182.314161722471	307.8005916277914
84	1182.9092928174239	308.0633732030362
85	1183.4778039150772	308.31440426214704
86	1184.0209051983672	308.5542184539305
87	1184.5397501202328	308.78332448761597
88	1185.0354382224218	309.0022073615687
89	1185.509017789676	309.2113295219923
90	1185.9614883628271	309.4111319610707
91	1186.3938031179164	309.60203525753303
92	1186.8068711194157	309.784440562992
93	1187.2015594550498	309.95873053718395
94	1187.5786952591989	310.12527023503424
95	1187.9390676313883	310.28440794828356
96	1188.2834294559361	310.4364760042354
97	1188.6124991284244	310.58179152402323
98	1188.926962194287	310.72065714264613
99	1189.227472904466	310.8533616928792
100	1189.5146556927648	310.9801808550382
