observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
P3G		condition1	4.4563492063	0		sigma_P3G	log10	normal
P3G		condition1	4.4384920635	10		sigma_P3G	log10	normal
P3G		condition1	4.4411375661	20		sigma_P3G	log10	normal
P3G		condition1	4.4874338624	30		sigma_P3G	log10	normal
P3G		condition1	4.5932539683	40		sigma_P3G	log10	normal
P3G		condition1	4.6580687831	50		sigma_P3G	log10	normal
P3G		condition1	4.5906084656	60		sigma_P3G	log10	normal
P3G		condition1	4.4834656085	100		sigma_P3G	log10	normal
SD		condition1	0.0714561234	0		sigma_SD	log10	normal
SD		condition1	0.0977069226	10		sigma_SD	log10	normal
SD		condition1	0.1158691653	20		sigma_SD	log10	normal
SD		condition1	0.132956249	30		sigma_SD	log10	normal
SD		condition1	0.1394687442	40		sigma_SD	log10	normal
SD		condition1	0.0664707217	50		sigma_SD	log10	normal
SD		condition1	0.1685963186	60		sigma_SD	log10	normal
SD		condition1	0.0556381661	100		sigma_SD	log10	normal
PYR		condition1	0.1158730159	0		sigma_PYR	log10	normal
PYR		condition1	0.3346560847	10		sigma_PYR	log10	normal
PYR		condition1	0.5626984127	20		sigma_PYR	log10	normal
PYR		condition1	0.8169312169	30		sigma_PYR	log10	normal
PYR		condition1	1.1293650794	40		sigma_PYR	log10	normal
PYR		condition1	1.3843915344	50		sigma_PYR	log10	normal
PYR		condition1	1.5447089947	60		sigma_PYR	log10	normal
PYR		condition1	1.5907407407	100		sigma_PYR	log10	normal
SD_1		condition1	0.0632784104	0		sigma_SD_1	log10	normal
SD_1		condition1	0.0873965333	10		sigma_SD_1	log10	normal
SD_1		condition1	0.1176451784	20		sigma_SD_1	log10	normal
SD_1		condition1	0.1121839738	30		sigma_SD_1	log10	normal
SD_1		condition1	0.2857815177	40		sigma_SD_1	log10	normal
SD_1		condition1	0.3185243412	50		sigma_SD_1	log10	normal
SD_1		condition1	0.258287104	60		sigma_SD_1	log10	normal
SD_1		condition1	0.2053353195	100		sigma_SD_1	log10	normal
BPG		condition1	0.0073809524	0		sigma_BPG	log10	normal
BPG		condition1	0.0252645503	10		sigma_BPG	log10	normal
BPG		condition1	0.0301587302	20		sigma_BPG	log10	normal
BPG		condition1	0.0324603175	30		sigma_BPG	log10	normal
BPG		condition1	0.0293915344	40		sigma_BPG	log10	normal
BPG		condition1	0.0285449735	50		sigma_BPG	log10	normal
BPG		condition1	0.0312698413	60		sigma_BPG	log10	normal
BPG		condition1	0.022962963	100		sigma_BPG	log10	normal
SD_2		condition1	0.0068750501	0		sigma_SD_2	log10	normal
SD_2		condition1	0.014123937	10		sigma_SD_2	log10	normal
SD_2		condition1	0.0166339437	20		sigma_SD_2	log10	normal
SD_2		condition1	0.0166985711	30		sigma_SD_2	log10	normal
SD_2		condition1	0.0163777554	40		sigma_SD_2	log10	normal
SD_2		condition1	0.0141399827	50		sigma_SD_2	log10	normal
SD_2		condition1	0.0139246705	60		sigma_SD_2	log10	normal
SD_2		condition1	0.0109886486	100		sigma_SD_2	log10	normal
