observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
P3G		condition1	4.5	0		sigma_P3G	log10	normal
P3G		condition1	4.496535300042903	10		sigma_P3G	log10	normal
P3G		condition1	4.496533104978529	20		sigma_P3G	log10	normal
P3G		condition1	4.496533103470509	30		sigma_P3G	log10	normal
P3G		condition1	4.496533103678482	40		sigma_P3G	log10	normal
P3G		condition1	4.4965331037306076	50		sigma_P3G	log10	normal
P3G		condition1	4.496533103792837	60		sigma_P3G	log10	normal
P3G		condition1	4.4965331040314815	100		sigma_P3G	log10	normal
SD		condition1	4.5	0		sigma_SD	log10	normal
SD		condition1	4.496535300042903	10		sigma_SD	log10	normal
SD		condition1	4.496533104978529	20		sigma_SD	log10	normal
SD		condition1	4.496533103470509	30		sigma_SD	log10	normal
SD		condition1	4.496533103678482	40		sigma_SD	log10	normal
SD		condition1	4.4965331037306076	50		sigma_SD	log10	normal
SD		condition1	4.496533103792837	60		sigma_SD	log10	normal
SD		condition1	4.4965331040314815	100		sigma_SD	log10	normal
PYR		condition1	0.1	0		sigma_PYR	log10	normal
PYR		condition1	0.12547946023533346	10		sigma_PYR	log10	normal
PYR		condition1	0.15100997572812572	20		sigma_PYR	log10	normal
PYR		condition1	0.1765404880567184	30		sigma_PYR	log10	normal
PYR		condition1	0.20207099717511667	40		sigma_PYR	log10	normal
PYR		condition1	0.22760150303508328	50		sigma_PYR	log10	normal
PYR		condition1	0.25313200558738674	60		sigma_PYR	log10	normal
PYR		condition1	0.3552539816991098	100		sigma_PYR	log10	normal
SD_1		condition1	0.1	0		sigma_SD_1	log10	normal
SD_1		condition1	0.12547946023533346	10		sigma_SD_1	log10	normal
SD_1		condition1	0.15100997572812572	20		sigma_SD_1	log10	normal
SD_1		condition1	0.1765404880567184	30		sigma_SD_1	log10	normal
SD_1		condition1	0.20207099717511667	40		sigma_SD_1	log10	normal
SD_1		condition1	0.22760150303508328	50		sigma_SD_1	log10	normal
SD_1		condition1	0.25313200558738674	60		sigma_SD_1	log10	normal
SD_1		condition1	0.3552539816991098	100		sigma_SD_1	log10	normal
BPG		condition1	0.0	0		sigma_BPG	log10	normal
BPG		condition1	0.003464699957092689	10		sigma_BPG	log10	normal
BPG		condition1	0.0034668950214652616	20		sigma_BPG	log10	normal
BPG		condition1	0.0034668965294859418	30		sigma_BPG	log10	normal
BPG		condition1	0.0034668963215109577	40		sigma_BPG	log10	normal
BPG		condition1	0.003466896269385142	50		sigma_BPG	log10	normal
BPG		condition1	0.0034668962071542422	60		sigma_BPG	log10	normal
BPG		condition1	0.0034668959685071514	100		sigma_BPG	log10	normal
SD_2		condition1	0.0	0		sigma_SD_2	log10	normal
SD_2		condition1	0.003464699957092689	10		sigma_SD_2	log10	normal
SD_2		condition1	0.0034668950214652616	20		sigma_SD_2	log10	normal
SD_2		condition1	0.0034668965294859418	30		sigma_SD_2	log10	normal
SD_2		condition1	0.0034668963215109577	40		sigma_SD_2	log10	normal
SD_2		condition1	0.003466896269385142	50		sigma_SD_2	log10	normal
SD_2		condition1	0.0034668962071542422	60		sigma_SD_2	log10	normal
SD_2		condition1	0.0034668959685071514	100		sigma_SD_2	log10	normal
