	ADP	ADP_cyt	AMP	ATP	ATP_cyt	Acetyl_CoA	Acetyl_CoA_cyt	Ala	Asp	Asp_cyt	CO2	Cit	Cit_cyt	CoA	CoA_cyt	Cytc2p	Cytc3p	DHAP	DPG	ETFox	ETFred	F6P	FAD	FADH2	FBP	Fum	G3P	GAP	GDP	GLC	GTP	Glu	Glu_cyt	H2O	IsoCit	IsoCitcyt	LAC	Mal	Mal_cyt	NAD	NADH	NADH_cyt	NADPH	NADPH_cyt	NADP_cyt	NADP_p	NAD_p	OG	OG_cyt	OXA	OXA_cyt	PEP	PYR_cyt	Pi	Pyr	Q	QH2	SCoA	Suc
63	1.1507209598130014e-05	0.0001100623008276353	1.2846075747636583e-06	9.135781413930188e-06	0.009419628590585177	0.0005960994955967301	3.0000009997968488e-05	0.0034433509637856797	0.0006180942459249255	0.001062390208267481	0.002170692355675974	0.0002455689855265505	0.0007483713749970496	2.674408001611136e-10	0.00027199999000205596	0.0031090162319959793	9.837680041499526e-07	0.007689473629786658	0.004508468326066071	0.0002438605783109684	0.00038613942168903517	0.015809388495988883	0.0010062417334971748	7.575826650282629e-05	0.00027955020662699865	9.723338324525989e-05	0.007695526370213341	0.04263768085478121	0.00015364307775929308	0.019996988055804563	0.004796356922240686	0.003548554790289417	0.003107609791732478	0.001915895523205837	3.1737959088789776e-05	9.660212085282407e-05	0.04400464556194832	0.0004291894789736	0.0005048682289771834	3.683649626131699e-05	2.9686602302786503e-05	0.004199851503738695	0.0011840814171545757	0.0011796585813105267	0.0030570294186894656	0.008987918582845427	0.010790313397697229	8.337466848285687e-07	7.464384489984986e-07	1.100011284822778e-06	7.473694128486547e-08	3.0274102937509304e-05	8.299997708563581e-05	0.0028156942304993905	0.0015394039940607373	0.02640216148953175	0.02759783851046825	2.369624795867609e-10	0.0027876524208107246
64	1.3293992460376349e-05	9.634348505312428e-05	9.877517234685102e-07	9.209117604287788e-06	0.009431784143158432	0.0005960994962382214	3.0000010105956207e-05	0.0034434067729516484	0.0006155593805440726	0.0010585990557266235	0.002170643117417908	0.00024252971598297536	0.0007458350605640035	2.6709869012547724e-10	0.0002719999898940641	0.003109016232011237	9.837679889524114e-07	0.007689425143931085	0.004519455924038899	0.0002438463043190137	0.0003861536956809893	0.012881741032984808	0.0010061854277362392	7.581457226376101e-05	0.000521537262749938	9.685557218010688e-05	0.007695574856068915	0.0466640829093628	0.00015363581059352487	0.019998943003619544	0.004796364189406453	0.0035510338465043127	0.0031114009442733404	0.0019227303216141126	3.135375536855658e-05	9.630161491026676e-05	0.04551251370533856	0.0004275258676638349	0.000507484573264313	3.7997067908927826e-05	2.9688060196057653e-05	0.004198690932091074	0.0012002172918985715	0.001186132556848046	0.0030505554431519435	0.008971782708101434	0.010790311939803938	8.235512954583983e-07	7.431853143196922e-07	1.0980795329371604e-06	7.437784632682712e-08	2.854119119155527e-05	8.051736364944567e-05	0.00280891240425795	0.0015554201192731548	0.026400880974572563	0.027599119025427436	2.3666309820848845e-10	0.0027771096176446596
65	1.1324035965160675e-05	0.00012987295906577483	1.787068632361401e-06	9.024754630182082e-06	0.009399609671706246	0.0005960994964293761	3.0000010213388495e-05	0.0034434626362029627	0.0006130408206661132	0.0010548281710931785	0.002170592240102648	0.00023952676554604243	0.0007432952174928297	2.6700620436786696e-10	0.0002719999897866299	0.003109016232026218	9.83767973946922e-07	0.007689376227374816	0.00450060124803909	0.0002438322090052067	0.0003861677909947958	0.016265455769279166	0.0010061291481339742	7.587085186602435e-05	0.00037413773623915333	9.647853115643654e-05	0.007695623772625183	0.04198566464180437	0.0001536285516124349	0.020000391107745062	0.004796371448387551	0.0035534965431309596	0.0031151718289067908	0.0019294160830350157	3.097415187891783e-05	9.600062201318663e-05	0.04382020528430973	0.0004258657177260701	0.0005101052215970314	4.310991256173e-05	2.968902842362728e-05	0.004193578087438274	0.001216292560992093	0.0011925699435826884	0.003044118056417298	0.00895570743900793	0.010790310971576378	8.132165171789826e-07	7.397999874652688e-07	1.0978225135069769e-06	7.400517020543624e-08	3.290182309959715e-05	9.779417340369676e-05	0.0028022812504947757	0.0015713739611808843	0.02639961656496547	0.02760038343503453	2.365644276781138e-10	0.0027665824152256573
66	1.2761110402786404e-05	9.336463425811975e-05	9.236010081925096e-07	9.236169521900834e-06	0.009435332974808735	0.0005960994971365293	3.000001032033222e-05	0.003443518552878209	0.0006105382929573335	0.0010510777152960707	0.002170543040856034	0.00023655983369859745	0.0007407522003071318	2.666334986038269e-10	0.0002719999896796891	0.003109016232040965	9.837679591408446e-07	0.007689327726856102	0.004554073454037928	0.00024381829736636347	0.0003861817026336384	0.013669512814537944	0.0010060728947676293	7.592710523237012e-05	0.0002524919265589732	9.610223938906399e-05	0.007695672273143897	0.0461066798533449	0.00015362129846493145	0.020001967408166864	0.004796378701535058	0.0035559431541644865	0.0031189222847039	0.001936389588957565	3.059877384486939e-05	9.569855268324019e-05	0.045172795169058616	0.0004242088595103572	0.0005127301195124884	3.07363776496586e-05	2.9690678362276933e-05	0.0042059516223503434	0.0012323073334622025	0.0011989708368386437	0.003037717163161336	0.008939692666537817	0.010790309321637737	8.03266919411984e-07	7.365531879249543e-07	1.0959245152819816e-06	7.363815228950078e-08	2.810297794203121e-05	6.935216770341617e-05	0.002795360671147734	0.0015872689427621034	0.026398368844007928	0.02760163115599207	2.362299799335295e-10	0.0027560710469488256
67	1.1649617362492286e-05	0.000240702648864711	6.226420968336022e-06	8.92993183384498e-06	0.009284109870970376	0.000596099497291057	3.0000010426725636e-05	0.0034435745223418807	0.0006080521775541398	0.0010473477198385626	0.0021704920269728753	0.00023362872104241807	0.0007382059239864359	2.665558904468752e-10	0.0002719999895732983	0.00310901623205561	9.83767944532489e-07	0.00768927886546267	0.004368231010975693	0.00024380456876096795	0.0003861954312390338	0.015775987780839593	0.0010060166677157711	7.598333228422816e-05	0.0009258869672308285	9.572673481108473e-05	0.007695721134537329	0.0420098875317807	0.0001536140521709578	0.02000315017904123	0.004796385947829034	0.0035583733001040138	0.003122652280161409	0.0019429030363977637	3.0228024979333444e-05	9.539636898402212e-05	0.04397425046421919	0.0004225555340934522	0.0005153585949448686	8.503851842660505e-05	2.9691351646353082e-05	0.004151649481573393	0.0012482617186972869	0.0012053355356034	0.003031352464396572	0.008923738281302733	0.01079030864835363	7.932620817097021e-07	7.332163066260333e-07	1.0955238484685679e-06	7.330089466819915e-08	4.6145727240139744e-05	0.00019067044097001223	0.002788901962128144	0.0016031016823555766	0.02639713773932077	0.02760286226067923	2.361530598818746e-10	0.0027455757129900334
68	1.2296260580282682e-05	9.563968369403747e-05	9.69271989096029e-07	9.215022100342744e-06	0.009433498251636014	0.00059609949797254	3.000001053262976e-05	0.0034436305439628475	0.0006055816879383404	0.0010436377296214993	0.002170442604984425	0.0002307328581344711	0.0007356569052822341	2.6620104526034106e-10	0.000271999989467395	0.003109016232070013	9.837679301270343e-07	0.007689230309107814	0.004566136734711772	0.00024379102823710174	0.0003862089717628993	0.014418672938856694	0.0010059604670582263	7.603953294177236e-05	0.00021622500653308973	9.535199110528156e-05	0.007695769690892185	0.0451788377776793	0.00015360681302494785	0.02000438049462248	0.004796393186975042	0.0035607877680988317	0.0031263622703784745	0.0019499648803412905	2.9861361115974215e-05	9.509291090750253e-05	0.04484056614356723	0.00042090555932579744	0.0005179911969576073	3.1695129456767396e-05	2.9693064942023816e-05	0.004204992870543226	0.001264155826936135	0.0012116639425378377	0.003025024057462137	0.00890784417306388	0.010790306935057926	7.835382319038185e-07	7.299670382324138e-07	1.0938957948602005e-06	7.29104149088921e-08	2.853772053959486e-05	7.149970660105858e-05	0.0027818932609948556	0.0016188756990359859	0.026395923607447705	0.027604076392552294	2.3582642022951887e-10	0.0027350966058032303
69	1.2376061924725474e-05	0.00024091462570150052	6.256218904491639e-06	8.902319207515908e-06	0.009283169264261579	0.00059609949819692	3.000001063799879e-05	0.003443686617133359	0.0006031275968860994	0.0010399483236590644	0.002170391806586064	0.00022787227049075396	0.0007331049579100507	2.6608170415978754e-10	0.0002719999893620274	0.0031090162320842447	9.83767915925501e-07	0.007689181571898063	0.0043612655889751365	0.00024377767559103066	0.00038622232440897026	0.014654788504306075	0.0010059042928756575	7.609570712434176e-05	0.0012218667560767423	9.497804816859674e-05	0.007695818428101936	0.04329786319866565	0.00015359957937844873	0.020005398298783197	0.004796400420621533	0.0035631857859805653	0.003130051676340915	0.001956413690373122	2.9499268966971816e-05	9.478951368344737e-05	0.04458008226469028	0.0004192591645247932	0.0005206267620790715	9.46512180154127e-05	2.9693657533084494e-05	0.004142036781984586	0.0012799897711643097	0.0012179565046373663	0.003018731495362612	0.00889201022883569	0.010790306342466865	7.738918194040539e-07	7.266989060780573e-07	1.0930789355688386e-06	7.258818646711633e-08	4.6265242396670774e-05	0.00020343364863469805	0.0027754989680381014	0.0016345881337491645	0.026394726633913984	0.027605273366086015	2.3572138220366425e-10	0.0027246339663743913
70	1.1900580166693614e-05	9.858770345614128e-05	1.0301186898977328e-06	9.15923738878693e-06	0.00943094085029832	0.0005960994987726753	3.000001074286522e-05	0.003443742741252083	0.0006006888732639468	0.0010362785936248705	0.0021703419099779113	0.00022504622235050312	0.0007305506355157235	2.657867533266182e-10	0.00027199998925716174	0.0031090162320983	9.837679019300336e-07	0.007689132894373349	0.004577042704195918	0.00024376451498961645	0.0003862354850103838	0.015118396051036468	0.0010058481452504258	7.615185474957235e-05	0.0002245903145232947	9.46048841156599e-05	0.00769586710562665	0.04425217552076065	0.00015359235400360548	0.020006305367448098	0.00479640764599638	0.003565568385483992	0.003133721406375115	0.0019634649970235816	2.914122203535737e-05	9.448488462844756e-05	0.044536354344916956	0.0004176162169690928	0.00052326615214516	3.294591866849683e-05	2.969524453054058e-05	0.004203742081331509	0.0012957636629065696	0.001224213033081987	0.0030124749669179925	0.008876236337093415	0.010790304755469413	7.643623123820658e-07	7.234343941898047e-07	1.0919021532752245e-06	7.218941533503105e-08	2.906689204472465e-05	7.427013338060852e-05	0.00276850127248717	0.001650241383285986	0.02639354690699641	0.02760645309300359	2.354405773595215e-10	0.0027141879484758563
71	1.294351758384792e-05	0.00022355898509278428	5.3806241359778095e-06	8.934573397297914e-06	0.00930080078978989	0.0005960994991367441	3.0000010847218635e-05	0.0034437989157352846	0.0005982663705280924	0.0010326294352836095	0.002170291503342897	0.00022225483482961653	0.0007279937802314274	2.655908666812229e-10	0.00027199998915281113	0.0031090162321120336	9.837678881447054e-07	0.007689084273638907	0.004397912197948691	0.00024375154744418187	0.00038624845255581764	0.013702415096265195	0.0010057920242653644	7.620797573463591e-05	0.0012011532818458957	9.423252986909804e-05	0.007695915726361092	0.04488267085828076	0.00015358513319732012	0.020007198277952602	0.004796414866802676	0.003567934713736655	0.0031373705647163726	0.001969949882395452	2.8787606950539223e-05	9.418027291798873e-05	0.045125784599875526	0.00041597686998175816	0.0005259080685418197	8.836746949318753e-05	2.969592242777994e-05	0.004148320530506816	0.0013114776184789145	0.0012304340076056003	0.003006253992394377	0.008860522381521055	0.010790304077572158	7.550455903103972e-07	7.202258475903832e-07	1.0906042446804206e-06	7.186953741590326e-08	4.45305783230623e-05	0.00019018816711813236	0.0027620705064134513	0.0016658341446054502	0.02639238486641894	0.027607615133581058	2.352723965769627e-10	0.0027037588261295915
72	1.1571753526638376e-05	0.00010265952009449355	1.1172012362786911e-06	9.079898520693706e-06	0.009427190116621643	0.0005960994995617526	3.000001095105477e-05	0.003443855140010244	0.0005958591460862489	0.001028999790651249	0.0021702410328294174	0.0002194973526613988	0.0007254348569799676	2.6537764541676164e-10	0.00027199998904897584	0.0031090162321256616	9.837678745688262e-07	0.007689035483197642	0.0045862911407902164	0.00024373877566391362	0.00038626122433608524	0.01575885645926009	0.00100573593000526	7.626406999474042e-05	0.0002470971322057858	9.386097460263752e-05	0.0076959645168023574	0.04340199342524414	0.0001535779212084694	0.020007840393107514	0.00479642207879153	0.003570285713903533	0.0031410002093487325	0.0019768980691726736	2.8438060408447925e-05	9.38746725577715e-05	0.044263990386118356	0.0004143410759145161	0.0005285533253770328	3.461143974373673e-05	2.9697235763231793e-05	0.004202076560256282	0.0013271317510172677	0.00123661926930502	0.0030000687306949527	0.008844868248982708	0.010790302764236703	7.457211472078395e-07	7.169541153945852e-07	1.0898892358113902e-06	7.1475122699576e-08	2.975065681393137e-05	7.798197693766089e-05	0.002755176498545789	0.001681366986515776	0.026391240379741183	0.027608759620258817	2.3506060762000517e-10	0.0026933467264723754
