time	APC_PS_VIIIa_l	APC_PS_Va_l	APC_PS_l	APC_f	APC_l	AT_XIa_l	AT_f	II_f	II_l	IIa_AT_f	IIa_TM_PC_l	IIa_TM_l	IIa_f	IX_f	IX_l	IXa_AT_f	IXa_VIIIa_X_l	IXa_VIIIa_l	IXa_f	IXa_l	LIPID	PC_f	PC_l	PS_f	PS_l	TFPI_Xa_TF_VIIa_l	TFPI_Xa_l	TFPI_f	TF_VII_Xa_l	TF_VII_l	TF_VIIa_IX_l	TF_VIIa_IXa_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VIIa_l	TF_l	TM_l	VIII_IIa_l	VIII_Xa_l	VIII_f	VIII_l	VIII_mIIa_l	VIIIa_f	VIIIa_l	VIIIai_f	VIIIai_l	VII_Xa_l	VII_f	VII_l	VIIa_f	VIIa_l	V_IIa_l	V_Xa_l	V_f	V_l	V_mIIa_l	Va_f	Va_l	Vai_f	Vai_l	XI_IIa_l	XI_f	XIa_IX_l	XIa_l	X_f	X_l	Xa_AT_f	Xa_Va_II_l	Xa_Va_l	Xa_Va_mIIa_l	Xa_f	Xa_l	alpha2M_IIa_l	alpha2M_Xa_l	alpha2M_l	mIIa_AT_l	mIIa_f	mIIa_l
0.0.	0.0	0.0	0.0	0.0	0.0	0.0	3400.0	1400.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	170000.0	60.0	0.0	300.0	0.0	0.0	0.0	2.5	0.0	2.4074124304840454e-35	0.0	0	0.0	-3.186183822264904e-58	0.0	0.005	1.0	0.0	0.0	0.7000000000000001	0.0	0.0	3.5718355977571085e-102	0.0	0.0	0.0	0.0	10.0	0.0	0.1	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2600.0	0.0	0.0	0.0
5.0.	2.500888839774727e-19	2.135649445432141e-17	7.68223909817513e-11	1.200432542377283e-12	6.166972136858027e-12	2.4439747401732973e-13	3399.9999993101146	583.670330494843	816.3296695006119	5.277284972894464e-12	4.357409812026208e-11	1.442115310313846e-10	3.7380342371639674e-10	0.6319448623837081	89.36774965826412	2.6931915421788303e-09	5.455563182425316e-13	1.029653936214938e-12	9.843766358736494e-07	0.000142550529346	32525.91268228141	24.853260940622793	35.14673905924941	3.6445458741751233	296.3554541257477	1.6877542910077352e-11	3.513615938759528e-06	2.499996486367186	1.251898477658697e-10	0.000939301276556	0.00016194173576200002	0	0.000147426539163	0.000185979093626	0.000469067082511	0.003096284130311	0.9999999998122141	1.6115221027590611e-12	4.408528838941602e-06	0.0042779283658080005	0.6957175081359	1.132495891916302e-11	3.007291221689104e-09	1.519476488824774e-07	5.916366166010285e-22	3.390522081861333e-20	1.283960441219865e-06	0.389965208408999	9.609061793231003	0.0013638747746540002	0.09770412375521301	8.589445781591794e-11	0.00021287244394700003	0.17674158023952002	19.823032342809416	5.510595592712357e-10	1.156248808298542e-07	1.3087063568369061e-05	2.277927225616861e-20	2.882549334804658e-18	8.711243755745776e-11	29.999999999838508	1.5533948788697752e-11	5.861776087446997e-11	62.686636511949004	107.31259170421008	6.871884846752847e-07	4.620491862774458e-10	6.466141063705815e-10	7.303374229230581e-11	5.3919846390074316e-05	0.00016137143221400002	1.477148924546173e-12	3.198677857184077e-07	2599.999999680133	9.540293525399208e-13	7.042888589166918e-11	2.6352649451704503e-09
10.0.	1.488321552502067e-15	1.427142099562846e-13	3.588547746846742e-08	3.320353913689272e-10	1.6154561525199933e-09	1.202292161853913e-10	3399.9999946250678	583.6705270704605	816.3294723887817	1.1963190965932573e-09	8.726344171945057e-09	2.659840260097153e-08	3.826932653278821e-08	0.631941948638965	89.36728308122751	2.0762058668728058e-08	3.410600618080998e-11	6.218929835264334e-11	3.55543372533061e-06	0.00050829099653	32525.893336861176	24.853269568322297	35.146730385118225	3.644548009999471	296.35545195411464	4.4129505174349515e-10	2.7355388806667497e-05	2.499972644169901	7.14171756203688e-10	0.001502207649469	0.000263097920538	0	0.00023094802059900002	0.000324901690247	0.0007329292738230001	0.0019459142898540002	0.9999999646752521	1.736420429720787e-10	1.7277755306862113e-05	0.004277845572143	0.6957035328784761	1.4915415110230743e-09	2.660693143926681e-08	1.3154256600368138e-06	8.656846459886236e-18	4.537446013321256e-16	4.572290639070942e-06	0.389935018528527	9.608312685589722	0.001358632022893	0.097335005858072	9.715963648617981e-09	0.0009184776694860001	0.17673449408966602	19.822219096649484	7.554393104139702e-08	1.14202427577912e-06	0.000126637678864	3.727033409425841e-16	4.35145630096088e-14	9.516491428596913e-09	29.99999997233849	4.924277348257558e-09	1.3100527937118841e-08	62.686105079053874	107.31159512862847	5.352581496871915e-06	2.612535013596589e-08	3.633778650366731e-08	4.164975583059206e-09	0.000195652833663	0.000572694787008	3.348580712841007e-10	2.4914829481683306e-06	2599.999997508184	2.7554100804861844e-10	9.230972204800555e-09	3.2939594273505516e-07
15.0.	1.4642261678833842e-13	1.463566215936015e-11	9.350176181585126e-07	6.702876510692619e-09	3.2061062623257634e-08	3.472337140654537e-09	3399.9999832640115	583.67076068873	816.3292322624919	2.2225963509832368e-08	1.391956085802348e-07	4.132961715002903e-07	4.459545087780016e-07	0.631938414652785	89.36671993998125	6.4571921176279e-08	3.178020820223086e-10	5.732284904173993e-10	7.087163831506732e-06	0.001009087388044	32525.870583265816	24.853279311299957	35.146719575708076	3.6445505148646262	296.3554485501027	2.6462424395595113e-09	8.499974897492625e-05	2.499914997604785	1.7221485669465043e-09	0.0018368681845520002	0.000325302725486	0	0.00028237260451400003	0.000410245007609	0.0008954131642620001	0.001249793945182	0.9999994475082191	2.0557625620918812e-09	3.5111930804244834e-05	0.004277721434449	0.6956827862732781	2.00688267355015e-08	8.694661984941456e-08	4.2703990086957245e-06	1.4018310717306351e-15	7.143337343519381e-14	9.011628711289902e-06	0.389902204726262	9.607495512782549	0.0013606047040460002	0.09748246010361601	1.168678101758394e-07	0.001929249910433	0.176723035251067	19.820914523672197	1.030042761091179e-06	3.880162027235052e-06	0.00042761424745300003	6.295484030878019e-14	7.166760282432452e-12	1.1316770218656209e-07	29.999999541761117	1.0262554260654619e-07	2.3897331638661875e-07	62.68540349620904	107.31030505035925	1.663982705320775e-05	2.157736975564641e-07	2.995619127341546e-07	3.4488747057954505e-08	0.00038793873495200003	0.001127584135705	6.22120243801011e-09	7.74539265119728e-06	2599.999992248388	5.893764320477692e-09	1.240119169345153e-07	4.359515382461436e-06
20.0.	3.128319899391257e-12	3.166872008071693e-10	8.177723127855123e-06	5.0420869394858596e-08	2.392250097328363e-07	3.394178628221231e-08	3399.9999635638483	583.6710025778402	816.328958088045	1.5918231426429437e-07	8.610501175364423e-07	2.525082898490368e-06	2.297500305287484e-06	0.631934476186091	89.36609543412519	1.404772725621516e-07	1.4303474476970991e-09	2.566744759156123e-09	1.1215508643584161e-05	0.00159378175728	32525.84620947102	24.853286855454026	35.146703815807	3.644553125048949	296.3554386969078	8.876144335066281e-09	0.00018408836344200002	2.499815902760416	2.9830662063180834e-09	0.002033338718897	0.000364171343768	0	0.00031454914651600003	0.00046344398627900005	0.0009970988797280002	0.0008273860656000001	0.9999966138669831	1.0669876506569069e-08	5.57437823373826e-05	0.0042775647663800005	0.6956567252095791	1.1365892009068319e-07	1.9687671789466302e-07	9.641033799789791e-06	4.228402078107083e-14	2.125813703074296e-12	1.409684804866334e-05	0.38986061449098103	9.606460197726873	0.0013694635536840001	0.09812301344601301	6.111707666384097e-07	0.0031125631248330003	0.17670780036904501	19.819185926022207	5.871010432787601e-06	8.882617634335509e-06	0.0009761365882090001	1.929315078141834e-12	2.169924812267388e-10	5.886195493258696e-07	29.99999691222105	7.766045514365753e-07	1.6886130846881362e-06	62.684595700966725	107.30883297943438	3.6056131514520914e-05	8.670711099652901e-07	1.202732950537245e-06	1.387571763327456e-07	0.000608647515301	0.0017631256890830002	4.4556241747386694e-08	1.6783160996137112e-05	2599.999983172284	4.6420371261477625e-08	7.018327772028071e-07	2.449753357413266e-05
25.0.	3.0946311475126014e-11	3.1079380402820064e-09	4.070750162420952e-05	2.2749803126684558e-07	1.0743696472765668e-06	1.8824646369799249e-07	3399.999934216486	583.6712293338862	816.3286291924348	6.949575892127371e-07	3.286468377156178e-06	9.570435698618785e-06	7.79590603115617e-06	0.631930260702739	89.36542874114411	2.524801104002994e-07	4.44079601486558e-09	7.946427109172918e-09	1.572809179801922e-05	0.0022325468705170002	32525.820679300294	24.8532835155016	35.14667118552181	3.644555560107923	296.3554037292513	2.1863829427128882e-08	0.000328782898962	2.499671195237209	4.361474443744016e-09	0.0021459954020740003	0.000388962234337	0	0.00033510948184900004	0.0004972666366400001	0.0010620917958700001	0.0005705482239230001	0.9999871430959231	3.6355979414342374e-08	7.787048245980664e-05	0.004277377266619	0.6956256212014951	4.1215906848997014e-07	3.741718146299099e-07	1.8295916887457092e-05	5.40460663396578e-13	2.696511238152578e-11	1.952376720260709e-05	0.389806683615017	9.605119655995235	0.001384971163197	0.099239713683271	2.091363147029224e-06	0.004388662106382	0.17668886563951802	19.81704136833136	2.1367293589802274e-05	1.672111898913261e-05	0.001834745802971	2.461503586459706e-11	2.7494867474926613e-09	2.008102252996445e-06	29.999987010805345	3.496089065710289e-06	7.296756894910985e-06	62.68372078740049	107.30724543106977	6.443082084683918e-05	2.4238023351959137e-06	3.3605232663959097e-06	3.8813637671347847e-07	0.000844468748729	0.0024414726418750003	1.945234843986817e-07	2.9990816979114923e-05	2599.9999698146607	2.1701163627444062e-07	2.5440618990192567e-06	8.844310344583464e-05
30.0.	1.9678459339196923e-10	1.922897310664791e-08	0.000144579393625	7.549408187758182e-07	3.5547133816902236e-06	7.397118251734594e-07	3399.9998936798684	583.671418004247	816.328190033186	2.252690191202998e-06	9.441796122159975e-06	2.7375735842545684e-05	2.0682415057015493e-05	0.6319258343607931	89.36472657846781	4.0325924411368366e-07	1.11618512365622e-08	1.994024161090796e-08	2.0514136536337324e-05	0.0029098674961550003	32525.79306729916	24.853249380320136	35.14659226941015	3.64455736606181	296.3552980351185	4.455445508137281e-08	0.000521144165381	2.499478811280165	5.771726406254109e-09	0.002207773905052	0.00040522811720100003	0	0.00034863401798700003	0.000519360854454	0.001104859992222	0.00041409278690000004	0.9999631824680341	9.669796945030404e-08	0.00010070253204100001	0.004277152477056	0.6955883856755031	1.147547958828494e-06	6.514758969146359e-07	3.1832083093963814e-05	4.177019070810232e-12	2.0742478072446371e-10	2.51076645017713e-05	0.38973841426662303	9.603424754115228	0.001406936244402	0.10081888049614501	5.577067909984346e-06	0.005709232860482001	0.176665674359291	19.814416838238376	5.962466664895665e-05	2.82823810744102e-05	0.0031007038189590002	1.8684333071272942e-10	2.0780521259286528e-08	5.345278884463059e-06	29.999958914141345	1.154306005372959e-05	2.3457807915561013e-05	62.68280380877342	107.30558115904626	0.00010218408762600001	5.5085907670982644e-06	7.635354876984209e-06	8.824652477311799e-07	0.0010873343843640002	0.003139679765794	6.305437246519227e-07	4.756394900967129e-05	2599.9999518055083	7.403859448420155e-07	7.081745344606648e-06	0.000245574940946
35.0.	9.54682398674464e-10	8.914470501388157e-08	0.000412070154206	2.049506462662936e-06	9.631042847346988e-06	2.312751841105621e-06	3399.9998395396983	583.6715429536066	816.3275378158664	6.011112329895537e-06	2.264875809485592e-05	6.548185375162771e-05	4.6947400672065014e-05	0.631921209000302	89.3639832939271	5.949172548814762e-07	2.4785450247213313e-08	4.423583435957209e-08	2.5544827683089253e-05	0.0036218070067450003	32525.760742201222	24.853145207082502	35.14640830335649	3.644557718553256	296.35503012119284	7.995972431735883e-08	0.000761952372026	2.49923796766825	7.165891614669468e-09	0.002238653930576	0.000416326286172	0	0.00035789384536100003	0.0005343456716520001	0.0011341569342280002	0.000318536206392	0.9999118693881521	2.198533035954214e-07	0.00012375477061500002	0.004276872930287	0.6955420953885061	2.699487911064088e-06	1.0890739209142458e-06	5.319733179811536e-05	2.351527847183807e-11	1.1641741122180282e-09	3.073468882416812e-05	0.38965476964537404	9.60134939684104	0.0014351902846750002	0.10284844474647901	1.270110148194188e-05	0.0070446000469040005	0.17663678601857302	19.81114770071254	0.000140460538744	4.5118213132007246e-05	0.004944273822123001	1.016998024474802e-09	1.1278788657419409e-07	1.215968694822273e-05	29.999892206524088	3.115501335434288e-05	6.21660237961492e-05	62.68186236595738	107.30386109109966	0.000149486794462	1.1058781222346861e-05	1.532579753892089e-05	1.772018123783045e-06	0.0013322858390850002	0.0038436383172370005	1.68255235032297e-06	6.95820891208284e-05	2599.9999287353603	2.054729445558194e-06	1.665725285806435e-05	0.000576675401302
40.0.	3.899243993078943e-09	3.430293972284727e-07	0.001009938060391	4.847678088782376e-06	2.27483813091841e-05	6.161322509248457e-06	3399.999767670576	583.6715714137563	816.3264980208064	1.403728616419024e-05	4.8232482901352974e-05	0.00013918558602900002	9.621262254413108e-05	0.63191633386553	89.36317772423882	8.296623088063236e-07	5.124815172291e-08	9.141664853883867e-08	3.087669097354097e-05	0.004376522743240001	32525.718658946687	24.85290046941649	35.14601341705217	3.644555158329289	296.35443455668144	1.310951440435944e-07	0.0010511894202030001	2.498948679484654	8.519060682947736e-09	0.002250754626537	0.00042430045415	0	0.00036457670939	0.0005450303760560001	0.001155314253807	0.000259883965851	0.999812581931068	4.5102545060730584e-07	0.000146717704027	0.004276504865548	0.6954811118534361	5.680278379592525e-06	1.793309373768034e-06	8.758898072284002e-05	1.075073794930248e-10	5.311508790709358e-09	3.633190124400873e-05	0.389555319873204	9.598881652644339	0.001469574346505	0.105317005200557	2.6083194082148625e-05	0.008375861774580001	0.176599431932522	19.80691809007632	0.00029582246852900005	6.99272762652311e-05	0.007661480332165	4.4331652271909624e-09	4.907016923601298e-07	2.4955397401341893e-05	29.99975128853867	7.326968004443475e-05	0.000144325061401	62.680911134078166	107.30209360038539	0.00020635439624200002	2.060697699945247e-05	2.8555335638914245e-05	3.3024686232312857e-06	0.0015761597658510002	0.004544335414231	3.929134523833801e-06	9.605243126702331e-05	2599.9999000184375	4.946759818712904e-06	3.5049249384513185e-05	0.0012120705077970002
45.0.	1.422744623057409e-08	1.169673140867079e-06	0.002225003041612	1.040405212860307e-05	4.877377925011882e-05	1.4616150669938652e-05	3399.9996709609914	583.6714554403243	816.3247785118054	2.9843316507696715e-05	9.486099279268294e-05	0.00027340052456500003	0.000184317646479	0.6319110712255931	89.36226603064183	1.11061040270811e-06	1.0198505205913478e-07	1.818748199847875e-07	3.6677635276651815e-05	0.00519799164031	32525.658017240483	24.852394056299012	35.14522571793461	3.644547186252373	296.35322662680517	2.0095881411868528e-07	0.001388307848196	2.4986114911929898	9.818312669165686e-09	0.002251414223593	0.00043040139414600003	0	0.00036971600387300003	0.000553133212718	0.001171596684538	0.00022352770400300002	0.9996317384826411	8.645730490212035e-07	0.000169373283652	0.004275988871218	0.695395520293553	1.109342553796201e-05	2.946065317631289e-06	0.00014389390527000002	4.2702555097060556e-10	2.1068056605705282e-08	4.1847625269524146e-05	0.38944004612974603	9.5960185718266	0.001509929421753	0.10821313270063501	5.0029093376783334e-05	0.009689759323616001	0.176548741222177	19.801172689324925	0.0005780319635050001	0.000107309132435	0.011756776370495001	1.661605912043967e-08	1.836785864428228e-06	4.785257060116559e-05	29.999475792613797	0.000156432992409	0.00030530567254600003	62.67996563347711	107.30027651570181	0.00027269926080000003	3.6780725788953104e-05	5.096476954591655e-05	5.894999041729358e-06	0.001816727344018	0.005235399477403001	8.353352984642652e-06	0.000126934185221	2599.9998647124653	1.0769673809684961e-05	6.845330285989449e-05	0.002365501711037
