time	A	I1	I2	S
0.0.	200.0	5000.0	1000.0	3800.0
0.0.6.0	651.1039528822224	5943.741431955713	1011.2773481694257	3205.3226742860847
1.0.2.0	967.4477728418202	6614.33731834599	1033.8600559077809	2771.273536961976
1.0.7999999999999998.0	1189.030542763561	7064.642056811123	1063.9094628892044	2479.1722627572126
2.0.4.0	1342.8215893110203	7356.801377875567	1098.5618332289982	2292.74787247391
3.0.	1448.482637103797	7542.697906850951	1135.8397204427904	2178.076833987398
3.0.5999999999999996.0	1520.5434246912357	7659.744243888485	1174.4385466180229	2109.617306562704
4.0.2.0	1569.5578192460462	7732.970795640349	1213.5201389636813	2069.990288007989
4.0.8.0	1602.9987561015894	7778.461724669697	1252.5540313411811	2047.9964726791459
5.0.3999999999999995.0	1626.0296179455327	7806.334589076289	1291.2073137294828	2036.6424824044375
6.0.	1642.1452500746257	7822.892934381847	1329.2721239428488	2031.6449801711037
6.0.6.0	1653.6731860141913	7832.059030319171	1366.6193096404888	2030.413143398513
7.0.199999999999999.0	1662.145289042645	7836.287382296245	1403.1693152056077	2031.3930308086517
7.0.8.0	1668.5620872108984	7837.133117522389	1438.8740628600171	2033.6578808511292
8.0.4.0	1673.5748742916212	7835.600521750692	1473.7057218833163	2036.656907623867
9.0.	1677.608105485266	7832.354924865443	1507.6497425163693	2040.063236090708
9.0.6.0	1680.9401018202427	7827.850936058341	1540.7005102754124	2043.6827036736693
10.0.2.0	1683.7554760929954	7822.409983312603	1572.8586033199927	2047.3995585491912
10.0.799999999999999.0	1686.1788007923594	7816.2673332104	1604.1290292255967	2051.1443144692585
11.0.4.0	1688.2960484534278	7809.600812685458	1634.5200614902744	2054.8748110250826
12.0.	1690.1681707376506	7802.548578786319	1664.0424457913493	2058.5650949292854
12.0.6.0	1691.8396782560271	7795.220326535258	1692.7088371136847	2062.1989080503245
13.0.2.0	1693.3440678045608	7787.704547584206	1720.5333839540124	2065.765875932149
13.0.799999999999999.0	1694.7072734875271	7780.073390696905	1747.5314089258034	2069.2592728224026
14.0.399999999999999.0	1695.949883547651	7772.386044330957	1773.7191549152662	2072.6747039999145
15.0.	1697.0885868040268	7764.691188466012	1799.1135777711545	2076.009320668061
15.0.6.0	1698.1371369648814	7757.028842800469	1823.732173564144	2079.2613438823564
16.0.2.0	1699.1070131609556	7749.431808928855	1847.59283266266	2082.4297681628013
16.0.8.0	1700.0078868006403	7741.926827872867	1870.7137154007942	2085.5141701940684
17.0.4.0	1700.8479627526383	7734.535529335694	1893.1131456503124	2088.514579695176
18.0.	1701.6342370242864	7727.275222310884	1914.80951956087	2091.4313877856075
18.0.599999999999998.0	1702.3726972958968	7720.159560603535	1935.8212273406693	2094.265278638791
19.0.2.0	1703.0684830112607	7713.1991069788455	1956.1665863544172	2097.01717619266
19.0.8.0	1703.7260158123133	7706.401813461717	1975.8637840985753	2099.688201093398
20.0.4.0	1704.3491074699386	7699.773431276202	1994.9308298230962	2102.279634986381
21.0.	1704.9410502057601	7693.317861168455	2013.3855137316973	2104.7928903721236
21.0.599999999999998.0	1705.5046928776308	7687.037452899271	2031.2453728252779	2107.2294848769175
22.0.2.0	1706.0425055862188	7680.933261230477	2048.5276625647093	2109.591019153897
22.0.8.0	1706.5566346541036	7675.005264591548	2065.2493336254297	2111.8791578468163
23.0.4.0	1707.0489495136349	7669.252551697057	2081.4270131005637	2114.095613181408
24.0.	1707.521082744315	7663.673480629978	2097.076989583698	2116.242130834408
24.0.599999999999998.0	1707.9744642817072	7658.265814270947	2112.2152016285477	2118.320477788435
25.0.2.0	1708.4103506519423	7653.026835414055	2126.857229141542	2120.3324319234403
25.0.8.0	1708.829849952805	7647.953444447626	2141.0182873157305	2122.279773128254
26.0.4.0	1709.233943194215	7643.042242080789	2154.7132227609964	2124.164275742686
27.0.	1709.623502521317	7638.289599253761	2167.9565115269857	2125.987702163325
27.0.599999999999998.0	1709.9993067680973	7633.691716073435	2180.7622587519395	2127.7517974658604
28.0.2.0	1710.3620547256478	7629.244671359936	2193.1441997032325	2129.458284914058
28.0.799999999999997.0	1710.7123764547073	7624.944464168476	2205.115702004283	2131.1088622408015
29.0.4.0	1711.0508429254633	7620.787048459774	2216.689768868024	2132.7051986001943
30.0.	1711.3779742275262	7616.768361927151	2227.8790431796915	2134.248932101827
30.0.599999999999998.0	1711.6942465585296	7612.88434984604	2238.695812291509	2135.741667849035
31.0.2.0	1712.0000981701496	7609.130984688695	2249.1520134093876	2137.1849764125113
31.0.799999999999997.0	1712.2959344248286	7605.504282141003	2259.259239467163	2138.5803926790945
32.0.4.0	1712.5821320945363	7602.000314067139	2269.0287453974006	2139.9294150230608
33.0.	1712.8590430139916	7598.615218889141	2278.471454719706	2141.2335047538227
33.0.6.0	1713.1269971845675	7595.345209781139	2287.5979663778976	2142.4940857998536
34.0.199999999999996.0	1713.3863054111125	7592.186581019739	2296.4185617665157	2143.7125445937045
34.0.8.0	1713.6372615419566	7589.13571278228	2304.9432118952027	2144.890230127621
35.0.4.0	1713.8801443721045	7586.18907464191	2313.1815846464374	2146.0284541531546
36.0.	1714.115219260772	7583.343227971633	2321.143052088279	2147.1284915017195
36.0.6.0	1714.3427395068804	7580.594827438015	2328.836697809118	2148.1915805060676
37.0.199999999999996.0	1714.5629475196583	7577.940621738353	2336.271324246123	2149.2189235053556
37.0.8.0	1714.776075815948	7575.377453711877	2343.455459983176	2150.211687418815
38.0.4.0	1714.9823478710891	7572.902259935952	2350.3973669976394	2151.1710043750777
