time	Active_R2	Active_Rec	Active_Rec_endo	Inactive_Rec	S2_c	S2_n	S4_c	S4_n	S7	Smad7mRNA	Smad7mRNA1	TGFb	TGFb_In	TGFb_R1_endo	TGFb_R1_surface	TGFb_R2_endo	TGFb_R2_surface	pS2_c	pS2_n	pS2_pS2_S4_c	pS2_pS2_S4_n	pS2_pS2_pS2_c	pS2_pS2_pS2_n
0.0.	0.0	0.0	0.0	0.0	638.6434569983305	237.3986823746695	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	100.0	0.0	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	0.0	0.0	0.0	0.0	0.0	0.0
3.0.	2.101465678183149	5.294921909328837	0.527747663662618	8.413192133898661	606.742203089487	229.09924638261094	442.888215978973	168.86314614539458	3.6509856892106063	0.056420051799097	0.36708269300426605	99.97178867729818	0.036352464812500006	15.076487799548946	5.843802756358892	18.434863298953967	0.22166619145885602	0.130919583651533	0.096219297483059	15.738816553434958	4.25134455018762	0.040813610294621	0.020266116412588003
6.0.	3.229098080371922	7.7223070898777415	0.9313094866662771	9.36813417466491	535.4609982301936	207.38293560798618	402.7175713356441	168.69969328493914	2.723485103639982	0.05642268046561501	0.367426592666711	99.94233020177755	0.075800004703653	12.781335435667874	5.096829886229545	13.428982672457252	0.32208878777169303	0.21813382391669503	0.22488505477123802	46.52545023862048	23.182819326929074	0.337064890785763	0.45494663334634505
9.0.	3.697796969421149	9.076716002629846	1.177167750999904	9.727868660967488	457.4205420023224	183.3664716018763	358.1037410309092	173.00588879500233	2.392955886147374	0.056621317139497	0.382959500283509	99.912002934232	0.10302983064896001	11.815441992994042	5.067597902842031	10.97480715076076	0.36365997470966704	0.282920452981396	0.334513828306084	74.22563187801242	52.70392114755228	1.05654998388004	2.439063099006134
12.0.	3.8089886783643543	9.825978804913671	1.315204180738251	9.904976244865406	393.13344136369847	163.92151029221375	321.1212076716681	182.67426294475183	2.246417354493519	0.059260698911419	0.5167058025861571	99.88134105411537	0.119082473239511	11.597667208409652	5.249810755466898	9.80904637741497	0.37380201089632903	0.32646659272148604	0.407125412836206	91.49073703613394	82.4704034000417	2.123208187381584	6.856314160679185
15.0.	3.763822930675141	10.250505416757257	1.392665196068899	10.011822065804052	347.1210726492417	150.23496536036163	295.2288908010002	194.93111868225114	2.175024968599289	0.072493286155021	0.970381408994139	99.85046292373188	0.128156822304993	11.747616845293361	5.503354656444893	9.270633622450726	0.37024606076377903	0.35207056555112604	0.44725670926930006	99.4327821216957	106.11409123275457	3.295237538931617	13.530047417669692
18.0.	3.660210706670045	10.496179119900507	1.437054289541192	10.096270336711902	316.41044360621595	141.11774953305823	279.2937549787696	206.5751038343137	2.141805855652285	0.109090967750691	1.8514481685341382	99.81939099974949	0.133332448467492	12.060227300156681	5.7753195506907495	9.030737015462156	0.36159859092454805	0.364264783234485	0.466580088684069	101.50665904197547	122.1926238845941	4.330132048232225	21.662092024642345
21.0.	3.540561329298979	10.632715019698955	1.462338932299884	10.18929034827258	296.4108486957617	135.0436456876146	270.7444579711681	215.77875507768695	2.134529975258531	0.17870793710257202	3.075652748090401	99.78809487907567	0.136343742153286	12.430120818348032	6.04255431670415	8.927999739835702	0.35162431982333503	0.36771296054308805	0.474607024777485	100.62824754017058	131.84438966003347	5.091390918918545	30.434103539090167
24.0.	3.42121358053921	10.690632423127324	1.4749826136220912	10.31575748587714	283.2752605073928	130.84460971195807	267.1094973367629	222.0885760846437	2.150833011240434	0.28287460286624805	4.468805940713391	99.75649134915759	0.138063648191138	12.803368682026878	6.295032712009273	8.88243141440938	0.341820745241504	0.366164044267806	0.47712920737045006	98.56890244971666	136.923180102795	5.5570510990725115	39.23677988672525
27.0.	3.307210997226527	10.682650793987433	1.477765160394915	10.49540891277323	274.40311017545946	127.79109500193678	266.51846684798085	225.84616206073113	2.191994633535865	0.416002312149425	5.875462463856115	99.72444573543302	0.13890167225771402	13.152136548169002	6.529424369265998	8.853044233996876	0.332693912871449	0.362082641168397	0.47723378356844204	96.19678293936694	139.09189412497116	5.773458035934376	47.68212617663432
