time	M	MStar	T	TStar	V
0.0.	150.0	0.0	1000.0	0.0	10.0
36.0.5.0	157.70163017369262	0.165714338296441	407.5421512868509	111.27245718169722	1829.7846359337846
73.0.	165.50808119022082	0.257568761648165	454.66712060675457	2.302002661753882	40.732946914610025
109.0.5.0	168.0614781879001	0.26048092250320803	607.4401016820647	4.936011567512045	80.31504500444548
146.0.	176.56305825987886	0.31897331095505005	581.625396816557	32.069356373947336	507.72757236542384
182.0.5.0	188.24588821922057	0.42769082654320906	499.2935024166221	15.366582546292186	252.19839389628763
219.0.	196.9946589907333	0.47608089894624306	561.2302833206534	14.353053386475363	232.71613003260487
255.0.5.0	207.8394551298714	0.55561339462047	539.9525570904576	22.112115713027062	358.1879548966913
292.0.	219.32857675435815	0.6431994203625071	526.5771097370779	17.347815376282465	284.6489618666089
328.0.5.0	230.30633597411796	0.718252543513989	539.9839033347092	17.98555174445071	294.71475188309535
365.0.	242.19873311277448	0.8067161673455051	530.549164613077	19.281765330195192	317.18410294673635
401.0.5.0	254.3677407160586	0.8968288639889631	528.2638669880654	18.276447907124208	302.4970661615445
438.0.	266.78369188606035	0.9880831871870871	528.4179014848067	18.680451229730902	310.06423579073726
474.0.5.0	279.71993919445043	1.085414260622774	524.5244738730407	18.815446399034926	313.7574067233522
511.0.	293.02166822348863	1.185758914018122	522.5384964678052	18.720333044821846	313.6665994395059
547.0.5.0	306.7470048040563	1.290102459653988	520.3061922960546	18.859172472143804	317.37976119938924
584.0.	320.93828215383735	1.399089658490059	517.611332889764	18.9067923934013	319.73828024094286
620.0.5.0	335.5886999490606	1.5124253014947282	515.1530247523389	18.95689180806876	322.1743882236153
657.0.	350.73116865358924	1.630580097895502	512.5362516045735	19.02962218990932	325.04988839205953
693.0.5.0	366.38739540943754	1.7537944841001831	509.8407258690804	19.090300300265504	327.807158197067
730.0.	382.5789424674477	1.882300858758735	507.10071074558215	19.155965730793035	330.7189027281097
766.0.5.0	399.3324954816821	2.016425873599545	504.2758468429278	19.22360571918077	333.7449852202276
803.0.	416.67423041930533	2.156477386261481	501.37887869504505	19.2917265301241	336.86465785643594
839.0.5.0	434.6323151785582	2.302795271387372	498.4059811743001	19.36178489692273	340.10633981087807
876.0.	453.23673069775606	2.455747277552124	495.35300107476064	19.43328533192019	343.4675907871161
912.0.5.0	472.5191115956152	2.6157255560402533	492.21853381916895	19.506318963973595	346.95547745742624
949.0.	492.5130802277443	2.783153419804745	488.9996017350974	19.58096866341193	350.5775208339206
985.0.5.0	513.2543196814579	2.9584866376859713	485.6934506810377	19.65723712969971	354.34039611583984
1022.0.	534.7807284080857	3.1422165276007092	482.29724150637327	19.73516930349834	358.25197251695977
1058.0.5.0	557.1325908962039	3.334873442092034	478.8079593547227	19.81480041956704	362.32053693263407
1095.0.	580.3527509185898	3.5370303776078913	475.2224879529756	19.896165904904205	366.5549984275888
1131.0.5.0	604.4868049895678	3.749307110617845	471.5375797378275	19.979302534770184	370.9649696130118
1168.0.	629.5833113560047	3.972374778142309	467.7498552056582	20.064246681114064	375.560804852699
1204.0.5.0	655.6940171121863	4.206960986755472	463.85580022941855	20.151034744880654	380.35368158887985
1241.0.	682.8741054071285	4.453855525376925	459.85176164465054	20.239702893402185	385.35567943758525
1277.0.5.0	711.1824645091622	4.71391675906725	455.7339439756391	20.330286856241873	390.5798700598157
1314.0.	740.6819809424926	4.988078799280754	451.4984062233888	20.42282171388554	396.0404182554964
1350.0.5.0	771.4398590728565	5.277359559246268	447.1410590307235	20.51734163987303	401.75269520347814
1387.0.	803.5279697796151	5.582869820693755	442.65766233175634	20.613879610210038	407.73340591075487
1423.0.5.0	837.0232311355322	5.905823458721967	438.0438235983303	20.71246707124862	414.00073286854854
1460.0.	872.0080243260393	6.247548995839464	433.2949968391232	20.81313356108905	420.57449832647495
1496.0.5.0	908.5706483853786	6.609502685004964	428.40648252878395	20.91590627873913	427.47634800270214
1533.0.	946.805817708816	6.993283355731106	423.3734286771975	21.020809594395086	434.7299595323737
1569.0.5.0	986.8152067216294	7.40064929815758	418.19083328629443	21.127864493522246	442.3612795401482
1606.0.	1028.7080465500214	7.833537508863599	412.8535484852098	21.23708794657788	450.3987939206182
1642.0.5.0	1072.6017790495087	8.294085680830996	407.35628668506143	21.348492195340224	458.8738367498658
1679.0.	1118.622774105459	8.784657390567453	401.69362915322654	21.462083945860684	467.8209442637911
1715.0.5.0	1166.9071167305033	9.307871020670014	395.86003747478935	21.57786345707497	477.27826156415415
1752.0.	1217.6014711457942	9.866633059449487	389.84986844720675	21.695823513082633	487.28801120074456
1788.0.5.0	1270.8640297473892	10.464176544910993	383.6573930443686	21.815948266096417	497.8970345907624
1825.0.	1326.8655556232343	11.104105573771507	377.2768201897024	21.938211936071145	509.1574194525309
1861.0.5.0	1385.790528095075	11.790446984094878	370.7023261959617	22.062577352154847	521.1272291507278
1898.0.	1447.8384016038021	12.527710551186678	363.92809086342135	22.188994320386488	533.8713532005403
1934.0.5.0	1513.2249891209954	13.320959321651019	356.94834137914876	22.317397801675515	547.4625023218971
1971.0.	1582.183982130535	14.175892064118923	349.7574053288904	22.447705884110903	561.9823765790621
2007.0.5.0	1654.968620047947	15.098940255332277	342.34977431941564	22.579817534363443	577.523041555138
2044.0.	1731.853522682692	16.097382570582763	334.72017991234185	22.713610114519863	594.1885555405801
2080.0.5.0	1813.1366999310576	17.179480538603343	326.8636837870633	22.848936653616484	612.0969008130656
2117.0.	1899.141753219259	18.35463989292267	318.7757842760706	22.985622867720036	631.3822848396206
2153.0.5.0	1990.2202831669586	19.63360325697327	310.4525416410296	23.123463929420264	652.1978934172562
2190.0.	2086.7545173327558	21.028681208250298	301.8907246703119	23.262220997566715	674.7191984018074
2226.0.5.0	2189.1601704954496	22.554030569556218	293.0879813567135	23.401617532206078	699.1479491127265
2263.0.	2297.889547396087	24.225991095567544	284.0430365309403	23.541335438751208	725.7170105406018
