	Amadori	CML	Glucose	Glyoxal	Lysine	Schiff
0	0.0	0.0	0.25	0.0	0.0034	0.0
1	2.274065525468184e-06	3.4294958347348984e-07	0.2499663646894641	5.546327217994323e-06	0.0033722861993045455	1.7896580555901417e-05
2	5.5616401478072955e-06	6.671514714970871e-07	0.2499480917042718	1.1021458123180831e-05	0.003359906488037116	1.9950204352047444e-05
3	8.792471690223992e-06	1.1579869429598343e-06	0.24992962407658342	1.6437456436023033e-05	0.003347508763562878	1.8500361956921455e-05
4	1.179353582504854e-05	1.7431059018218807e-06	0.24990855525230285	2.1777565311620532e-05	0.0033326053436796917	1.7815444992235075e-05
5	1.4877604659359895e-05	2.1974373656298027e-06	0.24988920175965162	2.7043326372429494e-05	0.003319265518689773	1.84554428235186e-05
6	1.800786154723337e-05	2.6142043340700544e-06	0.24987108645123984	3.2237127853355605e-05	0.0033071148387261973	1.8781852188670574e-05
7	2.1127265188726457e-05	3.0318964036721794e-06	0.24985334103623696	3.736752723506445e-05	0.0032953282413703123	1.882023896026556e-05
8	2.4196482050363124e-05	3.4738447557151532e-06	0.2498353942937831	4.2437511976521013e-05	0.0032833605090893097	1.8638284082327303e-05
9	2.7193023302669814e-05	3.950707853917073e-06	0.24981692096844513	4.7448984759049435e-05	0.003270898365305419	1.8334256224141033e-05
10	3.011132849910506e-05	4.461905683876208e-06	0.24979784292338278	5.240261906417702e-05	0.0032578631749869418	1.8003189638882417e-05
11	3.29585491585079e-05	4.999473150360548e-06	0.24977826596518127	5.7298271801779894e-05	0.003244352038259459	1.7715034848320876e-05
12	3.574864826953837e-05	5.5524321751994906e-06	0.2497583929040317	6.213547053294379e-05	0.0032305557014511944	1.750610026760814e-05
13	3.84968160283739e-05	6.11043777738275e-06	0.2497384420850105	6.691381697607463e-05	0.0032166811367002886	1.7381478782677182e-05
14	4.121545134081526e-05	6.666054004924637e-06	0.24971858934211685	7.163323565361131e-05	0.00320289602547168	1.7324234294122872e-05
15	4.3912161204247205e-05	7.215564944552139e-06	0.24969893963713072	7.629405906742274e-05	0.0031893013015388237	1.7306862801835437e-05
16	4.65895880785913e-05	7.75861446604645e-06	0.24967952533068136	8.089698352007092e-05	0.003175929025674019	1.7301480476115328e-05
