	s130	s137	s149	s153	s161	s166	s47	s48	s49	s50	s56	s60	s63	s64	s67	s71	s72	s75	s80	s81	s83	s84	s90	s91
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.006751616664532844	0.003056679633807871	0.002680435722881489	0.04041272861675396	0.8276694722267206	0.0027786296155877127	1.2376394237737956e-05	0.0	0.00025467684682871713	0.00993064538390197	0.0016494053048794705	0.002659341508768161	0.0	0.004317216488716168	0.21725146198216272	0.3384132934273626	0.0027174442302209077	0.4472622303921273	0.0027192315732058794	0.001180295839005697	0.026544747665921103	0.0011181179247204678	8.313503012035843e-05
2	0.0	0.03525952132330716	0.0046020735536833135	0.010157319313092748	0.04909101858227785	0.5599609643592427	0.0026398765831302687	2.3642879862453934e-05	0.0	0.0004829702393271804	0.017907791747768242	0.012805986137031697	0.016243456299064884	0.0	0.009793900352299914	0.4048104590751393	0.4916802727686341	0.004939412282573239	0.8522493797099322	0.0049458444701177785	0.002169844880394128	0.08208125733307847	0.00806331684306614	0.004438509947785705
3	0.0	0.05992598748887395	0.0032017847475278908	0.011286375148926367	0.03642308553005705	0.2725378501531027	0.002474513271243348	3.765356909572456e-05	0.0	0.0007654138491946293	0.027577883443595824	0.045167854367113514	0.04917652688394019	0.0	0.017258627808739102	0.5507252151339145	0.5417371395921337	0.006755967033354308	0.9951658803222068	0.006769188140478396	0.0033081754278286887	0.15828910431991336	0.026546956057450975	0.04544314541754496
4	0.0	0.06587349194925611	0.001735833328221865	0.008941717460979479	0.02660492946169169	0.14987750578330797	0.002373333955713927	5.263232016780116e-05	0.0	0.0010646400459748916	0.037078689176338706	0.09139342840952115	0.09629451824557327	0.0	0.02226172395806114	0.6565794388122775	0.5442231862071143	0.00824061755521584	0.993412738484988	0.008262417592754869	0.004174183397614862	0.24476028312795614	0.050624867544457636	0.1698072211038971
5	0.0	0.06537585689430073	0.001052993055037827	0.0072202598600842605	0.02069786863940419	0.09816691774599726	0.0023144669355328203	6.530746486496155e-05	0.0	0.001316497256372541	0.04454733855923132	0.14009515752190255	0.14929942217447437	0.0	0.025322937271274482	0.7377593949300791	0.5422609229913659	0.00945354688039015	0.991788390635749	0.009485347510368348	0.00461688407830642	0.33443681959845295	0.0640816425739543	0.3677506330207582
6	0.0	0.0627055841208165	0.0007421963684525379	0.005968282493495767	0.01677826743838435	0.07079882724692522	0.0022516836445197657	7.600914803456152e-05	0.0	0.0015288065790972063	0.05061102561345529	0.18838594084967755	0.2044348681059169	0.0	0.028850227107312575	0.7978072627563025	0.5363886599174137	0.010444255810505834	0.9904014913493153	0.010486913363350413	0.005051060344804751	0.42236651733623515	0.060983104535811086	0.5849344092508102
7	0.0	0.059385971286877635	0.0006084393056091813	0.004993725803465431	0.01401983769255212	0.05427612957972361	0.002157601540000774	8.533709615156897e-05	0.0	0.0017136767209022193	0.055757025539724434	0.23518522074920442	0.258188898193171	0.0	0.03468570953452694	0.8284576248692926	0.5171877573068826	0.011253390971779355	0.9891742688436941	0.011307197164945222	0.005743328085141047	0.5023694267853955	0.04590043660134509	0.7681640160938191
8	0.0	0.056036095905108926	0.000580222851183654	0.0041787400627451895	0.012033517491264021	0.04345562039994712	0.0020072314782122215	9.382440522377946e-05	0.0	0.0018817947984646822	0.060360310826798824	0.2800110250722572	0.30525557795287966	0.0	0.04531282683818079	0.8112689612707334	0.4734704844982097	0.011914314956184276	0.9880341049535749	0.01197902864131954	0.00677524895318786	0.5646529133731337	0.02773406173975357	0.8917210951517976
9	0.0	0.05297955207494137	0.0006385186057289041	0.0034357855595255073	0.010586907918141472	0.03600214539373008	0.0017793313699495236	0.00010192685638113765	0.0	0.00204219959291806	0.06470623265538483	0.32263555043375836	0.33653342115323315	0.0	0.06498577307793738	0.7101592357919946	0.3922838322895538	0.012454420744312298	0.986917474749622	0.01252929951395612	0.008061942002399987	0.59297814826997	0.013276422135571418	0.9589659096751348
10	0.0	0.05049471813249639	0.0007905370779300911	0.002691532880904534	0.009555116641191238	0.030768767391985506	0.001476482378473959	0.00010990275964759904	0.0	0.0021999104060440172	0.06891791584414224	0.36294974746067604	0.336567763502311	0.0	0.10045108632624003	0.4562604745399976	0.2637667912414454	0.01289616551761387	0.9857895582948738	0.012980044177766423	0.009394748565627274	0.5622726579509729	0.00482781988112613	0.9878027465117972
11	0.0	0.048872257546143306	0.001096349530496939	0.001821751377306861	0.008868918848227467	0.0271527027336739	0.0011250965216457126	0.00011777324880067917	0.0	0.0023552762378896658	0.07299053325425137	0.4008982527693937	0.27586818921512574	0.0	0.16620128648739874	0.0036046142785226645	0.09681697209608807	0.01325784042799931	0.9846501556313114	0.01334929915475135	0.010637982682500047	0.4421344959698292	0.0012947986343179252	0.9971188622947094
12	0.0	0.047865560329085136	0.0013615180590082607	0.0010723756202957195	0.008396999109546792	0.02453529554703383	0.0008870752552082159	0.00012551431707046593	0.0	0.0025077766597979734	0.07689840728248086	0.4369757497008928	0.18900232208427675	0.0	0.24011554421044046	0.002045538454858859	0.06368159521369955	0.013554064253819366	0.983505041197072	0.013651832152469602	0.011807685022342796	0.2806338545940779	0.0002719093999912485	0.9993485402594866
13	0.0	0.04763430159406537	0.001384896290336882	0.0007379338668081198	0.00811855186862606	0.022730129465360207	0.0008134032278103747	0.00013286788284996994	0.0	0.002652374918711071	0.08052393199427403	0.4710457264859211	0.14472072077009757	0.0	0.2717472346470657	0.0017654104649802726	0.05762392177079842	0.01379594977438642	0.9823969640746033	0.01389973039001518	0.012856890549278025	0.163299653252846	7.33436292330699e-05	0.9997326092494024
14	0.0	0.047731705481441344	0.0013204211335757219	0.0005775697084535756	0.00793820380494931	0.021359160060889597	0.0007935999559998807	0.00013996758212058823	0.0	0.0027918715054248426	0.08397701740758831	0.503490721801334	0.12296337877268133	0.0	0.28126196453198976	0.0016954791518243228	0.055606314858690664	0.013992966145414463	0.9813035965085696	0.014102887303406302	0.013819114400172257	0.09443662516468804	3.538483700432019e-05	0.9997833508782222
15	0.0	0.04791742574027848	0.0012295755778432193	0.0004898075047170204	0.007806919647491162	0.020233582744057836	0.0007946594240240206	0.00014696691702903293	0.0	0.002929265329593124	0.08733216372566625	0.534538455527599	0.1117500683532791	0.0	0.28067089432748915	0.0016992263288559855	0.05507524270176011	0.014153138995404808	0.9802022377210785	0.014269409198384105	0.01473065778066966	0.05726202289684364	2.406087521477984e-05	0.9997610097885204
16	0.0	0.048089289656243685	0.0011352720786866706	0.0004342166667934414	0.007703359099723338	0.019265555029781768	0.0008049236128416646	0.0001539692235707097	0.0	0.003066573121581478	0.09063736494131809	0.5642970247238779	0.10538470517263968	0.0	0.27567271253840636	0.001734772718767504	0.05515384211306256	0.014283113577130762	0.9790769153884509	0.01440593572477467	0.015623833962922365	0.0378183618399836	1.9320118838580325e-05	0.9997093169902183
17	0.0	0.04820671986816194	0.0010457292299211865	0.00039402442834966675	0.007618189237325788	0.018410222973272165	0.0008192824651127585	0.00016105580241623085	0.0	0.0032053782652505095	0.0939283273897923	0.592820019211568	0.10125685190199682	0.0	0.2688699019927337	0.0017857719990974387	0.05548599732570325	0.014388356407040254	0.9779141822435692	0.014517907910489975	0.016523754205396285	0.027764771221263643	1.7284487229891387e-05	0.9996405063691163
18	0.0	0.04825589921529591	0.0009634222685508365	0.0003620429751159157	0.00754719463678008	0.017642194981847794	0.0008357037078745657	0.00016829719001446814	0.0	0.003347048498001252	0.09723373536497275	0.6201388700669602	0.098190082849194	0.0	0.26142681465175144	0.0018451951733354608	0.055916773938271214	0.014473340756916132	0.976701462139587	0.014609777241849854	0.017449130677018275	0.022626473572850473	1.6863648572584986e-05	0.999560804434596
19	0.0	0.048234117707045575	0.0008886930738045953	0.0003349551137509854	0.0074882743727561	0.01694493593733454	0.0008528996648149761	0.00017575889572092214	0.0	0.003492848046580677	0.10057816912246687	0.6462759521604219	0.09563755502405108	0.0	0.2538767035816654	0.0019096507910590754	0.05637297299178331	0.01454172851519432	0.9754261237445244	0.014685193672932806	0.01841487171811217	0.020053911099633802	1.7536660174918746e-05	0.9994746719864097
20	0.0	0.04814275622006678	0.0008210726715502255	0.00031114329190576345	0.007440298693833926	0.016306840030610215	0.000870563794782084	0.0001835063203294642	0.0	0.003644033515045408	0.10398445854923996	0.671249762875417	0.09334493644557049	0.0	0.2464598390283537	0.001977498930527797	0.056818653616590525	0.014596508734533765	0.9740745798541843	0.014747145948132553	0.01943427758963204	0.01883351819201306	1.8967851918346753e-05	0.9993854944676369
21	0.0	0.04798434821503175	0.0007598536662091266	0.00028972857518472174	0.007402626745286699	0.015718868700504086	0.0008884388626499475	0.0001916098595988987	0.0	0.0038019529352860465	0.10747585467673923	0.6950758303210103	0.09118826082215094	0.0	0.2392861233411167	0.002047967181018243	0.05723424959378097	0.014640120433008297	0.9726312473466858	0.014798083894135597	0.02052089799861603	0.01832799448493501	2.0902251457979385e-05	0.999295857193423
