time	T	Tstar	Tstarstar	Ttot	V
0.0.	1000.0	0.0	0.0	1000.0	0.001
10.0.950000000000001.0	1493.3357117991106	0.001333227683306	5.317253400270045e-07	1493.3370455585184	4.2667611199177766e-08
21.0.900000000000002.0	1493.3345792347295	0.002460317076182	9.961203779189166e-07	1493.3370405479252	7.993255017865464e-08
32.0.85.0	1493.3324701319232	0.004559237173953	1.846222088532435e-06	1493.3370312153183	1.481482089241824e-07
43.0.800000000000004.0	1493.328561346786	0.008449151993821001	3.4214142888382485e-06	1493.3370139201927	2.745486184626733e-07
54.0.75000000000001.0	1493.321317599767	0.015657927477637	6.340548495770173e-06	1493.336981867792	5.087946430845111e-07
65.0.7.0	1493.307893522217	0.029017195121066004	1.1750273704128532e-05	1493.3369224676112	9.429042276558427e-07
76.0.65.0	1493.2830160866702	0.05377452248082901	2.1775549240584685e-05	1493.3368123846997	1.7474145306370081e-06
87.0.60000000000001.0	1493.2369133404436	0.099654675225523	4.0354339025390545e-05	1493.3366083700087	3.23839971320692e-06
98.0.55000000000001.0	1493.1514759474592	0.184679526196511	7.478445286300824e-05	1493.3362302581083	6.00172854617977e-06
109.0.50000000000001.0	1492.9931437339108	0.342247105902305	0.000138590151522	1493.335529429964	1.1123549368502822e-05
120.0.45000000000002.0	1492.6997230741056	0.6342503618517871	0.00025683448697500004	1493.3342302704446	2.0618145287497634e-05
131.0.4.0	1492.1559566969013	1.175388679025804	0.000475964075773	1493.3318213400037	3.822332305810566e-05
142.0.35000000000002.0	1491.1482492736332	2.178221206789081	0.0008820531539140001	1493.3273525335762	7.088298514217717e-05
153.0.3.0	1489.2807630177888	4.036657538942006	0.00163461272108	1493.3190551694522	0.00013152417384300002
164.0.25000000000003.0	1485.8199196594346	7.480675162425697	0.0030292430695570004	1493.3036240649299	0.000244305806639
175.0.20000000000002.0	1479.4062076986118	13.863017252248362	0.005613733070148	1493.27483868393	0.00045470263236700004
186.0.15.0	1467.5200179244741	25.69041568847826	0.010403186359099	1493.2208367993105	0.0008494551071760001
197.0.10000000000002.0	1445.4914088009507	47.60775510395152	0.019278592333183003	1493.1184424972346	0.0015981159784780002
208.0.05.0	1404.663733162788	88.22084844410342	0.035725096867947004	1492.9203067037586	0.003047410358258
219.0.00000000000003.0	1328.9848770293802	163.4703172243702	0.066198815823464	1492.5213930695736	0.005967913941046001
229.0.95000000000002.0	1188.6604184343169	302.8669728942709	0.122654328885634	1491.650045657472	0.012360472262964
240.0.90000000000003.0	928.1683759942523	560.9591974677238	0.227202065157379	1489.354775527132	0.029307273477052004
251.0.85000000000002.0	440.199130809614	1037.7786356367342	0.420535157583795	1478.3983016039294	0.11407870867577301
262.0.8.0	0.137579202651287	1053.3506344701693	0.5846175330129451	1054.0728312058347	31.73392083134524
273.0.75.0	0.24171340659765603	633.9927913005721	0.385474650255809	634.6199793574267	20.07169962408688
284.0.70000000000005.0	0.5069419811201561	431.80469801800064	0.25106475474433504	432.56270475386634	11.721811902181452
295.0.65000000000003.0	1.352364135832534	364.805408370776	0.19241558330407801	366.35018808991435	6.775653120866368
306.0.6.0	852.2371107818965	635.9358255610266	0.259514909511317	1488.4324512524324	0.036450390209367
317.0.55.0	290.5404058259798	1178.0255838165115	0.47759483224208704	1469.0435844747312	0.195769364005755
328.0.50000000000006.0	0.14995726111865001	941.505964934609	0.5472344283187021	942.203156624047	29.601859419280043
339.0.45000000000005.0	0.27913062640908604	578.2762907519962	0.350213302335152	578.905634680741	17.945692770540816
350.0.40000000000003.0	0.6007241535828031	407.9499471855861	0.233485904191531	408.7841572433606	10.516545033510502
361.0.35.0	2.5709626778571932	371.59089775839976	0.18868407304453502	374.3505445093023	5.030690415018903
372.0.3.0	763.4903095902522	723.3467543635458	0.29386619506813505	1487.130930148867	0.046059367559357
383.0.25000000000006.0	103.91141172305552	1335.300273357804	0.5420792237137061	1439.75376430458	0.6113540749824471
394.0.20000000000005.0	0.16707883920627	844.3159213407512	0.503778115746595	844.9867782957142	27.075358998720986
405.0.15000000000003.0	0.32395505581760003	530.5352670315457	0.31898743816138003	531.1782095255338	16.03847330931548
416.0.1.0	0.718213403813982	389.2630399146367	0.21887405718195901	390.2001273756414	9.441905000121938
427.0.05000000000007.0	1059.2444532299176	430.9454721837445	0.193561647021175	1490.383487060693	0.021884767669123003
438.0.00000000000006.0	662.8575767754135	822.0678589567952	0.333406221209886	1485.2588419534268	0.060164086279476
448.0.95000000000005.0	0.13184543185938602	1302.909214925063	0.5988181256645411	1303.6398784825979	32.243221350358155
459.0.90000000000003.0	0.18881638164852801	759.9794135262496	0.45966453944349306	760.6278944473523	24.483397247071828
470.0.85.0	0.377754702100066	489.91604797549854	0.291676924882239	490.5854796024916	14.341131579679466
481.0.80000000000007.0	0.870266892701654	375.6238571087057	0.20705086302914602	376.70117486444735	8.470125522220457
492.0.75000000000006.0	991.0501177189192	498.75830693157525	0.210482824209781	1490.0189074747184	0.025431768627251
503.0.70000000000005.0	548.1071712011172	933.8676226206376	0.37853343085088403	1482.3533272526188	0.082550865501399
514.0.6500000000001.0	0.131535875027009	1158.6465461864484	0.604059279693361	1159.3821413411833	32.781137420134336
525.0.6.0	0.21546948166233001	686.939374968224	0.41768482494694703	687.5725292748467	21.995732791649434
536.0.5500000000001.0	0.44265485933484405	455.7097587665299	0.26804946191273804	456.4204630877911	12.836883840039462
547.0.5.0	1.080597917595085	367.210696757445	0.19791843253135202	368.48921310758516	7.5591023556918895
558.0.45.0	918.2993744888689	570.7104261808686	0.23493195196670902	1489.2447326217189	0.030629335877860004
569.0.4000000000001.0	416.32627709235675	1060.5284738710047	0.429850838240031	1477.2846018016228	0.123256145254737
580.0.35.0	0.13933465217985802	1033.0900493825775	0.579010442157998	1033.808394476942	31.4188493484054
591.0.3000000000001.0	0.24764434747415903	623.8532166608345	0.37915689066331204	624.4800178989984	19.692479380907486
602.0.2500000000001.0	0.521610258752653	427.34572693305347	0.24783735709676602	428.11517454892953	11.505292632729379
613.0.2.0	1.433546089755048	364.95792907913517	0.191527830124292	366.5830029990412	6.593134821565475
624.0.1500000000001.0	837.8063799472529	650.167320411121	0.265031975178852	1488.2387323335815	0.037864820623693
635.0.1.0	262.1171719873375	1203.7668651211454	0.48807978377203903	1466.372116892283	0.221567975693359
646.0.0500000000001.0	0.15256082267416501	923.8918752136174	0.540035545014782	924.5844715813413	29.185756345560815
657.0.0000000000001.0	0.28623669673326	569.568340237126	0.34458588597561	570.1991628198697	17.60397706138062
667.0.95.0	0.618923409322501	404.39238609471823	0.230781319334409	405.2420908234098	10.324116281145859
678.0.9000000000001.0	4.084142193220765	376.1746620377497	0.18852027364662502	380.44732450465165	3.9502246529285383
689.0.85.0	747.1739816090628	739.3855106126093	0.300255505857769	1486.8597477275653	0.048085499114925004
700.0.8000000000001.0	63.614465523101266	1363.1660045179271	0.5538740787767601	1427.334344119845	1.000963455529224
711.0.7500000000001.0	0.170466636053543	829.0214718740997	0.49617491548026604	829.688113425676	26.630315173515353
722.0.7.0	0.332472474414288	523.1021777714467	0.31404283054359605	523.7486930764467	15.733590689563067
733.0.6500000000001.0	0.7413622893090911	386.571454153661	0.21665742756771203	387.52947387058003	9.269233854785956
744.0.6.0	1047.882457561694	442.46364936575395	0.19576976473205002	1490.5418766922255	0.022373886804722003
755.0.5500000000001.0	644.2938587042935	840.2192780756579	0.34071614097056	1484.8538529209657	0.06324865878152801
766.0.5000000000001.0	0.130885493844837	1276.7886732858915	0.6029060030701521	1277.522464782849	32.55647658423874
777.0.45.0	0.19301469914475702	746.7217935203628	0.452280433643226	747.367088653192	24.047315131101616
788.0.4000000000001.0	0.38800196779407503	483.6265294215908	0.287380634818076	484.30191202424413	14.070614294508644
799.0.35.0	0.901090143492818	373.802266383483	0.20529870591787602	374.908655232935	8.311563238175198
810.0.3000000000001.0	979.0245001570673	510.6598243178683	0.21420910824208	1489.8985335832167	0.026199202826161002
821.0.2500000000001.0	526.868473612447	954.4343350175559	0.386855439187794	1481.6896640692296	0.087752370067239
832.0.2.0	0.13241398871023102	1135.9081786124063	0.601344832400852	1136.6419374335576	32.64518928294232
843.0.1500000000001.0	0.22056166387007703	675.4744112404856	0.41082673120985	676.1057996356052	21.587284716498157
854.0.1000000000001.0	0.455068503023394	450.45646346881716	0.26435667946080704	451.17588865134167	12.597418145886456
865.0.0500000000001.0	1.126222941606894	366.3399756135469	0.19662558444855102	367.6628241396422	7.4037342645585085
876.0.0000000000001.0	905.1511003916232	583.7013135834667	0.23970731251462302	1489.0921212876467	0.031704804030523004
886.0.95.0	391.76284879974395	1083.8166414923264	0.439302126251678	1476.018792418361	0.13381886626456801
897.0.9000000000001.0	0.14124653049984	1013.3074684236534	0.5730085534755921	1014.0217235076672	31.07906391920954
908.0.8500000000001.0	0.253762624537244	613.9708466520609	0.37295564382427104	614.5975649204602	19.319588147016642
919.0.8000000000001.0	0.536810592598398	423.04477887724966	0.24470223309074102	423.82629170297685	11.29317832087513
930.0.7500000000001.0	1.532253512673012	365.3965559647049	0.19073207436418402	367.1195415517801	6.393220792507113
941.0.7.0	823.0782572167892	664.685383139252	0.27069760735088705	1488.03433796343	0.039364476592540006
952.0.6500000000001.0	232.6065566649766	1230.0214084418444	0.498788441576589	1463.1267535484383	0.25486229801388904
963.0.6000000000001.0	0.15529985277503403	906.6965338621447	0.532703171893111	907.3845368868542	28.760794501565783
974.0.5500000000001.0	0.29356551752382604	561.0888903959647	0.33907686214314303	561.7215327756737	17.268677527767004
985.0.5000000000001.0	0.637846915497835	400.98461196442935	0.22816242967101602	401.85062130963956	10.135393932814255
996.0.45.0	16.293525222025036	385.43903198493376	0.18866667303124102	401.92122388003156	1.407818077476572
1007.0.4000000000001.0	730.499569511309	755.764421177548	0.30679738522918004	1486.5707880741268	0.050251350249624
1018.0.3500000000001.0	19.358531995603567	1388.5356464242564	0.5658248600165591	1408.4600032799212	2.9078173805120633
