[CRP]	[PC]	[PC/CRP]	[C4]	[C4a]	[C4b]	[C2]	[C1]	[PC/CRP/C1]	[C2a]	[C2b]	[C4b/C2a]	[C3]	[C3a]	[C3b]	[dC3b]	[MASP]	[dC4b/C2a]	[GlcNac]	[GlcNac/LF]	[LF]	[GlcNac/LF/MASP]	[PC/CRP/LF]	[PC/CRP/LF/MASP]	[GlcNac/LF/CRP]	[GlcNac/LF/CRP/C1]	[C4BP]	[C4BP/PC/CRP]	[C4BP/GlcNac/LF/CRP]	[iC4b/C2a]	[C4BP/C4b]	[C4b/C2a/C4BP]	[dC4b/C2a/C4BP]	[PC/CRP/LF/C1]	[C4BP/PC/CRP/LF]	[GlcNac/LF/CRP/MASP]	[PC/CRP/LF/C1/MASP]	[GlcNac/LF/C1/MASP]	[GlcNac/HF]	[HF]	[GlcNac/HF/MASP]	[X]
2.0	0.0327796	0.0	770.0	0.0	0.0	310.0	2470.0	0.0	0.0	0.0	0.0	4650.0	0.0	0.0	0.0	6.8	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005
1.9781321861385759	0.010911786138576364	8.265377286047552e-06	769.9966366795203	0.003363320480048433	2.289879005785464e-05	309.9967984327857	2469.99971820854	0.00028157779172805413	0.0032015346593991622	0.00320156721422751	1.5858359045144258e-10	4649.999999998154	1.8474835388083445e-09	5.552598177504248e-10	1.885404897781766e-10	6.799999866173155	4.9904805419224075e-12	0.0	0.0	19.9999997798272	0.0	5.693733638705458e-09	8.109664747330774e-10	0.0	0.0	258.2014756807128	0.02157775051961213	0.0	1.066282536076956e-08	0.0033403891351622304	2.1048416372206766e-08	6.483630534103704e-10	8.065221957124032e-08	0.0	0.0	1.3301587770976563e-07	0.0	0.0	0.0	0.0	0.0005
1.9709236056517987	0.00370320565179937	8.652697212193377e-06	769.9861176833492	0.013882316651116276	9.073271072659026e-05	309.98679210873206	2469.9994168430876	0.0005827034096105894	0.013207128801836842	0.013207891267759512	2.7277133235622117e-09	4649.999999940144	5.985901261582277e-08	1.1668609952049868e-08	4.362766250471731e-09	6.799999695862491	1.4760982758973152e-10	0.0	0.0	19.999999539539566	0.0	6.008397374192728e-09	9.497268462037022e-10	0.0	0.0	256.4227418319149	0.02848457778095064	0.0	3.433433561139865e-07	0.013790821474467014	3.942810084932037e-07	2.0940782057787796e-08	1.503145210105296e-07	0.0	0.0	3.0318778196275046e-07	0.0	0.0	0.0	0.0	0.0005
1.9684562254479694	0.0012358254479697829	8.774231049751549e-06	769.9682116574413	0.03178834255916507	0.00020571859194688926	309.9697630283348	2469.999113815975	0.0008854840462248519	0.03023191816944251	0.030236971664958208	1.4501602942436896e-08	4649.9999995244525	4.755507438371868e-07	6.736144503282502e-08	2.6102782378455723e-08	6.799999520006041	1.1322657909691315e-09	0.0	0.0	19.999999292818227	0.0	6.1362901710175635e-09	1.0669301009285148e-09	0.0	0.0	254.65355235891582	0.030648809092987225	0.0	2.712002929761362e-06	0.031577570471702475	2.1519886252274186e-06	1.657233677635596e-07	2.210515180044133e-07	0.0	0.0	4.789270301037292e-07	0.0	0.0	0.0	0.0	0.0005
1.967627265464207	0.0004068654642076541	8.802091873340944e-06	769.9429645980082	0.05703540199217419	0.00036845239641036326	309.9457565669189	2469.9988149624974	0.001184089083428868	0.05422377942102994	0.05424343308090143	4.734108922198616e-08	4649.9999979272	2.0728047868102083e-06	2.2977447436701123e-07	9.063376713629838e-08	6.799999342481763	4.851831990803726e-09	0.0	0.0	19.999999044206298	0.0	6.199229857386913e-09	1.1764383992132644e-09	0.0	0.0	252.89079784398564	0.031178887566793195	0.0	1.1750491134304725e-05	0.05664729593589232	7.096100931926396e-06	7.193653844616071e-07	2.920762284591033e-07	0.0	0.0	6.563418002265473e-07	0.0	0.0	0.0	0.0	0.0005
1.9673555894897328	0.00013518948973333147	8.798491053559832e-06	769.9105044245355	0.08949557546495719	0.0005790171381322173	309.914896216196	2469.998522250948	0.0014765518883946838	0.08504725838914706	0.08510378380390297	1.1813383019127498e-07	4649.999993561399	6.438604711800788e-06	5.887491295773348e-07	2.3465780942830311e-07	6.799999164649511	1.4934202229480176e-08	0.0	0.0	19.99999879531485	0.0	6.239777184043984e-09	1.2831518240207377e-09	0.0	0.0	251.13349263471997	0.031157855445672605	0.0	3.6292401560897385e-05	0.08886003291206905	1.7764266093831195e-05	2.2253784592167886e-06	3.6309487773649664e-07	0.0	0.0	8.340673390748833e-07	0.0	0.0	0.0	0.0	0.0005
1.9672665186130394	4.6118613039751986e-05	8.785529694158207e-06	769.8709900801783	0.12900991982213608	0.0008372621205361863	309.87733527009	2469.9982362270016	0.0017623273365901674	0.12252985966862072	0.12266472990988653	2.4882358937776766e-07	4649.999983710309	1.6289695127656268e-05	1.2629694922297455e-06	5.069814074502249e-07	6.799998986965617	3.757326215103094e-08	0.0	0.0	19.99999854667687	0.0	6.273654064932835e-09	1.3888901191425428e-09	0.0	0.0	249.38139865699083	0.030960915197553153	0.0	9.128557591090877e-05	0.12803778746033406	3.74129207939536e-05	5.606286735138595e-06	4.3401508487534066e-07	0.0	0.0	1.011645493710166e-06	0.0	0.0	0.0	0.0	0.0005
1.9672359926454046	1.5592645404910003e-05	8.770708175259966e-06	769.8245886113757	0.17541138862468403	0.0011429146745057489	309.8332350047519	2469.997956911146	0.0020413950788982396	0.1664823190494915	0.16676499524794888	4.66577022574868e-07	4649.999964132803	3.586720064923041e-05	2.405978753423613e-06	9.71516297977426e-07	6.799998809551359	8.262264499234917e-08	0.0	0.0	19.999998298424995	0.0	6.306183339732178e-09	1.4943007480039912e-09	0.0	0.0	247.63454469424778	0.030712139992520288	0.0	0.00019928087370667385	0.17398579775172093	6.994411332504731e-05	1.228756588259604e-05	5.04820174931901e-07	0.0	0.0	1.1889543422857177e-06	0.0	0.0	0.0	0.0	0.0005
1.9672258453389007	5.445338900889102e-06	8.756271977614474e-06	769.7714648948528	0.2285351051477177	0.0014956299415982417	309.7827548449846	2469.9976842089864	0.0023138495530737376	0.2167076726057204	0.21724515501522731	8.019046090550947e-07	4649.99992916828	7.083172367999746e-05	4.167570601942101e-06	1.6880157877404959e-06	6.799998632441169	1.627838672641848e-07	0.0	0.0	19.99999805060147	0.0	6.338731994875998e-09	1.5995123693634955e-09	0.0	0.0	245.89305152358415	0.030449599437521093	0.0	0.00039138783582284235	0.22650199279661257	0.00011976174493334717	2.4154712411191887e-05	5.755009610701248e-07	0.0	0.0	1.3659593212330836e-06	0.0	0.0	0.0	0.0	0.0005
1.9672231221480614	2.722148061699654e-06	8.741904366923903e-06	769.7117671925711	0.2882328074294944	0.0018951735964618543	309.72603838860636	2469.99741797051	0.002579840759964354	0.273017125894512	0.27396161139350134	1.2900471246323914e-06	4649.9998717701355	0.00012822986733363446	6.753384702705657e-06	2.742765892509356e-06	6.799998455629996	2.9391389124854307e-07	0.0	0.0	19.999997803193903	0.0	6.37136694002925e-09	1.7045824352046808e-09	0.0	0.0	244.1570573169688	0.03018609838151607	0.0	0.0007051059725961999	0.2853931483340431	0.0001920640135882844	4.353482853000899e-05	6.460647172470783e-07	0.0	0.0	1.5426654243292049e-06	0.0	0.0	0.0	0.0	0.0005
