	II	IIa	M	P2
0	1.0	0.0	0.0	0.0
1	0.9559182677285649	0.0019288854090243153	0.04206486941427903	8.797744813173486e-05
2	0.9137682998151504	0.007374215139668	0.07868540520219158	0.00017207984299008857
3	0.8734749018339709	0.01588265544550557	0.11038998469396955	0.0002524580265539753
4	0.8349582758432382	0.02704529238761129	0.1376671596942374	0.00032927207491303457
5	0.7981400735560317	0.04048418473331915	0.16097306255452656	0.00040267915612251013
6	0.7629454015204328	0.05586052693466805	0.18072124203712278	0.0004728295077762624
7	0.7293026687756085	0.0728709881878917	0.19728647629388818	0.0005398667426114156
8	0.6971434412256305	0.09124437959479326	0.21100825103893883	0.0006039281406371058
9	0.666402302434806	0.11073862060375339	0.22219393203305876	0.0006651449283815609
10	0.6370167205613576	0.13113797841531927	0.23112165847749738	0.0007236425458255399
11	0.6089269211587771	0.1522505563274919	0.23804298161216556	0.0007795409015651145
12	0.5820757655861135	0.1739060090877105	0.24318527070945278	0.0008329546167228271
13	0.5564086347798627	0.1959534652292472	0.2467539067327865	0.0008839932581033781
14	0.5318733181510357	0.2182596381149235	0.24893428217297253	0.0009327615610681117
15	0.5084199073814067	0.24070710900503653	0.24989362397097487	0.000979359642581661
16	0.4860006949029069	0.2631927669222019	0.24978265497002686	0.0010238832048641176
17	0.46457007685365526	0.28562639141542195	0.2487371080008596	0.0010664237300629835
18	0.4440844603132279	0.30792936553997574	0.2468791054804553	0.001107068666340898
19	0.4245021746284674	0.3300335074786715	0.24431841628710332	0.0011459016057576632
20	0.4057833866494566	0.35188001024270665	0.2411536006535282	0.0011830024543084123
21	0.38789001970323517	0.3734184798151669	0.23747305288713397	0.0012184475944637967
22	0.37078567614043956	0.39460606294466755	0.23335595087434988	0.0012523100405428236
23	0.35443556329731535	0.4154066565677432	0.2288731205477068	0.0012846595872343977
24	0.33880642272249867	0.4357901915426723	0.22408782278325917	0.0013155629515696737
25	0.32386646252460277	0.45573198402028237	0.21905646954648067	0.0013450839086340204
26	0.30958529270299656	0.47521214836421577	0.21382927551149283	0.0013732834212946453
27	0.29593386333022753	0.4942150660689873	0.20845085083657725	0.0014002197642077714
28	0.2828844054603441	0.5127289056133564	0.20296074028394173	0.0014259486423576085
29	0.2704103746429161	0.5307451886331099	0.19739391341960547	0.0014505233043682485
