	ASL_b	ASL_c	ASL_m	ASLoOH_b	ASLoOH_c	ASLoOH_m	ASLpOH_b	ASLpOH_c	ASLpOH_m	AS_b	AS_c	AS_m	ASoOH_b	ASoOH_c	ASoOH_m	ASpOH_b	ASpOH_c	ASpOH_m
0	0.0	0.0	30.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8797.15	0.0	0.0	0.0	0.0	0.0	0.0
1	1127.754477800992	318.12288677975545	23.101852427506234	288.915098209087	81.5108870169939	0.2916890894348551	378.86495927850325	106.88983530348561	0.15857939308428426	48151.18518392187	13584.24218034613	8322.842921990858	1968.2896402754454	555.3883980311714	1.036986339911062	821.9560534900883	231.93396588746725	0.2110904381552447
2	1479.905106485222	417.4304926085947	26.750952595526623	496.8700705920364	140.15432780955794	1.1401770295624984	684.9403844080783	193.20652935168766	0.6367981982363632	82503.12240028079	23272.409534644037	7948.7037288594565	5191.916622654867	1464.6511250810488	5.838824541811459	2296.226555957048	647.7797358103005	1.240367287022629
3	1716.8284108982018	484.2500263949233	31.76070278227312	604.9285253170887	170.62699306872273	2.2396973106958034	866.2368280851091	244.33413705116183	1.2768387255516687	107840.45674585222	30418.2423728457	7649.291105506865	8556.898910577056	2413.7436656868094	15.158225444011741	3966.4058120414284	1118.8636511450973	3.330536069926817
4	1905.6680991161234	537.5095123042097	36.512405353654586	665.5738766910176	187.72966582042883	3.415482950316764	978.1321143408894	275.89042636019707	1.9753814590839776	126636.81041506288	35719.337997545634	7406.550723832496	11757.597905102797	3316.4865094605657	28.93993458403747	5680.6526325421055	1602.3693461565242	6.543386466802405
5	2061.2955921537637	581.4021520336767	40.67400316117684	705.0682209846684	198.86803014155805	4.590903396563242	1052.7812072245893	296.9431916322241	2.6795736746332413	140549.54203058087	39643.110712357055	7207.067123000208	14689.7292615246	4143.47515042769	46.873902648379854	7372.153913084162	2079.456134630624	10.870332381899765
6	2190.4700523415786	617.8340993667972	44.21799153858716	735.3502745042688	207.40866238976426	5.735193566202637	1107.3053097588418	312.3206370917716	3.3638258913233607	150772.12536188058	42526.15233801152	7040.71527068602	17324.623505626612	4886.62703321073	68.56736412874203	9009.429166513797	2541.2467474643086	16.271012553152456
7	2297.8221444835212	648.1113379342518	47.1996134002041	761.6679161860512	214.83138820186434	6.8378045870853	1150.7614584032663	324.5768591260083	4.016735584070385	158189.43521097847	44618.0227960493	6899.797781135313	19665.74238765724	5546.920171215905	93.61365912954501	10577.897647834458	2983.629592194472	22.6905319008693
8	2387.009162747188	673.2653527186554	49.693063636147215	786.2296864771032	221.7589740905237	7.89667861287267	1187.9290842570854	335.05966212575004	4.634166205244113	163466.7882214352	46106.36086749408	6778.439453797496	21730.595892824298	6129.293973837807	121.62201254784252	12071.69105994857	3404.949998042994	30.06800845477173
9	2461.0369648169153	694.1439052792391	51.77117195730756	809.8934091153474	228.43330254544279	8.91302332273878	1221.3137131814638	344.47560511299736	5.215600583513846	167108.2269420073	47133.32153938238	6672.144775760578	23542.40946894817	6640.299460526193	152.23026757044747	13489.617573151907	3804.872074284037	38.341048701088674
