time	CC	CCPT	CLK	PDP	PER	PT	TIM	VRI	clkm	clkp	pdpm	pdpp	perm	perp	prcpdp	prcper	prct	prcv	prpc	prvc	timm	timp	vrim	vrip
0.0.	0.5566	0.49820000000000003	3.6628	4.1953	2.7527	0.40140000000000003	2.7527	3.175	0.25830000000000003	0.003185	0.3175	0.003185	0.23950000000000002	0.003185	0.0	0.0	0.0	0.0	0.0	0.0	0.23950000000000002	0.003185	0.2571	0.003185
0.0.72.0	0.9785214025540021	0.465488975175175	3.6944149426397113	4.146001327430756	2.6125299876716532	0.21342771734360402	2.612529987671654	3.076919829310211	0.250063575717759	0.003185	0.30600713878088204	0.003185	0.23249957727661802	0.003185	0.031902560587429005	0.03415108618549	0.03415108618549	0.04887727168738001	0.42291452840033006	0.490103505048734	0.23249957727661802	0.003185	0.247859036357496	0.003185
1.0.44.0	1.4974238899684091	0.45126855182832903	3.9042274626391533	4.09036198743114	2.549246577034073	0.13548807592512502	2.549246577034073	3.002548592631725	0.256126644215881	0.003185	0.299315520473722	0.003185	0.23006767038832002	0.003185	0.07815540395293101	0.081043839535285	0.081043839535285	0.11419620755360001	0.43032500330391005	0.48135134545809105	0.23006767038832002	0.003185	0.24640641768627403	0.003185
2.0.16.0	2.063975613404873	0.45049146533007006	4.164159636522257	4.035328362789883	2.535477522425246	0.098283989801089	2.535477522425246	2.992548928185458	0.261169182539468	0.003185	0.297523298784653	0.003185	0.232330326153517	0.003185	0.13784461465057402	0.13908828156761202	0.13908828156761202	0.192296568852586	0.433859591366397	0.47707449152996406	0.232330326153517	0.003185	0.25252741537064	0.003185
2.0.88.0	2.579908307819192	0.460272671835367	4.411442953679095	3.9866504800799483	2.5571672860064822	0.08043214876794101	2.5571672860064822	3.057122345417247	0.264644008345072	0.003185	0.299845284265083	0.003185	0.23866528542213702	0.003185	0.20598043245688302	0.20272982943429102	0.20272982943429102	0.27426147416822805	0.43319480355398204	0.478099071817742	0.23866528542213702	0.003185	0.26476952218660404	0.003185
3.0.5999999999999996.0	2.962877081574237	0.477747892927101	4.604396254300241	3.948072020934353	2.6025901950845842	0.072746862474433	2.6025901950845842	3.187190796737394	0.26614340855207	0.003185	0.30498338591114704	0.003185	0.247944495093071	0.003185	0.275136500955303	0.26446076697804705	0.26446076697804705	0.34969363057887803	0.428293683963862	0.48437275551507303	0.247944495093071	0.003185	0.281036089067885	0.003185
4.0.32.0	3.156515247707906	0.5000072800597171	4.714069302021841	3.921276045182892	2.661949719473896	0.071487433274266	2.6619497194738972	3.364614362648287	0.265497577608637	0.003185	0.311704138252747	0.003185	0.25900286522308	0.003185	0.338135401699571	0.31758126365354705	0.31758126365354705	0.41077750454570605	0.41987641004216003	0.49486916189171803	0.25900286522308	0.003185	0.299407171544185	0.003185
5.0.04.0	3.1289610803359382	0.524627217005555	4.724273016536868	3.906419930468002	2.728381895245342	0.075669536167525	2.7283818952453442	3.570585525730878	0.26283482846418904	0.003185	0.31913803647870204	0.003185	0.270928814765518	0.003185	0.38965935198523904	0.35754229102475504	0.35754229102475504	0.453500865002867	0.40914783364113405	0.5080485357529491	0.270928814765518	0.003185	0.318520009654677	0.003185
5.0.76.0	2.8698468503510233	0.5497448774311571	4.630595470784457	3.902778835641617	2.79805355686601	0.08643704900012501	2.798053556866011	3.789914219195036	0.25852780483668303	0.003185	0.326772237193492	0.003185	0.283104168597871	0.003185	0.42653647647692805	0.38188467633740103	0.38188467633740103	0.47668925019099	0.39736211490636403	0.522399101012841	0.283104168597871	0.003185	0.33752474825329104	0.003185
6.0.4799999999999995.0	2.388899689876011	0.5736281199331721	4.438431967594886	3.909217771994306	2.86994452730161	0.108311745658209	2.869944527301612	4.011753034936533	0.25307424560051	0.003185	0.33432870549487004	0.003185	0.29511949964412804	0.003185	0.44719372046452704	0.389470941971961	0.389470941971961	0.480356835080926	0.385534772911152	0.5367424109256991	0.29511949964412804	0.003185	0.35589129685652204	0.003185
