time	Active_R2	Active_Rec	Active_Rec_endo	Inactive_Rec	S2_c	S2_n	S4_c	S4_n	S7	Smad7mRNA	Smad7mRNA1	TGFb	TGFb_In	TGFb_R1_endo	TGFb_R1_surface	TGFb_R2_endo	TGFb_R2_surface	pS2_c	pS2_n	pS2_pS2_S4_c	pS2_pS2_S4_n	pS2_pS2_pS2_c	pS2_pS2_pS2_n
0.0.	0.0	3.231174267785264e-27	0.0	0.0	1241.5808405279024	379.46194355209764	544.2959278111286	462.8188945388716	3.282505217856974	0.029060166817885	0.18907171277886903	100.0	0.0	11.110520122319418	17.474058737380584	28.808210760416582	14.183152096483413	0.0	0.0	0.0	0.0	0.0	0.0
14.0.5.0	14.78608598895884	17.80564891616373	1.537913694713781	2.9861140526971672	655.0728265149586	241.6938393600206	223.5884995481462	534.8315779195623	0.37389666343306405	0.16095843292970302	3.78618860992724	99.47655837029427	0.132344592286844	6.458890976221077	2.039757001879279	4.818837622315538	1.308275015678392	0.5816987728197991	0.34404180950337904	207.4175664914958	154.56704016228565	15.77326647239517	26.27300999302827
29.0.	13.57686605663443	18.437486457900807	1.605933840456271	3.952692467349823	557.4300607832783	212.5494513798372	215.25057907275297	578.8750365011641	0.48424863054697503	1.2311138382317641	13.576717926029199	98.95586636262443	0.14053606687682801	6.911160864592726	2.325067680871954	4.7342058940293	1.212768655456415	0.568306509719069	0.33806992525261503	191.06996587606943	159.89462376232328	23.930868495640894	104.94432449836344
43.0.5.0	12.319706398672746	17.70224721999178	1.5504986834117411	6.595836528873737	528.5542683364605	202.24066283804115	233.73348383604923	571.9839134709302	0.8429738329933031	2.294669947525109	18.78356878559084	98.43787374998716	0.14015744586144302	6.993034471155984	2.550158394391474	4.4862396105065585	1.118534232308756	0.5268361668744941	0.336659936620789	178.18752337182872	155.58482227444594	20.156830670078964	157.42332671265825
58.0.	10.806449151056004	16.239046825993217	1.426739174540054	10.411248970436489	535.1948484872127	202.70172921965096	250.02750687456637	564.6713053299596	1.4450373440893771	2.9198857694282943	20.873947155991324	97.92254600101026	0.13528588971708302	6.794642823767878	2.826362310152653	4.095892390372368	1.005125309530722	0.494979730136035	0.33360510887884104	168.19523911758523	150.29395284686942	16.549300400519133	179.15161358775697
72.0.5.0	9.097013725449578	14.555085864505575	1.280689451009662	14.705351445009635	560.2879420634458	208.70550713602927	264.2549044581186	559.0391613702589	2.268958417636553	3.161880297104128	20.982492727109985	97.4098578818474	0.12898775814028102	6.5433976449024716	3.242210059177871	3.63162981062046	0.8748573552395491	0.46932405521206905	0.32874948021537703	159.79014281350317	144.28149424763075	13.958739431064725	183.01065232308903
87.0.	7.360579965155351	12.90293704777686	1.136154995867482	18.9562954346115	595.024331653745	217.58643478927522	277.4822686070854	554.3694181376773	3.290314957070057	3.139234355278338	19.884381809610947	96.8997928171707	0.12268823452209401	6.394121055527425	3.868834436827771	3.154709503386314	0.740581805370478	0.446885095075479	0.32271875316431	152.1261300591955	137.8245346908948	11.989057608911946	177.44632397173683
101.0.5.0	5.788719800724814	11.3637353854634	1.001138826083434	22.82505495048235	635.0910212495836	228.01947194128775	290.52630088018043	550.1219329132905	4.48923997517897	2.9516554800314	18.096626292939774	96.39234027793479	0.116662684218406	6.424162979715931	4.748817232108854	2.710596264941908	0.618171089839705	0.42580925532581904	0.315785476968003	144.6249052771287	130.98640493322438	10.364569523182745	167.0294178591934
116.0.	4.517745658591062	9.963306756709684	0.8780106115746921	26.112399143317706	678.2960066830844	239.32197505345454	303.91113082288314	545.9375963935661	5.848579903724919	2.669372426572782	15.951451265978253	95.88749352531696	0.110833743978028	6.649160450515362	5.865270640741116	2.328530623529583	0.519384135874292	0.40509203696357204	0.308028724713443	136.94902867475	123.7528347723007	8.942023835795354	154.1804323451642
130.0.5.0	3.581766333204853	8.737754984497084	0.769793024835774	28.737191048779714	722.739103671326	250.95122424810415	317.58537519769726	541.6528386989506	7.330631149079672	2.339665114002167	13.675585279280895	95.38524780368932	0.10531680921655101	7.035669809331071	7.127809031620321	2.021205106972865	0.44738923666759406	0.384819294231383	0.29962952979114105	129.16042202120502	116.26631702437797	7.677580316960357	140.24967174649495
