time	ACA	CAR1	ERK2	PKA	REGA	excAMP	incAMP
0.0.	3.39	2.45	1.13	1.6	0.9	0.48	1.2
0.0.3.0	3.33107605447252	2.457182074158284	1.116736764686244	1.7611947496574931	0.822931612988362	0.48028197362879005	1.251053954900431
0.0.6.0	3.187209878205468	2.4297946961479733	1.075272021209314	1.894955781166588	0.7806859564732721	0.46764636646019503	1.300066364146724
0.0.8999999999999999.0	2.993770779473504	2.351324431444801	1.015962431857735	2.005558575676434	0.7657963132960781	0.44532014832526706	1.334388640908328
1.0.2.0	2.773712712772344	2.231384260149934	0.9460561369647971	2.089943012230699	0.7720418301858281	0.41690567413510904	1.346778215451085
1.0.5.0	2.54753687955722	2.08507413423865	0.872400389679103	2.143179543080531	0.794723452227952	0.385577798461659	1.33418059532106
1.0.7999999999999998.0	2.332539247717046	1.9274609074952531	0.801016459412015	2.161456355866503	0.830127116449741	0.354120462069127	1.297062122456943
2.0.1.0	2.141364117857606	1.7717728748443822	0.736490630152657	2.143568890641738	0.875043270200747	0.32476712111086903	1.238674044605259
2.0.4.0	1.981867241350268	1.628384939189008	0.6818148260993101	2.09138392293657	0.926449060730516	0.299092007955073	1.164198209917729
2.0.6999999999999997.0	1.858002117211474	1.504476308568073	0.6386080500490411	2.009603242506533	0.9813281361073171	0.278045272045359	1.079858083687895
3.0.	1.771090540901005	1.404331200184747	0.6075121113681741	1.905092155180833	1.03659011068206	0.26208990007273303	0.9920940148432911
3.0.3.0	1.7210069356278161	1.330027364076154	0.5885918133123731	1.785998150545254	1.089061391246417	0.251370081743222	0.9068885402131961
3.0.5999999999999996.0	1.707049637977979	1.282217889734943	0.581647016371305	1.66084759249809	1.135533378661738	0.24585996869786203	0.829302300226567
3.0.9.0	1.7284438923485	1.260799945219259	0.586406457919709	1.537765674024703	1.172867121814321	0.2454686670051	0.7632454261960651
4.0.2.0	1.78450053163553	1.265371800546399	0.6026064088970431	1.423913904414778	1.198161448349604	0.250095933953146	0.7114679259327921
4.0.5.0	1.8744708813167321	1.2954536962638121	0.629967353212272	1.3251827214763892	1.20899094326892	0.25964144731278904	0.6757153188252341
4.0.8.0	1.997129305979592	1.350482337309141	0.668080569605309	1.2461220827655841	1.20370761546975	0.27397222134006405	0.65697160416886
5.0.1.0	2.15010977764631	1.429597617788278	0.7162141111136271	1.190048803386184	1.181774086793364	0.29285218417762104	0.655704198072504
5.0.3999999999999995.0	2.329044870925447	1.5312428487657699	0.7730522269108631	1.159241729388176	1.144060225604053	0.315838906994919	0.672032588632408
5.0.7.0	2.526622926909247	1.652613975539293	0.83640006738492	1.155126067839409	1.093002371853736	0.342158072669408	0.705760123981068
6.0.	2.731799315581566	1.789033285443105	0.9029199353185561	1.178355709430717	1.032518082795252	0.370578591868849	0.7562358082354491
6.0.3.0	2.929547826276068	1.933395320154899	0.96801154785992	1.228728084385956	0.9676143922772361	0.39932979691532705	0.822054757877241
6.0.6.0	3.101635945634973	2.075924310853622	1.025984977188007	1.30491380938407	0.90372844643267	0.426120424114653	0.900666670372074
6.0.8999999999999995.0	3.228804044853217	2.204545672289663	1.070658077960169	1.404054906250591	0.8459589561371631	0.44832185388016504	0.988032978570991
7.0.199999999999999.0	3.294280070450177	2.306123295443845	1.096392831433062	1.5213690673158902	0.7984131350888911	0.46334461424017703	1.078522218688102
7.0.5.0	3.287811459946702	2.368567089922945	1.099365371694634	1.6499592875883	0.763849837713173	0.46915773583692605	1.165209814298022
7.0.8.0	3.20873594563532	2.383388410797879	1.078641359172701	1.781021194410799	0.743662164208929	0.464800867344461	1.240625645966867
8.0.1.0	3.066638362314643	2.347875297479967	1.036580251496889	1.90453823453112	0.738100579325613	0.45068538051080803	1.297809523390991
8.0.4.0	2.87911028293871	2.265992286037435	0.9783321392719121	2.010386329818872	0.7465767157783211	0.428536484999111	1.331391086241367
8.0.7.0	2.66752314799475	2.147554182283081	0.910612776676694	2.089614402660434	0.7679219251304571	0.40098472109596806	1.338395422446494
9.0.	2.452571831744038	2.005976415103862	0.8402638618132331	2.135603841231315	0.8005511917745021	0.37097520604078404	1.318590874936266
9.0.299999999999999.0	2.251118243417518	1.855491227906752	0.7731173303621011	2.144860165205123	0.8425445918906771	0.3412202976011	1.2743596984516259
9.0.6.0	2.074919909647796	1.708790540042198	0.713430294843818	2.117311621376075	0.8916827219008521	0.313854366548094	1.210196218711522
9.0.9.0	1.9309264460509261	1.575664678119134	0.6638583965572901	2.056117892008077	0.945468788540557	0.290326786574619	1.131987531464278
10.0.2.0	1.822425131261598	1.462684821170215	0.6257639269113291	1.967085282069367	1.001156908403593	0.271474323203309	1.046228359197511
10.0.5.0	1.750378655222165	1.373625189159883	0.599638445941124	1.857833640929855	1.055796262032993	0.25768158242745903	0.959296165581047
10.0.799999999999999.0	1.714557404134701	1.310225755702735	0.5854889669685001	1.7368736688697721	1.106297962123985	0.24905335599241601	0.8768807521830401
11.0.1.0	1.7143097391704352	1.272976692820389	0.5831174757178901	1.612740931507941	1.149534019308832	0.24555474328692503	0.803625405235542
11.0.4.0	1.748955980234768	1.261741214130021	0.5922783161776081	1.493300660989717	1.1824815449841	0.24710227834021603	0.742993869418703
11.0.7.0	1.8178448881249292	1.276145316709188	0.612722632030804	1.385290550826003	1.202425732161137	0.253604863304599	0.6973344806229671
12.0.	1.920114253234082	1.315726692859899	0.644143969742329	1.294115374496418	1.207227690897955	0.264958953061256	0.668078760623935
12.0.299999999999999.0	2.054186109910597	1.379859372109538	0.6860364528741091	1.223857546802203	1.195644225307763	0.281002819411249	0.655993383097489
12.0.6.0	2.217029396713307	1.46747531073867	0.737476291378074	1.177430416191534	1.16765554772842	0.30143429505379804	0.661402589466032
