time	Ln_	NR	NRLc	NRLn	NRc	RE	REL
0.0.	0.0	358.754	0.0	0.0	3.58	3.7	0.0
0.0.3.0	0.000135656877135	358.5290472664922	0.014954105990328	0.046949661014846	3.571051259374201	3.542682074873561	0.15731792512643603
0.0.6.0	0.00027181199175	358.32673599018227	0.015029442039629002	0.095757985146263	3.569610635398058	3.384476464280308	0.31552353571969005
0.0.8999999999999999.0	0.00041349826938	358.13088140680316	0.015107409291603001	0.14649663983281702	3.5680644843164533	3.234303457952393	0.465696542047604
1.0.2.0	0.000560315503646	357.9410989124936	0.01518865634056	0.19902150334763402	3.566588959868662	3.092243316117261	0.6077566838827371
1.0.5.0	0.000711755764773	357.7575743318782	0.015272906815662	0.253150577835694	3.5651889290073573	2.958315677548553	0.7416843224514441
1.0.7999999999999998.0	0.000867207605499	357.5804853182875	0.015359800497548001	0.308665439894646	3.563864614754158	2.832479299604441	0.8675207003955571
2.0.1.0	0.0010259666423850001	357.4099833612615	0.015448919823521002	0.36531511628650104	3.562615605794358	2.71463184356481	0.985368156435188
2.0.4.0	0.0011872514118120001	357.24618983067387	0.015539799702794002	0.42282174592700406	3.561440958661555	2.604611966522242	1.095388033477756
2.0.6999999999999997.0	0.001350223306019	357.0891930534548	0.015631939395941	0.48088770046753904	3.5603392244507	2.502203651616057	1.197796348383942
3.0.	0.001514009387604	356.9390462596654	0.015724816152446003	0.539203698159265	3.5593084909392543	2.407142460029041	1.292857539970957
3.0.3.0	0.001677726508415	356.79576648929606	0.015817899683292003	0.597457355563564	3.5583464391382	2.319123234133322	1.380876765866677
3.0.5999999999999996.0	0.0018405051106360002	356.65933449318584	0.015910666491992	0.6553416021601941	3.557450410083602	2.237808692439349	1.462191307560649
3.0.9.0	0.002001511224355	356.52969559607607	0.016002613164778003	0.712562433569016	3.556617477206021	2.162838340922013	1.537161659077985
4.0.2.0	0.002159965470013	356.40676143182895	0.01609326789443	0.7688455852176991	3.555844519754729	2.093837174504619	1.60616282549538
4.0.5.0	0.00231515826268	356.2904124162316	0.016182199744471	0.8239418471862411	3.555128293348784	2.030423739627597	1.6695762603724011
4.0.8.0	0.0024664608289100003	356.18050079467884	0.016269025409485	0.8776308880734751	3.554465494612928	1.972217251718099	1.7277827482818982
5.0.1.0	0.0026133320265370004	356.0768540906783	0.016353413456874	0.9297235900300601	3.553852817856478	1.918843588565128	1.781156411434869
5.0.3999999999999995.0	0.0027553212627300003	355.97927878463054	0.016435086220665	0.980063004412778	3.5532870027177763	1.8699400953864642	1.830059904613533
5.0.7.0	0.002892068016979	355.88756406736394	0.016513819647143	1.028524111336683	3.55276487252077	1.8251592295009131	1.874840770499085
6.0.	0.0030232985932290004	355.8014855355291	0.016589441464633002	1.075012606865509	3.552283363720645	1.784171138032554	1.915828861967444
6.0.3.0	0.0031488207618560003	355.72080872244123	0.016661828073181003	1.119462953353775	3.551839547241613	1.746665301879023	1.953334698120974
6.0.6.0	0.003268516926905	355.64529238516076	0.016730900535760002	1.161835918501845	3.551430642752031	1.7123513972093152	1.9876486027906821
6.0.8999999999999995.0	0.0033823363876900004	355.57469149421087	0.016796620013432	1.202115804414795	3.551054027015455	1.680959527280412	2.019040472719585
7.0.199999999999999.0	0.003490287175198	355.50875989486667	0.016858982933973	1.240307535983918	3.550707237441724	1.6522399676999702	2.047760032300028
7.0.5.0	0.0035924278474450005	355.44725262769674	0.016918016125734	1.276433743448858	3.550387971877876	1.62596255204672	2.074037447953277
7.0.8.0	0.0036888595344200005	355.38992791077175	0.016973772092325	1.3105319407031941	3.550094085555333	1.601915805594237	2.09808419440576
8.0.1.0	0.0037797184389660003	355.336548796927	0.017026324553004003	1.342651871024911	3.549823585971229	1.5799059153127901	2.120094084687207
8.0.4.0	0.0038651689282450004	355.28688452707433	0.017075764330492002	1.372853066564924	3.549574626343643	1.5597556059607962	2.140244394039201
8.0.7.0	0.003945397292171001	355.24071160534635	0.017122195632812	1.401202647424988	3.5493454981524932	1.541302975809156	2.158697024190842
9.0.	0.004020606199934	355.1978146244076	0.017165732748536	1.427773370288272	3.549134623165147	1.524400331731339	2.175599668268659
9.0.299999999999999.0	0.004091009852134	355.15798687006566	0.017206497154512	1.452641924825081	3.548940545250232	1.508913052062145	2.191086947937853
9.0.6.0	0.004156829802241	355.12103073386817	0.017244615020852002	1.4758874678433511	3.5487619222042808	1.494718496597539	2.205281503402459
9.0.9.0	0.004218291405336001	355.08675796102625	0.017280215088432003	1.497590379728246	3.54859751775255	1.481704976095168	2.218295023904831
10.0.2.0	0.004275620842624	355.05498975910905	0.017313426888431002	1.517831224498591	3.548446193835483	1.469770788322869	2.230229211677131
10.0.5.0	0.004329042665497	355.0255567907161	0.017344379270605	1.536689893258125	3.548306903253809	1.458823323779865	2.241176676220135
