time	CIS	CISRNA	CISnRNA1	CISnRNA2	CISnRNA3	CISnRNA4	CISnRNA5	Epo	EpoRJAK2	EpoRJAK2_CIS	EpoRpJAK2	SHP1	SHP1Act	SOCS3	SOCS3RNA	SOCS3nRNA1	SOCS3nRNA2	SOCS3nRNA3	SOCS3nRNA4	SOCS3nRNA5	STAT5	npSTAT5	p12EpoRpJAK2	p1EpoRpJAK2	p2EpoRpJAK2	pSTAT5
0.0.	0.0	0.0	0.0	-1.836709923159824e-40	0.0	0.0	0.0	1.24997e-07	3.97622	0.0	0.0	26.7251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.372367644529809e-58	79.7535	-9.860761315262648e-32	0.0	0.0	0.0	0.0
2.0.4.0	2.579017063389767e-10	2.713135675756565e-10	0.5244666806364601	0.029759145866966003	0.0014996651370540002	6.753035861090677e-05	2.735222736183143e-06	1.24997e-07	3.300546772537227	-3.35280952869836e-26	0.235528436586931	26.719454964166072	0.005645035833916	8.099306141921074e-07	4.6656873379158556e-09	3.1755393183229e-06	1.021733446968982e-06	3.0628154352675666e-07	8.535335128379643e-08	2.208788961361309e-08	75.11922594997114	0.094189961333781	0.12431589803779301	0.056983519315883004	0.258845373522168	4.5695184516118434
4.0.8.0	1.8483893386775148e-07	1.046046410137061e-07	20.122103115744306	2.050923771923394	0.182680570545512	0.014555555910829	0.0010529079565070002	1.24997e-07	2.871390045704838	-1.0990511561775872e-26	0.206477205455415	26.704911596807907	0.020188403192081	0.00027889838371300004	1.6063516934703519e-06	9.912621863034977e-05	4.8618275016007174e-05	2.2277351744504302e-05	9.597260355010888e-06	3.905937959073225e-06	36.780575659197	1.913307576207688	0.42722320957535	0.065227079278261	0.40590245998613506	41.65752538215893
7.0.199999999999999.0	1.008031989362134e-05	3.7744157573868074e-06	117.9090881486759	20.27158183918889	2.875267077447345	0.35118651820511404	0.037966621356331005	1.24997e-07	2.782831609680372	-1.584604677479871e-27	0.17830384690101903	26.686533392870786	0.038566607129197	0.0076699204721090005	4.4172739984613546e-05	0.000438472792872	0.000301019726618	0.000192285274039	0.00011465912547900001	6.410344402787376e-05	20.14708272058923	6.070274259407112	0.5929332932171301	0.052304904594775006	0.36984634560670404	55.43310372606427
9.0.6.0	0.00015305755975400002	4.0268122732840954e-05	289.27144290025734	74.27157573462696	15.36189173539726	2.676292089184534	0.404899956654369	1.24997e-07	2.928598439965694	2.08030217112227e-27	0.16996831554612102	26.66924167954191	0.055858320458062	0.055539469310347006	0.000319850510309	0.00081964175459	0.0006750219069490001	0.000530998570074	0.000397054551021	0.00028147310636000004	19.28208518035646	9.781558538623266	0.542626349986092	0.043451911423270005	0.291574983078822	53.74659332433334
12.0.	0.001080796317882	0.000210628322228	493.72604758180273	168.72476862133408	46.381293091582215	10.674552299731417	2.11740799423916	1.24997e-07	3.122681517284227	1.3507639298939591e-27	0.17043717457936	26.65520791710619	0.069892082893776	0.18849937581821302	0.001085538517084	0.001133451870743	0.001014143480864	0.0008851842971280001	0.000749912570108	0.000613752848954	19.756523243097664	12.690709438017935	0.40568532443659805	0.039559348297795005	0.237856635402018	51.27211401825627
14.0.399999999999999.0	0.004727500970542	0.0007138673696110001	702.57133427998	296.6889043135012	101.4718359503465	29.087488539874848	7.175352502130193	1.24997e-07	3.2728771458468913	-7.042682896713974e-29	0.17132309171388602	26.64424298431234	0.08085701568762	0.42163539019727203	0.002428101320035	0.0013763250584860002	0.0012839569460620002	0.001181327010097	0.0010686437176880002	0.0009471562999470001	20.731067185085944	14.90857356885367	0.287038365270027	0.037435301225778005	0.20754609594341603	48.77278848631689
16.0.8.0	0.015069625807488001	0.0018253394282750001	898.528499519857	446.70359439552897	181.6728689348319	62.19123729496857	18.345418328731252	1.24997e-07	3.3725457379473402	3.8119509245987195e-29	0.170541578272102	26.6354647502409	0.08963524975905	0.7433329583370161	0.004280651266491	0.0015586256712250002	0.0014894575234570002	0.0014114036460420002	0.001323950245133	0.0012268436589230002	22.037430816813988	16.550892863016575	0.20964477105492402	0.035616999107074006	0.187870913618558	46.337330339850745
19.0.2.0	0.03852174334767	0.00384214422476	1072.1455080620747	606.8923206622615	284.2210391096477	112.6923573694554	38.61250798299649	1.24997e-07	3.439175622609642	4.6571645362607846e-29	0.16849421677582302	26.628159122250366	0.096940877749584	1.13368015552285	0.006528522822672	0.001690725988866	0.0016408058753700002	0.001583506595002	0.0015182531928040002	0.0014444964008600001	23.570593565243914	17.719160033150697	0.162292888237237	0.033826364756429	0.17243090762086702	44.00098391195281
21.0.599999999999998.0	0.083808438229587	0.0070223850812100004	1219.127131415164	766.9449925083618	403.89127304241595	181.27540079175182	70.56949289649467	1.24997e-07	3.487104283913067	-3.772711678716113e-30	0.165821191014374	26.621894325705465	0.10320567429448801	1.573441284157431	0.009060945674821	0.001781674249197	0.0017475261403540002	0.0017073337048790001	0.001660584456411	0.001606742958755	25.256157649641068	18.50028019974245	0.131976797042955	0.032093996435768005	0.15922373159383502	41.778399713023276
