time	alpha	beta	gamma
0.0.	29.19988	188.8	0.3367
40.0.	34.74665316887337	83.42976906901228	0.10151476079809
80.0.	40.65118670176426	230.2305465158073	0.380428464968088
120.0.	29.86669226066231	125.73908209383539	0.17478400112382603
160.0.	40.14823170987784	71.24853075224226	0.08290249628386201
200.0.	29.626023878587706	197.19119645497042	0.371454983273231
240.0.	34.105600492976	86.66880385953291	0.10647888090988201
280.0.	42.414534340480074	164.85339977084942	0.22428457678052402
320.0.	29.510792716834196	132.40976630464564	0.18841202394012802
360.0.	39.48126091740788	71.09288612468451	0.08291146230457201
400.0.	30.2078504082245	203.71440142860178	0.392153165791404
440.0.	33.481555286963925	90.2519357029449	0.11207171860809101
480.0.	43.07086232405447	126.24054129746179	0.15857271274679502
520.0.	29.212185696866808	139.50546867568252	0.20371000396516
560.0.	38.80292665550689	71.54944534943401	0.08372505073504101
600.0.	30.935492266134165	206.83988809860372	0.395718329250063
640.0.	32.87706071540517	94.1869351495769	0.118346203286325
680.0.	43.145999473896296	104.10514611475486	0.125923966950267
720.0.	28.978948999091767	147.02727215262334	0.22093279043742703
760.0.	38.11810688098312	72.51970688281448	0.08522766184932701
800.0.	31.759135795469184	204.71817375546993	0.38022938231469905
840.0.	32.294107175633364	98.49097230865608	0.12537889844567301
880.0.	42.914393045174194	90.79243870077732	0.107659595988045
920.0.	28.820546902938453	154.98580616581182	0.24042766329085102
960.0.	37.42895680542739	73.94068768159585	0.08735273169714401
1000.0.	32.60146405803952	197.79418156273675	0.370426385995186
1040.0.	31.73265347133727	103.20670093928767	0.13330170324444401
1080.0.	42.5063874391651	82.3915640555675	0.09662057574315501
1120.0.	28.74908861372677	163.45035988097916	0.26280238110771403
1160.0.	36.73164755621645	75.78522806163353	0.09008535880846401
1200.0.	33.4452585651743	194.5127732694004	0.517083550548989
1240.0.	31.18597945133257	108.46267572318042	0.142419324958925
1280.0.	41.98028540405904	76.83955577960529	0.08954439922778401
1320.0.	28.78611609312216	172.72743801498476	0.289571290354705
1360.0.	36.004574840792216	78.10066402522449	0.093523281646365
1400.0.	34.89940228084177	250.44788206092355	1.138149015783963
1440.0.	30.62673858689853	114.69942965419708	0.153663840338813
1480.0.	41.33606024686298	72.87016439495561	0.08461616690146401
1520.0.	29.001104935831385	183.98405518581612	0.32568951849437905
1560.0.	35.16815087453449	81.19841844574697	0.09817246827218701
1600.0.	39.653798281301896	264.5167665689623	0.5106114446386371
1640.0.	29.968324678047978	123.57781821631076	0.17055319203030903
1680.0.	40.45017346029165	69.59251676290368	0.08066420626251501
1720.0.	29.773551101827472	201.14133868363203	0.387401095526812
1760.0.	33.94231458777162	86.61199749139193	0.10647522130019901
1800.0.	43.979526740864976	120.43946108180128	0.14879832450764602
1840.0.	29.017061041901155	142.5712022377419	0.210797452454057
1880.0.	38.72381611124732	67.66613598731344	0.078676011916798
1920.0.	33.95298945720501	192.22342816524218	0.332120134045424
1960.0.	31.325896127133433	104.29527954810862	0.13538878384296302
2000.0.	43.22357277024542	59.211115135538	0.066906040714534
2040.0.	30.705442940069883	224.00871772848046	0.518410220382137
2080.0.	33.30928372044284	87.67678634590028	0.108345933947793
2120.0.	45.87107341157762	59.073580977068914	0.066156695105671
2160.0.	29.338753846359758	197.9125952544793	0.38680967200349003
2200.0.	34.49670146200675	81.86731294473256	0.09939954569933801
2240.0.	45.9077225031155	91.88119884512697	0.10742257175693601
2280.0.	28.609847824218953	155.62741685980706	0.24273063450209
2320.0.	37.78958266855872	66.19764674971877	0.077023762515511
2360.0.	47.48710523098554	165.8843694924291	0.21444658455487
2400.0.	28.953210033566577	144.29445755759474	0.21478329166359303
2440.0.	38.5889403450393	67.49261258919833	0.078488521858302
2480.0.	34.55424174149055	183.10603421261789	0.32629620860797404
2520.0.	31.026047252959295	107.13576844290105	0.140332782404258
2560.0.	42.895621272623686	57.66940218118522	0.06509004468396
2600.0.	32.2851890059438	238.43569717921653	0.549556128640326
2640.0.	32.537778496051004	93.5910523780788	0.11763616806429901
2680.0.	44.80057348826779	60.414043030707006	0.068020078610095
2720.0.	29.367912711961903	200.9032592552864	0.40167265736894703
2760.0.	34.45761016858084	80.97731396685403	0.09815446089271901
2800.0.	46.84309821957632	69.07166819924264	0.078044883391938
2840.0.	28.64218212695881	175.57535636926187	0.299650888525456
2880.0.	36.117403794736845	73.59388696571611	0.087326162311672
2920.0.	46.65179511410283	127.57728602663414	0.156285842803008
2960.0.	28.832253047520663	145.14147018301077	0.216983826731923
3000.0.	38.70986713509239	63.57961339620685	0.07341477217396801
3040.0.	41.95212905810895	329.37837921003916	0.8606212399717331
3080.0.	29.386634624552066	132.21321449681875	0.18822142773043102
3120.0.	39.8121520258362	64.16003533721835	0.073882003158019
3160.0.	34.05863434707648	201.56305336690457	0.34739539784657403
3200.0.	31.524910845532663	101.72655135160886	0.13106374473227
3240.0.	43.71983748698452	55.58299458844886	0.062392176512994
3280.0.	32.45404671677911	244.12739935695117	0.5982805091533501
3320.0.	32.454323322344194	95.21950057385601	0.12018572340751602
3360.0.	44.223132659483916	69.21770415142285	0.079034828529013
3400.0.	28.693662053614077	181.21325374571882	0.31863066732967604
3440.0.	35.77609152595964	74.24293170402282	0.088321098814943
3480.0.	47.890707261396834	83.2142478267204	0.095233416569622
3520.0.	28.616812903472418	162.65878033628698	0.261198921426121
3560.0.	37.06769562482594	70.7282223962241	0.08318130777657501
3600.0.	41.156918973090846	298.33735671695746	0.64813417957671
3640.0.	29.547151705192366	127.19215095836623	0.178033815509116
3680.0.	40.53345067046345	58.86507171238334	0.067054658574367
3720.0.	37.823073942176116	144.2011952960303	0.28658636097175805
3760.0.	30.151342944681588	119.43571128871226	0.162661251437857
3800.0.	41.12385012690883	64.43679268207346	0.07389879659735901
3840.0.	30.848044806097516	218.15404647469634	0.45611816646969705
3880.0.	33.13992865506981	89.20887214657107	0.110699666962739
3920.0.	45.48269335267007	62.40657669164983	0.070280666344019
3960.0.	28.982625982338895	191.22197190362473	0.35670461540916804
4000.0.	35.05720053250516	77.93074700352197	0.093647344579113
