	Delay01_mSHP1	Delay02_mSHP1	Delay03_mSHP1	Delay04_mSHP1	Delay05_mSHP1	Delay06_mSHP1	Delay07_mSHP1	Delay08_mSHP1	ERK1	ERK2	Epo	EpoR	JAK2	MEK1	MEK2	Raf	SHP1	SOS	actSHP1	mSHP1	mSOS	pERK1	pERK2	pEpoR	pJAK2	pMEK1	pMEK2	pRaf	pSOS	ppERK1	ppERK2	ppMEK1	ppMEK2
56	0.12561887317360126	0.11285501214021282	0.11085947454979497	0.1303119144987301	0.18556170285743287	0.2892191715496382	0.4444226473511563	0.638800345866051	6.694511365935415	20.10761723165814	50.0	0.8801409970070133	1.6261439547611312	23.912190554265088	10.869497651120977	3.7718212104547306	1.3783284063079653	2.1230672050753996	7.239482708349361	0.14363974335606564	6.209874929785219e-05	0.2836677648133151	0.8350974469319554	0.11985900299299139	0.3738560452388719	0.05914767764969605	0.10873506655067335	7.878954528464713e-05	0.38697069617530155	0.021820869251303752	0.05728532140986797	0.028661768085145683	0.02176728232834503
57	0.13014107400830904	0.11613660079970697	0.111658812489409	0.12616371384622932	0.17306316199466476	0.26524066699386395	0.40792936989616135	0.5923733028902687	6.700635803831958	20.125400590277746	50.0	0.8813892007295979	1.628194472944324	23.913969690194868	10.87259236545774	3.771818556407682	1.4454757667926883	2.1365114787643	7.281888640408709	0.14902888988000018	6.413308051299696e-05	0.2783529560346875	0.8194402982589801	0.11861079927040633	0.3718055270556794	0.05772977762575048	0.10621612008125972	8.144359233554357e-05	0.37352438815518796	0.021011240133387673	0.05515911146324195	0.02830053217931429	0.021191514460992003
58	0.13487539170985516	0.1197118136841875	0.1130311885089065	0.12315681166784329	0.1625110021762632	0.24398081090188464	0.37446683573041384	0.5484493314665883	6.706131658950322	20.14136165020451	50.0	0.8823095718315163	1.6297221636008197	23.915660915368296	10.875523615548836	3.771815839340208	1.5116125796902042	2.1490483913874927	7.31267662958582	0.1546276048780455	6.617176589339904e-05	0.27357117741919534	0.8053544348850975	0.11769042816848815	0.37027783639918355	0.056356526741090554	0.10380661784208835	8.416065980838192e-05	0.3609854368466157	0.020297163630515622	0.053283914910357624	0.027982557890549115	0.020669766609066036
59	0.13982120592467875	0.12356286761812911	0.11491379022890762	0.1211604041608986	0.1537151592664676	0.2252500070457126	0.34394577559077943	0.5071334587007389	6.711045951164136	20.155636055414384	50.0	0.882933546935353	1.6307733282580466	23.91726567804625	10.878295060665412	3.771813071939411	1.5765209013653403	2.1607114693202427	7.332641381029905	0.16043504906845307	6.820647852807401e-05	0.2692853160984434	0.7927302542790148	0.11706645306465174	0.36922667174195667	0.05502991510541381	0.10150674113979423	8.692806060468024e-05	0.34932032420123116	0.019668732737453263	0.051633690306565436	0.02770440684827382	0.02019819819478649
60	0.1449776692441654	0.12767568980061839	0.11725402856415491	0.12005964923822954	0.1465002789239051	0.20886021568787375	0.3162552339151798	0.4684859294722286	6.715423648868233	20.168353663718452	50.0	0.8832887045153195	1.631389876141377	23.918785631184832	10.880910615186398	3.771810266636688	1.6399967195785385	2.1715345048817767	7.3425857967011705	0.16644878887394418	7.02298465262246e-05	0.2654593160586024	0.7814613221552876	0.11671129548468555	0.3686101238586259	0.05375161317355655	0.09931622100863582	8.973336332803318e-05	0.33849526527169993	0.01911703507319776	0.05018501412621411	0.027462755641553926	0.019773163804956077
61	0.1503434053745455	0.13203902678831775	0.12000801889230693	0.1197542448350649	0.1407058283050212	0.1946278315932366	0.29126795793914384	0.43252784650760806	6.719307523770918	20.179638100926827	50.0	0.8833993695814591	1.6316098834834851	23.920222614503633	10.88337442186818	3.7718074353745132	1.7018504317806986	2.181551260040188	7.34331065071435	0.17266475726971645	7.2235475016781e-05	0.26205841029161014	0.7714450478778135	0.11660063041854596	0.3683901165165177	0.05252296369377315	0.09723436215538785	9.256462550482204e-05	0.32847650448479787	0.018634065937504937	0.04891685119531574	0.027254421802536895	0.019391215976427654
62	0.15591626600496036	0.13664368835213744	0.12313921424419222	0.12015700336969798	0.13618587340572433	0.18237592159944754	0.2688451673166146	0.399246685964658	6.722738013888884	20.189606340685973	50.0	0.8832871205073677	1.6314680711481853	23.92157863425524	10.885690821969781	3.7718045894252676	1.7619071742904744	2.1907952348828412	7.3356057766087694	0.17907722884332858	7.421788382819539e-05	0.2590493363210841	0.7625833118316289	0.11671287949263721	0.3685319288518178	0.05134497869882427	0.09526007044084941	9.541057475203909e-05	0.3192305472333319	0.01821264979006555	0.04781034748236699	0.02707638704587664	0.0190491075893603
63	0.16169313669035082	0.14148190853146084	0.12661718477643508	0.12119245564589817	0.13280859778355825	0.17193589695220476	0.24884070812794903	0.36860158102455975	6.725753108978045	20.19836835149921	50.0	0.882971214144655	1.6309962131027527	23.92285584146729	10.887864323485344	3.7718017392667704	1.8200070210969068	2.1992994889712745	7.320242700415068	0.18567880895561398	7.617245020733532e-05	0.25640052254159384	0.7547830076881336	0.11702878585535026	0.3690037868972503	0.05021834209130477	0.09339188338404632	9.826073324945047e-05	0.31072433857851933	0.017846368480393997	0.046848640812628975	0.026925816441350125	0.018743793130599238
64	0.16766978418411138	0.14654680816742216	0.13041653537689338	0.12279550869252237	0.13045562819048032	0.16314869467333745	0.23110461071574429	0.34052829211608837	6.728388269053444	20.206026841988447	50.0	0.8824689426961863	1.630223486344908	23.924056509461	10.88989956874771	3.771798894511752	1.8760050694759598	2.2070965057522334	7.2979686311255705	0.19246043728187703	7.80952720286438e-05	0.25408223604271046	0.7479564720202041	0.11753105730381884	0.3697765136550948	0.04914341791816445	0.09162800296447683	0.00010110548826708753	0.30292539897574	0.017529494903879575	0.04601668599132194	0.0268000726207762	0.01847242828780339
65	0.17384073938819156	0.15183194518265705	0.1345159518515774	0.12491017478173246	0.1290212228777878	0.15586553918222504	0.21548608233536315	0.3149438056237797	6.730676382709057	20.212677123934515	50.0	0.8817959335665158	1.629176771258899	23.925183011405117	10.891801302551972	3.77179606388779	1.9297714278814744	2.214218091819212	7.2695017046972366	0.19941140619798184	7.998304875335272e-05	0.2520666861900325	0.7420217843406552	0.1182040664334893	0.3708232287411042	0.04812026401179593	0.0899663298886527	0.0001039361122301568	0.29580192513203685	0.017256931100943212	0.04530109172480298	0.026696724583024255	0.018232367559366677
