time	A	E	G	R
0.0.	1.0	0.0	100000000.0	0.0
1.0.6.0	2.828935297087874	3759.5296061611307	1370987.2311572754	879.2550459013793
3.0.2.0	2.487872984581224	5959.217153755177	2296726.3153506806	1553.760664645475
4.0.800000000000001.0	2.466497970275919	7238.920643932201	2839432.7374066175	2037.4146188559039
6.0.4.0	2.579142106781688	8174.974063573483	3224904.0678552613	2442.6250556562404
8.0.	2.751594969821139	8997.909402592897	3557200.850637026	2826.3032441609453
9.0.600000000000001.0	2.953936435766792	9799.968822358975	3877979.6903674966	3216.815502474807
11.0.200000000000001.0	3.173709652541656	10617.555217831528	4203734.8175927615	3629.1971766021834
12.0.8.0	3.405295172279658	11464.146943475887	4540660.486654985	4072.146780465005
14.0.4.0	3.645672058752169	12343.473698005571	4890598.831128553	4551.075642642616
16.0.	3.8927250887183513	13254.799411305014	5253424.064698748	5069.408265273544
17.0.6.0	4.144576192436676	14195.0509577462	5628002.065649119	5629.11428974903
19.0.200000000000003.0	4.399333833806715	15159.697090666976	6012584.433213457	6230.900115654326
20.0.8.0	4.65501786339408	16143.146454805421	6404983.622608399	6874.252712978288
22.0.400000000000002.0	4.909562055752212	17138.97641805315	6802669.629841097	7557.429272395277
24.0.	5.160853735721042	18140.118691941356	7202845.068622552	8277.443925755466
25.0.6.0	5.4067921000809385	19139.05055241063	7602520.887926672	9030.082955601667
27.0.200000000000003.0	5.64535513501049	20128.006857326942	7998600.033552314	9809.968515175988
28.0.8.0	5.874667978141932	21099.212131639735	8387969.368984914	10610.682077119915
30.0.400000000000002.0	6.093066711088739	22045.123692092056	8767596.570904301	11424.950493164039
32.0.	6.299152365504281	22958.672383104527	9134626.794899486	12244.889314552194
33.0.6.0	6.491830956777261	23833.485728400265	9486473.079620238	13062.290410519929
35.0.2.0	6.67033676345609	24664.07874082486	9820894.527300937	13868.934816721878
36.0.800000000000004.0	6.834237753211314	25445.999992675803	10136057.152289998	14656.908024923692
38.0.400000000000006.0	6.983423803554312	26175.924422157594	10430573.77210406	15418.894163079289
40.0.	7.118079929562978	26851.68914974401	10703521.20068922	16148.42779465719
41.0.6.0	7.2386478994471855	27472.273598223517	10954435.013537169	16840.086937944532
43.0.2.0	7.345780264381685	28037.729756748373	11183284.008133303	17489.6174877721
44.0.800000000000004.0	7.440290928583176	28549.071941001785	11390427.947652414	18093.986405752272
46.0.400000000000006.0	7.523106011551606	29008.13754155601	11576563.103754481	18651.367741901686
48.0.	7.595218044208016	29417.430940011316	11742660.460773213	19161.0709021576
49.0.6.0	7.657645657360339	29779.962157188664	11889901.257881762	19623.42408188736
51.0.2.0	7.7114000167530055	30099.09019061838	12019613.94586979	20039.62732692195
52.0.800000000000004.0	7.75745845058625	30378.378786057998	12133215.773296302	20411.589464813092
54.0.400000000000006.0	7.79674507344894	30621.469950554027	12232161.246840589	20741.761584103668
56.0.	7.830117761555708	30831.978169197355	12317898.76325929	21032.977329357618
57.0.6.0	7.858360570100913	31013.40625580483	12391835.879111027	21288.307507442387
59.0.2.0	7.882180574939915	31169.082170790578	12455313.022789653	21510.933761322518
60.0.800000000000004.0	7.90220812863437	31302.11501211853	12509584.979231505	21704.04363688007
62.0.400000000000006.0	7.91899960569481	31415.3676980857	12555809.181917572	21870.74740057187
64.0.	7.933041839414161	31511.443545315447	12595039.703613132	22014.0155134343
65.0.60000000000001.0	7.944757596607429	31592.683916094746	12628225.812931247	22136.634708145175
67.0.2.0	7.954511578583816	31661.17427961258	12656214.023501948	22241.18008306172
68.0.8.0	7.962616565632164	31718.75632486551	12679752.67491899	22330.000431759483
70.0.4.0	7.969339432608258	31767.044116846668	12699498.224084	22405.21407686652
72.0.	7.974906853192403	31807.442656018426	12716022.572841108	22468.712689525622
73.0.60000000000001.0	7.979510580835943	31841.167552747254	12729820.899697041	22522.170881478163
75.0.2.0	7.983312247500524	31869.264844526533	12741319.591856321	22567.059702506955
76.0.80000000000001.0	7.9864476597614065	31892.630255145654	12750883.984632773	22604.662524106327
78.0.4.0	7.989030598521893	31912.027418976406	12758825.70723384	22636.092116244483
80.0.	7.991156146084763	31928.1047721648	12765409.507540062	22662.30801387772
81.0.60000000000001.0	7.992903574911673	31941.41095023416	12770859.485516224	22684.133517144106
83.0.2.0	7.994338837941293	31952.40863414883	12775364.707542099	22702.271872934274
84.0.80000000000001.0	7.995516702318337	31961.48686028463	12779084.204646656	22717.3213482399
86.0.4.0	7.9964825679560825	31968.9718597604	12782151.378694816	22729.789031673627
88.0.	7.997274010376466	31975.136524369915	12784677.854108458	22740.1032940565
89.0.60000000000001.0	7.997922084374443	31980.208614346826	12786756.820513966	22748.624907351572
91.0.2.0	7.9984524216862365	31984.37783106404	12788465.915301079	22755.656868565256
92.0.80000000000001.0	7.998886152313734	31987.80187846356	12789869.695666702	22761.453006086762
94.0.4.0	7.999240675675949	31990.611632841174	12791021.748255845	22766.225464195533
96.0.	7.999530304452474	31992.915533335614	12791966.481730318	22770.15117038377
97.0.60000000000001.0	7.999766800928807	31994.803296406273	12792740.644040368	22773.377392343944
99.0.2.0	7.999959822886176	31996.34904767812	12793374.602240913	22776.026489032127
100.0.80000000000001.0	8.00011729361082	31997.613954453678	12793893.418662915	22778.199954737946
102.0.4.0	8.00024570842336	31998.648432389637	12794317.75331037	22779.981847773677
104.0.	8.000350388232496	31999.49399059496	12794664.618626514	22781.441687124287
105.0.60000000000001.0	8.000435688976394	32000.18477089488	12794948.009330437	22782.636891806786
107.0.2.0	8.000505174405234	32000.748829300228	12795179.426903233	22783.614829206537
108.0.80000000000001.0	8.000561758453824	32001.209200844885	12795368.315511797	22784.41453057372
110.0.4.0	8.000607822429377	32001.58478288564	12795522.42369201	22785.068124349007
112.0.	8.00064531137286	32001.891066653876	12795648.10395471	22785.602031136452
113.0.60000000000001.0	8.000675813221738	32002.14074224758	12795750.560604084	22786.037957987468
115.0.2.0	8.00070062378774	32002.34419828824	12795834.054442525	22786.393724200483
116.0.80000000000001.0	8.000720800048772	32002.509934072492	12795902.071651308	22786.683946044835
118.0.4.0	8.000737203824091	32002.64489915458	12795957.462955646	22786.92060364047
120.0.	8.000750537543254	32002.754772841246	12796002.558180137	22787.113509613104
121.0.60000000000001.0	8.000761373521064	32002.84419400517	12796039.26045308	22787.270696039697
123.0.2.0	8.000770177902993	32002.916949875915	12796069.123603757	22787.398733545644
124.0.80000000000001.0	8.00077733024025	32002.976130999257	12796093.415696751	22787.50299415678
126.0.4.0	8.000783139483588	32003.024258327074	12796113.17114475	22787.587867596307
128.0.	8.000787857044504	32003.0633873732	12796129.233421277	22787.656939100907
129.0.6.0	8.000791687456621	32003.09519351496	12796142.290044557	22787.713135471404
131.0.20000000000002.0	8.00079479707428	32003.121041808394	12796152.90121243	22787.758844932763
132.0.8.0	8.0007973211668	32003.142044094304	12796161.523226362	22787.796015423468
134.0.4.0	8.000799369701985	32003.159105682007	12796168.527641715	22787.826235137858
136.0.	8.00080103205936	32003.172963493074	12796174.216915853	22787.850798480915
137.0.6.0	8.000802380869878	32003.184217211354	12796178.837187937	22787.87076004337
139.0.20000000000002.0	8.000803475142927	32003.193354710074	12796182.588711403	22787.886978746603
140.0.8.0	8.000804362812136	32003.200772798053	12796185.634366414	22787.900153927723
142.0.4.0	8.000805082807435	32003.206794139744	12796188.106602712	22787.910854820646
144.0.	8.000805666741014	32003.21168104939	12796190.113100123	22787.919544630135
145.0.6.0	8.000806140278812	32003.215646732686	12796191.74138182	22787.92660018133
147.0.20000000000002.0	8.000806524255855	32003.218864444923	12796193.062572755	22787.93232795082
148.0.8.0	8.00080683558315	32003.221474949525	12796194.1344607	22787.93697714047
150.0.4.0	8.00080708798485	32003.223592590377	12796195.003988469	22787.940750335125
152.0.	8.000807292597369	32003.225310234113	12796195.709282437	22787.943812187757
153.0.60000000000002.0	8.000807458456208	32003.226703291657	12796196.281303186	22787.946296494603
