time	Ta	Tastarstar	Tm	Tmstarstar	Ttot	Tv	V
0.0.	10.0	0.0	540.0	0.0	1000.0	450.0	5e-05
40.0.15.0	9.947964027604284	6.9241335305155084e-09	539.9584299671102	6.430937877578484e-07	998.2669709815576	448.36057633682634	2.7078372632589997e-06
80.0.3.0	9.90891574037091	1.068379320500205e-08	539.5703035775508	9.922143240439948e-07	996.9035862249413	447.4243659041222	4.189893888274437e-06
120.0.44999999999999.0	9.872416172768478	1.648135500086e-08	539.0533531908435	1.530705845442541e-06	995.6248544321915	446.6990835213929	6.493184394167544e-06
160.0.6.0	9.836350068359293	2.547345771514157e-08	538.4849945319759	2.3661801725285117e-06	994.3540705493772	446.03272355738903	1.0099509370471632e-05
200.0.75.0	9.798958982605527	3.952116998360168e-08	537.8863140708024	3.6718798478066225e-06	993.027651799978	445.3423750351702	1.579568545855405e-05
240.0.89999999999998.0	9.758671427973772	6.165200572721518e-08	537.2528449423669	5.729780269308186e-06	991.5882047085975	444.57668254682574	2.488199663126315e-05
281.0.05.0	9.7139766549872	9.684564467886819e-08	536.5683580989805	9.00392495295052e-06	989.9794581081004	443.6971142533633	3.953312574098607e-05
321.0.2.0	9.663325322452346	1.5338237275653932e-07	535.810566782611	1.42663347829539e-05	988.1421967223501	442.6682901975704	6.342945340719988e-05
361.0.34999999999997.0	9.605047624149858	2.451757650109902e-07	534.9529919020346	2.281489657045405e-05	986.010693096409	441.45263051015326	0.00010287131246000001
401.0.5.0	9.53728449548803	3.958338152795636e-07	533.964995593734	3.685279945550156e-05	983.5093513824063	440.0070340445519	0.00016876067606100002
441.0.65.0	9.457931823250824	6.457588661101806e-07	532.8109209770464	6.015198185252695e-05	980.5494305428529	438.280516944816	0.000280145277281
481.0.79999999999995.0	9.364602055980674	1.064575538881637e-06	531.4487793828448	9.921441883177895e-05	977.0258607474742	436.2123790296554	0.00047057514690600005
521.0.9499999999999.0	9.254612696375979	1.7728270886156369e-06	529.8287166830305	0.00016529897642900002	972.8143392297739	433.7308427785646	0.000799494780577
562.0.1.0	9.125016871915859	2.97955868321833e-06	527.8914343149332	0.000277930565424	967.7691189834696	430.75238688649665	0.0013725489906380001
602.0.25.0	8.972696559124348	5.046485863980461e-06	525.5667796274048	0.00047088619987000006	961.7221922800118	427.182240160797	0.0023773611682810004
642.0.4.0	8.794541902751893	8.595044224401434e-06	522.7728269704215	0.000802167551748	954.484904200894	422.91672456512447	0.004145363097815
682.0.55.0	8.587736294618946	1.4678901762251612e-05	519.4159259183787	0.0013700394820730002	945.853324332933	417.84827740155134	0.007255544131943001
722.0.6999999999999.0	8.350151284360175	2.5048425765304223e-05	515.3923581370668	0.002337546526144	935.6187980124679	411.8739259960886	0.012701298642794002
