time	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	0.15	0.294980690566	0.0	0.129512064231	50.0	0.0	5.5	1.07	0.0	0.0	1.81059067186e-06	-1.033975765691284e-25	20.0119171921	7.17601986151	0.41000000000000003
15.0.	5.5674985566430575	0.27885504502033004	0.016125645545668	0.805975972717744	49.999099615547195	6.727743477877997e-17	4.912293625299938	4.083593892211682	0.326821902039213	0.00915103608269	0.006890886360114001	8.553369353541894e-05	6.902508879476226	5.832263200175718	1.753756661334296
30.0.	3.9522740116725212	0.283152925554644	0.011827765011354002	1.490912568543692	49.92457545612821	6.736629983250887e-17	4.4822299086216475	8.599835739221605	0.5701485416226251	0.005900327240572	0.005853847520850001	7.54008406035936e-05	1.9453290360765272	5.958332088227901	1.627687773282114
45.0.	3.865152048412527	0.282075010680443	0.012905679885556002	2.133318872650265	49.81369613400004	6.738007973552439e-17	4.111607369206747	10.36533334898753	0.6205529448830911	0.006444376023639	0.006386629390613001	7.648506197539889e-05	2.158962174800669	5.844438864948163	1.7415809965618498
60.0.	3.929730465323749	0.28135474257401805	0.013625947991981002	2.806703647469144	49.717164910927615	6.739390585684508e-17	3.728169606013103	11.89170613410718	0.661749292316063	0.006774071066781	0.0067766736868	7.701382907058482e-05	2.274357344998105	5.790740939543139	1.795278921966874
75.0.	3.992265610348152	0.28071327924149303	0.014267411324506001	3.502036609005468	49.62941986023712	6.740751893010435e-17	3.337895500729704	13.280726708185696	0.696453253898489	0.0070585781444330005	0.007133186220477001	7.745755026686614e-05	2.380206427021924	5.747104399898187	1.83891546161183
90.0.	4.046207640676592	0.28010641309434403	0.014874277471655001	4.216775136419347	49.549504979430566	6.742118054248669e-17	2.941934121301155	14.542615806144614	0.7257093533573481	0.007324052137862001	0.007474156575936	7.787934852816731e-05	2.488888045108792	5.707948716977809	1.8780711445322091
105.0.	4.090741684309887	0.27951643520726305	0.015464255358735001	4.949479231421418	49.47691953156187	6.74351498835427e-17	2.540840612287993	15.683451472427716	0.750342818543404	0.007578966726191001	0.007808812359923	7.828686329236892e-05	2.6038121799709693	5.671609699953923	1.9144101615560922
120.0.	4.124330287104851	0.278923189888778	0.016057500677221	5.6993186356034915	49.4113434312927	6.744969082909044e-17	2.134983817528474	16.706106782529282	0.7708543452588651	0.007831518559537001	0.008149113479088001	7.867922926812236e-05	2.729793465456281	5.636602303070262	1.949417558439751
135.0.	4.143615473624163	0.278294519244567	0.016686171321431003	6.46612539583643	49.35269039942565	6.746513473346484e-17	1.7246148794086311	17.608083060483324	0.7873964010735741	0.008093405880158	0.008515528021314	7.904801063187874e-05	2.876051122932758	5.60101160772923	1.985008253780782
150.0.	4.140901439955977	0.277564477922493	0.017416212643506002	7.250740980974482	49.30125177392204	6.748200766583584e-17	1.309919767966891	18.37631093975964	0.7995916942401151	0.008386760483354001	0.00895189454943	7.93682013932747e-05	3.063328280475128	5.5615031520355025	2.024516709474511
165.0.	4.095513882158134	0.27655645258211903	0.01842423798388	8.056080480915872	49.258037511167394	6.750139927928486e-17	0.891198645259431	18.971559985916596	0.805851915407027	0.008765918285570001	0.009580575717246001	7.955457173538754e-05	3.349488058472268	5.510273690946881	2.075746170563133
180.0.	3.9286918294709503	0.274567299443226	0.020413391122772	8.890707444994481	49.225637856375016	6.752659494814182e-17	0.47034723655331706	19.26206807266907	0.800485636676027	0.009409597841128001	0.010926464172152001	7.913970016554364e-05	3.966169036640671	5.421186283169071	2.164833578340941
195.0.	2.944999432760985	0.264092575398968	0.030888115167031	9.779744000598985	49.209608032928934	6.758011340587403e-17	0.07918970578753201	18.420388843242762	0.760702645146999	0.01086970966611	0.019949700038752002	7.051605284191991e-05	6.924195187400639	5.131569513729879	2.454450347780136
210.0.	0.7903090243737031	0.13038081956861	0.16459987099738801	10.465573740357208	49.208061130151414	6.799143954122477e-17	4.072045192004203e-06	11.432553204215223	0.723819802294801	0.005583344028326	0.159000072796346	1.8264763387957655e-05	23.428049705870993	5.5433156693012595	2.042704192208762
225.0.	0.656776681082752	0.078410610949734	0.216570079616265	10.708913994356434	49.20798562636913	6.845334469507417e-17	1.07167917550863e-12	7.399858678507561	0.613540920947173	0.003462273993824	0.21310115169857202	8.46451454140245e-06	32.19648658019009	6.04980762770236	1.5362122338076571
240.0.	0.557504458941947	0.06308087608887901	0.23189981447712002	10.848903823781626	49.20795411168387	6.882439517955318e-17	5.64757235401705e-20	5.125709296482065	0.517818897070786	0.0027220974767810002	0.229173904749665	5.622841346741695e-06	37.139424767174944	6.262958491350898	1.323061370159121
255.0.	0.47035614677535803	0.056869058256544	0.238111632309455	10.94830850002096	49.207934339315656	6.918997334201613e-17	-8.5378629471843e-23	3.538350325299901	0.43287418940618105	0.00230280968768	0.23580644216399602	4.1910484512770355e-06	40.61063044964647	6.392465367662368	1.193554493847648
270.0.	0.39019083400487903	0.054714415073755004	0.24026627549224303	11.024189285558423	49.20791996162101	6.959769456675205e-17	6.954418079021077e-26	2.348724396880605	0.353723216965368	0.0019989432692250004	0.238265891092408	3.251721282696194e-06	43.244817672289166	6.489440381772674	1.096579479737341
285.0.	0.315078812826996	0.055084666256120005	0.23989602430987803	11.08297402018673	49.20790871390571	7.009355715705058e-17	1.898802215745723e-25	1.448321503406621	0.278063482681813	0.001731302158968	0.23816403050683602	2.502234745781587e-06	45.2858369282067	6.57785710022365	1.008162761286361
300.0.	0.24542805847775803	0.057295928471296005	0.23768476209470302	11.126886526868503	49.20789960442844	7.072699610736927e-17	-5.180540375509472e-26	0.7978469703565171	0.206300951358234	0.0014541632214920002	0.236230605731992	1.8037318910790101e-06	46.829852951344385	6.6767089490316724	0.9093109124783351
315.0.	0.184240708465214	0.060722162693403005	0.23425852787259602	11.156470680685734	49.20789220152248	7.151602563009946e-17	1.5331782154569531e-25	0.38249820134185203	0.142656188557814	0.0011513106476040002	0.23310789348854102	1.134327123044104e-06	47.91330774503691	6.800650401872225	0.785369459637781
330.0.	0.13578835737160802	0.06476004245837501	0.23022064810762402	11.173373838653417	49.2078863129515	7.237795278429286e-17	6.61369450212931e-26	0.165931764615441	0.093864127835557	0.0008604386000820001	0.22936140897196003	6.111262540527259e-07	48.590073921372316	6.942508010154791	0.643511851355215
345.0.	0.101503147868802	0.06901730319798101	0.22596338736801802	11.181784486956685	49.207881717935344	7.318559568691942e-17	-4.86553771629134e-25	0.07311245785056901	0.062308065825316006	0.000637126467319	0.22532775460551202	3.1688585954271496e-07	48.9750401758518	7.071355652127437	0.5146642093825691
360.0.	0.07870910716165301	0.073033230649566	0.22194745991643303	11.185915309434549	49.20787809774608	7.391675498302893e-17	-4.408759824529892e-27	0.035978719059729006	0.043737397863745	0.0004886754654670001	0.221460412837227	1.8220441123137847e-07	49.19241657936491	7.168810791505185	0.41720907000482504
375.0.	0.063595340061509	0.07648014907931201	0.21850054148668602	11.188126979618	49.20787515588996	7.463291815433696e-17	-1.2666838030660199e-26	0.020167378504361	0.032770042520024	0.000392414366107	0.218109816299099	1.214121524830009e-07	49.32279999453287	7.237845841066967	0.34817402044304
390.0.	0.053256768379638005	0.079324487070867	0.215656203495132	11.189445633091069	49.20787268316857	7.540743624070046e-17	1.7214171408721032e-25	0.012611932420534001	0.025931606626832002	0.000327751718924	0.21533017077007702	9.159680337626238e-08	49.40732203222167	7.287085741934866	0.29893411957514204
405.0.	0.045885642500202	0.081664397134364	0.21331629343163402	11.190307273513529	49.20787054506148	7.630680754979896e-17	-7.302250712326595e-27	0.008569332365815	0.021387229853003002	0.000282120996075	0.21303590759096203	7.543527029694085e-08	49.46603246626808	7.323336220762327	0.26268364074768
420.0.	0.040415663995584	0.083610414520509	0.21137027604549002	11.190911410940068	49.20786865512694	7.739327880149484e-17	3.872110059118906e-26	0.006193973351935	0.018191597223071003	0.000248415194776	0.21112360557375	6.586763614630078e-08	49.509126462944224	7.350969004499532	0.235050857010473
435.0.	0.036212463394182	0.08525216852070701	0.20972852204529202	11.191358241155811	49.2078669560277	7.872867413938394e-17	-2.677789905936386e-26	0.004690997388728	0.015837765878625003	0.000222547789908	0.20950772506273502	5.978332184510903e-08	49.54214720693599	7.372700559670549	0.21331930183946202
450.0.	0.032886560111522	0.08665677493144601	0.20832391563455302	11.191702539284027	49.20786540824035	8.037654461501614e-17	6.162246367306744e-27	0.003682888316516	0.014038047750385	0.000202067709736	0.208123602829059	5.568642986561266e-08	49.56831542377437	7.390248482581856	0.19577137892815802
465.0.	0.030189715157272003	0.08787378536405101	0.20710690520194702	11.191976460331645	49.20786398351023	8.240315073280777e-17	-5.804157414232774e-27	0.0029745515532370002	0.012619868251858	0.00018543608113400002	0.20692322691337603	5.279811075634192e-08	49.58961501765864	7.404733610689592	0.18128625082042202
480.0.	0.027957819414479	0.088940043987558	0.206040646578441	11.19220001997459	49.207862660980624	8.48778455615496e-17	1.150114295537407e-26	0.002457797526297	0.011474473209705	0.00017164503111800002	0.20587076145360503	5.068439054357681e-08	49.60733010718888	7.41691224935265	0.169107612157364
