time	Ta	Tastarstar	Tm	Tmstarstar	Ttot	Tv	V
0.0.	10.0	0.0	540.0	0.0	1000.0	450.0	5e-05
40.0.15.0	9.979019569302968	6.9360787919986525e-09	539.8811227715639	6.443037977542205e-07	998.2203880096315	448.3602450175242	2.712160772596211e-06
80.0.3.0	9.9650392329195	1.075135212219191e-08	539.4078637639351	9.987763363447962e-07	996.794854487552	447.42195048116946	4.21537957097998e-06
120.0.44999999999999.0	9.95161179731408	1.670505370567596e-08	538.7969169206826	1.5521193093671481e-06	995.4398696292147	446.6913393423936	6.579064989991509e-06
160.0.6.0	9.938092107942193	2.607007568241809e-08	538.1257423839912	2.422887979516278e-06	994.0786717117821	446.01483477089045	1.0331468888895882e-05
200.0.75.0	9.923874515730736	4.094354984580394e-08	537.4136063026731	3.8065393564424578e-06	992.6450186862999	445.3075340204129	1.6355201172192513e-05
240.0.89999999999998.0	9.908362218616846	6.483081352940572e-08	536.6527330185195	6.030013699096764e-06	991.0764446293022	444.51534329732067	2.6147591331501484e-05
281.0.05.0	9.890932138894843	1.036804303805251e-07	535.8221800990191	9.64854571764717e-06	989.308977333871	443.5958553437305	4.228971332788792e-05
321.0.2.0	9.870896784037583	1.6774748875291808e-07	534.8933965750024	1.562008275617857e-05	987.272461736977	442.5081525901066	6.930511990626943e-05
361.0.34999999999997.0	9.847462405620853	2.7500129586395015e-07	533.8317310374565	2.5624512688735196e-05	984.8859353175914	441.20671597499984	0.00011525829617500001
401.0.5.0	9.819681826762395	4.574562487615194e-07	532.5958831596821	4.2657178587082034e-05	982.0526594298735	439.63705132879403	0.00019477952074800002
441.0.65.0	9.786400010134981	7.731162651355283e-07	531.1361950927561	7.21494816460624e-05	978.6545043257477	437.7318363002586	0.00033488283308700004
481.0.79999999999995.0	9.74619068323031	1.3288464481633419e-06	529.3921570885245	0.00012411614317600002	974.5454746447042	435.4070014279596	0.0005863332960490001
521.0.9499999999999.0	9.697283257208852	2.324775069028737e-06	527.28927050837	0.00021732642211900002	969.5442936133671	432.5575201965903	0.001046186054482
562.0.1.0	9.637481361653984	4.141544990920938e-06	524.7353442643728	0.000387505078027	963.4262088903538	429.0529916177037	0.0019030709610760002
602.0.25.0	9.564078191292632	7.51344473061687e-06	521.6163549641121	0.000703611828087	955.9146155463316	424.7334712656539	0.003529180067594
642.0.4.0	9.473780532517601	1.3874148770237101e-05	517.7921781421834	0.001300357936628	946.6738301871746	419.4065572803883	0.006668586630514
682.0.55.0	9.36266338867641	2.6048359908229374e-05	513.0928251361402	0.0024432511680080003	935.3054628577272	412.84750503338284	0.012824097893653
722.0.6999999999999.0	9.226190524924517	4.962911089641688e-05	507.3163152070391	0.004658070659325	921.3523369462771	404.80512351454337	0.025049951258241002
762.0.85.0	9.059349632168104	9.568490569585143e-05	500.22994211421315	0.008985132050742	904.3154546725726	395.0170821092348	0.049559244015661
803.0.	8.856956390872005	0.000185952303821	491.5772726887318	0.017466258544486	883.6903001392486	383.2384188487965	0.09891577410751601
843.0.15.0	8.614164802677514	0.00036240733398000004	481.093333302045	0.034040273557536	859.0272056771065	369.28530489149244	0.19815403568186202
883.0.3.0	8.327165928821715	0.0007038611699240001	468.52943462266535	0.066090054760456	830.0147351744891	353.09134070707165	0.39589711108589404
923.0.4499999999999.0	7.993962972857445	0.001352173083659	453.68638695711326	0.126872431173807	796.5743990081039	334.76582447387534	0.78298189018621
963.0.5999999999999.0	7.6150170150531515	0.002547907404894	436.4507569177183	0.238792189965426	758.9425108053629	314.63539677522084	1.520009524055885
1003.0.75.0	7.193553101253713	0.0046668037815860005	416.8253859527711	0.43667999450782	717.7084379593898	293.24815210707544	2.870282210557333
1043.0.8999999999999.0	6.735484285474867	0.008232247271643001	394.94626903016564	0.7687302671164861	673.7867839922853	271.3280681622566	5.223237576558278
1084.0.05.0	6.249206263606089	0.013859681727904001	371.08545410877804	1.291022278100208	628.3255236683028	249.6859813360905	9.076819423436806
1124.0.2.0	5.745668244909332	0.022086126247368002	345.65019283285284	2.05144029369055	582.5805005426199	229.1111130449195	14.936986155680488
1164.0.35.0	5.238778065073816	0.033085152345218	319.1906123934923	3.06339522325475	537.7987027898143	210.2728319556479	23.114994221247112
