time	ACA	ACA0	ADP	AMP	ATP	DHAP	DHAPCN	DPG	EtOH	EtOH0	F6P	FBP	G6P	GAP	Glc	Glc0	Glyc	Glyc0	HCN	HCN0	NAD	NADH	OAc	OAc0	PEP	Pyr	PyrCN	glycogen	lacto
0.0.	0.0	0.0	1.5	0.33	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	5.0	0.75	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0.27.0	0.0074063829403630006	0.000918533553958	0.654186338460353	3.234606217684489	0.04120744385516	1.682331626197184	0.061629373364081	4.188084906917757e-05	0.41658895921773603	0.033948005798170006	0.08939273098660101	1.908044106209478	0.7305540476187561	0.08819214561379901	4.632086001161992	23.80053713507817	1.253243368774764	0.009936862296149	4.903712366656716	4.9113468493103625	0.23596524093102303	0.7440347590689781	4.8156583924504416e-05	4.047476974334814e-06	0.008889781038662	1.536326572387058	0.039057282812453006	0.18600277625216302	1.8456013809663652e-05
0.0.54.0	0.018202914039450003	0.0031829266992570004	1.08509333645553	2.709834820771233	0.13507184277324202	2.40504395361008	0.159493073614977	5.591562120167105e-05	1.093230710397521	0.132795849939212	0.15575043078702602	3.720724895081978	1.320776633009973	0.118375657938855	3.021053705332512	23.675701695370986	2.229611380999308	0.040093984850694	4.891546686532173	4.9043138457638245	0.317268690523864	0.662731309476137	0.000170605501565	1.7942157247606282e-05	0.017112022741051003	2.963961271453551	0.138402984122823	0.298837492375767	0.000109035292186
0.0.81.0	0.030784347075569003	0.007423212256025001	1.754614079930788	1.566668654697751	0.6087172653714691	3.319873241248788	0.29906649017817305	7.880492389628654e-05	2.011314761722811	0.33730383926954505	0.241999570172643	6.659047788927716	2.097761152619199	0.151887017971681	0.435419349036514	23.46153226393029	3.131571116726208	0.08572133760438301	4.875478073658197	4.895210225419275	0.38065143086517705	0.599348569134823	0.000384455390433	5.4984214583488417e-05	0.026550783446968002	4.951311348634059	0.31333354235342303	1.121844495419607	0.000354551918317
1.0.08.0	0.035859255083567	0.012284073944695	1.8127547686235022	0.7328737212801031	1.3843715100964031	3.7466206372824473	0.472230356544292	0.000132245043637	2.585407552901151	0.618524260826925	0.24946729250760402	8.205808078659613	2.1356318747443632	0.165659137810083	0.152935005627685	23.167633119849803	3.824806480231387	0.144777163894624	4.857182709501485	4.883677864141414	0.42013749071634904	0.559862509283652	0.0005433492066670001	0.00011326937609600001	0.030606319136408003	7.359567609597203	0.5874700502987791	4.106401857203571	0.0008237686868710001
1.0.35.0	0.045957398316226	0.017274427777935003	0.8850932895093041	0.081676236786431	2.963230473704273	2.674571315972014	0.6402574116367791	0.000527492130927	3.328501178889093	0.94619308095396	0.41346770139294403	3.717950272032023	3.202382554453087	0.10361476060482401	0.028393301454631002	22.879571197861797	3.6680122761958	0.20946953271069502	4.842442032163212	4.870323060554805	0.715167468416531	0.26483253158346903	0.001051235516726	0.00019860933246400002	0.036046291205234005	8.843205171733352	0.9578626898248471	11.419190896278101	0.0015205296203590001
1.0.62.0	0.037555288224652005	0.027305462649047003	1.856027579146527	0.9081898419015481	1.165782578951925	1.66832245986896	0.7098216515376481	0.00010558312922600001	3.342294225503602	1.291812137934918	0.24678498370380603	1.607154057185135	2.125983307764538	0.068910888657379	0.16861746454363802	22.60697420345808	1.98711631277998	0.251981071873808	4.836915884942211	4.8583786478228586	0.6641072734718191	0.31589272652818	0.0013717621718510001	0.000486664957348	0.027494108968836	7.548599728034096	1.311852247502265	20.154946081642667	0.0026075808573860003
1.0.8900000000000001.0	0.037848317293797	0.028148811929410003	1.837663745035535	0.815945885133821	1.276390369830645	2.54640062093498	0.8123966508813171	0.00012015499882800001	3.669169668461005	1.603499094527431	0.24585011407224103	3.737018196062054	2.111586714730682	0.10864363791665801	0.16521126844873102	22.306928836582863	2.368207060842212	0.28410099882101403	4.820514852002048	4.845959930241611	0.530737069885829	0.44926293011417	0.001179972306337	0.000587547414631	0.029524917738060003	8.324976442902967	1.659194247443972	23.538128949188895	0.0039156725842920004
2.0.16.0	0.040874040532844005	0.029166312322887	1.665181825207417	0.47918692210950403	1.7856312526830802	2.6441622673590572	0.9378153036567011	0.000174182999949	4.12867915473224	1.928677120094207	0.27687964015583	3.91528169298224	2.322878745392707	0.10965893718644101	0.094460911724735	22.006722371257162	2.8051987738840403	0.324464580819731	4.804148561748325	4.832390423144624	0.5707791435955291	0.40922085640447103	0.0013463831915230002	0.0006812960429820001	0.031602049509077	9.40375700175975	2.049889553479652	28.17029818574045	0.005262081667875
2.0.43.0	0.0682345319623	0.031550599722009	1.558393180772092	0.371939538295159	1.999667280932752	1.080177715900727	1.030954002458768	0.000185227429554	4.618743310324093	2.281986531942411	0.33344646399037703	0.6042662584164511	2.7644730288564663	0.037471623137859005	0.054418503949891006	21.726959248629445	2.098144075527216	0.36403027545931305	4.795547249692346	4.818823782904428	0.9390836624977851	0.040916337502214004	0.002395405834513	0.0008218161433020001	0.029072455448863003	8.827100288652904	2.461880914121407	36.19457684020683	0.006670860794711001
2.0.7.0	0.038854685013896	0.032649965968226	1.8440635111268082	0.84303238560865	1.242904103264545	2.031392343079584	1.100474353885507	0.000115608894098	4.713161250161672	2.614645756653065	0.24481147881681503	2.362940234628972	2.104333725658831	0.08459819435658801	0.16593588777186702	21.431279558161354	1.831061496010122	0.388389664317486	4.781663329156615	4.8062782854764485	0.608717800507661	0.37128219949233804	0.0017079936693	0.0009889351996190002	0.028917748275789003	8.658760716532983	2.8364321524730522	40.79295664433396	0.008192908733882
2.0.97.0	0.040269530184419006	0.032638093842797006	1.755382587001106	0.605696785413355	1.5689206275855412	2.466728176832722	1.206911037763081	0.00014806014626100002	5.108349194381354	2.9399496891090093	0.258941928213756	3.438543998956356	2.199311174034619	0.10275915054361401	0.11980065414980201	21.130593060324706	2.422957919494543	0.41852752990037706	4.7654490131163385	4.792862413196742	0.573815237665337	0.40618476233466205	0.0017642308605610002	0.0010920691544640002	0.030729561436689003	9.413242091740543	3.228367724607384	44.936445667717585	0.009714531063857001
3.0.24.0	0.045132093626514005	0.033220098538074005	1.489403718952486	0.32292163372821503	2.117674647319302	1.876825870718012	1.312213640395131	0.000217660057312	5.607919338713522	3.282875641399059	0.32133643359198505	1.8712435848300122	2.630528864961647	0.07198311810928601	0.058186638931748004	20.83840487446149	2.463115347614463	0.45491801114371405	4.752083072506434	4.778954441106439	0.731966506652026	0.24803349334797303	0.002121174589761	0.001207690542982	0.031506059851089	9.720086614752615	3.647861109791029	51.09790718576455	0.011242773764680001
