	ST	STU	STUS	STUST	STUSU	SU	SUST	SUSTU
0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
1	6.721379979204814	0.35364199799989243	1.2127828452728049	2.22777587488857	0.5443702654136294	0.009247761525855748	0.037201204702050586	0.02518303511170798
2	6.29365750189292	0.2943170351062058	1.0004698236392817	1.8270590638634958	0.7596261102457503	0.022601296378741392	0.10651265589831259	0.08541872878198022
3	5.735039328061306	0.25818709026078207	0.8677688765265213	1.5729655832522633	0.825338679015297	0.03796171087445989	0.1781966855504353	0.15130405975996564
4	5.321448247669022	0.23375357575255581	0.7791539540421852	1.4046512371340854	0.8240754721614186	0.053125995093017235	0.24034835246694602	0.21002764048611802
5	5.0055092920087665	0.21647712299645896	0.7168054450501108	1.2866410936279962	0.7952952568578231	0.06601413990153547	0.28980076539544314	0.2571625364595216
6	4.769728600124656	0.20352867680631173	0.6706113817487074	1.1998282430704221	0.7571552928590226	0.07710180788953694	0.3262816478699925	0.2930101342874261
7	4.581560105076393	0.19336960780736073	0.6345943681656933	1.132416478421821	0.7183216116563581	0.08457052693662052	0.3518641697378459	0.31810648948327674
8	4.427792414250865	0.18515385025019218	0.605249915948711	1.0774006353798835	0.6822069940959542	0.09151503813458185	0.367891090248036	0.333298128031119
9	4.295462995354525	0.17779478782924601	0.5800906177968692	1.0311790275591604	0.6497699598886817	0.09569537668836962	0.37617775432383643	0.34251423917006707
10	4.1784744338248885	0.17143770066491412	0.5580237640299506	0.9903782084993619	0.6209055279798912	0.09856951215451389	0.37878592657121857	0.34573781069588044
11	4.071609680803988	0.1656297826943223	0.5379630992664631	0.9533911435565298	0.5950707016694368	0.10027966025793965	0.37690422062536827	0.3446982321810676
12	3.971973930735761	0.16022745281668127	0.519388633996481	0.9192319343613775	0.5717803897844238	0.1010314983130065	0.37144662089339375	0.34023182734548224
13	3.876949514077139	0.15510112683285837	0.5018346828169687	0.8870233084296237	0.5504734073036548	0.10100236025265899	0.36336169568090443	0.33323868287587405
14	3.784979245863264	0.15017087603254142	0.48501495536565886	0.8562275008177574	0.5307210239401944	0.10040863196125736	0.3532065726613997	0.3242478098787104
15	3.694586821254406	0.14537120304533022	0.46869546805151496	0.8264060105022204	0.5121090766411498	0.09929366127607617	0.341645729802917	0.3139051635908562
16	3.605364706490519	0.14068280113560308	0.45280633823882366	0.7974265696004114	0.4945362991339891	0.0978109342732507	0.3286991849084245	0.3022181659035395
17	3.5160091667321844	0.13603757848103976	0.4371103076209027	0.7688518609607309	0.4774562731344289	0.09605996016309361	0.3151850523673954	0.2899816263844346
18	3.426176211486285	0.13142509658714696	0.421566487139584	0.7406015889136167	0.46075934393655144	0.09410965239662859	0.30124768710168437	0.2773249572183452
19	3.3355742395567134	0.12683983324585096	0.406158764102779	0.7126497878194711	0.4443931320397916	0.09196719125545785	0.28699910685812446	0.264355328139958
20	3.2440442903426656	0.12227660890064104	0.3908682979034823	0.684961046757418	0.4282915147777539	0.08968410679384099	0.2725424158778313	0.251177833434974
21	3.1514874550977803	0.11773163174526786	0.3756811462256601	0.65750902114234	0.4123984254967767	0.08729389583104064	0.25797753211789426	0.2378864702970947
22	3.057818740746379	0.11320300047971862	0.3605907710853353	0.6302820127663726	0.3966733088361623	0.08480427987111093	0.2434059067320138	0.22457340494096178
23	2.9629858951191816	0.10869111450894471	0.34559859078593413	0.6032829861375981	0.38109048694121644	0.08222081641175577	0.22891893041672248	0.21132382484972112
24	2.866991446047728	0.10419842856912423	0.3307127537077061	0.5765268372927541	0.3656367563182813	0.07955918812109752	0.21458884567096745	0.19820725831721628
