	IR	IRS	IRSiP	IRi	IRiP	IRins	IRp	X	Xp
23	0.2904478906166164	6.790909971247712	3.209090028757304	6.51041626489008e-05	1.7141738977390808	7.513667751438757	0.4816453565047626	9.987775171308343	0.012224828690144547
24	0.29087537009830433	6.8027844614610276	3.1972155385439875	6.505660198739453e-05	1.6823602636795165	7.543087514499932	0.4836117955821257	9.987550400427386	0.012449599571100957
25	0.29126563968666846	6.814364608912629	3.185635391092385	6.501030717793018e-05	1.6527225641708525	7.570501214707017	0.48544557159015017	9.987333522549065	0.01266647744942301
26	0.29162835503576234	6.8256371360056205	3.1743628639993933	6.496725229789314e-05	1.625120143831673	7.596032544760703	0.48715398958142875	9.987124279273564	0.012875720724924662
27	0.2919690750060103	6.836613087450982	3.1633869125540315	6.492885690803288e-05	1.5994068800775803	7.619813891623062	0.4887452248983045	9.986922418803527	0.013077581194963
28	0.2922921542471392	6.847300031985812	3.152699968019202	6.489557968250991e-05	1.5754375021332703	7.6419776819356935	0.49022776656608025	9.986727697533087	0.013272302465402027
29	0.29259813137846397	6.857678863114259	3.1423211368907547	6.486610546351891e-05	1.5530780250826177	7.662649075833776	0.4916099020615449	9.98653987727444	0.01346012272404959
30	0.29289228988127514	6.867766465578828	3.1322335344261854	6.484358921508084e-05	1.5321952280607947	7.681948107181296	0.4928995317492854	9.986358725910636	0.013641274087854148
31	0.2931771206503045	6.877554208221523	3.122445791783491	6.482558840028075e-05	1.5126606479320213	7.699993079927578	0.49410432636356166	9.986184018122794	0.013815981875695967
32	0.2934502432950199	6.887040640230832	3.1129593597741825	6.481167903160055e-05	1.4943638299776323	7.7168896090014	0.4952315065087828	9.986015533652497	0.013984466345993464
33	0.2937131009405888	6.896228152840684	3.1037718471643303	6.480142140494312e-05	1.477204129980713	7.732730474579195	0.4962874935399646	9.98585305810597	0.014146941892519653
34	0.2939660344897415	6.905118197809341	3.094881802195673	6.479435609419178e-05	1.461090149525241	7.747600974235521	0.4972780478552683	9.985696383047543	0.014303616950946509
35	0.29420946913959656	6.913716409286957	3.0862835907180575	6.47900716499781e-05	1.4459390674329542	7.761578255112982	0.49820841870468285	9.985545306118018	0.01445469388047115
36	0.2944437289173672	6.922025531772476	3.077974468232538	6.478816313787667e-05	1.4316759502887395	7.774732174647475	0.49908335844514573	9.985399630985443	0.014600369013046883
37	0.29466911131091755	6.9300533288249975	3.0699466711800167	6.478829070748664e-05	1.4182330264430665	7.787125906598323	0.49990716781885186	9.985259167367227	0.014740832631261837
38	0.2948858950296126	6.937803592330384	3.06219640767463	6.479012736770766e-05	1.405548977327364	7.798816601090842	0.5006837368866792	9.985123730960519	0.014876269037969249
39	0.2950943512596351	6.9452853996472435	3.0547146003577703	6.479341088219376e-05	1.39356826914464	7.809856000626254	0.5014165860204552	9.984993143396501	0.015006856601987714
40	0.29529474856551347	6.952503311456829	3.047496688548184	6.479788807429905e-05	1.3822405370786368	7.820291012682727	0.5021089042469148	9.984867232149856	0.015132767848632482
41	0.2954873546475531	6.959466999905253	3.040533000099761	6.480336434313407e-05	1.371520028107586	7.830164229807957	0.5027635845344274	9.984745830435777	0.015254169562712435
42	0.2956724369108592	6.966181580920133	3.0338184190848807	6.480964743121019e-05	1.3613651015931598	7.839514396604949	0.503383255705467	9.984628777106156	0.015371222892333765
43	0.295850261631131	6.972656772072631	3.0273432279323824	6.481659656872515e-05	1.351737785624863	7.8483768256098	0.503970310999504	9.984515916505522	0.01548408349296792
44	0.2960210930435422	6.978898082555853	3.0211019174491605	6.482406670514605e-05	1.3426033844404788	7.856783765459774	0.5045269334513661	9.98440709835984	0.015592901638649051
45	0.2961851921019026	6.984914904135901	3.015085095869113	6.483195809085342e-05	1.333930132122974	7.864764725942306	0.5050551183365919	9.984302177607724	0.015697822390764515
46	0.2963428153418323	6.99071300506138	3.009286994943633	6.48401611415885e-05	1.3256888877096584	7.872346764280073	0.50555669296916	9.984201014285118	0.015798985713369934
47	0.2964942139559879	6.996301234321531	3.0036987656834824	6.4848606723824e-05	1.317852866435618	7.87955473732224	0.5060333341412956	9.984103473345588	0.015896526652899107
48	0.2966396328494828	7.001685497862047	2.998314502142966	6.485721152108102e-05	1.310397403292199	7.88641152362466	0.5064865834840022	9.98400942454244	0.01599057545604732
49	0.29677931016336767	7.006874002664841	2.9931259973401723	6.48659290561616e-05	1.3032997440242144	7.892938219341552	0.5069178610036753	9.983918742248395	0.01608125775009273
50	0.2969134766094926	7.0118726799055935	2.9881273200994194	6.48746953711051e-05	1.2965388609507384	7.899154311179606	0.5073284770266577	9.983831305336023	0.01616869466246451
51	0.2970423553632371	7.01668907528703	2.983310924717983	6.488348072156297e-05	1.2900952894197573	7.905077829442982	0.5077196427551673	9.983746997003632	0.016253002994855402
52	0.29716616165535337	7.021329044429558	2.978670955575455	6.489223541853552e-05	1.2839509832509037	7.910725483705435	0.5080924796147549	9.98366570465491	0.01633429534357617
53	0.29728510290762133	7.025799499838529	2.9742005001664844	6.490094209100993e-05	1.2780891857140382	7.916112783349867	0.5084480275482487	9.983587319734893	0.016412680263595172
54	0.29739937853297843	7.030106137124908	2.969893862880105	6.490956159592003e-05	1.2724943150535346	7.921254144921913	0.5087872523918433	9.98351173760996	0.016488262388527443
55	0.2975091802030194	7.034255286495613	2.9657447135094	6.491808573375513e-05	1.26715186180235	7.926162987921539	0.5091110524492225	9.983438857415548	0.01656114258294022
56	0.2976146918078359	7.038252418691677	2.961747581313336	6.492648318334667e-05	1.2620482972855007	7.930851820520756	0.5094202643645888	9.983368581937855	0.01663141806063335
57	0.29771608977655545	7.042103339173627	2.957896660831385	6.49347525589099e-05	1.2571709911730469	7.935332316378796	0.5097156683809071	9.983300817473495	0.016699182524993427
58	0.29781354315459674	7.04581324918636	2.9541867508186512	6.494286835950536e-05	1.252508137688189	7.939615383692493	0.509997993058226	9.983235473714274	0.016764526284215247
59	0.2979072139290902	7.049387484559801	2.950612515445211	6.495083426853519e-05	1.2480486888495963	7.94371122733234	0.5102679195165694	9.983172463618192	0.016827536380296534
60	0.29799725718812714	7.052830950886974	2.9471690491180373	6.495862912510888e-05	1.2437822944509123	7.947629404934503	0.5105260852591968	9.983111703298468	0.016888296700022284
