time	CIS	CISRNA	CISnRNA1	CISnRNA2	CISnRNA3	CISnRNA4	CISnRNA5	Epo	EpoRJAK2	EpoRJAK2_CIS	EpoRpJAK2	SHP1	SHP1Act	SOCS3	SOCS3RNA	SOCS3nRNA1	SOCS3nRNA2	SOCS3nRNA3	SOCS3nRNA4	SOCS3nRNA5	STAT5	npSTAT5	p12EpoRpJAK2	p1EpoRpJAK2	p2EpoRpJAK2	pSTAT5
0.0.	0.0	0.0	0.0	-1.836709923159824e-40	0.0	0.0	0.0	1.24997e-07	3.97622	0.0	0.0	26.7251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.7535	0.0	0.0	0.0	0.0	0.0
3.0.	2.02994416196378e-09	1.744117507135476e-09	1.671261514733576	0.11165467263687401	0.006672605792255	0.00035952193103500003	1.7572421393519922e-05	1.24997e-07	3.164128262458575	3.675676336327843e-27	0.23298747419215401	26.716484984071876	0.008615015928138	5.194278185492668e-06	2.992017233889725e-08	9.647833163939703e-06	3.4954944335941448e-06	1.189822154760914e-06	3.806369718970357e-07	1.144077826187321e-07	69.25950025935782	0.25516517313389203	0.19643247205194803	0.06397899428883501	0.318692797008488	10.31857368411254
6.0.	1.6776389127853418e-06	7.64960724939058e-07	57.350852453852625	7.6647767696886735	0.8680534211947211	0.08628997510776401	0.007696876599093001	1.24997e-07	2.786372300098793	5.886123933276812e-28	0.18966904832208	26.69584858362153	0.029251416378460002	0.0018105984499700001	1.042795501357988e-05	0.000247181692977	0.000145733323108	7.970788406812429e-05	4.0734573224434885e-05	1.957085979280608e-05	23.57691558031258	3.944176215315655	0.539875636115133	0.05893454666733	0.40136846879666604	53.46496327165525
9.0.	8.457302009667539e-05	2.4179824122735332e-05	241.9001153579089	56.89600914628912	10.81257854200477	1.7369447547159882	0.24314930015892203	1.24997e-07	2.881321023174059	5.223587098409227e-29	0.170736226634564	26.67329053075252	0.051809469247446005	0.03701632940709	0.000213177945562	0.0007295656918120001	0.000581389363731	0.00043948034136700006	0.00031397120676100005	0.000211736099213	19.287412331291257	8.93196998596095	0.5693336276252761	0.045066666976671006	0.309762455589429	54.32535830335448
12.0.	0.0010807963205210001	0.00021062832234200002	493.72604759579593	168.72476861689483	46.38129308557768	10.674552298956717	2.117407995261036	1.24997e-07	3.122681517410048	5.3650525473650036e-27	0.17043717458928	26.65520791710587	0.069892082894105	0.18849937600229003	0.0010855385168980001	0.0011334518707490002	0.001014143480887	0.0008851842971890001	0.000749912570212	0.0006137528490740001	19.75652324133296	12.690709438057047	0.405685324301421	0.039559348301247	0.23785663539800203	51.272114019994135
15.0.	0.0064773473159290005	0.0009229936815910001	753.2480542176515	332.6031362399253	119.2204850217627	35.84788807014835	9.277105923668426	1.24997e-07	3.301917105910641	2.5915220317433523e-27	0.17128448150869502	26.641876623678343	0.083223376321625	0.49449862890902	0.002847697532845	0.001427153788244	0.001340971472295	0.001244810264273	0.001138568253767	0.00102291753268	21.031295529396846	15.368891311933341	0.264049662168719	0.036973938595072	0.201994811816872	48.156091693638444
18.0.	0.024660707982468003	0.00270287732882	988.4935888365751	526.2204218651622	230.43894683735328	85.17579503383142	27.164037872290553	1.24997e-07	3.408924719711562	9.845746428297122e-28	0.16963112681108902	26.631660473144493	0.093439526855478	0.931187165259534	0.005362438100237001	0.0016303525399820001	0.00157127599997	0.001504081970504	0.0014281944733670001	0.001343139780904	22.780893483645354	17.188518715707556	0.18314204337664303	0.034718059802281	0.179804050298423	45.155499899293915
21.0.	0.06989060561890001	0.006107064135221001	1184.9763528508206	727.4237290362985	372.7081362626131	162.4730593667994	61.37192958928946	1.24997e-07	3.476354864940333	5.431697659718076e-28	0.166522511222074	26.62337867495779	0.10172132504218401	1.459815210754306	0.008406615286554	0.001762352379896	0.0017245581473110002	0.001680404783004	0.0016293612737970002	0.0015708791291840002	24.823703371305697	18.337064407238856	0.13846721525333	0.032518650127038	0.16235675845722503	42.32306484870503
24.0.	0.161361884069359	0.011537747952659001	1338.463412125478	918.8646492516459	534.3170583104543	266.6838221926774	115.94086014647432	1.24997e-07	3.5242247440157213	3.968239082743102e-29	0.16291277960129102	26.616422008468568	0.10867799153141401	2.04627319311125	0.011783806720915	0.0018391615950340001	0.001817829695415	0.001791589250763	0.0017600038838800002	0.001722608118444	27.040169690044525	18.96763933396291	0.11093779299456401	0.030465646228008004	0.147679037160416	39.673078267842996
27.0.	0.320783126870679	0.019139141529882	1450.378438524343	1088.988072998589	702.6655355289986	392.7457969741711	192.31878358948214	1.24997e-07	3.5611919275406683	1.187382717933949e-28	0.1592312091061	26.61046802520885	0.114631974791131	2.66370570830005	0.015339363917136	0.0018737032135720001	0.0018649517032110002	0.00185245737935	0.0018358702759470001	0.0018148142401270002	29.348034347725168	19.203149368488692	0.09198065621457001	0.028604309139708003	0.135211897998954	37.20330046142574
