	T	TStar	V
0	1000.0	50.0	100.0
1	983.6791239101804	53.18341132945289	98119.32620241036
2	946.3547574713241	74.54642236094476	167465.06205454405
3	891.6158939537789	107.35440358156947	251086.73957897705
4	818.0471065601841	150.62943950846923	361965.3256628103
5	725.4730732553354	202.49356186082554	502925.65305938985
6	617.9010207102094	257.74673705638	667859.3345860819
7	504.4490305518957	307.77020562528224	840003.8621041129
8	397.3583170814798	343.0885271390659	993385.7638050125
9	306.3581047541253	358.39336417633626	1103438.093606416
10	236.57719188234879	353.54607849014974	1155043.2359850022
11	187.48076606306753	333.2679072847241	1147718.323919394
12	154.97776395577765	304.4527981303153	1094088.8842464539
13	135.07929640971653	272.1251015748563	1010509.3350298957
14	124.07230496441305	240.12625174430758	912427.9943401581
15	119.17524560270331	210.60247658485008	811860.123276437
16	118.47002387552102	184.50266619919864	716512.6669227253
17	120.80092166150374	161.89751444069532	630026.0799143176
18	125.32460375868702	142.64778408203216	554046.0598934169
19	131.458134870283	126.4044837518343	488509.30094891373
20	138.78545376121954	112.78898189307628	432807.53129975207
21	147.0017221607852	101.41653826972707	385819.9853179895
22	155.86535836268806	91.94585733964443	346444.06253085285
23	165.19425707862476	84.0727753727938	313549.31936405663
24	174.8311072617041	77.54512544864733	286166.9947554629
25	184.64535791660478	72.15333143301277	263450.1114779641
26	194.5201585254562	67.72760632167157	244684.46996576598
27	204.380956999954	64.10276092153622	229211.365557648
28	214.1240510446946	61.183576716125145	216574.13615955715
29	223.68265202623613	58.8652077296296	206360.8093324898
30	232.98679498738844	57.06915338546177	198219.66722429142
31	241.9757794973122	55.7318073874349	191877.70827483537
32	250.5798609955426	54.82453632379597	187165.79493287878
33	258.78114942155565	54.26201221733708	183849.86162503692
34	266.4997517992538	54.0486914087922	181786.84947381885
35	273.7043260508425	54.142384643732086	180878.5933171848
36	280.35800469513276	54.511717688587595	181011.85096069006
37	286.41825149997834	55.141049242492464	182088.15794171148
38	291.86344221214677	56.0152768914115	184056.96441940384
39	296.6599818496378	57.111556716013965	186834.8776707292
40	300.79073378137315	58.41462988362908	190368.8178261016
41	304.24115377885016	59.90734054550159	194600.92435555972
42	307.00233224742135	61.571038687936536	199471.06494244927
43	309.0723143702845	63.38522809152803	204915.5633257095
44	310.4569604382889	65.32725987873677	210865.57242350196
45	311.1705841554477	67.37213313294352	217245.73440957488
46	311.2363916171687	69.49245494011386	223973.35309489182
47	310.6866776705877	71.65859753354258	230958.1798273433
48	309.56272479889725	73.83907242220707	238102.87515577578
49	307.9143593788712	76.0011225934862	245304.17840764107
50	305.79914111781414	78.11151379881751	252454.77526410282
51	303.2811895522674	80.13748521588448	259445.7987383494
52	300.4296831118765	82.04780051797566	266169.8380827393
53	297.3170973224781	83.8138254080434	272524.27209184755
54	294.01727489405613	85.41054975040176	278414.6976639711
55	290.60343781999757	86.81747347969421	283758.19988379214
56	287.1462575437592	88.01928600858928	288486.2120672361
57	283.7120928710002	89.00628777526596	292546.7447993225
58	280.36148775037395	89.77452726456836	295905.81889947166
59	277.15316032601925	90.32118893104072	298542.4300801684
60	274.12821474839194	90.657922283395	300460.7156503275
61	271.3226801782656	90.79740043067655	301684.3406469168
62	268.7652247163454	90.75497112202392	302251.3486811424
63	266.47668087571776	90.54860431210138	302210.97498963773
64	264.4703145578784	90.198243606158	301621.2526904909
65	262.75242077843893	89.72501126731733	300546.68820338126
66	261.32307218217187	89.15044326032285	299055.8666010357
67	260.1769363155219	88.49582050811458	297219.10442696855
68	259.30411141804854	87.78161890192733	295106.3051080005
69	258.69094554001515	87.02708223271772	292785.12695861247
70	258.3208134256548	86.24991290634233	290319.5167009382
71	258.1748336567787	85.46606965127482	287768.6161984978
72	258.2325156144839	84.68965794347353	285186.019948728
73	258.472331698743	83.93289715413064	282619.3430252496
74	258.8722147873095	83.20614819332494	280110.0502733792
75	259.40998413838776	82.5179863294343	277693.49500934855
76	260.0637050024248	81.87530553198701	275399.11728248687
77	260.8119883253114	81.28344276677184	273250.75640025624
78	261.63423732507135	80.74631288678049	271267.03867483774
79	262.51084761304537	80.26654690943653	269461.80828244035
80	263.4233670819144	79.84562842017448	267844.5760366605
81	264.3546211342093	79.48402452406586	266420.9672934577
82	265.28880808056056	79.18130915381256	265193.15584584285
83	266.2115687727324	78.93627763690856	264160.275398201
84	267.11003380531156	78.74705224856984	263318.8040079959
85	267.972850956757	78.61117906164081	262662.9197924224
86	268.7901949668845	78.52571678560541	262184.8283073596
87	269.5537612753668	78.4873184997004	261875.06342400383
88	270.25674497878987	78.49230726346946	261722.7643686401
89	270.8938060011531	78.5367465622716	261715.93196337213
90	271.461021309211	78.61650644216209	261841.66711204604
91	271.9558249312263	78.72732603178396	262086.39430739914
92	272.3769365443244	78.86487295904948	262436.07247330155
93	272.7242794682396	79.02479996544403	262876.39487051487
94	272.9988890265777	79.20279881639354	263392.9791473165
95	273.2028123942741	79.3946514157408	263971.5479610825
96	273.33900122455725	79.59627786721556	264598.0999792306
97	273.41119852338073	79.80378109478289	265259.0705259452
98	273.4238213978327	80.01348754336543	265941.48070515477
99	273.38184143304056	80.22198343545897	266633.0735223807
100	273.2906645376396	80.4261460586505	267322.4353617232
