	Cvar	Mvar	X
0	0.01	0.01	0.01
1	0.11180215006108227	-1.3329150643473215	-1.1380623183490528
2	0.6413298740080048	-1.7075313324552819	-3.2538287708810727
3	1.7091492529338	-1.1693130706539585	-5.243144546778627
4	3.1800793680092605	-0.2144387848891468	-6.454851581469936
5	4.812997289866859	0.923392766771718	-6.604759218905453
6	6.31140425054011	2.407370854396661	-5.417353558037057
7	7.3240604311700706	3.71292230730789	-2.862744876275835
8	7.534663818602335	5.031581472313974	0.9753275793662214
9	6.666241271771587	6.340827035559702	5.728167245432302
10	4.540555557010492	7.600318743855364	11.24493641643531
11	0.8795257189725518	8.58626299577508	18.912522609346894
12			
13			
14			
15			
16			
17			
18			
19			
20			
21			
22			
23			
24			
25			
26			
27			
28			
29			
30			
31			
32			
33			
34			
35			
36			
37			
38			
39			
40			
41			
42			
43			
44			
45			
46			
47			
48			
49			
50			
51			
52			
53			
54			
55			
56			
57			
58			
59			
60			
61			
62			
63			
64			
65			
66			
67			
68			
69			
70			
71			
72			
73			
74			
75			
76			
77			
78			
79			
80			
81			
82			
83			
84			
85			
86			
87			
88			
89			
90			
91			
92			
93			
94			
95			
96			
97			
98			
99			
100			
