time	Epo	EpoR	Epo_EpoR	Epo_EpoRi	dEpoe	dEpoi
0.0.	2030.19	516.0	0.0	0.0	0.0	0.0
3.0.	1800.8099600821365	298.9023216803216	202.92216043300706	25.904303097534953	0.46371952753195406	0.08985685978963301
6.0.	1680.2739837125227	205.06470002721227	270.3641799307214	76.05418200212041	2.929912947785608	0.5677414068504151
9.0.	1604.3460550275447	162.24603955784863	286.31434107067383	129.97358746062412	8.004877972887925	1.551138468270234
12.0.	1548.7067522250181	142.65645271126925	282.53475924821385	180.25355736546385	15.660358432750057	3.034572728555307
15.0.	1502.8985742036086	134.21778656791167	272.08518841348484	224.58852745599742	25.64782441338	4.969885513530389
18.0.	1462.106020376973	131.32370342716638	260.3953055945743	262.7269662390627	37.66349571737512	7.298212072016775
21.0.	1424.0211594103694	131.2678669789741	249.59513124676624	295.1973751106284	51.41368989657225	9.962644335666061
24.0.	1387.5091055152982	132.70878477212216	240.36817153017273	322.7621337464361	66.63788862265288	12.912700585442327
27.0.	1352.0016937756293	134.96765810358454	232.78032226004183	346.18889519142795	83.11378523664078	16.105303536262813
30.0.	1317.210820499451	137.6947113029511	226.6560714318851	366.1637309194936	100.65503311971815	19.504344029454614
33.0.	1282.9893094648442	140.7065236971214	221.74742229874056	383.2670360029472	119.10647553424414	23.07975669922686
36.0.	1249.262070803741	143.9052002945096	217.8065133986713	397.9759647939554	138.3389397874894	26.806511216145285
39.0.	1215.9914993807295	147.23756091068321	214.6135971440005	410.6767813323885	158.24443952692937	30.6636826159548
42.0.	1183.1598322527066	150.67422559169182	211.98477196374233	421.6796760612064	178.73206481923958	34.63365490310806
45.0.	1150.7600246561478	154.19873386942575	209.77101626341965	431.2329025571488	199.72459233174754	38.701464191539316
48.0.	1118.790959395161	157.80179137739546	207.85393669770747	439.53508694749536	221.15574856899798	42.85426839064139
51.0.	1087.2548877780428	161.47817121455176	206.14069680784118	446.74546320247606	242.96802782989056	47.080924381752936
54.0.	1056.1560339582097	165.2250087852975	204.55918163710558	452.99216590897595	265.1109651388568	51.37165335685592
57.0.	1025.4998136052668	169.04083900593247	203.05378835126263	458.37884619596355	287.5397748351466	55.71777701236446
60.0.	995.2923813773886	172.92503559425165	201.5819289230338	462.9899002575239	310.21427944904036	60.111509993017584
63.0.	965.5403569138471	176.87747225964438	200.11120145735538	466.8945776721707	333.0980673003841	64.54579665624681
66.0.	936.2506492234166	180.89830901080686	198.6171400058956	470.1501986743681	356.157829496766	69.01418259955771
69.0.	907.430336142483	184.98785075958665	197.0814438349487	472.80466934640407	379.36283729037245	73.51071338579627
72.0.	879.0865750678093	189.1464488711465	195.490594260149	474.8984470180987	402.68452912953626	78.02985452441128
75.0.	851.2265316715717	193.37442902237265	193.83477995715776	476.46607686383317	426.0961834421124	82.56642806532938
78.0.	823.8573190392261	197.67203572803555	192.1070653443713	477.5373949410504	449.5726584865416	87.11556218881474
81.0.	796.9859428563053	202.0393878201386	190.30274920766462	478.13847219094873	473.09018476465087	91.67265098043451
84.0.	770.6192500794673	206.47644141846638	188.41887150920516	478.292357465231	496.62619873675663	96.23332220934373
87.0.	744.7638795832487	210.982958257402	186.45383520623247	478.01966468752255	520.1592091054596	100.79341141754041
90.0.	719.426213912177	215.5584780402298	184.40711706804836	477.3390391175764	543.6686888946384	105.34894100756371
93.0.	694.6123316702756	220.20229399892366	182.2790471720106	476.26752977907523	567.1349880683475	109.89610331029482
96.0.	670.3279603466044	224.91343116782036	180.07064124179809	474.82088896122116	590.539262608362	114.43124684201777
99.0.	646.5784295618059	229.6906271027644	177.78347349916976	473.013814927806	613.8634168756577	118.9508651355642
102.0.	623.3686248577044	234.53231493278744	175.41958043465672	470.8601502617777	637.0900567800624	123.45158766580224
105.0.	600.7029422572524	239.43660874201586	172.9813880284281	468.37304540012707	660.2024518202312	127.93017249396429
108.0.	578.5852439052121	244.40129135869594	170.47165660323876	465.56509468700784	683.1845044691879	132.38350033535644
111.0.	557.0188151661902	249.42380468392977	167.89343877294962	462.4484505475236	706.0207256970452	136.80856981629444
114.0.	536.0063236086719	254.50124272968296	165.25004694622072	459.0349200482723	728.6962156639443	141.20249373289394
117.0.	515.5497803427245	259.6303475567208	162.54502762111673	455.3360470766225	751.1966487996561	145.56249615988332
120.0.	495.6505042053282	264.80750831013114	159.7821403136155	451.3631825717623	773.5082626248444	149.8859102844529
123.0.	476.3090893006997	270.0287635441521	156.9653394410189	447.1275446250804	795.6178497729097	154.17017686029487
126.0.	457.5253764031159	275.2898070100226	154.0987578606731	442.6402697955875	817.5127527486586	158.41284319196862
129.0.	439.2984287162701	280.58599705128245	151.18669106876487	437.91245662718154	839.1808610170183	162.61156257076905
132.0.	421.6265124558478	285.9123697112191	148.2335813112273	432.9552020849654	860.6106100566268	166.7640940913366
135.0.	404.5070826808513	291.26365560801065	145.24400106254686	427.7796314292376	881.7909820432769	170.8683027840911
138.0.	387.936774744575	296.6343005757643	142.2226354986056	422.396921904007	902.7115078500165	174.9221600027998
141.0.	371.9114016688214	302.0184900056387	139.17426373400173	416.81832052076385	923.3622700667245	178.92374400969263
144.0.	356.42595766615204	307.4101767523111	136.1037387178103	411.0551561589347	943.7339067541993	182.87124070290795
147.0.	341.47462794633975	312.80311239927113	133.01596578804313	405.11884617476755	963.8176156578562	186.76294443299795
150.0.	327.05080484679826	318.1908816040214	129.91587997644982	399.0208977044132	983.6051586153342	190.59725885700914
153.0.	313.14711022507817	323.566939173647	126.80842223313063	392.77290385962954	1003.0888659016965	194.3726977804698
156.0.	299.75542394726756	328.9246494548338	123.69851480538787	386.38653504143053	1022.2616402662899	198.08788593962888
159.0.	286.8669182023139	334.25732756270077	120.59103605759219	379.87352563419756	1041.116960427292	201.7415596786091
162.0.	274.4720972719161	339.55828192203336	117.49079505859466	373.24565638668787	1059.64888380396	205.33256747884607
165.0.	262.56084229176145	344.82085755471394	114.40250629034709	366.5147328337341	1077.8520482828299	208.85987030133228
168.0.	251.12246045535713	350.03847952000723	111.33076484593057	359.6925601602271	1095.7216728327041	212.32254170578554
171.0.	240.1457380390719	355.2046959011363	108.28002248735358	352.79091495449194	1113.253556804173	215.71976771491418
174.0.	229.61899656844147	360.3132197330026	105.25456492374292	345.8215143389818	1130.4440777724285	219.05084639641046
177.0.	219.5301514029197	365.3579692821429	102.25849064967917	338.7959830002453	1147.290187807032	222.3151871401283
180.0.	209.86677199017007	370.3331061207264	99.29569165251235	331.7258186656758	1163.7894080786405	225.5123096130052
183.0.	200.61614303212812	375.23307048059866	96.36983625790789	324.6223565903147	1179.9398217400578	228.6418423795946
186.0.	191.76532581325938	380.05261342967776	93.4843543362526	317.4967336221155	1195.7400650468953	231.7035211814795
189.0.	183.301218965915	384.7868254794997	90.64242504071966	310.3598524081527	1211.1893167109781	234.6971868742372
192.0.	175.210617987132	389.4311613071829	87.8469671926949	303.2223462873128	1226.2872855069438	237.62278302591923
195.0.	167.4802728738396	393.98146035507926	85.1006323738777	296.0945453874859	1241.0341961787105	240.48035318608876
198.0.	160.0969433070753	398.4339631543269	82.40580072861609	288.98644440800535	1255.4307737170802	243.27003783922575
201.0.	153.04745088806024	402.7853233018336	79.76457942670412	281.90767252223424	1269.478226102318	245.9920710606861
204.0.	146.31872800728985	407.03261510145813	77.17880368755196	274.8674657821827	1283.1782256256818	248.64677689729587
207.0.	139.8978630095939	411.17333695703826	74.65004022265798	267.87464234848903	1296.5328889212299	251.23456549803169
210.0.	133.7721414009129	415.2054106755073	72.17959291569764	260.93758080673405	1309.5447558536323	253.7559290230252
213.0.	127.92908292403663	419.12717690103227	69.76851052899973	254.06420176666816	1322.2167674189864	256.2114373613109
216.0.	122.35647440868537	422.9373869546864	67.41759620208582	247.26195287623295	1334.5522428236911	258.60173368930566
219.0.	117.0423983743597	426.6351913978477	65.12741849237736	240.53779731891902	1346.5548559113874	260.9275299029576
222.0.	111.97525743094198	430.2201256708971	62.89832369990716	233.89820580247357	1358.2286111098094	263.1896019568691
225.0.	107.14379458106606	433.6920931818616	60.73044921645787	227.3491519905638	1369.5778190684148	265.38878514349807
