time	Epo	EpoR	Epo_EpoR	Epo_EpoRi	dEpoe	dEpoi
228.0.	102.53710957911515	437.0513462327429	58.62373764433008	220.89611127775478	1380.6070721539659	267.52596934483506
231.0.	98.14467154401402	440.2984651750108	56.57795144012043	214.54406276288998	1391.3212199651975	269.6020942877788
234.0.	93.95632805672842	443.4343361809718	54.59268785357077	208.29749423722023	1401.7253450196147	271.61814483286656
237.0.	89.9623109987992	446.4601280054769	52.667393949792014	202.16040997172973	1411.8247387555823	273.57514632409783
240.0.	86.15323940577713	449.3772680938406	50.80138152403294	196.13634106313322	1421.6248779816362	275.47416002542116
243.0.	82.52011961970753	452.18741836809886	48.99384174074881	190.22835807984916	1431.131401892637	277.31627866705804
246.0.	79.05434302858599	454.8924509960301	47.24385935219241	184.43908573758287	1440.3500897593249	279.1026221223146
249.0.	75.74768167879022	457.4944244168529	45.550426375355	178.7707193285429	1449.286839384387	280.83433323292536
252.0.	72.59228203974367	459.9955598652853	43.912455129184345	173.22504262820905	1457.9476464045326	282.51257379832964
255.0.	69.58065718934287	462.3982186026704	42.328790556073976	167.80344700832168	1466.3385845045857	284.13852074167454
258.0.	66.70567767481407	464.7048800310137	40.79822177223632	162.5069514937129	1474.4657865964516	285.71336246278474
261.0.	63.96056128743357	466.9181208337615	39.319492810438675	157.33622351302716	1482.335427003203	287.2382953858986
264.0.	61.33886197166673	469.04059525658323	37.89131253549207	152.29160010859547	1489.953704676591	288.71452070765633
267.0.	58.83445807038466	471.0750166127651	36.512363727729955	147.37310938806843	1497.3268274651546	290.14324134866513
270.0.	56.44154008846368	473.02414007143614	35.181311342463964	142.58049201923987	1504.46099743985	291.52565910998635
273.0.	54.15459813772402	474.89074676294	33.896809964093876	137.91322258924168	1511.3623972748567	292.8629720340871
276.0.	51.968409207210065	476.6776292144037	32.657510482265124	133.3705306694411	1518.0371776728944	294.156371968192
279.0.	49.878024384559446	478.387578109944	31.462066024338352	128.95142144748598	1524.4914458170688	295.40704232654946
282.0.	47.87875613688898	480.0233703539962	30.309137183616162	124.65469580764196	1530.73125482495	296.6161560469041
285.0.	45.96616574340977	481.5877584028396	29.197396586435847	120.47896975953529	1536.7625941751962	297.7848737354241
288.0.	44.13605095698689	483.0834608184139	28.125532843566155	116.42269313342052	1542.5913810725651	298.9143419934638
291.0.	42.384433958143	484.51315398978585	27.092253932522517	112.48416747693915	1548.2234527135538	300.00569191884443
294.0.	40.707549652595155	485.8794649609647	26.096290057618504	108.66156310389928	1553.664559412097	301.06003777379226
297.0.	39.10183435230023	487.1849652989547	25.13639603396989	104.95293525980523	1558.9203585426615	302.0784758112652
300.0.	37.563914870169995	488.432165932768	24.2113532404255	101.3562393816403	1563.996409256637	303.0620832511293
